ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
35,2002,2002-12-02,12,26.216,OAK,,NYJ,W 26-20,,,,,,,,
36,2002,2002-12-08,13,26.222,OAK,@,SDG,W 27-7,,,,,,,,
37,2002,2002-12-15,14,26.229,OAK,@,MIA,L 17-23,,,,,,,,
38,2002,2002-12-22,15,26.236,OAK,,DEN,W 28-16,,,,,,,,
39,2002,2002-12-28,16,26.242,OAK,,KAN,W 24-0,,,,,,,,
40,2003,2003-09-07,1,27.130,OAK,@,TEN,L 20-25,,1,1,1.00,0,0,0,0
41,2003,2003-09-14,2,27.137,OAK,,CIN,W 23-20,,,,,,,,
42,2003,2003-09-22,3,27.145,OAK,@,DEN,L 10-31,,,,,,,,
43,2003,2003-09-28,4,27.151,OAK,,SDG,W 34-31,,0,0,,0,1,3,0
44,2003,2003-10-05,5,27.158,OAK,@,CHI,L 21-24,,,,,,,,
45,2003,2003-10-12,6,27.165,OAK,@,CLE,L 7-13,,,,,,,,
46,2003,2003-10-20,7,27.173,OAK,,KAN,L 10-17,,,,,,,,
47,2003,2003-11-02,8,27.186,OAK,@,DET,L 13-23,,,,,,,,
48,2003,2003-11-09,9,27.193,OAK,,NYJ,L 24-27,,,,,,,,
49,2003,2003-11-16,10,27.200,OAK,,MIN,W 28-18,,,,,,,,
50,2003,2003-11-23,11,27.207,OAK,@,KAN,L 24-27,,,,,,,,
51,2003,2003-11-30,12,27.214,OAK,,DEN,L 8-22,,,,,,,,
52,2003,2003-12-07,13,27.221,OAK,@,PIT,L 7-27,,,,,,,,
53,2003,2003-12-14,14,27.228,OAK,,BAL,W 20-12,*,,,,,,,
54,2003,2003-12-22,15,27.236,OAK,,GNB,L 7-41,,,,,,,,
55,2003,2003-12-28,16,27.242,OAK,@,SDG,L 14-21,*,,,,,,,
56,2004,2004-09-12,1,28.135,ATL,@,SFO,W 21-19,,,,,,,,
57,2004,2004-09-19,2,28.142,ATL,,STL,W 34-17,,,,,,,,
58,2004,2004-09-26,3,28.149,ATL,,ARI,W 6-3,,,,,,,,
59,2004,2004-10-03,4,28.156,ATL,@,CAR,W 27-10,,,,,,,,
60,2004,2004-10-10,5,28.163,ATL,,DET,L 10-17,,,,,,,,
61,2004,2004-10-17,6,28.170,ATL,,SDG,W 21-20,,,,,,,,
62,2004,2004-10-24,7,28.177,ATL,@,KAN,L 10-56,,,,,,,,
63,2004,2004-10-31,8,28.184,ATL,@,DEN,W 41-28,,,,,,,,
64,2004,2004-11-14,9,28.198,ATL,,TAM,W 24-14,,,,,,,,
65,2004,2004-11-21,10,28.205,ATL,@,NYG,W 14-10,,,,,,,,
66,2004,2004-11-28,11,28.212,ATL,,NOR,W 24-21,,,,,,,,
67,2004,2004-12-05,12,28.219,ATL,@,TAM,L 0-27,,,,,,,,
68,2004,2004-12-12,13,28.226,ATL,,OAK,W 35-10,,,,,,,,
69,2004,2004-12-18,14,28.232,ATL,,CAR,W 34-31,,,,,,,,
70,2004,2004-12-26,15,28.240,ATL,@,NOR,L 13-26,,,,,,,,
71,2004,2005-01-02,16,28.247,ATL,@,SEA,L 26-28,,,,,,,,
72,2005,2005-09-11,1,29.134,ARI,@,NYG,L 19-42,,,,,,,,
73,2005,2005-09-18,2,29.141,ARI,,STL,L 12-17,,,,,,,,
74,2005,2005-09-25,3,29.148,ARI,@,SEA,L 12-37,,,,,,,,
