ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
23,2003,2003-11-17,10,24.273,PIT,@,SFO,L 14-30,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
24,2003,2003-11-23,11,24.279,PIT,@,CLE,W 13-6,,1,-2,-2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
25,2003,2003-11-30,12,24.286,PIT,,CIN,L 20-24,,,,,,0,,,,,0.0%,,,,,,,
26,2003,2003-12-07,13,24.293,PIT,,OAK,W 27-7,,2,5,2.50,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
27,2004,2004-09-12,1,25.208,PIT,,OAK,W 24-21,,1,2,2.00,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0
28,2004,2004-09-19,2,25.215,PIT,@,BAL,L 13-30,,7,34,4.86,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0
29,2004,2004-09-26,3,25.222,PIT,@,MIA,W 13-3,,7,34,4.86,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
30,2004,2004-10-03,4,25.229,PIT,,CIN,W 28-17,,2,15,7.50,0,4,4,25,6.25,1,100.0%,6.25,0,0,,0,1,6
31,2004,2004-10-10,5,25.236,PIT,,CLE,W 34-23,,2,6,3.00,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0
32,2004,2004-10-17,6,25.243,PIT,@,DAL,W 24-20,,,,,,0,,,,,0.0%,,,,,,,
33,2004,2004-10-31,7,25.257,PIT,,NWE,W 34-20,,3,17,5.67,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0
34,2004,2004-11-07,8,25.264,PIT,,PHI,W 27-3,,12,51,4.25,0,3,2,44,22.00,0,66.7%,14.67,1,5,5.00,0,0,0
35,2004,2004-11-21,10,25.278,PIT,@,CIN,W 19-14,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
36,2004,2004-11-28,11,25.285,PIT,,WAS,W 16-7,,1,3,3.00,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0
37,2004,2004-12-18,14,25.305,PIT,@,NYG,W 33-30,,2,21,10.50,0,3,3,28,9.33,1,100.0%,9.33,0,0,,0,1,6
38,2004,2004-12-26,15,25.313,PIT,,BAL,W 20-7,,8,61,7.63,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0
39,2004,2005-01-02,16,25.320,PIT,@,BUF,W 29-24,,8,22,2.75,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
40,2005,2005-09-11,1,26.206,PIT,,TEN,W 34-7,,11,33,3.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6
41,2005,2005-09-18,2,26.213,PIT,@,HOU,W 27-7,,7,24,3.43,0,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
42,2005,2005-09-25,3,26.220,PIT,,NWE,L 20-23,,2,7,3.50,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0
43,2005,2005-10-10,4,26.235,PIT,@,SDG,W 24-22,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
44,2005,2005-10-16,5,26.241,PIT,,JAX,L 17-23,,2,-1,-0.50,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
45,2005,2005-10-23,6,26.248,PIT,@,CIN,W 27-13,,11,35,3.18,0,0,0,0,,0,0.0%,,0,0,,0,0,0
46,2005,2005-10-31,7,26.256,PIT,,BAL,W 20-19,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
47,2005,2005-11-06,8,26.262,PIT,@,GNB,W 20-10,,3,10,3.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
48,2005,2005-11-13,9,26.269,PIT,,CLE,W 34-21,,9,41,4.56,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,1,6
49,2005,2005-11-20,10,26.276,PIT,@,BAL,L 13-16,,1,0,0.00,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0
50,2005,2005-12-11,13,26.297,PIT,,CHI,W 21-9,,4,8,2.00,0,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0
51,2005,2005-12-18,14,26.304,PIT,@,MIN,W 18-3,,9,36,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
52,2005,2005-12-24,15,26.310,PIT,@,CLE,W 41-0,,10,57,5.70,1,2,1,13,13.00,0,50.0%,6.50,0,0,,0,1,6
53,2005,2006-01-01,16,26.318,PIT,,DET,W 35-21,,4,17,4.25,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
54,2006,2006-09-07,1,27.202,PIT,,MIA,W 28-17,,1,3,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
55,2006,2006-09-18,2,27.213,PIT,@,JAX,L 0-9,,2,6,3.00,0,6,5,26,5.20,0,83.3%,4.33,0,0,,0,0,0
56,2006,2006-09-24,3,27.219,PIT,,CIN,L 20-28,,5,24,4.80,0,5,5,33,6.60,0,100.0%,6.60,0,0,,0,0,0
57,2006,2006-10-08,4,27.233,PIT,@,SDG,L 13-23,,1,13,13.00,0,5,3,7,2.33,0,60.0%,1.40,0,0,,0,0,0
58,2006,2006-10-15,5,27.240,PIT,,KAN,W 45-7,,5,21,4.20,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0
59,2006,2006-10-22,6,27.247,PIT,@,ATL,L 38-41,,1,11,11.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
60,2006,2006-10-29,7,27.254,PIT,@,OAK,L 13-20,,0,0,,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0
61,2007,2007-12-30,16,28.316,PIT,@,BAL,L 21-27,,0,0,,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
62,2009,2009-10-18,5,30.243,ATL,,CHI,W 21-14,*,,,,,,,,,,0.0%,,,,,,,
63,2009,2009-10-25,6,30.250,ATL,@,DAL,L 21-37,*,0,0,,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0
64,2009,2009-11-02,7,30.258,ATL,@,NOR,L 27-35,,0,0,,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0
65,2009,2009-11-08,8,30.264,ATL,,WAS,W 31-17,,,,,,,,,,,0.0%,,,,,,,
66,2009,2009-11-15,9,30.271,ATL,@,CAR,L 19-28,,,,,,,,,,,0.0%,,,,,,,
67,2009,2009-11-22,10,30.278,ATL,@,NYG,L 31-34,,,,,,,,,,,0.0%,,,,,,,
68,2009,2009-12-27,15,30.313,ATL,,BUF,W 31-3,,,,,,,,,,,0.0%,,,,,,,
