ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
33,2005,2005-10-09,5,25.280,CIN,@,JAX,L 20-23,,,,,
34,2005,2005-10-16,6,25.287,CIN,@,TEN,W 31-23,,,,,
35,2005,2005-10-23,7,25.294,CIN,,PIT,L 13-27,,,,,
36,2005,2005-10-30,8,25.301,CIN,,GNB,W 21-14,,,,,
37,2005,2005-11-06,9,25.308,CIN,@,BAL,W 21-9,,,,,
38,2005,2005-11-20,10,25.322,CIN,,IND,L 37-45,,,,,
39,2005,2005-11-27,11,25.329,CIN,,BAL,W 42-29,,,,,
40,2005,2005-12-04,12,25.336,CIN,@,PIT,W 38-31,,,,,
41,2005,2005-12-11,13,25.343,CIN,,CLE,W 23-20,,,,,
42,2005,2005-12-18,14,25.350,CIN,@,DET,W 41-17,,,,,
43,2005,2006-01-01,16,25.364,CIN,@,KAN,L 3-37,,,,,
44,2006,2006-09-10,1,26.251,CIN,@,KAN,W 23-10,,,,,
45,2006,2006-09-17,2,26.258,CIN,,CLE,W 34-17,,,,,
46,2006,2006-09-24,3,26.265,CIN,@,PIT,W 28-20,,,,,
47,2006,2006-10-01,4,26.272,CIN,,NWE,L 13-38,,,,,
48,2006,2006-10-15,5,26.286,CIN,@,TAM,L 13-14,,,,,
49,2006,2006-10-22,6,26.293,CIN,,CAR,W 17-14,,,,,
50,2006,2006-10-29,7,26.300,CIN,,ATL,L 27-29,,,,,
51,2006,2006-11-05,8,26.307,CIN,@,BAL,L 20-26,,,,,
52,2006,2006-11-12,9,26.314,CIN,,SDG,L 41-49,,,,,
53,2006,2006-11-19,10,26.321,CIN,@,NOR,W 31-16,,,,,
54,2006,2006-11-26,11,26.328,CIN,@,CLE,W 30-0,,,,,
55,2006,2006-11-30,12,26.332,CIN,,BAL,W 13-7,,,,,
56,2006,2006-12-10,13,26.342,CIN,,OAK,W 27-10,,,,,
57,2006,2006-12-18,14,26.350,CIN,@,IND,L 16-34,,,,,
58,2006,2006-12-24,15,26.356,CIN,@,DEN,L 23-24,,,,,
59,2006,2006-12-31,16,26.363,CIN,,PIT,L 17-23,,,,,
60,2007,2007-09-09,1,27.250,ATL,@,MIN,L 3-24,,,,,
61,2007,2007-09-16,2,27.257,ATL,@,JAX,L 7-13,,,,,
62,2007,2007-09-23,3,27.264,ATL,,CAR,L 20-27,,,,,
63,2007,2007-09-30,4,27.271,ATL,,HOU,W 26-16,,,,,
64,2007,2007-10-07,5,27.278,ATL,@,TEN,L 13-20,,,,,
65,2007,2007-10-15,6,27.286,ATL,,NYG,L 10-31,,,,,
66,2007,2007-10-21,7,27.292,ATL,@,NOR,L 16-22,,,,,
67,2007,2007-11-04,8,27.306,ATL,,SFO,W 20-16,,,,,
68,2007,2007-11-11,9,27.313,ATL,@,CAR,W 20-13,,,,,
69,2007,2007-11-18,10,27.320,ATL,,TAM,L 7-31,,,,,
70,2007,2007-11-22,11,27.324,ATL,,IND,L 13-31,,,,,
71,2007,2007-12-02,12,27.334,ATL,@,STL,L 16-28,,,,,
72,2007,2007-12-10,13,27.342,ATL,,NOR,L 14-34,,,,,
73,2007,2007-12-16,14,27.348,ATL,@,TAM,L 3-37,,,,,
74,2007,2007-12-23,15,27.355,ATL,@,ARI,L 27-30,,,,,
