ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
29,2013,2013-12-08,13,24.277,NYJ,,OAK,W 37-27,,,,,,,,,,,,,,,,,,
30,2013,2013-12-15,14,24.284,NYJ,@,CAR,L 20-30,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
31,2013,2013-12-22,15,24.291,NYJ,,CLE,W 24-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,1,0,0,0,0
32,2013,2013-12-29,16,24.298,NYJ,@,MIA,W 20-7,,,,,,,,,,,,,,,,,,
33,2014,2014-09-22,3,25.200,NYJ,,CHI,L 19-27,,,,,,,,,,,,,,,,,,
34,2014,2014-09-28,4,25.206,NYJ,,DET,L 17-24,,,,,,,,,,,,,,,,,,
35,2014,2014-10-05,5,25.213,NYJ,@,SDG,L 0-31,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
36,2014,2014-12-22,15,25.291,DEN,@,CIN,L 28-37,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
37,2014,2014-12-28,16,25.297,DEN,,OAK,W 47-14,,0,0,,0,0,0,,0,0,,,0.0,1,0,1,5,0
38,2015,2015-09-13,1,26.191,DEN,,BAL,W 19-13,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
39,2015,2015-09-17,2,26.195,DEN,@,KAN,W 31-24,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
40,2015,2015-09-27,3,26.205,DEN,@,DET,W 24-12,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
41,2015,2015-12-06,12,26.275,DEN,@,SDG,W 17-3,,0,0,,0,0,0,,0,0,,,0.0,4,0,0,0,0
42,2015,2015-12-13,13,26.282,DEN,,OAK,L 12-15,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
43,2015,2015-12-20,14,26.289,DEN,@,PIT,L 27-34,*,0,0,,0,0,0,,0,0,,,0.0,5,0,1,13,0
44,2015,2015-12-28,15,26.297,DEN,,CIN,W 20-17,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
45,2015,2016-01-03,16,26.303,DEN,,SDG,W 27-20,,0,0,,0,0,0,,0,0,,,0.0,2,0,0,0,0
