ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
57,2011,2011-10-02,4,29.053,BUF,@,CIN,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
58,2011,2011-10-09,5,29.060,BUF,,PHI,W 31-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,1
59,2011,2011-10-16,6,29.067,BUF,@,NYG,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,,
60,2011,2011-10-30,7,29.081,BUF,,WAS,W 23-0,,,,,,,0.0%,,,,,,,,,,,,,,,
61,2011,2011-11-06,8,29.088,BUF,,NYJ,L 11-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
62,2011,2011-11-13,9,29.095,BUF,@,DAL,L 7-44,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
63,2011,2011-11-20,10,29.102,BUF,@,MIA,L 8-35,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
64,2011,2011-11-27,11,29.109,BUF,@,NYJ,L 24-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
65,2011,2011-12-04,12,29.116,BUF,,TEN,L 17-23,,,,,,,0.0%,,,,,,,,,,,,,,,
66,2011,2011-12-11,13,29.123,BUF,@,SDG,L 10-37,,,,,,,0.0%,,,,,,,,,,,,,,,
67,2011,2011-12-18,14,29.130,BUF,,MIA,L 23-30,,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
68,2011,2012-01-01,16,29.144,BUF,@,NWE,L 21-49,,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0,,0,,0,0,0.0,1,1
69,2012,2012-09-09,1,30.030,BUF,@,NYJ,L 28-48,,,,,,,0.0%,,,,,,,,,,,,,,,
70,2012,2012-09-16,2,30.037,BUF,,KAN,W 35-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
71,2012,2012-10-07,5,30.058,BUF,@,SFO,L 3-45,,,,,,,0.0%,,,,,,,,,,,,,,,
72,2012,2012-10-14,6,30.065,BUF,@,ARI,W 19-16,,,,,,,0.0%,,,,,,,,,,,,,,,
73,2012,2012-10-21,7,30.072,BUF,,TEN,L 34-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
74,2012,2012-11-04,8,30.086,BUF,@,HOU,L 9-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
75,2012,2012-11-11,9,30.093,BUF,@,NWE,L 31-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
76,2012,2012-11-15,10,30.097,BUF,,MIA,W 19-14,,,,,,,0.0%,,,,,,,,,,,,,,,
77,2012,2012-11-25,11,30.107,BUF,@,IND,L 13-20,,,,,,,0.0%,,,,,,,,,,,,,,,
78,2012,2012-12-02,12,30.114,BUF,,JAX,W 34-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
79,2012,2012-12-09,13,30.121,BUF,,STL,L 12-15,,,,,,,0.0%,,,,,,,,,,,,,,,
80,2012,2012-12-16,14,30.128,BUF,,SEA,L 17-50,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
81,2012,2012-12-23,15,30.135,BUF,@,MIA,L 10-24,,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
82,2012,2012-12-30,16,30.142,BUF,,NYJ,W 28-9,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
