ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
35,2016,2016-11-13,9,24.194,MIN,@,WAS,L 20-26,*,6,16,2.67,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
36,2016,2016-11-20,10,24.201,MIN,,ARI,W 30-24,*,16,44,2.75,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
37,2016,2016-11-24,11,24.205,MIN,@,DET,L 13-16,*,9,31,3.44,0,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
38,2016,2016-12-01,12,24.212,MIN,,DAL,L 15-17,,9,41,4.56,0,6,5,14,2.80,1,83.3%,2.33,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,0,0
39,2016,2016-12-11,13,24.222,MIN,@,JAX,W 25-16,*,14,31,2.21,0,6,6,38,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
40,2016,2016-12-18,14,24.229,MIN,,IND,L 6-34,,3,12,4.00,0,9,9,59,6.56,0,100.0%,6.56,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
41,2016,2016-12-24,15,24.235,MIN,@,GNB,L 25-38,*,11,50,4.55,0,6,5,35,7.00,0,83.3%,5.83,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
42,2016,2017-01-01,16,24.243,MIN,,CHI,W 38-10,,16,89,5.56,1,4,3,21,7.00,1,75.0%,5.25,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
43,2017,2017-09-11,1,25.131,MIN,,NOR,W 29-19,,3,5,1.67,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,,,4,108,27.00,0,,0,0,0.0,0,0
44,2017,2017-09-17,2,25.137,MIN,@,PIT,L 9-26,,3,16,5.33,0,5,3,9,3.00,0,60.0%,1.80,0,0,,0,0,0,,0,0,,,2,52,26.00,0,,0,0,0.0,0,0
45,2017,2017-09-24,3,25.144,MIN,,TAM,W 34-17,,2,5,2.50,0,2,2,-1,-0.50,0,100.0%,-0.50,0,0,,0,0,0,,0,0,,,1,20,20.00,0,,0,0,0.0,0,0
46,2017,2017-10-01,4,25.151,MIN,,DET,L 7-14,,2,0,0.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,3,81,27.00,0,,0,0,0.0,0,0
47,2017,2017-10-09,5,25.159,MIN,@,CHI,W 20-17,,16,95,5.94,1,6,6,51,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,2,51,25.50,0,,1,6,0.0,0,0
48,2017,2017-10-15,6,25.165,MIN,,GNB,W 23-10,,15,69,4.60,1,6,5,30,6.00,1,83.3%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
49,2017,2017-10-22,7,25.172,MIN,,BAL,W 24-16,,14,47,3.36,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
50,2017,2017-10-29,8,25.179,MIN,@,CLE,W 33-16,,14,50,3.57,1,10,6,72,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,8,0.0,0,0
51,2017,2017-11-12,9,25.193,MIN,@,WAS,W 38-30,,10,32,3.20,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
52,2017,2017-11-19,10,25.200,MIN,,LAR,W 24-7,,14,48,3.43,0,7,5,12,2.40,0,71.4%,1.71,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
53,2017,2017-11-23,11,25.204,MIN,@,DET,W 30-23,,13,23,1.77,0,3,1,31,31.00,0,33.3%,10.33,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
54,2017,2017-12-03,12,25.214,MIN,@,ATL,W 14-9,,9,24,2.67,0,5,5,28,5.60,1,100.0%,5.60,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
55,2017,2017-12-10,13,25.221,MIN,@,CAR,L 24-31,,7,46,6.57,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
56,2017,2017-12-17,14,25.228,MIN,,CIN,W 34-7,,9,24,2.67,0,8,7,114,16.29,0,87.5%,14.25,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
57,2017,2017-12-23,15,25.234,MIN,@,GNB,W 16-0,,7,42,6.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
58,2017,2017-12-31,16,25.242,MIN,,CHI,W 23-10,*,12,44,3.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
