ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
63,2015,2016-01-03,16,25.147,PIT,@,CLE,W 28-12,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,4,0,0,0,0
64,2016,2016-09-11,1,26.033,TEN,,MIN,L 16-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
65,2016,2016-09-18,2,26.040,TEN,@,DET,W 16-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
66,2016,2016-09-25,3,26.047,TEN,,OAK,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
67,2016,2016-10-02,4,26.054,TEN,@,HOU,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
68,2016,2016-10-09,5,26.061,TEN,@,MIA,W 30-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
69,2016,2016-10-16,6,26.068,TEN,,CLE,W 28-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
70,2016,2016-10-23,7,26.075,TEN,,IND,L 26-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
71,2016,2016-10-27,8,26.079,TEN,,JAX,W 36-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,6,1,0,0,0
72,2016,2016-11-06,9,26.089,TEN,@,SDG,L 35-43,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
73,2016,2016-11-13,10,26.096,TEN,,GNB,W 47-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
74,2016,2016-11-20,11,26.103,TEN,@,IND,L 17-24,,1,-2,-2.00,0,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,0.0,1,1,0,,0
75,2016,2016-11-27,12,26.110,TEN,@,CHI,W 27-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
76,2016,2016-12-11,13,26.124,TEN,,DEN,W 13-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,6,0,0,0,0
77,2016,2016-12-18,14,26.131,TEN,@,KAN,W 19-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,5,0,0,0,0
78,2016,2016-12-24,15,26.137,TEN,@,JAX,L 17-38,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,8,1,0,0,0
79,2016,2017-01-01,16,26.145,TEN,,HOU,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,2,0,0,0
