ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
68,2005,2005-11-21,10,28.164,MIN,@,GNB,W 20-17,*,,,,
69,2005,2005-11-27,11,28.170,MIN,,CLE,W 24-12,,,,,
70,2005,2005-12-04,12,28.177,MIN,@,DET,W 21-16,,,,,
71,2005,2005-12-11,13,28.184,MIN,,STL,W 27-13,,,,,
72,2005,2005-12-18,14,28.191,MIN,,PIT,L 3-18,,,,,
73,2005,2005-12-25,15,28.198,MIN,@,BAL,L 23-30,*,,,,
74,2005,2006-01-01,16,28.205,MIN,,CHI,W 34-10,*,,,,
75,2006,2006-09-17,2,29.099,MIN,,CAR,W 16-13,,,,,
76,2006,2006-09-24,3,29.106,MIN,,CHI,L 16-19,,,,,
77,2006,2006-10-01,4,29.113,MIN,@,BUF,L 12-17,,1,13,13.00,0
78,2006,2006-10-08,5,29.120,MIN,,DET,W 26-17,,,,,
79,2006,2006-10-22,6,29.134,MIN,@,SEA,W 31-13,,,,,
80,2006,2006-10-30,7,29.142,MIN,,NWE,L 7-31,,,,,
81,2006,2006-11-05,8,29.148,MIN,@,SFO,L 3-9,,,,,
82,2006,2006-11-12,9,29.155,MIN,,GNB,L 17-23,,,,,
83,2006,2006-11-19,10,29.162,MIN,@,MIA,L 20-24,,,,,
84,2006,2006-11-26,11,29.169,MIN,,ARI,W 31-26,*,,,,
85,2006,2006-12-03,12,29.176,MIN,@,CHI,L 13-23,*,,,,
86,2006,2006-12-10,13,29.183,MIN,@,DET,W 30-20,*,,,,
87,2006,2006-12-17,14,29.190,MIN,,NYJ,L 13-26,,,,,
88,2006,2006-12-21,15,29.194,MIN,@,GNB,L 7-9,,,,,
89,2006,2006-12-31,16,29.204,MIN,,STL,L 21-41,,,,,
