ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
22,1976,1976-11-21,11,25.114,DAL,@,ATL,L 10-17,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
23,1976,1976-11-25,12,25.118,DAL,,STL,W 19-14,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
24,1976,1976-12-05,13,25.128,DAL,@,PHI,W 26-7,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
25,1976,1976-12-12,14,25.135,DAL,,WAS,L 14-27,0,0,,0,2,2,100.0,,,,0,2,,,,
26,1977,1977-09-18,1,26.050,DAL,@,MIN,W 16-10,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
27,1977,1977-09-25,2,26.057,DAL,,NYG,W 41-21,0,0,,0,5,5,100.0,2,3,66.7,0,11,0,0,,0
28,1977,1977-10-02,3,26.064,DAL,,TAM,W 23-7,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,,0
29,1977,1977-10-09,4,26.071,DAL,@,STL,W 30-24,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,,0
30,1977,1977-10-16,5,26.078,DAL,,WAS,W 34-16,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
31,1977,1977-10-23,6,26.085,DAL,@,PHI,W 16-10,0,0,,0,1,2,50.0,1,3,33.3,0,4,0,0,,0
32,1977,1977-10-30,7,26.092,DAL,,DET,W 37-0,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,,0
33,1977,1977-11-06,8,26.099,DAL,@,NYG,W 24-10,0,0,,0,3,3,100.0,1,1,100.0,0,6,1,16,16.00,0
34,1977,1977-11-14,9,26.107,DAL,,STL,L 17-24,0,0,,0,2,2,100.0,1,1,100.0,0,5,1,28,28.00,0
35,1977,1977-11-20,10,26.113,DAL,@,PIT,L 13-28,0,0,,0,1,2,50.0,,,,0,1,,,,
36,1977,1977-11-27,11,26.120,DAL,@,WAS,W 14-7,0,0,,0,2,2,100.0,,,,0,2,,,,
37,1977,1977-12-04,12,26.127,DAL,,PHI,W 24-14,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
38,1977,1977-12-12,13,26.135,DAL,@,SFO,W 42-35,0,0,,0,6,6,100.0,,1,0.0,0,6,0,0,,0
39,1977,1977-12-18,14,26.141,DAL,,DEN,W 14-6,0,0,,0,2,2,100.0,,3,0.0,0,2,0,0,,0
40,1978,1978-09-03,1,27.035,SEA,,SDG,L 20-24,0,0,,0,2,3,66.7,,2,0.0,0,2,1,30,30.00,0
41,1978,1978-09-10,2,27.042,SEA,@,PIT,L 10-21,0,0,,0,1,1,100.0,1,2,50.0,0,4,1,30,30.00,0
42,1978,1978-09-17,3,27.049,SEA,@,NYJ,W 24-17,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
43,1978,1978-09-24,4,27.056,SEA,,DET,W 28-16,0,0,,0,4,4,100.0,,,,0,4,,,,
44,1978,1978-10-01,5,27.063,SEA,@,DEN,L 7-28,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
45,1978,1978-10-08,6,27.070,SEA,,MIN,W 29-28,0,0,,0,2,4,50.0,1,1,100.0,0,5,0,0,,0
46,1978,1978-10-15,7,27.077,SEA,@,GNB,L 28-45,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,,0
47,1978,1978-10-22,8,27.084,SEA,,OAK,W 27-7,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
48,1978,1978-10-29,9,27.091,SEA,,DEN,L 17-20,0,0,,0,2,2,100.0,1,2,50.0,0,5,1,13,13.00,0
49,1978,1978-11-05,10,27.098,SEA,@,CHI,W 31-29,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
50,1978,1978-11-12,11,27.105,SEA,,BAL,L 14-17,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
51,1978,1978-11-19,12,27.112,SEA,@,KAN,W 13-10,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
52,1978,1978-11-26,13,27.119,SEA,@,OAK,W 17-16,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
53,1978,1978-12-03,14,27.126,SEA,,CLE,W 47-24,0,0,,0,6,6,100.0,1,1,100.0,0,9,0,0,,0
54,1978,1978-12-10,15,27.133,SEA,@,SDG,L 10-37,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
55,1978,1978-12-17,16,27.140,SEA,,KAN,W 23-19,0,0,,0,2,3,66.7,1,2,50.0,0,5,0,0,,0
56,1979,1979-09-02,1,28.034,SEA,,SDG,L 16-33,0,0,,0,1,2,50.0,1,1,100.0,0,4,0,0,,0
57,1979,1979-09-09,2,28.041,SEA,@,MIA,L 10-19,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
58,1979,1979-09-16,3,28.048,SEA,,OAK,W 27-10,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
59,1979,1979-09-23,4,28.055,SEA,@,DEN,L 34-37,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
60,1979,1979-09-30,5,28.062,SEA,,KAN,L 6-24,0,0,,0,,,,2,3,66.7,0,6,0,0,,0
61,1979,1979-10-07,6,28.069,SEA,@,SFO,W 35-24,0,0,,0,5,5,100.0,,,,0,5,,,,
62,1979,1979-10-14,7,28.076,SEA,@,SDG,L 10-20,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
63,1979,1979-10-21,8,28.083,SEA,,HOU,W 34-14,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
64,1979,1979-10-29,9,28.091,SEA,@,ATL,W 31-28,1,20,20.00,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
65,1979,1979-11-04,10,28.097,SEA,,RAM,L 0-24,,,,,,,,,,,,,,,,
66,1979,1979-11-11,11,28.104,SEA,@,CLE,W 29-24,0,0,,0,2,4,50.0,1,1,100.0,0,5,0,0,,0
67,1979,1979-11-18,12,28.111,SEA,,NOR,W 38-24,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
68,1979,1979-11-26,13,28.119,SEA,,NYJ,W 30-7,0,0,,0,3,3,100.0,3,3,100.0,0,12,0,0,,0
69,1979,1979-12-02,14,28.125,SEA,@,KAN,L 21-37,0,0,,0,3,3,100.0,,,,0,3,,,,
70,1979,1979-12-08,15,28.131,SEA,,DEN,W 28-23,0,0,,0,4,4,100.0,,,,0,4,,,,
71,1979,1979-12-16,16,28.139,SEA,@,OAK,W 29-24,0,0,,0,3,3,100.0,2,2,100.0,0,9,1,36,36.00,0
72,1980,1980-09-07,1,29.039,SEA,,SDG,L 13-34,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
73,1980,1980-09-14,2,29.046,SEA,@,KAN,W 17-16,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
74,1980,1980-09-21,3,29.053,SEA,,NWE,L 31-37,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
75,1980,1980-09-28,4,29.060,SEA,@,WAS,W 14-0,0,0,,0,2,2,100.0,,,,0,2,1,29,29.00,0
76,1980,1980-10-05,5,29.067,SEA,@,HOU,W 26-7,0,0,,0,2,2,100.0,4,5,80.0,0,14,0,0,,0
77,1980,1980-10-12,6,29.074,SEA,,CLE,L 3-27,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
78,1980,1980-10-19,7,29.081,SEA,@,NYJ,W 27-17,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
79,1980,1980-10-26,8,29.088,SEA,@,OAK,L 14-33,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
80,1980,1980-11-02,9,29.095,SEA,,PHI,L 20-27,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
81,1980,1980-11-09,10,29.102,SEA,,KAN,L 30-31,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,,0
82,1980,1980-11-17,11,29.110,SEA,,OAK,L 17-19,1,9,9.00,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
83,1980,1980-11-23,12,29.116,SEA,@,DEN,L 20-36,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
84,1980,1980-11-27,13,29.120,SEA,@,DAL,L 7-51,0,0,,0,1,1,100.0,,,,0,1,,,,
85,1980,1980-12-07,14,29.130,SEA,,NYG,L 21-27,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,,0
86,1980,1980-12-13,15,29.136,SEA,@,SDG,L 14-21,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
87,1980,1980-12-21,16,29.144,SEA,,DEN,L 17-25,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
88,1981,1981-09-06,1,30.038,SEA,@,CIN,L 21-27,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
89,1981,1981-09-13,2,30.045,SEA,,DEN,W 13-10,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
90,1981,1981-09-20,3,30.052,SEA,@,OAK,L 10-20,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
91,1981,1981-09-27,4,30.059,SEA,,KAN,L 14-20,0,0,,0,2,2,100.0,,,,0,2,,,,
92,1981,1981-10-04,5,30.066,SEA,@,SDG,L 10-24,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
93,1981,1981-10-11,6,30.073,SEA,@,HOU,L 17-35,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
94,1981,1981-10-18,7,30.080,SEA,,NYG,L 0-32,,,,,,,,,,,,,,,,
95,1981,1981-10-25,8,30.087,SEA,@,NYJ,W 19-3,0,0,,0,1,3,33.3,,,,0,1,,,,
96,1981,1981-11-01,9,30.094,SEA,@,GNB,L 24-34,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
97,1981,1981-11-08,10,30.101,SEA,,PIT,W 24-21,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
98,1981,1981-11-16,11,30.109,SEA,,SDG,W 44-23,0,0,,0,5,5,100.0,3,3,100.0,0,14,0,0,,0
99,1981,1981-11-22,12,30.115,SEA,@,KAN,L 13-40,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
100,1982,1982-11-21,3,31.114,BUF,,MIA,L 7-9,0,0,,0,1,1,100.0,,,,0,1,,,,
101,1982,1982-11-28,4,31.121,BUF,,BAL,W 20-0,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
102,1982,1982-12-05,5,31.128,BUF,@,GNB,L 21-33,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,,0
103,1982,1982-12-12,6,31.135,BUF,,PIT,W 13-0,0,0,,0,1,1,100.0,2,4,50.0,0,7,0,0,,0
104,1982,1982-12-19,7,31.142,BUF,@,TAM,L 23-24,0,0,,0,2,3,66.7,1,1,100.0,0,5,0,0,,0
105,1982,1982-12-27,8,31.150,BUF,@,MIA,L 10-27,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
106,1982,1983-01-02,9,31.156,BUF,@,NWE,L 19-30,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
