ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
23,1997,1997-11-02,9,23.024,DAL,@,SFO,L 10-17,,0,0,,0,
24,1997,1997-11-09,10,23.031,DAL,,ARI,W 24-6,,0,0,,0,
25,1997,1997-11-16,11,23.038,DAL,,WAS,W 17-14,,0,0,,0,
26,1997,1997-11-23,12,23.045,DAL,@,GNB,L 17-45,,0,0,,0,
27,1997,1997-11-27,13,23.049,DAL,,TEN,L 14-27,,0,0,,0,
28,1997,1997-12-08,14,23.060,DAL,,CAR,L 13-23,,0,0,,0,
29,1997,1997-12-14,15,23.066,DAL,@,CIN,L 24-31,,0,0,,0,
30,1997,1997-12-21,16,23.073,DAL,,NYG,L 7-20,,0,0,,0,1.0
31,1998,1998-09-06,1,23.332,DAL,,ARI,W 38-10,,0,0,,0,1.0
32,1998,1998-09-13,2,23.339,DAL,@,DEN,L 23-42,,,,,,
33,1998,1998-09-21,3,23.347,DAL,@,NYG,W 31-7,,,,,,
34,1998,1998-09-27,4,23.353,DAL,,OAK,L 12-13,,0,0,,0,1.0
35,1998,1998-10-04,5,23.360,DAL,@,WAS,W 31-10,,0,0,,0,1.0
36,1998,1998-10-11,6,24.002,DAL,,CAR,W 27-20,,0,0,,0,1.0
37,1998,1998-10-18,7,24.009,DAL,@,CHI,L 12-13,,0,0,,0,1.0
38,1998,1998-11-02,8,24.024,DAL,@,PHI,W 34-0,,,,,,
39,1998,1998-11-08,9,24.030,DAL,,NYG,W 16-6,,,,,,
40,1998,1998-11-15,10,24.037,DAL,@,ARI,W 35-28,,,,,,
41,1998,1998-11-22,11,24.044,DAL,,SEA,W 30-22,,0,0,,0,1.0
42,1998,1998-11-26,12,24.048,DAL,,MIN,L 36-46,,,,,,
43,1998,1998-12-06,13,24.058,DAL,@,NOR,L 3-22,,,,,,
44,1998,1998-12-13,14,24.065,DAL,@,KAN,L 17-20,,,,,,
45,1998,1998-12-20,15,24.072,DAL,,PHI,W 13-9,,,,,,
46,1999,1999-09-12,1,24.338,DAL,@,WAS,W 41-35,*,,,,,
47,1999,1999-09-20,2,24.346,DAL,,ATL,W 24-7,*,,,,,
48,1999,1999-10-03,3,24.359,DAL,,ARI,W 35-7,*,,,,,
49,1999,1999-10-10,4,25.001,DAL,@,PHI,L 10-13,*,,,,,
50,1999,1999-10-18,5,25.009,DAL,@,NYG,L 10-13,*,0,0,,0,1.0
51,1999,1999-10-24,6,25.015,DAL,,WAS,W 38-20,*,,,,,
52,1999,1999-10-31,7,25.022,DAL,@,IND,L 24-34,*,,,,,
53,1999,1999-11-08,8,25.030,DAL,@,MIN,L 17-27,*,0,0,,0,1.0
54,1999,1999-11-14,9,25.036,DAL,,GNB,W 27-13,*,0,0,,0,1.0
55,1999,1999-11-21,10,25.043,DAL,@,ARI,L 9-13,*,,,,,
56,1999,1999-11-25,11,25.047,DAL,,MIA,W 20-0,*,,,,,
57,1999,1999-12-05,12,25.057,DAL,@,NWE,L 6-13,*,,,,,
58,1999,1999-12-12,13,25.064,DAL,,PHI,W 20-10,*,,,,,
59,1999,1999-12-19,14,25.071,DAL,,NYJ,L 21-22,*,,,,,
60,1999,1999-12-24,15,25.076,DAL,@,NOR,L 24-31,*,,,,,
61,1999,2000-01-02,16,25.085,DAL,,NYG,W 26-18,*,,,,,
62,2000,2000-09-04,1,25.331,DEN,@,STL,L 36-41,*,0,0,,0,1.0
63,2000,2000-09-17,3,25.344,DEN,@,OAK,W 33-24,*,0,0,,0,2.0
64,2000,2000-09-24,4,25.351,DEN,,KAN,L 22-23,,0,0,,0,1.0
65,2000,2000-10-01,5,25.358,DEN,,NWE,L 19-28,,,,,,
66,2000,2000-10-08,6,25.365,DEN,@,SDG,W 21-7,*,,,,,
67,2000,2000-10-15,7,26.006,DEN,,CLE,W 44-10,*,0,0,,0,2.0
68,2000,2000-10-22,8,26.013,DEN,@,CIN,L 21-31,*,,,,,
69,2000,2000-11-05,9,26.027,DEN,@,NYJ,W 30-23,*,,,,,
70,2000,2000-11-13,10,26.035,DEN,,OAK,W 27-24,,,,,,
71,2000,2000-11-19,11,26.041,DEN,,SDG,W 38-37,,,,,,
72,2000,2000-11-26,12,26.048,DEN,@,SEA,W 38-31,,,,,,
73,2000,2000-12-03,13,26.055,DEN,@,NOR,W 38-23,,,,,,
74,2000,2000-12-10,14,26.062,DEN,,SEA,W 31-24,,,,,,
75,2000,2000-12-17,15,26.069,DEN,@,KAN,L 7-20,,,,,,
76,2000,2000-12-23,16,26.075,DEN,,SFO,W 38-9,,0,0,,0,1.0
77,2001,2001-09-10,1,26.336,DEN,,NYG,W 31-20,*,,,,,
78,2001,2001-09-23,2,26.349,DEN,@,ARI,W 38-17,*,,,,,
79,2001,2001-09-30,3,26.356,DEN,,BAL,L 13-20,*,,,,,
80,2001,2001-10-07,4,26.363,DEN,,KAN,W 20-6,*,,,,,
81,2001,2001-10-14,5,27.005,DEN,@,SEA,L 21-34,*,,,,,
82,2001,2001-10-21,6,27.012,DEN,@,SDG,L 10-27,*,,,,,
83,2001,2001-10-28,7,27.019,DEN,,NWE,W 31-20,*,0,0,,0,1.0
84,2001,2001-11-05,8,27.027,DEN,@,OAK,L 28-38,*,,,,,
85,2001,2001-11-11,9,27.033,DEN,,SDG,W 26-16,*,,,,,
86,2001,2001-11-18,10,27.040,DEN,,WAS,L 10-17,*,,,,,
87,2001,2001-11-22,11,27.044,DEN,@,DAL,W 26-24,*,,,,,
88,2001,2001-12-02,12,27.054,DEN,@,MIA,L 10-21,*,,,,,
89,2001,2001-12-09,13,27.061,DEN,,SEA,W 20-7,*,,,,,
90,2001,2001-12-16,14,27.068,DEN,@,KAN,L 23-26,*,,,,,
91,2002,2002-09-08,1,27.334,DEN,,STL,W 23-16,*,,,,,
92,2002,2002-09-15,2,27.341,DEN,@,SFO,W 24-14,*,,,,,
93,2002,2002-09-22,3,27.348,DEN,,BUF,W 28-23,*,,,,,
94,2002,2002-09-30,4,27.356,DEN,@,BAL,L 23-34,*,,,,,
95,2002,2002-10-06,5,27.362,DEN,,SDG,W 26-9,*,,,,,
96,2002,2002-10-13,6,28.004,DEN,,MIA,L 22-24,*,,,,,
97,2002,2002-10-20,7,28.011,DEN,@,KAN,W 37-34,*,,,,,
98,2002,2002-10-27,8,28.018,DEN,@,NWE,W 24-16,*,,,,,
99,2002,2002-11-11,9,28.033,DEN,,OAK,L 10-34,*,,,,,
100,2002,2002-11-17,10,28.039,DEN,@,SEA,W 31-9,*,,,,,
101,2002,2002-11-24,11,28.046,DEN,,IND,L 20-23,*,,,,,
102,2002,2002-12-01,12,28.053,DEN,@,SDG,L 27-30,*,,,,,
103,2002,2002-12-08,13,28.060,DEN,@,NYJ,L 13-19,*,,,,,
104,2002,2002-12-15,14,28.067,DEN,,KAN,W 31-24,*,,,,,
105,2002,2002-12-22,15,28.074,DEN,@,OAK,L 16-28,,,,,,
106,2002,2002-12-29,16,28.081,DEN,,ARI,W 37-7,*,,,,,
107,2003,2003-09-07,1,28.333,CAR,,JAX,W 24-23,,,,,,
108,2003,2003-09-14,2,28.340,CAR,@,TAM,W 12-9,,,,,,
