ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks
85,1978,1978-10-15,7,29.095,CIN,,NWE,L 3-10,,,,,,,,,
86,1978,1978-10-29,9,29.109,DET,@,CHI,W 21-17,,,,,,,,,
87,1978,1978-11-05,10,29.116,DET,@,MIN,L 7-17,,,,,,,,,
88,1978,1978-11-12,11,29.123,DET,,TAM,W 34-23,,,,,,,,,
89,1978,1978-11-19,12,29.130,DET,@,OAK,L 17-29,,,,,,,,,
90,1978,1978-11-23,13,29.134,DET,,DEN,W 17-14,,,,,,,,,
91,1978,1978-12-03,14,29.144,DET,@,STL,L 14-21,,,,,,,,,
92,1978,1978-12-09,15,29.150,DET,,MIN,W 45-14,,,,,,,,,
93,1978,1978-12-17,16,29.158,DET,,SFO,W 33-14,,,,,,,,,
94,1979,1979-09-01,1,30.051,DET,@,TAM,L 16-31,,,,,,,,,
95,1979,1979-09-09,2,30.059,DET,,WAS,L 24-27,,,,,,,,,
96,1979,1979-09-16,3,30.066,DET,@,NYJ,L 10-31,,,,,,,,,
97,1979,1979-09-23,4,30.073,DET,,ATL,W 24-23,,,,,,,,,
98,1979,1979-09-30,5,30.080,DET,,MIN,L 10-13,,,,,,,,,
99,1979,1979-10-07,6,30.087,DET,@,NWE,L 17-24,,,,,,,,,
100,1979,1979-10-14,7,30.094,DET,@,GNB,L 16-24,,,,,,,,,
101,1979,1979-10-28,9,30.108,DET,,BUF,L 17-20,,,,,,,,,
102,1979,1979-11-04,10,30.115,DET,@,CHI,L 7-35,,,,,,,,,
103,1979,1979-11-11,11,30.122,DET,,TAM,L 14-16,,,,,,,,,
104,1979,1979-11-18,12,30.129,DET,@,MIN,L 7-14,,,,,,,,,
105,1979,1979-11-22,13,30.133,DET,,CHI,W 20-0,,,,,,,,,
106,1979,1979-12-02,14,30.143,DET,@,PHI,L 7-44,,,,,,,,,
107,1979,1979-12-09,15,30.150,DET,,MIA,L 10-28,,,,,,,,,
108,1979,1979-12-15,16,30.156,DET,,GNB,L 13-18,,,,,,,,,
109,1980,1980-09-07,1,31.057,DET,@,RAM,W 41-20,,,,,,,,,
110,1980,1980-09-14,2,31.064,DET,@,GNB,W 29-7,,,,,,,,,
111,1980,1980-09-21,3,31.071,DET,,STL,W 20-7,,,,,,,,,
112,1980,1980-09-28,4,31.078,DET,,MIN,W 27-7,,,,,,,,,
113,1980,1980-10-05,5,31.085,DET,@,ATL,L 28-43,,,,,,,,,
114,1980,1980-10-12,6,31.092,DET,,NOR,W 24-13,,,,,,,,,
115,1980,1980-10-19,7,31.099,DET,@,CHI,L 7-24,,,,,,,,,
116,1980,1980-10-26,8,31.106,DET,@,KAN,L 17-20,,,,,,,,,
117,1980,1980-11-02,9,31.113,DET,,SFO,W 17-13,,,,,,,,,
118,1980,1980-11-09,10,31.120,DET,@,MIN,L 0-34,,,,,,,,,
119,1980,1980-11-16,11,31.127,DET,,BAL,L 9-10,,,,,,,,,
120,1980,1980-11-23,12,31.134,DET,@,TAM,W 24-10,,,,,,,,,
121,1980,1980-11-27,13,31.138,DET,,CHI,L 17-23,,,,,,,,,
122,1980,1980-12-07,14,31.148,DET,@,STL,L 23-24,,,,,,,,,
123,1980,1980-12-14,15,31.155,DET,,TAM,W 27-14,,,,,,,,,
124,1980,1980-12-21,16,31.162,DET,,GNB,W 24-3,,,,,,,,,
125,1981,1981-09-06,1,32.056,DET,,SFO,W 24-17,,,,,,,,,
126,1981,1981-09-13,2,32.063,DET,@,SDG,L 23-28,,,,,,,,,
127,1981,1981-09-27,4,32.077,DET,,OAK,W 16-0,,,,,,,,,
128,1981,1981-10-04,5,32.084,DET,@,TAM,L 10-28,,,,,,,,,
129,1981,1981-10-11,6,32.091,DET,@,DEN,L 21-27,,,,,,,,,
130,1981,1981-10-19,7,32.099,DET,,CHI,W 48-17,,,,,,,,,
131,1981,1981-10-25,8,32.105,DET,,GNB,W 31-27,,,,,,,,,
132,1981,1981-11-01,9,32.112,DET,@,RAM,L 13-20,,,,,,,,,
133,1981,1981-11-08,10,32.119,DET,@,WAS,L 31-33,,,,,,,,,
134,1981,1981-11-15,11,32.126,DET,,DAL,W 27-24,,,,,,,,,
135,1981,1981-11-22,12,32.133,DET,@,CHI,W 23-7,,,,,,,,,
136,1981,1981-11-26,13,32.137,DET,,KAN,W 27-10,,,,,,,,,
137,1981,1981-12-06,14,32.147,DET,@,GNB,L 17-31,,,,,,,,,
138,1981,1981-12-12,15,32.153,DET,,MIN,W 45-7,,,,,,,,,
139,1981,1981-12-20,16,32.161,DET,,TAM,L 17-20,,,,,,,,,
140,1982,1982-09-12,1,33.062,DET,,CHI,W 17-10,,,,,,,0,0,1.0
141,1982,1982-09-19,2,33.069,DET,@,RAM,W 19-14,,,,,,,0,0,1.0
142,1982,1982-11-21,3,33.132,DET,@,CHI,L 17-20,,,,,,,0,0,1.0
143,1982,1982-11-25,4,33.136,DET,,NYG,L 6-13,,,,,,,,,
144,1982,1982-12-06,5,33.147,DET,,NYJ,L 13-28,,,,,,,0,0,1.0
145,1982,1982-12-12,6,33.153,DET,@,GNB,W 30-10,,,,,,,0,0,1.0
146,1982,1982-12-19,7,33.160,DET,,MIN,L 31-34,,,,,,,0,0,1.0
147,1982,1982-12-26,8,33.167,DET,@,TAM,L 21-23,,,,,,,0,0,1.0
148,1982,1983-01-02,9,33.174,DET,,GNB,W 27-24,,,,,,,,,
