ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
66,1984,1984-09-23,4,28.007,CLE,,PIT,W 20-10,,,,,,,,,,,,
67,1984,1984-09-30,5,28.014,CLE,@,KAN,L 6-10,,,,,,,,,,,,
68,1984,1984-10-07,6,28.021,CLE,,NWE,L 16-17,,,,,,,,,,,,
69,1984,1984-10-14,7,28.028,CLE,,NYJ,L 20-24,,,,,,,,,,,,
70,1984,1984-10-21,8,28.035,CLE,@,CIN,L 9-12,,,,,,,,,,,,
71,1984,1984-10-28,9,28.042,CLE,,NOR,L 14-16,,,,,,,,,,,,
72,1984,1984-11-04,10,28.049,CLE,@,BUF,W 13-10,,,,,,,,,,,,
73,1984,1984-11-11,11,28.056,CLE,,SFO,L 7-41,,,,,,,,,,,,
74,1984,1984-11-18,12,28.063,CLE,@,ATL,W 23-7,,,,,,,,,,,,
75,1984,1984-11-25,13,28.070,CLE,,HOU,W 27-10,,,,,,,,,,,,
76,1984,1984-12-02,14,28.077,CLE,,CIN,L 17-20,,,,,,,,,,,,
77,1984,1984-12-09,15,28.084,CLE,@,PIT,L 20-23,,,,,,,,,,,,
78,1984,1984-12-16,16,28.091,CLE,@,HOU,W 27-20,,,,,,,,,,,,
79,1985,1985-09-08,1,28.357,CLE,,STL,L 24-27,0,0,,0,0,0,,0,1.0,0,0,0
80,1985,1985-09-16,2,29.000,CLE,,PIT,W 17-7,0,0,,0,0,0,,0,1.0,1,9,0
81,1985,1985-09-22,3,29.006,CLE,@,DAL,L 7-20,,,,,,,,,,,,
82,1985,1985-09-29,4,29.013,CLE,@,SDG,W 21-7,,,,,,,,,,,,
83,1985,1985-10-06,5,29.020,CLE,,NWE,W 24-20,,,,,,,,,,,,
84,1985,1985-10-13,6,29.027,CLE,@,HOU,W 21-6,,,,,,,,,,,,
85,1985,1985-10-20,7,29.034,CLE,,RAI,L 20-21,,,,,,,,,,,,
86,1985,1985-10-27,8,29.041,CLE,,WAS,L 7-14,,,,,,,,,,,,
87,1985,1985-11-03,9,29.048,CLE,@,PIT,L 9-10,,,,,,,,,,,,
88,1985,1985-11-10,10,29.055,CLE,@,CIN,L 10-27,,,,,,,,,,,,
89,1985,1985-11-17,11,29.062,CLE,,BUF,W 17-7,,,,,,,,,,,,
90,1985,1985-11-24,12,29.069,CLE,,CIN,W 24-6,,,,,,,,,,,,
91,1985,1985-12-01,13,29.076,CLE,@,NYG,W 35-33,,,,,,,,,,,,
92,1985,1985-12-08,14,29.083,CLE,@,SEA,L 13-31,,,,,,,,,,,,
93,1985,1985-12-15,15,29.090,CLE,,HOU,W 28-21,,,,,,,,,,,,
94,1985,1985-12-22,16,29.097,CLE,@,NYJ,L 10-37,0,0,,0,0,0,,0,1.0,0,0,0
