ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
45,1974,1974-12-08,13,26.057,BUF,@,NYJ,L 10-20,,,,,,,,,,,,,,,,,
46,1974,1974-12-15,14,26.064,BUF,@,RAM,L 14-19,,,,,,,,,,,,,,,,,
47,1975,1975-09-21,1,26.344,BUF,,NYJ,W 42-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
48,1975,1975-09-28,2,26.351,BUF,@,PIT,W 30-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,4,0
49,1975,1975-10-05,3,26.358,BUF,,DEN,W 38-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,37,0
50,1975,1975-10-12,4,27.000,BUF,@,BAL,W 38-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0
51,1975,1975-10-20,5,27.008,BUF,,NYG,L 14-17,,,,,,,,,,,,,,,,,
52,1975,1975-10-26,6,27.014,BUF,,MIA,L 30-35,,,,,,,,,,,,,,,,,
53,1975,1975-11-02,7,27.021,BUF,@,NYJ,W 24-23,,,,,,,,,,,,,,,,,
54,1975,1975-11-09,8,27.028,BUF,,BAL,L 35-42,,,,,,,,,,,,,,,,,
55,1975,1975-11-17,9,27.036,BUF,@,CIN,L 24-33,,,,,,,,,,,,,,,,,
56,1975,1975-11-27,11,27.046,BUF,@,STL,W 32-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,4,0
57,1975,1975-12-07,12,27.056,BUF,@,MIA,L 21-31,,,,,,,,,,,,,,,,,
58,1975,1975-12-14,13,27.063,BUF,@,NWE,W 34-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,40,0
59,1975,1975-12-20,14,27.069,BUF,,MIN,L 13-35,,,,,,,,,,,,,,,,,
60,1976,1976-09-13,1,27.337,BUF,,MIA,L 21-30,,,,,,,,,,,,,,,,,
61,1976,1976-09-19,2,27.343,BUF,,HOU,L 3-13,,,,,,,,,,,,,,,,,
62,1976,1976-09-26,3,27.350,BUF,@,TAM,W 14-9,,,,,,,,,,,,,,,,,
63,1976,1976-10-03,4,27.357,BUF,,KAN,W 50-17,,,,,,,,,,,,,,,,,
64,1976,1976-10-10,5,27.364,BUF,@,NYJ,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,18,0
65,1976,1976-10-17,6,28.005,BUF,,BAL,L 13-31,,,,,,,,,,,,,,,,,
66,1976,1976-10-24,7,28.012,BUF,,NWE,L 22-26,,,,,,,,,,,,,,,,,
67,1976,1976-10-31,8,28.019,BUF,,NYJ,L 14-19,,,,,,,,,,,,,,,,,
68,1976,1976-11-07,9,28.026,BUF,@,NWE,L 10-20,,,,,,,,,,,,,,,,,
69,1976,1976-11-15,10,28.034,BUF,@,DAL,L 10-17,,,,,,,,,,,,,,,,,
70,1976,1976-11-25,12,28.044,BUF,@,DET,L 14-27,,,,,,,,,,,,,,,,,
71,1976,1976-12-12,14,28.061,BUF,@,BAL,L 20-58,,,,,,,,,,,,,,,,,
72,1977,1977-09-18,1,28.341,BUF,,MIA,L 0-13,,,,,,,,,,,,,,,,,
73,1977,1977-09-25,2,28.348,BUF,@,DEN,L 6-26,,,,,,,,,,,,,,,,,
74,1977,1977-10-02,3,28.355,BUF,@,BAL,L 14-17,,,,,,,,,,,,,,,,,
75,1977,1977-10-09,4,28.362,BUF,,NYJ,L 19-24,,,,,,,,,,,,,,,,,
76,1977,1977-10-16,5,29.004,BUF,,ATL,W 3-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
77,1977,1977-11-06,8,29.025,BUF,@,NWE,W 24-14,,,,,,,,,,,,,,,,,
78,1977,1977-11-13,9,29.032,BUF,,BAL,L 13-31,,,,,,,,,,,,,,,,,
79,1977,1977-11-20,10,29.039,BUF,,NWE,L 7-20,,,,,,,,,,,,,,,,,
80,1977,1977-11-28,11,29.047,BUF,@,OAK,L 13-34,,,,,,,,,,,,,,,,,
81,1977,1977-12-04,12,29.053,BUF,,WAS,L 0-10,,,,,,,,,,,,,,,,,
82,1977,1977-12-11,13,29.060,BUF,@,NYJ,W 14-10,,,,,,,,,,,,,,,,,
83,1977,1977-12-17,14,29.066,BUF,@,MIA,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
84,1978,1978-09-04,1,29.327,BAL,@,DAL,L 0-38,,,,,,,,,,,,,,,,,
85,1978,1978-09-10,2,29.333,BAL,,MIA,L 0-42,,,,,,,,,,,,,,,,,
86,1978,1978-09-18,3,29.341,BAL,@,NWE,W 34-27,,,,,,,,,,,,,,,,,
87,1978,1978-09-24,4,29.347,BAL,@,BUF,L 17-24,,,,,,,,,,,,,,,,,
88,1978,1978-10-01,5,29.354,BAL,,PHI,L 14-17,,,,,,,,,,,,,,,,,
89,1978,1978-10-08,6,29.361,BAL,@,STL,W 30-17,,,,,,,,,,,,,,,,,
90,1978,1978-10-15,7,30.003,BAL,,NYJ,L 10-33,,,,,,,,,,,,,,,,,
91,1978,1978-10-22,8,30.010,BAL,,DEN,W 7-6,,,,,,,,,,,,,,,,,
92,1978,1978-10-29,9,30.017,BAL,@,MIA,L 8-26,,,,,,,,,,,,,,,,,
93,1978,1978-11-06,10,30.025,BAL,,WAS,W 21-17,,,,,,,,,,,,,,,,,
94,1978,1978-11-19,12,30.038,BAL,,CLE,L 24-45,,,,,,,,,,,,,,,,,
95,1978,1978-11-26,13,30.045,BAL,,NWE,L 14-35,,,,,,,,,,,,,,,,,
96,1978,1978-12-03,14,30.052,BAL,@,NYJ,L 16-24,,,,,,,,,,,,,,,,,
97,1978,1978-12-09,15,30.058,BAL,@,PIT,L 13-35,,,,,,,,,,,,,,,,,
98,1978,1978-12-17,16,30.066,BAL,,BUF,L 14-21,,,,,,,,,,,,,,,,,
99,1979,1979-09-02,1,30.325,BAL,@,KAN,L 0-14,,,,,,,,,,,,,,,,,
100,1979,1979-09-09,2,30.332,BAL,,TAM,L 26-29,,,,,,,,,,,,,,,,,
101,1979,1979-09-16,3,30.339,BAL,@,CLE,L 10-13,,,,,,,,,,,,,,,,,
102,1979,1979-09-23,4,30.346,BAL,@,PIT,L 13-17,,,,,,,,,,,,,,,,,
103,1979,1979-10-07,6,30.360,BAL,,NYJ,W 10-8,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
104,1979,1979-10-14,7,31.002,BAL,,HOU,L 16-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
105,1979,1979-10-21,8,31.009,BAL,@,BUF,W 14-13,,,,,,,,,,,,,,,,,
106,1980,1980-09-07,1,31.331,OAK,@,KAN,W 27-14,,,,,,,,,,,,,,,,,
107,1980,1980-09-14,2,31.338,OAK,@,SDG,L 24-30,,,,,,,,,,,,,,,,,
108,1980,1980-09-21,3,31.345,OAK,,WAS,W 24-21,,,,,,,,,,,,,,,,,
