ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
44,2007,2007-09-23,3,23.308,ATL,,CAR,L 20-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
45,2007,2007-09-30,4,23.315,ATL,,HOU,W 26-16,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
46,2007,2007-10-07,5,23.322,ATL,@,TEN,L 13-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
47,2007,2007-10-15,6,23.330,ATL,,NYG,L 10-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,33,0
48,2007,2007-10-21,7,23.336,ATL,@,NOR,L 16-22,*,0,,,,,0.0%,,,,,,,,,,,,,,,0,7,0
49,2007,2007-11-04,8,23.350,ATL,,SFO,W 20-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,18,0
50,2007,2007-11-11,9,23.357,ATL,@,CAR,W 20-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
51,2007,2007-11-18,10,23.364,ATL,,TAM,L 7-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
52,2007,2007-11-22,11,24.003,ATL,,IND,L 13-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,3,0
53,2007,2007-12-02,12,24.013,ATL,@,STL,L 16-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
54,2007,2007-12-10,13,24.021,ATL,,NOR,L 14-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
55,2007,2007-12-16,14,24.027,ATL,@,TAM,L 3-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
56,2007,2007-12-23,15,24.034,ATL,@,ARI,L 27-30,*,0,0,0,,0,0.0%,,0,0,,0,3,37,12.33,0,0,0,0.0,,,0,0,0
57,2007,2007-12-30,16,24.041,ATL,,SEA,W 44-41,*,0,0,0,,0,0.0%,,0,0,,0,2,4,2.00,0,0,0,0.0,,,0,0,0
58,2008,2008-09-08,1,24.294,OAK,,DEN,L 14-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
59,2008,2008-09-14,2,24.300,OAK,@,KAN,W 23-8,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
60,2008,2008-09-21,3,24.307,OAK,@,BUF,L 23-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.5,4,2,1,0,0
61,2008,2008-09-28,4,24.314,OAK,,SDG,L 18-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,21,0
62,2008,2008-10-12,5,24.328,OAK,@,NOR,L 3-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
63,2008,2008-10-19,6,24.335,OAK,,NYJ,W 16-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,0,1,10,0
64,2008,2008-10-26,7,24.342,OAK,@,BAL,L 10-29,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
65,2008,2008-11-02,8,24.349,OAK,,ATL,L 0-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
66,2008,2008-11-16,10,24.363,WAS,,DAL,L 10-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,1,2,0
67,2008,2008-11-23,11,25.004,WAS,@,SEA,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,
68,2008,2008-11-30,12,25.011,WAS,,NYG,L 7-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,1,4,0
69,2008,2008-12-07,13,25.018,WAS,@,BAL,L 10-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
70,2008,2008-12-14,14,25.025,WAS,@,CIN,L 13-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
71,2008,2008-12-21,15,25.032,WAS,,PHI,W 10-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
72,2008,2008-12-28,16,25.039,WAS,@,SFO,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
73,2009,2009-09-13,1,25.298,WAS,@,NYG,L 17-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,1,1,18,0
74,2009,2009-09-20,2,25.305,WAS,,STL,W 9-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
75,2009,2009-09-27,3,25.312,WAS,@,DET,L 14-19,*,,,,,,0.0%,,,,,,,,,,,,,,,,,
76,2009,2009-10-04,4,25.319,WAS,,TAM,W 16-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,1,22,0
77,2009,2009-10-11,5,25.326,WAS,@,CAR,L 17-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,2,1,44,0
78,2009,2009-10-18,6,25.333,WAS,,KAN,L 6-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
79,2009,2009-10-26,7,25.341,WAS,,PHI,L 17-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
80,2009,2009-11-08,8,25.354,WAS,@,ATL,L 17-31,*,0,0,0,,0,0.0%,,0,0,,0,1,-2,-2.00,0,0,0,0.0,2,0,0,0,0
81,2009,2009-11-15,9,25.361,WAS,,DEN,W 27-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,1,30,0
82,2009,2009-11-22,10,26.003,WAS,@,DAL,L 6-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
83,2009,2009-12-21,14,26.032,WAS,,NYG,L 12-45,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
84,2009,2009-12-27,15,26.038,WAS,,DAL,L 0-17,*,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,6,1,0,0,0
85,2009,2010-01-03,16,26.045,WAS,@,SDG,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
86,2010,2010-09-12,1,26.297,WAS,,DAL,W 13-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,7,1,0,0,0
87,2010,2010-09-19,2,26.304,WAS,,HOU,L 27-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,9,0,0,0
88,2010,2010-09-26,3,26.311,WAS,@,STL,L 16-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,1,0,0,0
89,2010,2010-10-03,4,26.318,WAS,@,PHI,W 17-12,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,1,0,0
90,2010,2010-10-10,5,26.325,WAS,,GNB,W 16-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,6,0,0,0
91,2010,2010-10-17,6,26.332,WAS,,IND,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
92,2010,2010-10-24,7,26.339,WAS,@,CHI,W 17-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,7,0,4,92,1
93,2010,2010-10-31,8,26.346,WAS,@,DET,L 25-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,2,1,0,0
94,2010,2010-11-15,9,26.361,WAS,,PHI,L 28-59,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,3,0,0,0
95,2010,2010-11-21,10,27.002,WAS,@,TEN,W 19-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
96,2010,2010-11-28,11,27.009,WAS,,MIN,L 13-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
97,2010,2010-12-05,12,27.016,WAS,@,NYG,L 7-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
98,2010,2010-12-12,13,27.023,WAS,,TAM,L 16-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
99,2010,2010-12-19,14,27.030,WAS,@,DAL,L 30-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
100,2010,2010-12-26,15,27.037,WAS,@,JAX,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
101,2010,2011-01-02,16,27.044,WAS,,NYG,L 14-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
102,2011,2011-09-11,1,27.296,WAS,,NYG,W 28-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
103,2011,2011-09-18,2,27.303,WAS,,ARI,W 22-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,3,0,0,0
104,2011,2011-09-26,3,27.311,WAS,@,DAL,L 16-18,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
105,2011,2011-10-02,4,27.317,WAS,@,STL,W 17-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
106,2011,2011-10-16,5,27.331,WAS,,PHI,L 13-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,4,1,5,0
107,2011,2011-10-23,6,27.338,WAS,@,CAR,L 20-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
108,2011,2011-10-30,7,27.345,WAS,@,BUF,L 0-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
109,2011,2011-11-06,8,27.352,WAS,,SFO,L 11-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,6,0,0,0
110,2011,2011-11-13,9,27.359,WAS,@,MIA,L 9-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
111,2011,2011-11-20,10,28.001,WAS,,DAL,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,3,0,0,0
112,2011,2011-11-27,11,28.008,WAS,@,SEA,W 23-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,1,3,0
113,2011,2011-12-04,12,28.015,WAS,,NYJ,L 19-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
114,2011,2011-12-11,13,28.022,WAS,,NWE,L 27-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
115,2011,2011-12-18,14,28.029,WAS,@,NYG,W 23-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,1,26,0
116,2011,2011-12-24,15,28.035,WAS,,MIN,L 26-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
117,2011,2012-01-01,16,28.043,WAS,@,PHI,L 10-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,12,0
118,2012,2012-09-09,1,28.295,WAS,@,NOR,W 40-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,2,1,0,0,0
119,2012,2012-09-16,2,28.302,WAS,@,STL,L 28-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
120,2012,2012-09-23,3,28.309,WAS,,CIN,L 31-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,3,0,0,0
121,2012,2012-09-30,4,28.316,WAS,@,TAM,W 24-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,1,13,0
122,2012,2012-10-07,5,28.323,WAS,,ATL,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,5,0,0,0
123,2012,2012-10-14,6,28.330,WAS,,MIN,W 38-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,4,1,0,0
124,2012,2012-10-21,7,28.337,WAS,@,NYG,L 23-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
125,2012,2012-10-28,8,28.344,WAS,@,PIT,L 12-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
126,2012,2012-11-04,9,28.351,WAS,,CAR,L 13-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,3,0,0,0
127,2012,2012-11-18,10,28.365,WAS,,PHI,W 31-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,1,1,22,0
128,2012,2012-11-22,11,29.003,WAS,@,DAL,W 38-31,*,0,0,0,,0,0.0%,,1,43,43.00,0,0,0,,0,0,0,0.0,2,1,1,27,0
129,2012,2012-12-03,12,29.014,WAS,,NYG,W 17-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
130,2012,2012-12-09,13,29.020,WAS,,BAL,W 31-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,3,0,0,0
131,2012,2012-12-16,14,29.027,WAS,@,CLE,W 38-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
132,2012,2012-12-23,15,29.034,WAS,@,PHI,W 27-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
133,2012,2012-12-30,16,29.041,WAS,,DAL,W 28-18,*,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,2,1,0,0,0
134,2013,2013-09-09,1,29.294,WAS,,PHI,L 27-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,6,0.0,3,3,0,0,0
135,2013,2013-09-15,2,29.300,WAS,@,GNB,L 20-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,2,0,0,0
136,2013,2013-09-22,3,29.307,WAS,,DET,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,6,0.0,3,1,1,17,1
137,2013,2013-09-29,4,29.314,WAS,@,OAK,W 24-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,2,0,0,0
138,2013,2013-10-13,5,29.328,WAS,@,DAL,L 16-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,2,0,0,0
139,2013,2013-10-20,6,29.335,WAS,,CHI,W 45-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
140,2013,2013-10-27,7,29.342,WAS,@,DEN,L 21-45,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,6,0.0,4,0,2,26,1
141,2013,2013-11-03,8,29.349,WAS,,SDG,W 30-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
142,2013,2013-11-07,9,29.353,WAS,@,MIN,L 27-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,4,0,0,0
143,2013,2013-11-17,10,29.363,WAS,@,PHI,L 16-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
144,2013,2013-11-25,11,30.006,WAS,,SFO,L 6-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
145,2013,2013-12-01,12,30.012,WAS,,NYG,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,2,0,0,0
146,2013,2013-12-08,13,30.019,WAS,,KAN,L 10-45,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
147,2013,2013-12-15,14,30.026,WAS,@,ATL,L 26-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
148,2013,2013-12-22,15,30.033,WAS,,DAL,L 23-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,6,0
149,2013,2013-12-29,16,30.040,WAS,@,NYG,L 6-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
150,2014,2014-09-07,1,30.292,WAS,@,HOU,L 6-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,1,0,0,0
151,2014,2014-09-14,2,30.299,WAS,,JAX,W 41-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
152,2014,2014-09-21,3,30.306,WAS,@,PHI,L 34-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
153,2015,2015-09-13,1,31.298,WAS,,MIA,L 10-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
154,2015,2015-09-20,2,31.305,WAS,,STL,W 24-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
155,2015,2015-09-24,3,31.309,WAS,@,NYG,L 21-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
156,2015,2015-11-15,9,31.361,WAS,,NOR,W 47-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,2,0,0,0
157,2015,2015-11-22,10,32.003,WAS,@,CAR,L 16-44,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
158,2015,2015-11-29,11,32.010,WAS,,NYG,W 20-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
159,2015,2015-12-07,12,32.018,WAS,,DAL,L 16-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
160,2015,2015-12-13,13,32.024,WAS,@,CHI,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
161,2015,2015-12-20,14,32.031,WAS,,BUF,W 35-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,1,0,0,0
162,2015,2015-12-26,15,32.037,WAS,@,PHI,W 38-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,4,0,0,0,0
163,2015,2016-01-03,16,32.045,WAS,@,DAL,W 34-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
164,2016,2016-09-12,1,32.298,WAS,,PIT,L 16-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,3,0,0,0
165,2016,2016-09-18,2,32.304,WAS,,DAL,L 23-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
166,2016,2016-09-25,3,32.311,WAS,@,NYG,W 29-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
167,2017,2017-11-05,8,33.351,WAS,@,SEA,W 17-14,*,0,0,0,,0,0.0%,,0,0,,0,2,7,3.50,0,0,0,0.0,4,1,0,0,0
168,2017,2017-11-12,9,33.358,WAS,,MIN,L 30-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
169,2017,2017-11-19,10,34.000,WAS,@,NOR,L 31-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
170,2017,2017-11-30,12,34.011,WAS,@,DAL,L 14-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
171,2017,2017-12-10,13,34.021,WAS,@,LAC,L 13-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
