ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
13,1988,1988-09-18,3,27.276,DAL,,NYG,L 10-12,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
14,1988,1988-09-25,4,27.283,DAL,,ATL,W 26-20,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
15,1988,1988-10-03,5,27.291,DAL,@,NOR,L 17-20,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
16,1988,1988-10-09,6,27.297,DAL,,WAS,L 17-35,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
17,1988,1988-10-16,7,27.304,DAL,@,CHI,L 7-17,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0,0,,0
18,1988,1988-10-23,8,27.311,DAL,@,PHI,L 23-24,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
19,1988,1988-10-30,9,27.318,DAL,,PHO,L 10-16,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
20,1988,1988-11-06,10,27.325,DAL,@,NYG,L 21-29,,0,0,,0,,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
21,1988,1988-11-13,11,27.332,DAL,,MIN,L 3-43,,0,0,,0,,,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0,0,,0
22,1988,1988-11-20,12,27.339,DAL,,CIN,L 24-38,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
23,1988,1988-11-24,13,27.343,DAL,,HOU,L 17-25,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
24,1988,1988-12-04,14,27.353,DAL,@,CLE,L 21-24,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,,2,0.0,0,3,0,0,,0
25,1988,1988-12-11,15,27.360,DAL,@,WAS,W 24-17,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,1,3,33.3,0,6,0,0,,0
26,1988,1988-12-18,16,28.001,DAL,,PHI,L 7-23,,0,0,,0,,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,
27,1989,1989-09-10,1,28.267,DAL,@,NOR,L 0-28,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,,,,,,,0,0,0,0,,0
28,1989,1989-09-17,2,28.274,DAL,@,ATL,L 21-27,,0,0,,0,,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
29,1989,1989-09-24,3,28.281,DAL,,WAS,L 7-30,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,1,28,28.00,0
30,1989,1989-10-01,4,28.288,DAL,,NYG,L 13-30,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
31,1989,1989-10-02,4,28.289,PHI,@,CHI,L 13-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1989,1989-10-08,5,28.295,DAL,@,GNB,L 13-31,,0,0,,0,,,0,0,,0,0,0,,,,,,1,2,50.0,,1,0.0,0,1,0,0,,0
33,1989,1989-10-15,6,28.302,DAL,,SFO,L 14-31,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,,2,0.0,0,2,0,0,,0
34,1989,1989-10-22,7,28.309,DAL,@,KAN,L 28-36,,0,0,,0,,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,
35,1989,1989-10-29,8,28.316,DAL,,PHO,L 10-19,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
36,1989,1989-11-05,9,28.323,DAL,@,WAS,W 13-3,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
37,1989,1989-11-23,12,28.341,PHI,@,DAL,W 27-0,,0,0,,0,,,0,0,,0,0,0,,0,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
38,1989,1989-12-03,13,28.351,PHI,@,NYG,W 24-17,,0,0,,0,,,0,0,,0,0,0,,0,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
39,1989,1989-12-10,14,28.358,PHI,,DAL,W 20-10,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
40,1989,1989-12-16,15,28.364,DAL,@,NYG,L 0-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1989,1989-12-18,15,29.001,PHI,@,NOR,L 20-30,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
42,1989,1989-12-24,16,29.007,PHI,,PHO,W 31-14,,0,0,,0,,,1,1,100.00,22,1,0,158.3,0,0,22.00,42.00,4,4,100.0,1,2,50.0,0,7,0,0,,0
43,1990,1990-09-09,1,29.266,PHI,@,NYG,L 20-27,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
44,1990,1990-09-16,2,29.273,PHI,,PHO,L 21-23,,0,0,,0,,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
45,1990,1990-09-23,3,29.280,PHI,@,RAM,W 27-21,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
46,1990,1990-09-30,4,29.287,PHI,,IND,L 23-24,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,3,4,75.0,0,11,0,0,,0
47,1990,1990-10-15,5,29.302,PHI,,MIN,W 32-24,,0,0,,0,,,0,0,,0,0,0,,,,,,2,3,66.7,4,4,100.0,0,14,0,0,,0
48,1990,1990-10-21,6,29.308,PHI,@,WAS,L 7-13,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0,0,,0
49,1990,1990-10-28,7,29.315,PHI,@,DAL,W 21-20,,0,0,,0,,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
50,1990,1990-11-04,8,29.322,PHI,,NWE,W 48-20,,0,0,,0,,,0,0,,0,0,0,,,,,,6,6,100.0,2,2,100.0,0,12,0,0,,0
51,1990,1990-11-12,9,29.330,PHI,,WAS,W 28-14,,0,0,,0,,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,
52,1990,1990-11-18,10,29.336,PHI,@,ATL,W 24-23,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
53,1990,1990-11-25,11,29.343,PHI,,NYG,W 31-13,,0,0,,0,,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
54,1990,1990-12-02,12,29.350,PHI,@,BUF,L 23-30,,0,0,,0,,,0,0,,0,0,0,,,,,,2,3,66.7,1,1,100.0,0,5,0,0,,0
55,1990,1990-12-09,13,29.357,PHI,@,MIA,L 20-23,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
56,1990,1990-12-16,14,29.364,PHI,,GNB,W 31-0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,4,100.0,1,3,33.3,0,7,0,0,,0
57,1990,1990-12-23,15,30.006,PHI,,DAL,W 17-3,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
58,1990,1990-12-29,16,30.012,PHI,@,PHO,W 23-21,,0,0,,0,,,0,0,,0,0,0,,,,,,2,3,66.7,1,1,100.0,0,5,0,0,,0
59,1991,1991-09-01,1,30.258,PHI,@,GNB,W 20-3,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
60,1991,1991-09-08,2,30.265,PHI,,PHO,L 10-26,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
61,1991,1991-09-15,3,30.272,PHI,@,DAL,W 24-0,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
62,1991,1991-09-22,4,30.279,PHI,,PIT,W 23-14,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
63,1991,1991-09-30,5,30.287,PHI,@,WAS,L 0-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1991,1991-10-06,6,30.293,PHI,@,TAM,L 13-14,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
65,1991,1991-10-13,7,30.300,PHI,,NOR,L 6-13,,0,0,,0,,,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0,0,,0
66,1991,1991-10-27,8,30.314,PHI,,SFO,L 7-23,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0,0,,0
67,1991,1991-11-04,9,30.322,PHI,,NYG,W 30-7,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0,0,,0
68,1991,1991-11-10,10,30.328,PHI,@,CLE,W 32-30,,0,0,,0,,,0,0,,0,0,0,,,,,,2,3,66.7,4,4,100.0,0,14,0,0,,0
69,1991,1991-11-17,11,30.335,PHI,,CIN,W 17-10,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
70,1991,1991-11-24,12,30.342,PHI,@,PHO,W 34-14,,0,0,,0,,,0,0,,0,0,,,,,,,4,5,80.0,,,,0,4,,,,
71,1991,1991-12-02,13,30.350,PHI,@,HOU,W 13-6,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
72,1991,1991-12-08,14,30.356,PHI,@,NYG,W 19-14,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0,0,,0
73,1991,1991-12-15,15,30.363,PHI,,DAL,L 13-25,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
74,1991,1991-12-22,16,31.005,PHI,,WAS,W 24-22,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
75,1992,1992-09-06,1,31.264,PHI,,NOR,W 15-13,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,2,0.0,1,1,100.0,0,3,0,0,,0
76,1992,1992-09-13,2,31.271,PHI,@,PHO,W 31-14,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
77,1992,1992-09-20,3,31.278,PHI,,DEN,W 30-0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0,0,,0
78,1992,1992-10-05,4,31.293,PHI,,DAL,W 31-7,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
79,1992,1992-10-11,5,31.299,PHI,@,KAN,L 17-24,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,2,100.0,1,3,33.3,0,5,0,0,,0
80,1992,1992-10-18,6,31.306,PHI,@,WAS,L 12-16,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
81,1992,1992-10-25,7,31.313,PHI,,PHO,W 7-3,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0,0,,0
82,1992,1992-11-01,8,31.320,PHI,@,DAL,L 10-20,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
83,1992,1992-11-08,9,31.327,PHI,,RAI,W 31-10,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
84,1992,1992-11-15,10,31.334,PHI,@,GNB,L 24-27,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
85,1992,1992-11-22,11,31.341,PHI,@,NYG,W 47-34,,0,0,,0,0.0%,,0,0,,0,0,,,,,,,5,7,71.4,,,,0,5,,,,
86,1992,1992-11-29,12,31.348,PHI,@,SFO,L 14-20,,0,0,,0,0.0%,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,
87,1992,1992-12-06,13,31.355,PHI,,MIN,W 28-17,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,4,100.0,,1,0.0,0,4,0,0,,0
88,1992,1992-12-13,14,31.362,PHI,@,SEA,W 20-17,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
89,1992,1992-12-20,15,32.003,PHI,,WAS,W 17-13,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,2,100.0,1,3,33.3,0,5,0,0,,0
90,1992,1992-12-27,16,32.010,PHI,,NYG,W 20-10,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
91,1993,1993-09-05,1,32.262,PHI,,PHO,W 23-17,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0,0,,0
92,1993,1993-09-12,2,32.269,PHI,@,GNB,W 20-17,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
93,1993,1993-12-19,14,33.002,PHI,@,IND,W 20-10,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
94,1993,1993-12-26,15,33.009,PHI,,NOR,W 37-26,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,5,40.0,1,1,100.0,0,5,0,0,,0
95,1993,1994-01-03,16,33.017,PHI,@,SFO,W 37-34,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,4,100.0,3,3,100.0,0,13,0,0,,0
