ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
78,2009,2009-09-13,1,27.087,ATL,,MIA,W 19-7,*,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
79,2009,2009-09-20,2,27.094,ATL,,CAR,W 28-20,*,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,,0,0,0.0,1,0
80,2009,2009-09-27,3,27.101,ATL,@,NWE,L 10-26,*,8,5,78,15.60,0,62.5%,9.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
81,2009,2009-10-11,4,27.115,ATL,@,SFO,W 45-10,,4,2,35,17.50,0,50.0%,8.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
82,2009,2009-10-18,5,27.122,ATL,,CHI,W 21-14,*,6,2,15,7.50,0,33.3%,2.50,0,0,,0,0,0,,0,,0,0,0.0,1,0
83,2009,2009-10-25,6,27.129,ATL,@,DAL,L 21-37,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
84,2009,2009-11-02,7,27.137,ATL,@,NOR,L 27-35,,9,4,66,16.50,0,44.4%,7.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
85,2009,2009-11-08,8,27.143,ATL,,WAS,W 31-17,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2009,2009-11-15,9,27.150,ATL,@,CAR,L 19-28,*,9,4,15,3.75,0,44.4%,1.67,0,0,,0,0,0,,0,,0,0,0.0,1,0
87,2009,2009-11-22,10,27.157,ATL,@,NYG,L 31-34,,9,6,76,12.67,0,66.7%,8.44,0,0,,0,0,0,,0,,0,0,0.0,0,0
88,2009,2009-11-29,11,27.164,ATL,,TAM,W 20-17,,8,7,80,11.43,0,87.5%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
89,2009,2009-12-13,13,27.178,ATL,,NOR,L 23-26,,5,3,82,27.33,1,60.0%,16.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
90,2009,2009-12-20,14,27.185,ATL,@,NYJ,W 10-7,*,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
91,2009,2009-12-27,15,27.192,ATL,,BUF,W 31-3,*,8,2,22,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
92,2009,2010-01-03,16,27.199,ATL,@,TAM,W 20-10,*,7,4,45,11.25,0,57.1%,6.43,0,0,,0,0,0,,0,,0,0,0.0,0,0
93,2010,2010-10-17,6,28.121,ATL,@,PHI,L 17-31,,11,5,99,19.80,0,45.5%,9.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
94,2010,2010-10-24,7,28.128,ATL,,CIN,W 39-32,*,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,,0,0,0.0,1,0
95,2010,2010-11-07,8,28.142,ATL,,TAM,W 27-21,*,4,2,55,27.50,0,50.0%,13.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
96,2010,2010-11-11,9,28.146,ATL,,BAL,W 26-21,*,10,5,48,9.60,0,50.0%,4.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
97,2010,2010-11-21,10,28.156,ATL,@,STL,W 34-17,*,8,5,58,11.60,0,62.5%,7.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
98,2010,2010-11-28,11,28.163,ATL,,GNB,W 20-17,*,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
99,2010,2010-12-05,12,28.170,ATL,@,TAM,W 28-24,*,4,3,30,10.00,1,75.0%,7.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
100,2010,2010-12-12,13,28.177,ATL,@,CAR,W 31-10,*,5,2,26,13.00,0,40.0%,5.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
101,2010,2010-12-19,14,28.184,ATL,@,SEA,W 34-18,*,4,3,48,16.00,1,75.0%,12.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
102,2010,2010-12-27,15,28.192,ATL,,NOR,L 14-17,,9,5,40,8.00,0,55.6%,4.44,0,0,,0,0,0,,0,,0,0,0.0,0,0
103,2010,2011-01-02,16,28.198,ATL,,CAR,W 31-10,*,8,5,52,10.40,0,62.5%,6.50,0,0,,0,0,0,,0,,0,0,0.0,1,0
104,2011,2011-09-11,1,29.085,MIN,@,SDG,L 17-24,,3,3,26,8.67,1,100.0%,8.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
105,2011,2011-09-18,2,29.092,MIN,,TAM,L 20-24,*,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
106,2011,2011-09-25,3,29.099,MIN,,DET,L 23-26,,11,9,88,9.78,0,81.8%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
107,2011,2011-10-02,4,29.106,MIN,@,KAN,L 17-22,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
108,2011,2011-10-09,5,29.113,MIN,,ARI,W 34-10,*,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
109,2011,2011-10-16,6,29.120,MIN,@,CHI,L 10-39,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
110,2011,2011-10-23,7,29.127,MIN,,GNB,L 27-33,*,8,3,111,37.00,1,37.5%,13.88,0,0,,0,0,0,,0,,1,6,0.0,0,0
111,2011,2011-10-30,8,29.134,MIN,@,CAR,W 24-21,,2,2,30,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
112,2011,2011-11-14,9,29.149,MIN,@,GNB,L 7-45,*,4,3,49,16.33,0,75.0%,12.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
113,2011,2011-11-20,10,29.155,MIN,,OAK,L 21-27,*,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0,,0,,0,0,0.0,1,0
114,2011,2011-11-27,11,29.162,MIN,@,ATL,L 14-24,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
115,2012,2012-09-09,1,30.083,MIN,,JAX,W 26-23,*,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
116,2012,2012-09-16,2,30.090,MIN,@,IND,L 20-23,,6,5,43,8.60,0,83.3%,7.17,0,0,,0,0,0,,0,,0,0,0.0,0,0
117,2012,2012-09-23,3,30.097,MIN,,SFO,W 24-13,,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
118,2012,2012-09-30,4,30.104,MIN,@,DET,W 20-13,,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
119,2012,2012-10-07,5,30.111,MIN,,TEN,W 30-7,,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
120,2012,2012-10-14,6,30.118,MIN,@,WAS,L 26-38,*,10,6,67,11.17,1,60.0%,6.70,0,0,,0,0,0,,0,,1,6,0.0,0,0
121,2012,2012-10-21,7,30.125,MIN,,ARI,W 21-14,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
122,2012,2012-10-25,8,30.129,MIN,,TAM,L 17-36,*,9,4,78,19.50,0,44.4%,8.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
123,2012,2012-11-04,9,30.139,MIN,@,SEA,L 20-30,,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
124,2012,2012-11-11,10,30.146,MIN,,DET,W 34-24,*,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
125,2012,2012-11-25,11,30.160,MIN,@,CHI,L 10-28,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
126,2012,2012-12-02,12,30.167,MIN,@,GNB,L 14-23,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
127,2012,2012-12-09,13,30.174,MIN,,CHI,W 21-14,,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
128,2012,2012-12-16,14,30.181,MIN,@,STL,W 36-22,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
129,2012,2012-12-23,15,30.188,MIN,@,HOU,W 23-6,*,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
130,2012,2012-12-30,16,30.195,MIN,,GNB,W 37-34,*,5,3,37,12.33,1,60.0%,7.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
