ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
35,2009,2009-10-18,6,26.125,CLE,@,PIT,L 14-27,*,9,24,37.50,122,1,1,51.0,2,16,5.08,4.04,1,-1,-1.00,0,,0,0
36,2009,2009-10-25,7,26.132,CLE,,GNB,L 3-31,*,12,29,41.38,99,0,1,36.4,2,18,3.41,1.86,2,3,1.50,0,,0,0
37,2009,2009-11-01,8,26.139,CLE,@,CHI,L 6-30,*,6,17,35.29,76,0,2,10.5,1,11,4.47,-0.82,2,1,0.50,1,,1,6
38,2009,2009-12-27,15,26.195,CLE,,OAK,W 23-9,*,8,17,47.06,121,1,0,90.6,2,3,7.12,8.29,1,-1,-1.00,0,,0,0
39,2009,2010-01-03,16,26.202,CLE,,JAX,W 23-17,*,7,11,63.64,86,0,1,49.8,0,0,7.82,3.73,1,2,2.00,0,,0,0
40,2010,2010-09-12,1,27.089,ARI,@,STL,W 17-13,*,22,41,53.66,297,1,0,85.1,2,31,7.24,7.73,1,9,9.00,0,,0,0
41,2010,2010-09-19,2,27.096,ARI,@,ATL,L 7-41,*,17,31,54.84,161,0,2,42.5,2,15,5.19,2.29,0,0,,0,,0,0
42,2010,2010-09-26,3,27.103,ARI,,OAK,W 24-23,*,12,26,46.15,122,2,1,69.7,2,14,4.69,4.50,0,0,,0,,0,0
43,2010,2010-10-03,4,27.110,ARI,@,SDG,L 10-41,*,7,14,50.00,64,0,2,23.2,3,20,4.57,-1.86,0,0,,0,,0,0
44,2010,2010-10-10,5,27.117,ARI,,NOR,W 30-20,,1,2,50.00,6,0,0,56.2,0,0,3.00,3.00,0,0,,0,,0,0
45,2010,2010-10-24,6,27.131,ARI,@,SEA,L 10-22,,8,17,47.06,96,0,0,64.8,0,0,5.65,5.65,0,0,,0,,0,0
46,2010,2010-10-31,7,27.138,ARI,,TAM,L 35-38,,16,24,66.67,234,1,2,77.4,1,9,9.75,6.83,0,0,,0,,0,0
47,2010,2010-11-07,8,27.145,ARI,@,MIN,L 24-27,*,15,26,57.69,179,1,0,91.7,6,24,6.88,7.65,3,16,5.33,0,,0,0
48,2010,2010-11-14,9,27.152,ARI,,SEA,L 18-36,*,23,45,51.11,322,1,1,72.6,5,36,7.16,6.60,0,0,,0,1,0,2
49,2010,2010-11-21,10,27.159,ARI,@,KAN,L 13-31,*,25,46,54.35,295,1,0,81.3,2,14,6.41,6.85,0,0,,0,,0,0
50,2010,2010-11-29,11,27.167,ARI,,SFO,L 6-27,*,16,35,45.71,196,0,1,51.6,1,6,5.60,4.31,1,0,0.00,0,,0,0
51,2010,2010-12-05,12,27.173,ARI,,STL,L 6-19,*,7,20,35.00,93,0,1,29.8,1,7,4.65,2.40,0,0,,0,,0,0
52,2011,2011-12-24,15,28.192,CAR,,TAM,W 48-16,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0
53,2011,2012-01-01,16,28.200,CAR,@,NOR,L 17-45,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0
54,2012,2012-09-20,3,29.097,CAR,,NYG,L 7-36,,3,3,100.00,46,0,0,118.7,0,0,15.33,15.33,0,0,,0,,0,0
55,2012,2012-12-30,16,29.198,CAR,@,NOR,W 44-38,,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,,0,0
56,2013,2013-09-22,3,30.099,CAR,,NYG,W 38-0,,0,0,,0,0,0,,0,0,,,2,-1,-0.50,0,,0,0
57,2013,2013-10-13,5,30.120,CAR,@,MIN,W 35-10,,0,0,,0,0,0,,0,0,,,2,-1,-0.50,0,,0,0
58,2013,2013-10-20,6,30.127,CAR,,STL,W 30-15,,,,,,,,,,,,,,,,,,,
59,2013,2013-12-01,12,30.169,CAR,,TAM,W 27-6,,0,0,,0,0,0,,0,0,,,1,2,2.00,0,,0,0
60,2014,2014-09-07,1,31.084,CAR,@,TAM,W 20-14,*,24,34,70.59,230,2,0,108.7,1,9,6.76,7.94,3,10,3.33,0,,0,0
61,2014,2014-09-21,3,31.098,CAR,,PIT,L 19-37,,5,6,83.33,80,1,0,158.3,0,0,13.33,16.67,0,0,,0,,0,0
62,2014,2014-09-28,4,31.105,CAR,@,BAL,L 10-38,,6,9,66.67,71,0,0,90.5,0,0,7.89,7.89,0,0,,0,,0,0
63,2014,2014-10-19,7,31.126,CAR,@,GNB,L 17-38,,5,8,62.50,43,1,0,116.1,0,0,5.38,7.88,0,0,,0,,0,0
64,2014,2014-12-07,13,31.175,CAR,@,NOR,W 41-10,,,,,,,,,,,,,,,,,,,
65,2014,2014-12-14,14,31.182,CAR,,TAM,W 19-17,*,25,40,62.50,277,1,0,91.4,3,8,6.93,7.43,5,14,2.80,0,,0,0
66,2015,2015-11-22,10,32.160,CAR,,WAS,W 44-16,,0,0,,0,0,0,,0,0,,,2,2,1.00,0,,0,0
67,2015,2015-12-13,13,32.181,CAR,,ATL,W 38-0,,4,6,66.67,36,0,0,82.6,0,0,6.00,6.00,3,-2,-0.67,0,,0,0
68,2015,2016-01-03,16,32.202,CAR,,TAM,W 38-10,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,,0,0
69,2016,2016-09-25,3,33.102,CAR,,MIN,L 10-22,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,0,0,,0,,0,0
70,2016,2016-10-02,4,33.109,CAR,@,ATL,L 33-48,,17,23,73.91,172,2,2,87.6,0,0,7.48,5.30,0,0,,0,,0,0
71,2016,2016-10-10,5,33.117,CAR,,TAM,L 14-17,*,18,28,64.29,278,0,2,67.3,0,0,9.93,6.71,1,4,4.00,0,,0,0
72,2016,2016-12-04,12,33.172,CAR,@,SEA,L 7-40,*,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,0,0
73,2016,2016-12-11,13,33.179,CAR,,SDG,W 28-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0
74,2017,2017-09-24,3,34.101,CAR,,NOR,L 13-34,,2,7,28.57,17,0,0,39.6,0,0,2.43,2.43,0,0,,0,,0,0
75,2017,2017-11-13,10,34.151,CAR,,MIA,W 45-21,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,,0,0
76,2017,2017-12-24,15,34.192,CAR,,TAM,W 22-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0
