ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
33,1988,1988-10-23,8,24.354,MIN,@,TAM,W 49-20,,,,,,,,,,
34,1988,1988-10-30,9,24.361,MIN,@,SFO,L 21-24,,,,,,,,,,
35,1988,1988-11-06,10,25.002,MIN,,DET,W 44-17,,,,,,,,,,
36,1988,1988-11-13,11,25.009,MIN,@,DAL,W 43-3,0,0,,0,0,0,1.0,0,0,0
37,1988,1988-11-20,12,25.016,MIN,,IND,W 12-3,,,,,,,,,,
38,1988,1988-11-24,13,25.020,MIN,@,DET,W 23-0,,,,,,,,,,
39,1988,1988-12-04,14,25.030,MIN,,NOR,W 45-3,0,0,,0,1,6,1.0,1,78,1
40,1988,1988-12-11,15,25.037,MIN,@,GNB,L 6-18,,,,,,,,,,
41,1988,1988-12-19,16,25.045,MIN,,CHI,W 28-27,,,,,,,,,,
42,1989,1989-09-17,2,25.317,MIN,@,CHI,L 7-38,,,,,,,,,,
43,1989,1989-09-24,3,25.324,MIN,@,PIT,L 14-27,,,,,,,,,,
44,1989,1989-10-01,4,25.331,MIN,,TAM,W 17-3,,,,,,,,,,
45,1989,1989-10-08,5,25.338,MIN,,DET,W 24-17,,,,,,,,,,
46,1989,1989-10-15,6,25.345,DAL,,SFO,L 14-31,,,,,,,,,,
47,1989,1989-10-22,7,25.352,DAL,@,KAN,L 28-36,,,,,,,,,,
48,1989,1989-10-29,8,25.359,DAL,,PHO,L 10-19,,,,,,,,,,
49,1989,1989-11-05,9,26.001,DAL,@,WAS,W 13-3,,,,,,,,,,
50,1989,1989-11-12,10,26.008,DAL,@,PHO,L 20-24,,,,,,,,,,
51,1989,1989-11-19,11,26.015,DAL,,MIA,L 14-17,,,,,,,,,,
52,1989,1989-11-23,12,26.019,DAL,,PHI,L 0-27,,,,,,,,,,
53,1989,1989-12-03,13,26.029,DAL,,RAM,L 31-35,,,,,,,,,,
54,1989,1989-12-10,14,26.036,DAL,@,PHI,L 10-20,,,,,,,,,,
55,1989,1989-12-16,15,26.042,DAL,@,NYG,L 0-15,,,,,,,,,,
56,1989,1989-12-24,16,26.050,DAL,,GNB,L 10-20,,,,,,,,,,
57,1990,1990-10-28,8,26.358,DAL,,PHI,L 20-21,,,,,,,,,,
58,1990,1990-11-04,9,27.000,DAL,@,NYJ,L 9-24,,,,,,,,,,
59,1990,1990-11-11,10,27.007,DAL,,SFO,L 6-24,,,,,,,,,,
60,1990,1990-11-18,11,27.014,DAL,@,RAM,W 24-21,,,,,,,,,,
61,1990,1990-11-22,12,27.018,DAL,,WAS,W 27-17,,,,,,,,,,
62,1990,1990-12-02,13,27.028,DAL,,NOR,W 17-13,,,,,,,,,,
63,1990,1990-12-16,14,27.042,DAL,,PHO,W 41-10,,,,,,,,,,
64,1990,1990-12-23,15,27.049,DAL,@,PHI,L 3-17,0,0,,0,0,0,1.0,0,0,0
65,1990,1990-12-30,16,27.056,DAL,@,ATL,L 7-26,,,,,,,,,,
66,1991,1991-09-22,4,27.322,TAM,,BUF,L 10-17,,,,,,,,,,
67,1991,1991-09-29,5,27.329,TAM,@,DET,L 3-31,,,,,,,,,,
68,1991,1991-10-06,6,27.336,TAM,,PHI,W 14-13,,,,,,,,,,
69,1991,1991-10-20,7,27.350,TAM,@,NOR,L 7-23,,,,,,,,,,
70,1991,1991-10-27,8,27.357,TAM,,GNB,L 0-27,,,,,,,,,,
71,1991,1991-11-03,9,27.364,TAM,@,MIN,L 13-28,,,,,,,,,,
72,1991,1991-11-10,10,28.006,TAM,,DET,W 30-21,,,,,,,,,,
73,1991,1991-11-17,11,28.013,TAM,@,ATL,L 7-43,,,,,,,,,,
74,1991,1991-11-24,12,28.020,TAM,,NYG,L 14-21,,,,,,,,,,
75,1991,1991-12-01,13,28.027,TAM,@,MIA,L 14-33,,,,,,,,,,
76,1991,1991-12-08,14,28.034,TAM,,MIN,L 24-26,,,,,,,,,,
77,1991,1991-12-14,15,28.040,TAM,@,CHI,L 0-27,,,,,,,,,,
78,1991,1991-12-22,16,28.048,TAM,,IND,W 17-3,,,,,,,,,,
79,1992,1992-09-06,1,28.307,ATL,,NYJ,W 20-17,0,0,,0,0,0,1.0,0,0,0
80,1992,1992-09-13,2,28.314,ATL,@,WAS,L 17-24,0,0,,0,,,,,,
81,1992,1992-09-20,3,28.321,ATL,,NOR,L 7-10,0,0,,0,,,,,,
82,1992,1992-09-27,4,28.328,ATL,@,CHI,L 31-41,0,0,,0,0,0,1.0,0,0,0
83,1992,1992-10-04,5,28.335,ATL,,GNB,W 24-10,0,0,,0,,,,,,
84,1992,1992-10-11,6,28.342,ATL,@,MIA,L 17-21,0,0,,0,,,,,,
85,1992,1992-10-18,7,28.349,ATL,@,SFO,L 17-56,0,0,,0,,,,,,
86,1992,1992-11-01,8,28.363,ATL,,RAM,W 30-28,0,0,,0,,,,,,
87,1992,1992-11-09,9,29.005,ATL,,SFO,L 3-41,0,0,,0,0,0,0.5,0,0,0
88,1992,1992-11-15,10,29.011,ATL,,PHO,W 20-17,0,0,,0,,,,,,
89,1992,1992-11-22,11,29.018,ATL,@,BUF,L 14-41,0,0,,0,0,0,0.0,1,13,0
90,1992,1992-11-29,12,29.025,ATL,,NWE,W 34-0,0,0,,0,0,0,1.0,0,0,0
91,1992,1992-12-03,13,29.029,ATL,@,NOR,L 14-22,0,0,,0,,,,,,
92,1992,1992-12-13,14,29.039,ATL,@,TAM,W 35-7,2,12,6.00,0,0,0,1.0,0,0,0
93,1992,1992-12-21,15,29.047,ATL,,DAL,L 17-41,0,0,,0,,,,,,
94,1992,1992-12-27,16,29.053,ATL,@,RAM,L 27-38,0,0,,0,,,,,,
95,1993,1993-09-05,1,29.305,ATL,@,DET,L 13-30,,,,,,,,,,
96,1993,1993-09-12,2,29.312,ATL,,NOR,L 31-34,,,,,,,,,,
97,1993,1993-09-19,3,29.319,ATL,@,SFO,L 30-37,,,,,,,,,,
98,1993,1993-09-27,4,29.327,ATL,,PIT,L 17-45,,,,,,,,,,
99,1993,1993-10-03,5,29.333,ATL,@,CHI,L 0-6,,,,,,,,,,
100,1993,1993-10-14,6,29.344,ATL,,RAM,W 30-24,,,,,,,,,,
101,1993,1993-10-24,7,29.354,ATL,@,NOR,W 26-15,,,,,,,,,,
102,1993,1993-10-31,8,29.361,ATL,,TAM,L 24-31,,,,,,,,,,
103,1993,1993-11-14,9,30.010,ATL,@,RAM,W 13-0,,,,,,,,,,
104,1993,1993-11-21,10,30.017,ATL,,DAL,W 27-14,,,,,,,,,,
105,1993,1993-11-28,11,30.024,ATL,,CLE,W 17-14,,,,,,,,,,
106,1993,1993-12-05,12,30.031,ATL,@,HOU,L 17-33,,,,,,,,,,
107,1993,1993-12-11,13,30.037,ATL,,SFO,W 27-24,,,,,,,,,,
108,1993,1993-12-19,14,30.045,ATL,@,WAS,L 17-30,,,,,,,,,,
109,1993,1993-12-26,15,30.052,ATL,@,CIN,L 17-21,,,,,,,,,,
110,1993,1994-01-02,16,30.059,ATL,,PHO,L 10-27,,,,,,,,,,
111,1994,1994-09-18,3,30.318,MIA,,NYJ,W 28-14,,,,,,,,,,
112,1994,1994-09-25,4,30.325,MIA,@,MIN,L 35-38,,,,,,,,,,
113,1994,1994-10-02,5,30.332,MIA,@,CIN,W 23-7,,,,,,,,,,
114,1994,1994-11-27,12,31.023,MIA,@,NYJ,W 28-24,,,,,,,,,,
115,1994,1994-12-04,13,31.030,MIA,,BUF,L 31-42,,,,,,,,,,
116,1994,1994-12-25,16,31.051,MIA,,DET,W 27-20,,,,,,,,,,
