ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
13,1995,1995-12-17,15,24.000,KAN,,DEN,W 20-17,,0,0,,0,,,,,,0.0%,,,,,,,,,,
14,1995,1995-12-24,16,24.007,KAN,,SEA,W 26-3,,0,0,,0,0,,,,,0.0%,,,,,,,,,,
15,1996,1996-09-01,1,24.259,KAN,@,HOU,W 20-19,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
16,1996,1996-09-08,2,24.266,KAN,,OAK,W 19-3,,1,2,2.00,0,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,,
17,1996,1996-09-15,3,24.273,KAN,@,SEA,W 35-17,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
18,1996,1996-09-22,4,24.280,KAN,,DEN,W 17-14,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
19,1996,1996-09-29,5,24.287,KAN,@,SDG,L 19-22,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
20,1996,1996-10-07,6,24.295,KAN,,PIT,L 7-17,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
21,1996,1996-10-17,7,24.305,KAN,,SEA,W 34-16,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
22,1996,1996-10-27,8,24.315,KAN,@,DEN,L 7-34,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
23,1996,1996-11-03,9,24.322,KAN,@,MIN,W 21-6,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
24,1996,1996-11-10,10,24.329,KAN,,GNB,W 27-20,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
25,1996,1996-11-17,11,24.336,KAN,,CHI,W 14-10,,0,0,,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,0.0,,
26,1996,1996-11-24,12,24.343,KAN,,SDG,L 14-28,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
27,1996,1996-11-28,13,24.347,KAN,@,DET,W 28-24,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
28,1997,1997-08-31,1,25.257,KAN,@,DEN,L 3-19,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
29,1997,1997-09-08,2,25.265,KAN,@,OAK,W 28-27,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
30,1997,1997-09-14,3,25.271,KAN,,BUF,W 22-16,,0,0,,0,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6,0.0,,
31,1997,1997-09-21,4,25.278,KAN,@,CAR,W 35-14,,0,0,,0,1,1,3,3.00,1,100.0%,3.00,0,0,,0,1,6,0.0,,
32,1997,1997-09-28,5,25.285,KAN,,SEA,W 20-17,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
33,1997,1997-10-05,6,25.292,KAN,@,MIA,L 14-17,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
34,1997,1997-10-16,7,25.303,KAN,,SDG,W 31-3,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
35,1997,1997-10-26,8,25.313,KAN,@,STL,W 28-20,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
36,1997,1997-11-16,11,25.334,KAN,,DEN,W 24-22,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
37,1997,1997-11-23,12,25.341,KAN,@,SEA,W 19-14,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
38,1997,1997-11-30,13,25.348,KAN,,SFO,W 44-9,,0,0,,0,,0,0,,0,0.0%,,,,,,0,,,,
39,1997,1997-12-07,14,25.355,KAN,,OAK,W 30-0,,0,0,,0,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6,0.0,,
40,1997,1997-12-14,15,25.362,KAN,@,SDG,W 29-7,,0,0,,0,0,0,0,,0,0.0%,,,,,,0,,,,
41,1997,1997-12-21,16,26.004,KAN,,NOR,W 25-13,,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
42,1998,1998-09-06,1,26.263,KAN,,OAK,W 28-8,,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
43,1998,1998-09-13,2,26.270,KAN,@,JAX,L 16-21,,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
44,1998,1998-09-20,3,26.277,KAN,,SDG,W 23-7,,1,1,1.00,1,1,1,15,15.00,0,100.0%,15.00,0,0,,0,1,6,0.0,,
45,1998,1998-09-27,4,26.284,KAN,@,PHI,W 24-21,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
46,1998,1998-10-04,5,26.291,KAN,,SEA,W 17-6,,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
47,1998,1998-10-11,6,26.298,KAN,@,NWE,L 10-40,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
48,1998,1998-10-26,7,26.313,KAN,,PIT,L 13-20,,1,2,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
49,1998,1998-11-01,8,26.319,KAN,,NYJ,L 17-20,,4,13,3.25,1,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,1,6,0.0,,
50,1998,1998-11-08,9,26.326,KAN,@,SEA,L 12-24,,1,4,4.00,0,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,,
51,1998,1998-11-16,10,26.334,KAN,,DEN,L 7-30,,,,,,,,,,,0.0%,,,,,,,,,,
52,1998,1998-11-22,11,26.340,KAN,@,SDG,L 37-38,,,,,,,,,,,0.0%,,,,,,,,,,
53,1998,1998-12-13,14,26.361,KAN,,DAL,W 20-17,,,,,,,,,,,0.0%,,,,,,,,,,
54,1998,1998-12-20,15,27.003,KAN,@,NYG,L 7-28,,,,,,,,,,,0.0%,,,,,,,,,,
55,1998,1998-12-26,16,27.009,KAN,@,OAK,W 31-24,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
56,1999,1999-09-12,1,27.269,KAN,@,CHI,L 17-20,*,3,19,6.33,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,0.0,,
57,1999,1999-09-19,2,27.276,KAN,,DEN,W 26-10,*,4,7,1.75,1,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,1,6,0.0,,
58,1999,1999-09-26,3,27.283,KAN,,DET,W 31-21,*,3,14,4.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
59,1999,1999-10-03,4,27.290,KAN,@,SDG,L 14-21,*,3,3,1.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,,
60,1999,1999-10-10,5,27.297,KAN,,NWE,W 16-14,*,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
61,1999,1999-10-21,6,27.308,KAN,@,BAL,W 35-8,*,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,,
62,1999,1999-10-31,7,27.318,KAN,,SDG,W 34-0,*,6,14,2.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
63,1999,1999-11-07,8,27.325,KAN,@,IND,L 17-25,*,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
64,1999,1999-11-14,9,27.332,KAN,@,TAM,L 10-17,*,2,7,3.50,0,1,2,2,1.00,0,200.0%,2.00,0,0,,0,0,0,0.0,,
65,1999,1999-11-21,10,27.339,KAN,,SEA,L 19-31,*,2,4,2.00,0,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,0.0,,
66,1999,1999-11-28,11,27.346,KAN,@,OAK,W 37-34,*,3,15,5.00,0,5,5,37,7.40,0,100.0%,7.40,0,0,,0,0,0,0.0,,
67,1999,1999-12-05,12,27.353,KAN,@,DEN,W 16-10,*,12,80,6.67,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,,
68,1999,1999-12-12,13,27.360,KAN,,MIN,W 31-28,*,11,57,5.18,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,,
69,1999,1999-12-18,14,28.001,KAN,,PIT,W 35-19,*,11,57,5.18,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,0.0,,
70,1999,1999-12-26,15,28.009,KAN,@,SEA,L 14-23,*,8,20,2.50,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,0.0,,
71,1999,2000-01-02,16,28.016,KAN,,OAK,L 38-41,*,8,70,8.75,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,,
72,2000,2000-09-03,1,28.261,KAN,,IND,L 14-27,,13,58,4.46,0,3,2,24,12.00,1,66.7%,8.00,0,0,,0,1,6,0.0,,
73,2000,2000-09-10,2,28.268,KAN,@,TEN,L 14-17,*,14,28,2.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,,
74,2000,2000-09-17,3,28.275,KAN,,SDG,W 42-10,,6,40,6.67,0,5,4,22,5.50,1,80.0%,4.40,0,0,,0,1,6,0.0,,
75,2000,2000-09-24,4,28.282,KAN,@,DEN,W 23-22,,14,35,2.50,1,3,2,35,17.50,0,66.7%,11.67,0,0,,0,1,6,0.0,,
76,2000,2000-10-02,5,28.290,KAN,,SEA,W 24-17,*,11,53,4.82,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,0.0,,
77,2000,2000-10-15,6,28.303,KAN,,OAK,L 17-20,*,5,25,5.00,0,6,5,31,6.20,1,83.3%,5.17,0,0,,0,1,6,0.0,,
78,2000,2000-10-22,7,28.310,KAN,,STL,W 54-34,*,2,2,1.00,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,0.0,,
79,2000,2000-10-29,8,28.317,KAN,@,SEA,W 24-19,,4,18,4.50,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
80,2000,2000-11-05,9,28.324,KAN,@,OAK,L 31-49,,3,18,6.00,1,8,7,51,7.29,0,87.5%,6.38,0,0,,0,1,6,0.0,,
81,2000,2000-11-12,10,28.331,KAN,@,SFO,L 7-21,*,4,19,4.75,0,9,8,81,10.13,0,88.9%,9.00,0,0,,0,0,0,0.0,,
82,2000,2000-11-19,11,28.338,KAN,,BUF,L 17-21,*,8,44,5.50,0,6,4,30,7.50,0,66.7%,5.00,0,0,,0,0,0,0.0,,
83,2000,2000-11-26,12,28.345,KAN,@,SDG,L 16-17,,9,52,5.78,0,6,3,27,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,,
84,2000,2000-12-04,13,28.353,KAN,@,NWE,L 24-30,,6,30,5.00,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,0.0,,
85,2000,2000-12-10,14,28.359,KAN,,CAR,W 15-14,*,17,89,5.24,0,9,8,56,7.00,0,88.9%,6.22,0,0,,0,0,0,0.0,,
86,2000,2000-12-17,15,29.000,KAN,,DEN,W 20-7,,23,156,6.78,1,5,3,13,4.33,0,60.0%,2.60,0,0,,0,1,6,0.0,,
87,2000,2000-12-24,16,29.007,KAN,@,ATL,L 13-29,*,8,30,3.75,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,0.0,,
88,2001,2001-09-09,1,29.266,KAN,,OAK,L 24-27,*,6,3,0.50,1,5,4,68,17.00,0,80.0%,13.60,0,0,,0,1,6,0.0,,
89,2001,2001-09-23,2,29.280,KAN,,NYG,L 3-13,*,9,41,4.56,0,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,0.0,,
90,2001,2001-09-30,3,29.287,KAN,@,WAS,W 45-13,*,11,30,2.73,1,3,3,28,9.33,0,100.0%,9.33,0,0,,0,1,6,0.0,,
91,2001,2001-10-21,6,29.308,KAN,@,ARI,L 16-24,,1,4,4.00,0,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,0.0,,
92,2001,2001-10-25,7,29.312,KAN,,IND,L 28-35,*,4,26,6.50,0,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,0.0,,
93,2001,2001-11-04,8,29.322,KAN,@,SDG,W 25-20,*,8,23,2.88,2,5,4,33,8.25,0,80.0%,6.60,0,0,,0,2,12,0.0,,
94,2001,2001-11-11,9,29.329,KAN,@,NYJ,L 7-27,*,5,22,4.40,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,0.0,,
95,2001,2001-11-25,10,29.343,KAN,,SEA,W 19-7,,9,18,2.00,1,2,2,28,14.00,0,100.0%,14.00,0,0,,0,1,6,0.0,,
96,2001,2001-11-29,11,29.347,KAN,,PHI,L 10-23,*,1,3,3.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0.0,,
97,2001,2001-12-09,12,29.357,KAN,@,OAK,L 26-28,,5,12,2.40,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,,
98,2001,2001-12-16,13,29.364,KAN,,DEN,W 26-23,*,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
99,2001,2001-12-23,14,30.006,KAN,,SDG,W 20-17,,3,5,1.67,1,3,2,2,1.00,0,66.7%,0.67,0,0,,0,1,6,0.0,,
100,2001,2001-12-30,15,30.013,KAN,@,JAX,W 30-26,,0,0,,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,0.0,,
101,2001,2002-01-06,16,30.020,KAN,@,SEA,L 18-21,,2,1,0.50,1,2,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,,
102,2002,2002-09-08,1,30.265,KAN,@,CLE,W 40-39,,3,13,4.33,0,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,0.0,,
103,2002,2002-09-15,2,30.272,KAN,,JAX,L 16-23,*,1,-1,-1.00,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,,
104,2002,2002-09-22,3,30.279,KAN,@,NWE,L 38-41,*,0,0,,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
105,2002,2002-09-29,4,30.286,KAN,,MIA,W 48-30,*,2,5,2.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
106,2002,2002-10-06,5,30.293,KAN,@,NYJ,W 29-25,*,1,4,4.00,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,0.0,,
107,2002,2002-10-13,6,30.300,KAN,@,SDG,L 34-35,,1,0,0.00,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,0.0,,
108,2002,2002-10-20,7,30.307,KAN,,DEN,L 34-37,*,3,21,7.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,,
109,2002,2002-10-27,8,30.314,KAN,,OAK,W 20-10,*,3,2,0.67,0,1,1,4,4.00,1,100.0%,4.00,0,0,,0,1,6,0.0,,
110,2002,2002-11-10,9,30.328,KAN,@,SFO,L 13-17,*,1,2,2.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,,
111,2002,2002-11-17,10,30.335,KAN,,BUF,W 17-16,*,,,,,,,,,,0.0%,,,,,,,,,,
112,2002,2002-11-24,11,30.342,KAN,@,SEA,L 32-39,*,0,0,,0,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0,0.0,,
113,2002,2002-12-01,12,30.349,KAN,,ARI,W 49-0,*,2,8,4.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,,
114,2002,2002-12-08,13,30.356,KAN,,STL,W 49-10,*,4,27,6.75,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,,
115,2002,2002-12-15,14,30.363,KAN,@,DEN,L 24-31,*,1,0,0.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,,
116,2003,2003-09-07,1,31.264,KAN,,SDG,W 27-14,,4,7,1.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
117,2003,2003-09-14,2,31.271,KAN,,PIT,W 41-20,,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
118,2003,2003-09-21,3,31.278,KAN,@,HOU,W 42-14,*,,,,,1,,,,,0.0%,,,,,,,,,,
119,2003,2003-09-28,4,31.285,KAN,@,BAL,W 17-10,,1,4,4.00,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,0.0,,
120,2003,2003-10-05,5,31.292,KAN,,DEN,W 24-23,*,1,-1,-1.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,,
121,2003,2003-10-12,6,31.299,KAN,@,GNB,W 40-34,*,0,0,,0,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,,
122,2003,2003-10-20,7,31.307,KAN,@,OAK,W 17-10,*,1,5,5.00,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,,
123,2003,2003-10-26,8,31.313,KAN,,BUF,W 38-5,*,6,11,1.83,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0.0,,
124,2003,2003-11-09,9,31.327,KAN,,CLE,W 41-20,*,2,3,1.50,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,,
125,2003,2003-11-16,10,31.334,KAN,@,CIN,L 19-24,*,,,,,,,,,,0.0%,,,,,,,,,,
126,2003,2003-11-23,11,31.341,KAN,,OAK,W 27-24,,,,,,1,,,,,0.0%,,,,,,,,,,
127,2003,2003-11-30,12,31.348,KAN,@,SDG,W 28-24,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,,
128,2003,2003-12-07,13,31.355,KAN,@,DEN,L 27-45,,,,,,,,,,,0.0%,,,,,,,,,,
129,2003,2003-12-14,14,31.362,KAN,,DET,W 45-17,*,,,,,,,,,,0.0%,,,,,,,,,,
130,2003,2003-12-20,15,32.003,KAN,@,MIN,L 20-45,*,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
131,2003,2003-12-28,16,32.011,KAN,,CHI,W 31-3,*,,,,,,,,,,0.0%,,,,,,,,,,
132,2004,2004-09-12,1,32.270,KAN,@,DEN,L 24-34,*,1,13,13.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
133,2004,2004-09-19,2,32.277,KAN,,CAR,L 17-28,*,0,0,,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,0.0,,
134,2004,2004-09-26,3,32.284,KAN,,HOU,L 21-24,*,,,,,,,,,,0.0%,,,,,,,,,,
135,2004,2004-10-04,4,32.292,KAN,@,BAL,W 27-24,*,1,4,4.00,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,0.0,,
136,2004,2004-10-17,5,32.305,KAN,@,JAX,L 16-22,*,1,1,1.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,,
137,2004,2004-10-24,6,32.312,KAN,,ATL,W 56-10,*,6,29,4.83,0,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,,
138,2004,2004-10-31,7,32.319,KAN,,IND,W 45-35,*,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,,
139,2004,2004-11-07,8,32.326,KAN,@,TAM,L 31-34,*,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,,
140,2004,2004-11-14,9,32.333,KAN,@,NOR,L 20-27,*,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
141,2004,2004-11-22,10,32.341,KAN,,NWE,L 19-27,*,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,,
142,2004,2004-11-28,11,32.347,KAN,,SDG,L 31-34,*,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,,
143,2004,2004-12-05,12,32.354,KAN,@,OAK,W 34-27,*,0,0,,0,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,0.0,,
144,2004,2004-12-13,13,32.362,KAN,@,TEN,W 49-38,*,,,,,,,,,,0.0%,,,,,,,,,,
145,2004,2004-12-19,14,33.002,KAN,,DEN,W 45-17,*,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,,
146,2004,2004-12-25,15,33.008,KAN,,OAK,W 31-30,*,2,8,4.00,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,,
147,2004,2005-01-02,16,33.016,KAN,@,SDG,L 17-24,*,0,0,,0,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0.0,,
148,2005,2005-09-11,1,33.268,KAN,,NYJ,W 27-7,*,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
149,2005,2005-09-18,2,33.275,KAN,@,OAK,W 23-17,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
150,2005,2005-09-26,3,33.283,KAN,@,DEN,L 10-30,*,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,,
151,2005,2005-10-02,4,33.289,KAN,,PHI,L 31-37,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
152,2005,2005-10-16,5,33.303,KAN,,WAS,W 28-21,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
153,2005,2005-10-21,6,33.308,KAN,@,MIA,W 30-20,*,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,,
154,2005,2005-10-30,7,33.317,KAN,@,SDG,L 20-28,*,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,,
155,2005,2005-11-06,8,33.324,KAN,,OAK,W 27-23,*,0,0,,0,2,2,8,4.00,1,100.0%,4.00,0,0,,0,1,6,0.0,,
156,2005,2005-11-13,9,33.331,KAN,@,BUF,L 3-14,*,2,8,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
157,2005,2005-11-20,10,33.338,KAN,@,HOU,W 45-17,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
158,2005,2005-11-27,11,33.345,KAN,,NWE,W 26-16,*,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
159,2005,2005-12-04,12,33.352,KAN,,DEN,W 31-27,*,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
160,2005,2005-12-11,13,33.359,KAN,@,DAL,L 28-31,*,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
161,2005,2005-12-17,14,34.000,KAN,@,NYG,L 17-27,*,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
162,2005,2005-12-24,15,34.007,KAN,,SDG,W 20-7,*,0,0,,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,0.0,,
163,2005,2006-01-01,16,34.015,KAN,,CIN,W 37-3,*,0,0,,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,0.0,,
164,2006,2006-09-11,1,34.268,MIN,@,WAS,W 19-16,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
165,2006,2006-09-17,2,34.274,MIN,,CAR,W 16-13,*,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
166,2006,2006-09-24,3,34.281,MIN,,CHI,L 16-19,*,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,,
167,2006,2006-10-01,4,34.288,MIN,@,BUF,L 12-17,*,0,0,,0,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,0.0,,
168,2006,2006-10-08,5,34.295,MIN,,DET,W 26-17,,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,,
169,2006,2006-10-22,6,34.309,MIN,@,SEA,W 31-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
170,2006,2006-10-30,7,34.317,MIN,,NWE,L 7-31,*,0,0,,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,,
171,2006,2006-11-05,8,34.323,MIN,@,SFO,L 3-9,*,1,2,2.00,0,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,,
172,2006,2006-11-12,9,34.330,MIN,,GNB,L 17-23,*,0,0,,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,0.0,,
173,2007,2007-09-09,1,35.266,MIN,,ATL,W 24-3,,0,0,,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
174,2007,2007-09-30,4,35.287,MIN,,GNB,L 16-23,*,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,,
175,2007,2007-10-14,5,35.301,MIN,@,CHI,W 34-31,,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
176,2007,2007-10-21,6,35.308,MIN,@,DAL,L 14-24,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
177,2007,2007-10-28,7,35.315,MIN,,PHI,L 16-23,*,1,1,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
