ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
12,1960,1960-12-04,12,23.266,NYT,@,DEN,W 30-27,5,25,5.00,0,0,0,,0,0,0,,0,0,0,,0,3,4,75.0,1,1,100.0,0,6
13,1960,1960-12-11,13,23.273,NYT,@,OAK,W 31-28,3,5,1.67,0,0,0,,0,3,59,19.67,0,0,0,,0,4,4,100.0,1,4,25.0,0,7
14,1960,1960-12-18,14,23.280,NYT,@,LAC,L 43-50,3,2,0.67,0,2,43,21.50,1,4,138,34.50,0,0,0,,0,5,5,100.0,,1,0.0,1,11
15,1961,1961-09-09,1,24.180,NYT,@,BOS,W 21-20,0,0,,0,0,0,,0,,,,,,,,,3,3,100.0,,,,0,3
16,1961,1961-09-24,3,24.195,NYT,,DEN,W 35-28,5,9,1.80,0,0,0,,0,1,20,20.00,0,1,3,3.00,0,5,5,100.0,,,,0,5
17,1961,1961-10-01,4,24.202,NYT,,BOS,W 37-30,0,0,,0,0,0,,0,4,95,23.75,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
18,1961,1961-10-15,5,24.216,NYT,,SDG,L 10-25,0,0,,0,0,0,,0,2,34,17.00,0,1,3,3.00,0,1,1,100.0,1,3,33.3,0,4
19,1961,1961-10-22,6,24.223,NYT,@,DEN,L 10-27,0,0,,0,3,27,9.00,0,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4
20,1961,1961-12-03,13,24.265,BUF,@,OAK,W 26-21,0,0,,0,0,0,,0,2,38,19.00,0,0,0,,0,,,,,1,0.0,0,0
21,1961,1961-12-10,14,24.272,BUF,@,SDG,L 10-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,1,1,100.0,0,3
22,1962,1962-09-09,1,25.180,NYT,@,OAK,W 28-17,0,0,,0,0,0,,0,,,,,,,,,4,4,100.0,,,,0,4
23,1962,1962-09-16,2,25.187,NYT,@,SDG,L 14-40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,,2,0.0,0,0
24,1962,1962-09-22,3,25.193,NYT,@,BUF,W 17-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
25,1962,1962-09-30,4,25.201,NYT,,DEN,L 10-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
26,1962,1962-10-06,5,25.207,NYT,,BOS,L 14-43,0,0,,0,0,0,,0,,,,,,,,,2,2,100.0,,,,0,2
27,1962,1962-10-14,6,25.215,NYT,@,HOU,L 17-56,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
28,1962,1962-10-21,7,25.222,NYT,@,DTX,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,1,4,25.0,0,5
29,1962,1962-10-28,8,25.229,NYT,,SDG,W 23-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,3,66.7,1,2,50.0,0,5
30,1962,1962-11-04,9,25.236,NYT,,OAK,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
31,1962,1962-11-11,10,25.243,NYT,,DTX,L 31-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,3,4,75.0,0,11
32,1962,1962-11-22,11,25.254,NYT,@,DEN,W 46-45,0,0,,0,0,0,,0,1,32,32.00,0,0,0,,0,5,5,100.0,1,1,100.0,0,8
33,1962,1962-11-30,12,25.262,NYT,@,BOS,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
34,1962,1962-12-08,13,25.270,NYT,,BUF,L 3-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,1,1,100.0,0,3
35,1962,1962-12-15,14,25.277,NYT,,HOU,L 10-44,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
36,1968,1968-09-15,1,31.186,PIT,,NYG,L 20-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,3,66.7,,1,0.0,0,2
