ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
13,2005,2005-12-18,14,22.181,SDG,@,IND,W 26-17,,0,0,,0,0,0,0,,0,0.0%,,4,71,17.75,0,0,0,,0,,0,0,0.0,,
14,2005,2005-12-24,15,22.187,SDG,@,KAN,L 7-20,,0,0,,0,0,0,0,,0,0.0%,,4,85,21.25,0,0,0,,0,,0,0,0.0,,
15,2005,2005-12-31,16,22.194,SDG,,DEN,L 7-23,,0,0,,0,0,0,0,,0,0.0%,,4,87,21.75,0,0,0,,0,,0,0,0.0,,
16,2007,2007-09-09,1,24.081,SDG,,CHI,W 14-3,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,,0,0,0.0,,
17,2007,2007-09-16,2,24.088,SDG,@,NWE,L 14-38,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,1,0,0.00,0,,0,0,0.0,,
18,2007,2007-09-23,3,24.095,SDG,@,GNB,L 24-31,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0,1,3,3.00,0,,0,0,0.0,,
19,2007,2007-09-30,4,24.102,SDG,,KAN,L 16-30,,0,0,,0,1,1,14,14.00,0,100.0%,14.00,6,161,26.83,0,3,28,9.33,0,,0,0,0.0,,
20,2007,2007-10-07,5,24.109,SDG,@,DEN,W 41-3,,1,2,2.00,0,0,0,0,,0,0.0%,,2,49,24.50,0,2,27,13.50,0,,0,0,0.0,,
21,2007,2007-10-14,6,24.116,SDG,,OAK,W 28-14,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0,3,29,9.67,0,,0,0,0.0,,
22,2007,2007-10-28,7,24.130,SDG,,HOU,W 35-10,,1,2,2.00,0,0,0,0,,0,0.0%,,2,54,27.00,0,2,17,8.50,0,,0,0,0.0,,
23,2007,2007-11-04,8,24.137,SDG,@,MIN,L 17-35,,0,0,,0,0,0,0,,0,0.0%,,4,122,30.50,0,2,29,14.50,0,,0,0,0.0,,
24,2007,2007-11-11,9,24.144,SDG,,IND,W 23-21,,0,0,,0,0,0,0,,0,0.0%,,3,125,41.67,1,1,45,45.00,1,,2,12,0.0,,
25,2007,2007-11-18,10,24.151,SDG,@,JAX,L 17-24,,0,0,,0,2,2,0,0.00,0,100.0%,0.00,2,15,7.50,0,3,17,5.67,0,,0,0,0.0,,
26,2007,2007-11-25,11,24.158,SDG,,BAL,W 32-14,,2,1,0.50,0,0,0,0,,0,0.0%,,2,59,29.50,0,3,17,5.67,0,,0,0,0.0,,
27,2007,2007-12-02,12,24.165,SDG,@,KAN,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,2,40,20.00,0,2,3,1.50,0,,0,0,0.0,,
28,2007,2007-12-16,14,24.179,SDG,,DET,W 51-14,,25,122,4.88,2,1,1,13,13.00,0,100.0%,13.00,3,63,21.00,0,0,0,,0,,2,12,0.0,,
29,2007,2007-12-24,15,24.187,SDG,,DEN,W 23-3,,6,17,2.83,0,6,4,7,1.75,0,66.7%,1.17,2,44,22.00,0,0,0,,0,,0,0,0.0,,
30,2007,2007-12-30,16,24.193,SDG,@,OAK,W 30-17,,2,20,10.00,0,2,2,-3,-1.50,0,100.0%,-1.50,3,140,46.67,0,1,14,14.00,0,,0,0,0.0,,
31,2008,2008-09-07,1,25.079,SDG,,CAR,L 24-26,,2,3,1.50,0,0,0,0,,0,0.0%,,2,61,30.50,0,1,12,12.00,0,,0,0,0.0,0,0
32,2008,2008-09-14,2,25.086,SDG,@,DEN,L 38-39,,7,53,7.57,0,2,2,72,36.00,1,100.0%,36.00,5,192,38.40,1,0,0,,0,,2,12,0.0,0,0
33,2008,2008-09-22,3,25.094,SDG,,NYJ,W 48-29,,5,38,7.60,0,2,2,39,19.50,0,100.0%,19.50,2,40,20.00,0,0,0,,0,,0,0,0.0,0,0
34,2008,2008-09-28,4,25.100,SDG,@,OAK,W 28-18,,6,12,2.00,0,2,1,5,5.00,0,50.0%,2.50,5,160,32.00,0,3,18,6.00,0,1,0,2,0.0,0,0
35,2008,2008-10-05,5,25.107,SDG,@,MIA,L 10-17,,6,24,4.00,0,2,1,23,23.00,0,50.0%,11.50,3,71,23.67,0,2,34,17.00,0,,0,0,0.0,0,0
36,2008,2008-10-12,6,25.114,SDG,,NWE,W 30-10,,2,9,4.50,0,1,1,8,8.00,0,100.0%,8.00,1,23,23.00,0,2,50,25.00,0,,0,0,0.0,0,0
37,2008,2008-10-19,7,25.121,SDG,@,BUF,L 14-23,,1,1,1.00,0,2,1,5,5.00,0,50.0%,2.50,4,69,17.25,0,2,16,8.00,0,,0,0,0.0,0,0
38,2008,2008-10-26,8,25.128,SDG,@,NOR,L 32-37,,1,6,6.00,0,4,3,45,15.00,0,75.0%,11.25,8,201,25.13,0,2,20,10.00,0,,0,0,0.0,0,0
39,2008,2008-11-09,9,25.142,SDG,,KAN,W 20-19,,3,15,5.00,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,1,-2,-2.00,0,,0,0,0.0,0,0
40,2008,2008-11-16,10,25.149,SDG,@,PIT,L 10-11,,1,0,0.00,0,1,1,9,9.00,0,100.0%,9.00,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0
41,2008,2008-11-23,11,25.156,SDG,,IND,L 20-23,,2,21,10.50,0,2,2,13,6.50,0,100.0%,6.50,5,101,20.20,0,1,4,4.00,0,,0,0,0.0,0,0
42,2008,2008-11-30,12,25.163,SDG,,ATL,L 16-22,,0,0,,0,0,0,0,,0,0.0%,,4,77,19.25,0,1,12,12.00,0,,0,0,0.0,0,0
43,2008,2008-12-04,13,25.167,SDG,,OAK,W 34-7,,9,30,3.33,0,4,3,34,11.33,2,75.0%,8.50,1,29,29.00,0,3,24,8.00,0,,2,12,0.0,0,0
44,2008,2008-12-14,14,25.177,SDG,@,KAN,W 22-21,,0,0,,0,4,4,11,2.75,0,100.0%,2.75,4,113,28.25,0,0,0,,0,,0,0,0.0,0,0
45,2008,2008-12-21,15,25.184,SDG,@,TAM,W 41-24,,2,3,1.50,0,3,3,46,15.33,1,100.0%,15.33,4,127,31.75,0,2,45,22.50,0,,1,6,0.0,0,0
46,2008,2008-12-28,16,25.191,SDG,,DEN,W 52-21,,14,115,8.21,1,2,2,17,8.50,1,100.0%,8.50,4,96,24.00,0,2,16,8.00,0,,2,12,0.0,0,0
47,2009,2009-09-14,1,26.086,SDG,@,OAK,W 24-20,,9,23,2.56,1,7,5,43,8.60,0,71.4%,6.14,5,170,34.00,0,3,10,3.33,0,,1,6,0.0,0,0
48,2009,2009-09-20,2,26.092,SDG,,BAL,L 26-31,*,10,26,2.60,0,9,7,124,17.71,1,77.8%,13.78,4,128,32.00,0,0,0,,0,,1,6,0.0,0,0
49,2009,2009-09-27,3,26.099,SDG,,MIA,W 23-13,*,18,41,2.28,0,5,2,14,7.00,0,40.0%,2.80,3,61,20.33,0,3,15,5.00,0,,0,0,0.0,0,0
50,2009,2009-10-04,4,26.106,SDG,@,PIT,L 28-38,,0,0,,0,1,1,16,16.00,0,100.0%,16.00,6,154,25.67,0,0,0,,0,,0,0,0.0,0,0
51,2009,2009-10-19,5,26.121,SDG,,DEN,L 23-34,,1,0,0.00,0,1,1,4,4.00,0,100.0%,4.00,7,149,21.29,0,1,77,77.00,1,,1,6,0.0,0,0
52,2009,2009-10-25,6,26.127,SDG,@,KAN,W 37-7,,5,41,8.20,0,3,3,58,19.33,1,100.0%,19.33,2,34,17.00,0,1,18,18.00,0,,1,6,0.0,0,0
53,2009,2009-11-01,7,26.134,SDG,,OAK,W 24-16,,5,38,7.60,0,1,1,8,8.00,0,100.0%,8.00,3,67,22.33,0,3,17,5.67,0,,0,0,0.0,0,0
54,2009,2009-11-08,8,26.141,SDG,@,NYG,W 21-20,,1,1,1.00,0,5,5,22,4.40,0,100.0%,4.40,2,38,19.00,0,0,0,,0,,0,0,0.0,0,0
55,2009,2009-11-15,9,26.148,SDG,,PHI,W 31-23,,2,14,7.00,0,4,4,31,7.75,0,100.0%,7.75,6,147,24.50,0,3,13,4.33,0,,0,0,0.0,0,0
56,2009,2009-11-22,10,26.155,SDG,@,DEN,W 32-3,,9,26,2.89,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,3,6,2.00,0,,0,0,0.0,0,0
57,2009,2009-11-29,11,26.162,SDG,,KAN,W 43-14,,9,17,1.89,0,6,5,66,13.20,0,83.3%,11.00,4,88,22.00,0,1,0,0.00,0,,0,0,0.0,0,0
58,2009,2009-12-06,12,26.169,SDG,@,CLE,W 30-23,,7,27,3.86,0,5,4,56,14.00,1,80.0%,11.20,3,37,12.33,0,1,-1,-1.00,0,,1,6,0.0,0,0
59,2009,2009-12-13,13,26.176,SDG,@,DAL,W 20-17,,7,22,3.14,0,1,1,3,3.00,0,100.0%,3.00,2,42,21.00,0,2,18,9.00,0,,0,0,0.0,0,0
60,2009,2009-12-20,14,26.183,SDG,,CIN,W 27-24,,3,11,3.67,0,3,3,22,7.33,0,100.0%,7.33,2,73,36.50,0,3,5,1.67,0,,0,0,0.0,1,0
61,2009,2009-12-25,15,26.188,SDG,@,TEN,W 42-17,,5,38,7.60,2,3,2,23,11.50,1,66.7%,7.67,4,85,21.25,0,1,6,6.00,0,,3,18,0.0,0,0
62,2009,2010-01-03,16,26.197,SDG,,WAS,W 23-20,,2,18,9.00,0,1,0,0,,0,0.0%,0.00,1,27,27.00,0,1,-1,-1.00,0,,0,0,0.0,0,0
63,2010,2010-09-13,1,27.085,SDG,@,KAN,L 14-21,,4,0,0.00,0,3,2,2,1.00,0,66.7%,0.67,2,32,16.00,0,5,33,6.60,0,,0,0,0.0,0,0
64,2010,2010-09-19,2,27.091,SDG,,JAX,W 38-13,,5,37,7.40,0,4,4,63,15.75,0,100.0%,15.75,3,56,18.67,0,0,0,,0,,0,0,0.0,0,0
65,2010,2010-09-26,3,27.098,SDG,@,SEA,L 20-27,*,1,16,16.00,0,4,1,10,10.00,0,25.0%,2.50,4,101,25.25,0,0,0,,0,,0,0,0.0,0,0
66,2010,2010-10-03,4,27.105,SDG,,ARI,W 41-10,,6,17,2.83,0,0,0,0,,0,0.0%,,2,51,25.50,0,3,19,6.33,0,,0,0,0.0,0,0
67,2010,2010-10-10,5,27.112,SDG,@,OAK,L 27-35,,2,1,0.50,0,4,3,32,10.67,0,75.0%,8.00,4,93,23.25,0,2,20,10.00,0,,0,0,0.0,0,0
68,2010,2010-10-17,6,27.119,SDG,@,STL,L 17-20,,1,9,9.00,0,6,5,48,9.60,0,83.3%,8.00,5,115,23.00,0,2,13,6.50,0,,0,0,0.0,0,0
69,2010,2010-10-24,7,27.126,SDG,,NWE,L 20-23,,2,7,3.50,0,9,9,70,7.78,0,100.0%,7.78,5,136,27.20,0,1,12,12.00,0,,0,0,0.0,0,0
70,2010,2010-10-31,8,27.133,SDG,,TEN,W 33-25,,4,41,10.25,0,6,4,36,9.00,1,66.7%,6.00,4,100,25.00,0,2,14,7.00,0,,1,6,0.0,1,0
71,2010,2010-11-07,9,27.140,SDG,@,HOU,W 29-23,,1,3,3.00,0,2,1,6,6.00,0,50.0%,3.00,4,114,28.50,0,1,0,0.00,0,,0,0,0.0,0,0
72,2010,2010-11-22,10,27.155,SDG,,DEN,W 35-14,*,5,14,2.80,0,9,5,60,12.00,1,55.6%,6.67,2,50,25.00,0,5,36,7.20,0,,1,6,0.0,0,0
73,2010,2010-11-28,11,27.161,SDG,@,IND,W 36-14,*,4,17,4.25,0,4,4,24,6.00,0,100.0%,6.00,3,89,29.67,0,2,19,9.50,0,,0,0,0.0,0,0
74,2010,2010-12-05,12,27.168,SDG,,OAK,L 13-28,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,2,50,25.00,0,1,0,0.00,0,,0,0,0.0,0,0
75,2010,2010-12-12,13,27.175,SDG,,KAN,W 31-0,,6,53,8.83,0,5,5,51,10.20,0,100.0%,10.20,1,27,27.00,0,0,0,,0,,0,0,0.0,0,0
76,2010,2010-12-16,14,27.179,SDG,,SFO,W 34-7,,2,1,0.50,0,6,5,30,6.00,0,83.3%,5.00,2,36,18.00,0,0,0,,0,,0,0,0.0,0,0
77,2010,2010-12-26,15,27.189,SDG,@,CIN,L 20-34,,3,8,2.67,0,10,8,55,6.88,0,80.0%,5.50,5,114,22.80,0,0,0,,0,,0,0,0.0,0,0
78,2010,2011-01-02,16,27.196,SDG,@,DEN,W 33-28,,4,43,10.75,0,2,2,26,13.00,0,100.0%,13.00,3,93,31.00,0,0,0,,0,,0,0,0.0,0,0
79,2011,2011-09-08,1,28.080,NOR,@,GNB,L 34-42,,2,7,3.50,0,9,7,75,10.71,0,77.8%,8.33,2,76,38.00,0,2,92,46.00,1,,0,6,0.0,0,0
80,2011,2011-09-18,2,28.090,NOR,,CHI,W 30-13,,4,17,4.25,0,10,8,43,5.38,1,80.0%,4.30,1,24,24.00,0,2,1,0.50,0,,1,6,0.0,0,0
81,2011,2011-09-25,3,28.097,NOR,,HOU,W 40-33,*,2,35,17.50,1,9,6,50,8.33,0,66.7%,5.56,4,103,25.75,0,1,5,5.00,0,,1,6,0.0,0,0
82,2011,2011-10-02,4,28.104,NOR,@,JAX,W 23-10,*,7,75,10.71,0,7,5,56,11.20,0,71.4%,8.00,2,48,24.00,0,1,9,9.00,0,,0,0,0.0,0,0
83,2011,2011-10-09,5,28.111,NOR,@,CAR,W 30-27,,11,51,4.64,0,7,5,40,8.00,0,71.4%,5.71,0,0,,0,1,-3,-3.00,0,,0,0,0.0,0,0
84,2011,2011-10-16,6,28.118,NOR,@,TAM,L 20-26,,1,16,16.00,0,11,8,46,5.75,0,72.7%,4.18,3,69,23.00,0,1,-10,-10.00,0,,0,0,0.0,0,0
85,2011,2011-10-23,7,28.125,NOR,,IND,W 62-7,*,12,88,7.33,1,6,6,19,3.17,1,100.0%,3.17,2,56,28.00,0,4,27,6.75,0,,2,12,0.0,0,0
86,2011,2011-10-30,8,28.132,NOR,@,STL,L 21-31,,6,16,2.67,0,7,6,60,10.00,0,85.7%,8.57,5,121,24.20,0,3,19,6.33,0,,0,0,0.0,0,0
87,2011,2011-11-06,9,28.139,NOR,,TAM,W 27-16,,4,42,10.50,0,6,5,57,11.40,1,83.3%,9.50,2,54,27.00,0,1,15,15.00,0,,1,6,0.0,1,0
88,2011,2011-11-13,10,28.146,NOR,@,ATL,W 26-23,*,2,1,0.50,0,6,4,2,0.50,0,66.7%,0.33,3,84,28.00,0,2,18,9.00,0,,0,0,0.0,0,0
89,2011,2011-11-28,11,28.161,NOR,,NYG,W 49-24,,8,54,6.75,0,5,2,28,14.00,0,40.0%,5.60,2,62,31.00,0,0,0,,0,,0,0,0.0,0,0
90,2011,2011-12-04,12,28.167,NOR,,DET,W 31-17,,4,28,7.00,0,5,5,46,9.20,1,100.0%,9.20,3,74,24.67,0,2,13,6.50,0,,1,6,0.0,0,0
91,2011,2011-12-11,13,28.174,NOR,@,TEN,W 22-17,,5,33,6.60,0,8,7,58,8.29,0,87.5%,7.25,2,42,21.00,0,3,18,6.00,0,,0,0,0.0,0,0
92,2011,2011-12-18,14,28.181,NOR,@,MIN,W 42-20,,8,33,4.13,0,6,5,79,15.80,1,83.3%,13.17,3,75,25.00,0,3,45,15.00,0,,1,6,0.0,0,0
93,2011,2011-12-26,15,28.189,NOR,,ATL,W 45-16,,5,67,13.40,0,3,2,22,11.00,1,66.7%,7.33,4,147,36.75,0,0,,,0,,1,6,0.0,0,0
94,2011,2012-01-01,16,28.195,NOR,,CAR,W 45-17,,6,40,6.67,0,6,5,29,5.80,1,83.3%,4.83,2,54,27.00,0,3,45,15.00,0,,1,6,0.0,0,0
95,2012,2012-09-09,1,29.081,NOR,,WAS,L 32-40,*,0,0,,0,8,5,35,7.00,1,62.5%,4.38,3,103,34.33,0,2,14,7.00,0,1,1,8,0.0,0,0
96,2012,2012-09-16,2,29.088,NOR,@,CAR,L 27-35,,0,0,,0,14,13,128,9.85,0,92.9%,9.14,2,52,26.00,0,2,30,15.00,0,,0,0,0.0,0,0
97,2012,2012-09-23,3,29.095,NOR,,KAN,L 24-27,,7,62,8.86,0,3,0,0,,0,0.0%,0.00,4,107,26.75,0,1,2,2.00,0,,0,0,0.0,0,0
98,2012,2012-09-30,4,29.102,NOR,@,GNB,L 27-28,*,5,20,4.00,0,7,5,44,8.80,1,71.4%,6.29,3,91,30.33,0,1,4,4.00,0,,1,6,0.0,0,0
99,2012,2012-10-07,5,29.109,NOR,,SDG,W 31-24,*,5,9,1.80,0,7,5,28,5.60,0,71.4%,4.00,2,49,24.50,0,2,2,1.00,0,,0,0,0.0,0,0
100,2012,2012-10-21,6,29.123,NOR,@,TAM,W 35-28,*,5,27,5.40,0,4,4,32,8.00,1,100.0%,8.00,0,0,,0,1,15,15.00,0,,1,6,0.0,0,0
101,2012,2012-10-28,7,29.130,NOR,@,DEN,L 14-34,*,4,-1,-0.25,0,9,7,56,8.00,1,77.8%,6.22,0,0,,0,1,-1,-1.00,0,,1,6,0.0,0,0
102,2012,2012-11-25,11,29.158,NOR,,SFO,L 21-31,,0,0,,0,9,7,65,9.29,0,77.8%,7.22,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0
103,2012,2012-11-29,12,29.162,NOR,@,ATL,L 13-23,,0,0,,0,9,5,47,9.40,0,55.6%,5.22,0,0,,0,4,62,15.50,0,,0,0,0.0,0,0
104,2012,2012-12-09,13,29.172,NOR,@,NYG,L 27-52,,5,56,11.20,1,7,4,28,7.00,1,57.1%,4.00,0,0,,0,2,5,2.50,0,,2,12,0.0,0,0
105,2012,2012-12-16,14,29.179,NOR,,TAM,W 41-0,,5,22,4.40,0,8,5,21,4.20,1,62.5%,2.63,0,0,,0,3,38,12.67,0,,1,6,0.0,0,0
106,2012,2012-12-23,15,29.186,NOR,@,DAL,W 34-31,*,9,48,5.33,0,10,7,104,14.86,0,70.0%,10.40,1,15,15.00,0,2,10,5.00,0,,0,0,0.0,0,0
107,2012,2012-12-30,16,29.193,NOR,,CAR,L 38-44,,3,1,0.33,0,9,8,79,9.88,1,88.9%,8.78,3,66,22.00,0,1,-1,-1.00,0,,1,6,0.0,0,0
108,2013,2013-09-08,1,30.080,NOR,,ATL,W 23-17,,8,22,2.75,0,6,6,88,14.67,0,100.0%,14.67,1,23,23.00,0,4,7,1.75,0,,0,0,0.0,0,0
109,2013,2013-09-15,2,30.087,NOR,@,TAM,W 16-14,*,7,26,3.71,0,8,6,36,6.00,0,75.0%,4.50,1,23,23.00,0,1,-2,-2.00,0,,0,0,0.0,0,0
110,2013,2013-09-22,3,30.094,NOR,,ARI,W 31-7,*,3,17,5.67,0,6,4,39,9.75,0,66.7%,6.50,0,0,,0,3,53,17.67,0,,0,0,0.0,0,0
111,2013,2013-09-30,4,30.102,NOR,,MIA,W 38-17,,4,28,7.00,1,8,7,114,16.29,1,87.5%,14.25,2,36,18.00,0,3,44,14.67,0,,2,12,0.0,0,0
112,2013,2013-10-06,5,30.108,NOR,@,CHI,W 26-18,,3,10,3.33,0,3,3,31,10.33,0,100.0%,10.33,2,38,19.00,0,1,2,2.00,0,,0,0,0.0,0,0
113,2013,2013-10-13,6,30.115,NOR,@,NWE,L 27-30,*,5,15,3.00,0,12,6,58,9.67,0,50.0%,4.83,2,41,20.50,0,3,20,6.67,0,,0,0,0.0,0,0
114,2013,2013-10-27,7,30.129,NOR,,BUF,W 35-17,,0,0,,0,4,4,0,0.00,0,100.0%,0.00,2,51,25.50,0,1,0,0.00,0,,0,0,0.0,0,0
115,2013,2013-11-03,8,30.136,NOR,@,NYJ,L 20-26,*,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
116,2013,2013-11-10,9,30.143,NOR,,DAL,W 49-17,,5,12,2.40,1,7,7,76,10.86,1,100.0%,10.86,0,0,,0,4,18,4.50,0,,2,12,0.0,1,0
117,2013,2013-11-17,10,30.150,NOR,,SFO,W 23-20,,3,16,5.33,0,4,4,19,4.75,0,100.0%,4.75,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0
118,2013,2013-12-02,12,30.165,NOR,@,SEA,L 7-34,,3,11,3.67,0,8,7,32,4.57,0,87.5%,4.00,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0
119,2013,2013-12-08,13,30.171,NOR,,CAR,W 31-13,,1,38,38.00,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,2,17,8.50,0,,0,0,0.0,0,0
120,2013,2013-12-15,14,30.178,NOR,@,STL,L 16-27,,7,24,3.43,0,10,8,38,4.75,0,80.0%,3.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
121,2013,2013-12-22,15,30.185,NOR,@,CAR,L 13-17,,1,2,2.00,0,5,3,18,6.00,0,60.0%,3.60,1,21,21.00,0,4,30,7.50,0,,0,0,0.0,0,0
122,2013,2013-12-29,16,30.192,NOR,,TAM,W 42-17,,3,-1,-0.33,0,4,2,30,15.00,0,50.0%,7.50,1,22,22.00,0,1,0,0.00,0,,0,0,0.0,0,0
123,2014,2014-09-07,1,31.079,PHI,,JAX,W 34-17,,11,71,6.45,1,6,4,14,3.50,0,66.7%,2.33,0,0,,0,4,62,15.50,0,,1,6,0.0,0,0
124,2014,2014-09-15,2,31.087,PHI,@,IND,W 30-27,,4,26,6.50,1,7,7,152,21.71,0,100.0%,21.71,0,0,,0,4,25,6.25,0,,1,6,0.0,0,0
125,2014,2014-09-21,3,31.093,PHI,,WAS,W 37-34,,2,20,10.00,0,4,3,30,10.00,0,75.0%,7.50,0,0,,0,2,27,13.50,0,,0,0,0.0,0,0
126,2014,2014-09-28,4,31.100,PHI,@,SFO,L 21-26,,1,4,4.00,0,4,2,2,1.00,0,50.0%,0.50,0,0,,0,3,86,28.67,1,,0,6,0.0,0,0
127,2014,2014-10-05,5,31.107,PHI,,STL,W 34-28,,7,51,7.29,0,0,0,0,,0,0.0%,,1,15,15.00,0,1,23,23.00,0,,0,0,0.0,0,0
128,2014,2014-10-12,6,31.114,PHI,,NYG,W 27-0,,7,39,5.57,1,4,0,0,,0,0.0%,0.00,0,0,,0,4,57,14.25,0,,1,6,0.0,1,0
129,2014,2014-11-02,8,31.135,PHI,@,HOU,W 31-21,,3,17,5.67,0,5,4,46,11.50,0,80.0%,9.20,0,0,,0,2,27,13.50,0,,0,0,0.0,0,0
130,2014,2014-11-10,9,31.143,PHI,,CAR,W 45-21,,1,8,8.00,1,2,1,13,13.00,0,50.0%,6.50,0,0,,0,3,85,28.33,1,,1,12,0.0,0,0
131,2014,2014-11-16,10,31.149,PHI,@,GNB,L 20-53,,2,21,10.50,0,6,2,23,11.50,0,33.3%,3.83,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0
132,2014,2014-11-23,11,31.156,PHI,,TEN,W 43-24,,6,25,4.17,1,4,3,14,4.67,0,75.0%,3.50,0,0,,0,6,50,8.33,0,,1,6,0.0,0,0
133,2014,2014-11-27,12,31.160,PHI,@,DAL,W 33-10,,1,13,13.00,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,3,32,10.67,0,,0,0,0.0,0,0
134,2014,2014-12-07,13,31.170,PHI,,SEA,L 14-24,,4,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0
135,2014,2014-12-14,14,31.177,PHI,,DAL,L 27-38,,3,5,1.67,1,2,2,8,4.00,0,100.0%,4.00,0,0,,0,1,1,1.00,0,,1,6,0.0,0,0
136,2014,2014-12-20,15,31.183,PHI,@,WAS,L 24-27,,4,24,6.00,0,9,6,43,7.17,0,66.7%,4.78,0,0,,0,2,10,5.00,0,,0,0,0.0,0,0
137,2014,2014-12-28,16,31.191,PHI,@,NYG,W 34-26,,1,5,5.00,0,6,3,23,7.67,0,50.0%,3.83,0,0,,0,2,15,7.50,0,,0,0,0.0,0,0
138,2015,2015-09-14,1,32.086,PHI,@,ATL,L 24-26,,5,50,10.00,0,9,7,76,10.86,0,77.8%,8.44,0,0,,0,3,25,8.33,0,,0,0,0.0,0,0
139,2015,2015-09-20,2,32.092,PHI,,DAL,L 10-20,,1,-4,-4.00,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,2,20,10.00,0,,0,0,0.0,0,0
140,2015,2015-09-27,3,32.099,PHI,@,NYJ,W 24-17,*,11,17,1.55,1,6,4,19,4.75,0,66.7%,3.17,0,0,,0,3,89,29.67,1,,2,12,0.0,0,0
141,2015,2015-10-04,4,32.106,PHI,@,WAS,L 20-23,*,4,17,4.25,0,3,0,0,,0,0.0%,0.00,0,0,,0,1,45,45.00,0,,0,0,0.0,0,0
142,2015,2015-10-11,5,32.113,PHI,,NOR,W 39-17,,5,27,5.40,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
