ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
39,1971,1971-12-12,13,24.322,PHI,,STL,W 19-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,28,0,0,0,,0
40,1971,1971-12-19,14,24.329,PHI,@,NYG,W 41-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
41,1972,1972-09-17,1,25.237,PHI,@,DAL,L 6-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,18,0,0,0,,0
42,1972,1972-09-24,2,25.244,PHI,,CLE,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,69,34.50,0,0,0,1,21,0,0,0,,0
43,1972,1972-10-02,3,25.252,PHI,,NYG,L 12-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,0,0,1,14,0,2,84,42.00,0
44,1972,1972-10-08,4,25.258,PHI,@,WAS,L 0-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,2,0,0,6,208,34.67,0
45,1972,1972-10-15,5,25.265,PHI,,RAM,L 3-34,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,2.00,0,1,4,4.00,0,0,0,0,0,0,5,227,45.40,0
46,1972,1972-10-22,6,25.272,PHI,@,KAN,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,19,4.75,0,0,0,0,0,0,6,239,39.83,0
47,1972,1972-10-29,7,25.279,PHI,@,NOR,L 3-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,5,206,41.20,0
48,1972,1972-11-05,8,25.286,PHI,,STL,T 6-6,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,13,3.25,0,0,0,2,20,0,5,218,43.60,0
49,1972,1972-11-12,9,25.293,PHI,@,HOU,W 18-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,1,0,0,4,171,42.75,0
50,1972,1972-11-19,10,25.300,PHI,,DAL,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0,2,79,39.50,0
51,1972,1972-11-26,11,25.307,PHI,@,NYG,L 10-62,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,0,5,202,40.40,0
52,1972,1972-12-03,12,25.314,PHI,,WAS,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,0,0,0,0,0,6,249,41.50,0
53,1972,1972-12-10,13,25.321,PHI,,CHI,L 12-21,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,3,13,4.33,0,0,0,0,0,0,5,206,41.20,0
54,1972,1972-12-17,14,25.328,PHI,@,STL,L 23-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,0,5,161,32.20,0
55,1973,1973-09-16,1,26.235,PHI,,STL,L 23-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1973,1973-09-23,2,26.242,PHI,@,NYG,T 23-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
57,1973,1973-09-30,3,26.249,PHI,,WAS,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
58,1973,1973-10-07,4,26.256,PHI,@,BUF,L 26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1973,1973-10-14,5,26.263,PHI,@,STL,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,38,19.00,0,0,0,0,0,0,0,0,,0
60,1973,1973-10-21,6,26.270,PHI,@,MIN,L 21-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1973,1973-10-28,7,26.277,PHI,,DAL,W 30-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1973,1973-11-04,8,26.284,PHI,,NWE,W 24-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1973,1973-11-11,9,26.291,PHI,,ATL,L 27-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1973,1973-11-18,10,26.298,PHI,@,DAL,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,8,2.67,0,0,0,1,3,0,4,191,47.75,0
65,1973,1973-11-25,11,26.305,PHI,,NYG,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,43,43.00,0,0,0,0,0,0,1,49,49.00,0
66,1973,1973-12-02,12,26.312,PHI,@,SFO,L 28-38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,0,0,1,0,0,7,247,35.29,0
67,1973,1973-12-09,13,26.319,PHI,,NYJ,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,3,148,49.33,0
68,1973,1973-12-16,14,26.326,PHI,@,WAS,L 20-38,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,18,0,3,100,33.33,0
69,1974,1974-09-15,1,27.234,PHI,@,STL,L 3-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
70,1974,1974-09-23,2,27.242,PHI,,DAL,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
71,1974,1974-09-29,3,27.248,PHI,,BAL,W 30-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1974,1974-10-06,4,27.255,PHI,@,SDG,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,19,0,0,0,,0
73,1974,1974-10-13,5,27.262,PHI,,NYG,W 35-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,70,17.50,0,0,0,0,0,0,0,0,,0
74,1974,1974-10-20,6,27.269,PHI,@,DAL,L 24-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
75,1974,1974-10-27,7,27.276,PHI,@,NOR,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,17,17.00,0,0,0,0,0,0,0,0,,0
76,1974,1974-11-03,8,27.283,PHI,@,PIT,L 0-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0,0,0,0,0,,0
77,1974,1974-11-10,9,27.290,PHI,,WAS,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,60,12.00,0,0,0,0,0,0,0,0,,0
78,1974,1974-11-17,10,27.297,PHI,,STL,L 3-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,0,0,0,0,0,,0
79,1974,1974-11-24,11,27.304,PHI,@,WAS,L 7-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0,0,0,0,0,,0
80,1974,1974-12-01,12,27.311,PHI,,GNB,W 36-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,21,10.50,0,0,0,0,0,0,0,0,,0
81,1974,1974-12-08,13,27.318,PHI,@,NYG,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,30,15.00,0,0,0,1,0,0,2,67,33.50,0
82,1974,1974-12-15,14,27.325,PHI,,DET,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,0,0,0,0,0,0,0,,0
83,1975,1975-09-21,1,28.240,PHI,,NYG,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,-2,-0.67,0,0,0,1,3,0,0,0,,0
84,1975,1975-09-28,2,28.247,PHI,@,CHI,L 13-15,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0,0,0,,0
85,1975,1975-10-05,3,28.254,PHI,,WAS,W 26-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,2,39,0,0,0,,0
86,1975,1975-10-12,4,28.261,PHI,@,MIA,L 16-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1975,1975-10-19,5,28.268,PHI,@,STL,L 20-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1975,1975-10-26,6,28.275,PHI,,DAL,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1975,1975-11-03,7,28.283,PHI,,RAM,L 3-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1975,1975-11-09,8,28.289,PHI,,STL,L 23-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
91,1975,1975-11-16,9,28.296,PHI,@,NYG,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1975,1975-11-23,10,28.303,PHI,@,DAL,L 17-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1975,1975-11-30,11,28.310,PHI,,SFO,W 27-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1975,1975-12-07,12,28.317,PHI,,CIN,L 0-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1975,1975-12-14,13,28.324,PHI,@,DEN,L 10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1975,1975-12-21,14,28.331,PHI,@,WAS,W 26-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1976,1976-09-12,1,29.232,PHI,@,DAL,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1976,1976-09-19,2,29.239,PHI,,NYG,W 20-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1976,1976-09-27,3,29.247,PHI,,WAS,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,11,0,0,0,,0
100,1976,1976-10-03,4,29.253,PHI,@,ATL,W 14-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,0,0,0,0,0,0,0,,0
101,1976,1976-10-10,5,29.260,PHI,@,STL,L 14-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1976,1976-10-17,6,29.267,PHI,@,GNB,L 13-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1976,1976-10-24,7,29.274,PHI,,MIN,L 12-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,52,0,0,0,,0
104,1976,1976-10-31,8,29.281,PHI,@,NYG,W 10-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1976,1976-11-07,9,29.288,PHI,,STL,L 14-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1976,1976-11-14,10,29.295,PHI,@,CLE,L 3-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1976,1976-11-21,11,29.302,PHI,,OAK,L 7-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1976,1976-11-28,12,29.309,PHI,@,WAS,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,31,7.75,0,0,0,0,0,0,0,0,,0
109,1976,1976-12-05,13,29.316,PHI,,DAL,L 7-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,25,8.33,0,0,0,0,0,0,0,0,,0
110,1976,1976-12-12,14,29.323,PHI,,SEA,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1977,1977-11-24,11,30.304,STL,,MIA,L 14-55,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,2,15,7.50,0,0,0,0,0,0,0,0,,0
112,1977,1977-12-04,12,30.314,STL,@,NYG,L 7-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,18,9.00,0,0,0,0,0,0,0,0,,0
113,1977,1977-12-10,13,30.320,STL,,WAS,L 20-26,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,4,25,6.25,0,0,0,0,0,0,0,0,,0
114,1977,1977-12-18,14,30.328,STL,@,TAM,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,3,19,6.33,0,0,0,0,0,0,0,0,,0
