ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
53,2009,2009-10-25,6,27.051,IND,@,STL,W 42-6,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
54,2009,2009-11-01,7,27.058,IND,,SFO,W 18-14,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
55,2009,2009-11-15,9,27.072,IND,,NWE,W 35-34,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
56,2009,2009-11-29,11,27.086,IND,@,HOU,W 35-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
57,2009,2009-12-17,14,27.104,IND,@,JAX,W 35-31,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
58,2009,2009-12-27,15,27.114,IND,,NYJ,L 15-29,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
59,2009,2010-01-03,16,27.121,IND,@,BUF,L 7-30,,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
60,2010,2010-09-12,1,28.008,PHI,,GNB,L 20-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
61,2010,2010-09-19,2,28.015,PHI,@,DET,W 35-32,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
62,2010,2010-09-26,3,28.022,MIN,,DET,W 24-10,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
63,2010,2010-11-07,8,28.064,MIN,,ARI,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
64,2010,2010-11-14,9,28.071,MIN,@,CHI,L 13-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
65,2010,2010-11-28,11,28.085,MIN,@,WAS,W 17-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
66,2010,2010-12-20,14,28.107,MIN,,CHI,L 14-40,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,2,0
67,2010,2011-01-02,16,28.120,MIN,@,DET,L 13-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
