ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
55,1982,1982-12-26,8,25.284,BAL,@,SDG,L 26-44,,,,,0,0,,0,,,,,,
56,1982,1983-01-02,9,25.291,BAL,,MIA,L 7-34,,,,,0,0,,0,,,,,,
57,1983,1983-09-04,1,26.171,BAL,@,NWE,W 29-23,0,0,,0,,,,,,,,,,
58,1983,1983-09-11,2,26.178,BAL,,DEN,L 10-17,1,-1,-1.00,0,0,0,,0,0,0,0.0,0,0,0
59,1983,1983-09-18,3,26.185,BAL,@,BUF,L 23-28,0,0,,0,,,,,,,,,,
60,1983,1983-09-25,4,26.192,BAL,,CHI,W 22-19,0,0,,0,,,,,,,,,,
61,1983,1983-10-02,5,26.199,BAL,@,CIN,W 34-31,0,0,,0,,,,,,,,,,
62,1983,1983-10-09,6,26.206,BAL,,NWE,W 12-7,0,0,,0,,,,,,,,,,
63,1983,1983-10-16,7,26.213,BAL,,BUF,L 7-30,0,0,,0,,,,,,,,,,
64,1983,1983-10-23,8,26.220,BAL,,MIA,L 7-21,0,0,,0,,,,,,,,,,
65,1983,1983-10-30,9,26.227,BAL,@,PHI,W 22-21,0,0,,0,,,,,,,,,,
66,1983,1983-11-06,10,26.234,BAL,@,NYJ,W 17-14,0,0,,0,0,0,,0,0,0,1.0,0,0,0
67,1983,1983-11-13,11,26.241,BAL,,PIT,L 13-24,0,0,,0,,,,,,,,,,
68,1983,1983-11-20,12,26.248,BAL,@,MIA,L 0-37,0,0,,0,,,,,,,,,,
69,1983,1983-11-27,13,26.255,BAL,@,CLE,L 23-41,0,0,,0,,,,,,,,,,
70,1983,1983-12-04,14,26.262,BAL,,NYJ,L 6-10,0,0,,0,,,,,,,,,,
71,1983,1983-12-11,15,26.269,BAL,@,DEN,L 19-21,0,0,,0,,,,,,,,,,
72,1983,1983-12-18,16,26.276,BAL,,HOU,W 20-10,0,0,,0,,,,,,,,,,
73,1984,1984-09-02,1,27.169,IND,,NYJ,L 14-23,,,,,,,,,,,,,,
74,1984,1984-09-09,2,27.176,IND,@,HOU,W 35-21,,,,,,,,,,,,,,
75,1984,1984-09-16,3,27.183,IND,,STL,L 33-34,,,,,,,,,,,,,,
76,1984,1984-09-23,4,27.190,IND,@,MIA,L 7-44,,,,,,,,,,,,,,
77,1984,1984-09-30,5,27.197,IND,,BUF,W 31-17,,,,,,,,,,,,,,
78,1984,1984-10-07,6,27.204,IND,,WAS,L 7-35,,,,,,,,,,,,,,
79,1984,1984-10-14,7,27.211,IND,@,PHI,L 7-16,0,0,,0,0,0,,0,0,0,0.0,1,2,0
80,1984,1984-10-21,8,27.218,IND,,PIT,W 17-16,,,,,,,,,,,,,,
81,1984,1984-10-28,9,27.225,IND,@,DAL,L 3-22,,,,,,,,,,,,,,
82,1984,1984-11-04,10,27.232,IND,,SDG,L 10-38,0,0,,0,0,0,,0,0,0,0.0,1,18,0
83,1984,1984-11-11,11,27.239,IND,@,NYJ,W 9-5,,,,,,,,,,,,,,
84,1984,1984-11-18,12,27.246,IND,,NWE,L 17-50,,,,,,,,,,,,,,
85,1984,1984-11-25,13,27.253,IND,@,RAI,L 7-21,0,0,,0,0,0,,0,0,0,0.0,1,0,0
86,1984,1984-12-02,14,27.260,IND,@,BUF,L 15-21,,,,,,,,,,,,,,
87,1984,1984-12-09,15,27.267,IND,,MIA,L 17-35,,,,,,,,,,,,,,
88,1984,1984-12-16,16,27.274,IND,@,NWE,L 10-16,0,0,,0,0,0,,0,0,0,1.0,0,0,0
89,1985,1985-09-08,1,28.175,IND,@,PIT,L 3-45,,,,,,,,,,,,,,
90,1985,1985-09-15,2,28.182,IND,@,MIA,L 13-30,,,,,,,,,,,,,,
91,1985,1985-09-22,3,28.189,IND,,DET,W 14-6,,,,,,,,,,,,,,
92,1985,1985-09-29,4,28.196,IND,@,NYJ,L 20-25,0,0,,0,0,0,,0,0,0,1.0,0,0,0
93,1985,1985-10-06,5,28.203,IND,,BUF,W 49-17,0,0,,0,0,0,,0,0,0,0.0,1,0,0
94,1985,1985-10-13,6,28.210,IND,,DEN,L 10-15,,,,,,,,,,,,,,
95,1985,1985-10-20,7,28.217,IND,@,BUF,L 9-21,,,,,,,,,,,,,,
96,1985,1985-10-27,8,28.224,IND,,GNB,W 37-10,,,,,,,,,,,,,,
97,1985,1985-11-03,9,28.231,IND,,NYJ,L 17-35,,,,,,,,,,,,,,
98,1985,1985-11-10,10,28.238,IND,@,NWE,L 15-34,,,,,,,,,,,,,,
99,1985,1985-11-17,11,28.245,IND,,MIA,L 20-34,,,,,,,,,,,,,,
100,1985,1985-11-24,12,28.252,IND,@,KAN,L 7-20,,,,,,,,,,,,,,
101,1985,1985-12-01,13,28.259,IND,,NWE,L 31-38,,,,,,,,,,,,,,
102,1985,1985-12-08,14,28.266,IND,@,CHI,L 10-17,,,,,,,,,,,,,,
103,1985,1985-12-15,15,28.273,IND,@,TAM,W 31-23,,,,,,,,,,,,,,
104,1985,1985-12-22,16,28.280,IND,,HOU,W 34-16,,,,,,,,,,,,,,
105,1986,1986-09-07,1,29.174,IND,@,NWE,L 3-33,,,,,,,,,,,,,,
106,1986,1986-09-14,2,29.181,IND,@,MIA,L 10-30,,,,,,,,,,,,,,
107,1986,1986-09-21,3,29.188,IND,,RAM,L 7-24,,,,,,,,,,,,,,
108,1986,1986-09-28,4,29.195,IND,,NYJ,L 7-26,,,,,,,,,,,,,,
109,1987,1987-09-13,1,30.180,IND,,CIN,L 21-23,,,,,,,,,,,,,,
110,1987,1987-09-20,2,30.187,IND,,MIA,L 10-23,,,,,,,,,,,,,,
111,1987,1987-10-25,6,30.222,IND,,NWE,W 30-16,,,,,,,,,,,,,,
112,1987,1987-11-01,7,30.229,IND,@,NYJ,W 19-14,,,,,,,,,,,,,,
113,1987,1987-11-08,8,30.236,IND,,SDG,L 13-16,,,,,,,,,,,,,,
114,1987,1987-11-15,9,30.243,IND,@,MIA,W 40-21,,,,,,,,,,,,,,
115,1987,1987-11-22,10,30.250,IND,@,NWE,L 0-24,0,0,,0,0,0,,0,0,0,1.0,0,0,0
116,1987,1987-11-29,11,30.257,IND,,HOU,W 51-27,,,,,,,,,,,,,,
117,1987,1987-12-06,12,30.264,IND,@,CLE,W 9-7,,,,,,,,,,,,,,
118,1987,1987-12-13,13,30.271,IND,,BUF,L 3-27,,,,,,,,,,,,,,
119,1987,1987-12-20,14,30.278,IND,@,SDG,W 20-7,0,0,,0,0,0,,0,0,0,1.0,0,0,0
120,1987,1987-12-27,15,30.285,IND,,TAM,W 24-6,,,,,,,,,,,,,,
121,1988,1988-09-04,1,31.171,IND,,HOU,L 14-17,,,,,,,,,,,,,,
122,1988,1988-09-11,2,31.178,IND,,CHI,L 13-17,,,,,,,,,,,,,,
123,1988,1988-09-19,3,31.186,IND,@,CLE,L 17-23,,,,,,,,,,,,,,
124,1988,1988-09-25,4,31.192,IND,,MIA,W 15-13,,,,,,,,,,,,,,
125,1988,1988-10-02,5,31.199,IND,@,NWE,L 17-21,,,,,,,,,,,,,,
126,1988,1988-10-09,6,31.206,IND,@,BUF,L 23-34,0,0,,0,0,0,,0,0,0,0.0,1,3,0
127,1988,1988-10-16,7,31.213,IND,,TAM,W 35-31,,,,,,,,,,,,,,
128,1988,1988-10-23,8,31.220,IND,@,SDG,W 16-0,,,,,,,,,,,,,,
129,1988,1988-10-31,9,31.228,IND,,DEN,W 55-23,,,,,,,,,,,,,,
130,1988,1988-11-06,10,31.234,IND,,NYJ,W 38-14,,,,,,,,,,,,,,
131,1988,1988-11-13,11,31.241,IND,@,GNB,W 20-13,,,,,,,,,,,,,,
132,1988,1988-11-20,12,31.248,IND,@,MIN,L 3-12,,,,,,,,,,,,,,
133,1988,1988-11-27,13,31.255,IND,,NWE,W 24-21,,,,,,,,,,,,,,
134,1988,1988-12-04,14,31.262,IND,@,MIA,W 31-28,,,,,,,,,,,,,,
135,1988,1988-12-10,15,31.268,IND,@,NYJ,L 16-34,,,,,,,,,,,,,,
136,1988,1988-12-18,16,31.276,IND,,BUF,W 17-14,,,,,,,,,,,,,,
137,1989,1989-09-10,1,32.177,MIA,,BUF,L 24-27,,,,,,,,,,,,,,
138,1989,1989-09-17,2,32.184,MIA,@,NWE,W 24-10,,,,,,,,,,,,,,
139,1989,1989-09-24,3,32.191,MIA,,NYJ,L 33-40,,,,,,,,,,,,,,
140,1989,1989-10-01,4,32.198,MIA,@,HOU,L 7-39,,,,,,,,,,,,,,
141,1989,1989-10-08,5,32.205,MIA,,CLE,W 13-10,,,,,,,,,,,,,,
142,1989,1989-10-15,6,32.212,MIA,@,CIN,W 20-13,,,,,,,,,,,,,,
143,1989,1989-10-22,7,32.219,MIA,,GNB,W 23-20,,,,,,,,,,,,,,
144,1989,1989-10-29,8,32.226,MIA,@,BUF,L 17-31,,,,,,,,,,,,,,
145,1989,1989-11-05,9,32.233,MIA,,IND,W 19-13,,,,,,,,,,,,,,
146,1989,1989-11-12,10,32.240,MIA,@,NYJ,W 31-23,,,,,,,,,,,,,,
147,1989,1989-11-19,11,32.247,MIA,@,DAL,W 17-14,,,,,,,,,,,,,,
148,1989,1989-11-26,12,32.254,MIA,,PIT,L 14-34,0,0,,0,0,0,,0,0,0,1.0,0,0,0
149,1989,1989-12-03,13,32.261,MIA,@,KAN,L 21-26,,,,,,,,,,,,,,
150,1989,1989-12-10,14,32.268,MIA,,NWE,W 31-10,,,,,,,,,,,,,,
151,1989,1989-12-17,15,32.275,MIA,@,IND,L 13-42,,,,,,,,,,,,,,
152,1989,1989-12-24,16,32.282,MIA,,KAN,L 24-27,,,,,,,,,,,,,,
