ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
22,2016,2016-10-30,8,23.200,SDG,@,DEN,L 19-27,*,23,111,4.83,0,7,4,44,11.00,0,57.1%,6.29,,0,0
23,2016,2016-11-06,9,23.207,SDG,,TEN,W 43-35,*,32,196,6.13,1,4,4,65,16.25,0,100.0%,16.25,,1,6
24,2016,2016-11-13,10,23.214,SDG,,MIA,L 24-31,*,24,70,2.92,0,8,5,62,12.40,0,62.5%,7.75,,0,0
25,2016,2016-11-27,11,23.228,SDG,@,HOU,W 21-13,*,17,70,4.12,0,4,4,19,4.75,0,100.0%,4.75,,0,0
26,2016,2016-12-04,12,23.235,SDG,,TAM,L 21-28,*,17,84,4.94,1,6,4,54,13.50,0,66.7%,9.00,,1,6
27,2016,2016-12-11,13,23.242,SDG,@,CAR,L 16-28,*,3,5,1.67,0,1,0,0,,0,0.0%,0.00,,0,0
28,2017,2017-09-11,1,24.151,LAC,@,DEN,L 21-24,*,18,54,3.00,0,6,5,25,5.00,1,83.3%,4.17,,1,6
29,2017,2017-09-17,2,24.157,LAC,,MIA,L 17-19,*,9,13,1.44,1,8,7,65,9.29,0,87.5%,8.13,,1,6
30,2017,2017-09-24,3,24.164,LAC,,KAN,L 10-24,*,17,79,4.65,1,2,0,0,,0,0.0%,0.00,,1,6
31,2017,2017-10-01,4,24.171,LAC,,PHI,L 24-26,*,10,22,2.20,0,3,1,7,7.00,0,33.3%,2.33,,0,0
32,2017,2017-10-08,5,24.178,LAC,@,NYG,W 27-22,*,20,105,5.25,0,8,6,58,9.67,2,75.0%,7.25,,2,12
33,2017,2017-10-15,6,24.185,LAC,@,OAK,W 17-16,*,25,83,3.32,1,12,9,67,7.44,1,75.0%,5.58,,2,12
34,2017,2017-10-22,7,24.192,LAC,,DEN,W 21-0,*,18,38,2.11,0,4,1,6,6.00,0,25.0%,1.50,,0,0
35,2017,2017-10-29,8,24.199,LAC,@,NWE,L 13-21,*,14,132,9.43,1,2,1,7,7.00,0,50.0%,3.50,,1,6
36,2017,2017-11-12,9,24.213,LAC,@,JAX,L 17-20,*,16,27,1.69,0,8,5,15,3.00,0,62.5%,1.88,,0,0
37,2017,2017-11-19,10,24.220,LAC,,BUF,W 54-24,*,20,80,4.00,1,2,0,0,,0,0.0%,0.00,,1,6
38,2017,2017-11-23,11,24.224,LAC,@,DAL,W 28-6,*,21,65,3.10,0,3,3,23,7.67,0,100.0%,7.67,,0,0
39,2017,2017-12-03,12,24.234,LAC,,CLE,W 19-10,*,19,77,4.05,0,4,4,29,7.25,0,100.0%,7.25,,0,0
40,2017,2017-12-10,13,24.241,LAC,,WAS,W 30-13,*,22,78,3.55,1,3,1,5,5.00,0,33.3%,1.67,,1,6
41,2017,2017-12-16,14,24.247,LAC,@,KAN,L 13-30,*,19,78,4.11,1,8,6,91,15.17,0,75.0%,11.38,,1,6
42,2017,2017-12-24,15,24.255,LAC,@,NYJ,W 14-7,*,19,81,4.26,1,3,3,47,15.67,0,100.0%,15.67,,1,6
43,2017,2017-12-31,16,24.262,LAC,,OAK,W 30-10,*,17,93,5.47,0,7,6,31,5.17,0,85.7%,4.43,,0,0
44,2018,2018-09-09,1,25.149,LAC,,KAN,L 28-38,*,15,64,4.27,0,13,9,102,11.33,0,69.2%,7.85,1,0,2
45,2018,2018-09-16,2,25.156,LAC,@,BUF,W 31-20,*,9,28,3.11,1,7,6,38,6.33,2,85.7%,5.43,,3,18
46,2018,2018-09-23,3,25.163,LAC,@,LAR,L 23-35,*,15,80,5.33,1,4,2,4,2.00,0,50.0%,1.00,,1,6
