ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
19,2009,2009-10-04,4,26.000,NYJ,@,NOR,L 10-24,,5,1,8,8.00,0,20.0%,1.60,0,0,,0,,,,,0,,,,
20,2009,2009-10-11,5,26.007,CLE,@,BUF,W 6-3,,2,,,,,0.0%,,,,,,,,,,,,,,
21,2009,2009-10-18,6,26.014,CLE,@,PIT,L 14-27,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0
22,2009,2009-10-25,7,26.021,CLE,,GNB,L 3-31,,,,,,,0.0%,,,,,,,,,,,,,,
23,2009,2009-11-01,8,26.028,CLE,@,CHI,L 6-30,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2009,2009-11-22,10,26.049,CLE,@,DET,L 37-38,,6,5,76,15.20,1,83.3%,12.67,0,0,,0,0,0,,0,1,6,0.0,0,0
25,2009,2009-11-29,11,26.056,CLE,@,CIN,L 7-16,,8,4,44,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2009,2009-12-06,12,26.063,CLE,,SDG,L 23-30,,5,3,23,7.67,0,60.0%,4.60,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
27,2009,2009-12-10,13,26.067,CLE,,PIT,W 13-6,,2,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,0,0,0.0,0,0
28,2009,2009-12-20,14,26.077,CLE,@,KAN,W 41-34,,6,5,41,8.20,0,83.3%,6.83,0,0,,0,0,0,,0,0,0,0.0,1,0
29,2009,2009-12-27,15,26.084,CLE,,OAK,W 23-9,,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2009,2010-01-03,16,26.091,CLE,,JAX,W 23-17,,1,,,,,0.0%,,,,,,,,,,,,,,
31,2010,2010-09-12,1,26.343,CLE,@,TAM,L 14-17,,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2010,2010-09-19,2,26.350,CLE,,KAN,L 14-16,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2010,2010-09-26,3,26.357,CLE,@,BAL,L 17-24,*,,,,,,0.0%,,,,,,,,,,,,,,
34,2010,2010-10-03,4,26.364,CLE,,CIN,W 23-20,,7,5,56,11.20,0,71.4%,8.00,0,0,,0,0,0,,0,0,0,0.0,1,0
35,2010,2010-10-10,5,27.006,CLE,,ATL,L 10-20,*,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,,0,0,0,0.0,1,0
36,2010,2010-10-17,6,27.013,CLE,@,PIT,L 10-28,,5,4,46,11.50,0,80.0%,9.20,1,2,2.00,0,1,0,0.00,0,0,0,0.0,0,0
37,2010,2010-10-24,7,27.020,CLE,@,NOR,W 30-17,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2010,2010-11-07,8,27.034,CLE,,NWE,W 34-14,,3,2,6,3.00,0,66.7%,2.00,1,11,11.00,1,0,0,,0,1,6,0.0,0,0
39,2010,2010-11-14,9,27.041,CLE,,NYJ,L 20-26,*,6,4,27,6.75,0,66.7%,4.50,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
40,2010,2010-11-21,10,27.048,CLE,@,JAX,L 20-24,*,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2010,2010-11-28,11,27.055,CLE,,CAR,W 24-23,,1,1,24,24.00,0,100.0%,24.00,1,-4,-4.00,0,0,0,,0,0,0,0.0,0,0
42,2010,2010-12-05,12,27.062,CLE,@,MIA,W 13-10,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0,0.0,0,0
43,2010,2010-12-12,13,27.069,CLE,@,BUF,L 6-13,,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2010,2010-12-19,14,27.076,CLE,@,CIN,L 17-19,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
45,2010,2010-12-26,15,27.083,CLE,,BAL,L 10-20,,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2010,2011-01-02,16,27.090,CLE,,PIT,L 9-41,,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2011,2011-09-11,1,27.342,ARI,,CAR,W 28-21,,,,,,,0.0%,,,,,,,,,,,,,,
48,2011,2011-09-18,2,27.349,ARI,@,WAS,L 21-22,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0.0,1,0
49,2011,2011-10-30,7,28.026,ARI,@,BAL,L 27-30,,,,,,,0.0%,,,,,,,,,,,,,,
50,2011,2011-11-06,8,28.033,ARI,,STL,W 19-13,,,,,,,0.0%,,,,,,,,,,,,,,
51,2011,2011-11-13,9,28.040,ARI,@,PHI,W 21-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2011,2011-11-20,10,28.047,ARI,@,SFO,L 7-23,,,,,,,0.0%,,,,,,,,,,,,,,
53,2011,2011-12-18,14,28.075,ARI,,CLE,W 20-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2011,2011-12-24,15,28.081,ARI,@,CIN,L 16-23,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
55,2011,2012-01-01,16,28.089,ARI,,SEA,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,
