ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
24,1998,1998-11-01,8,22.216,NWE,@,IND,W 21-16,,0,0,,0,3,21,7.00,0,0.0,0,0,0
25,1998,1998-11-08,9,22.223,NWE,,ATL,L 10-41,,1,0,0.00,0,3,11,3.67,0,0.0,0,0,0
26,1998,1998-11-15,10,22.230,NWE,@,BUF,L 10-13,,2,44,22.00,0,1,3,3.00,0,0.0,0,0,0
27,1998,1998-11-23,11,22.238,NWE,,MIA,W 26-23,,1,12,12.00,0,1,7,7.00,0,0.0,0,0,0
28,1998,1998-11-29,12,22.244,NWE,,BUF,W 25-21,,0,0,,0,1,30,30.00,0,0.0,0,0,0
29,1998,1998-12-06,13,22.251,NWE,@,PIT,W 23-9,,1,15,15.00,0,2,7,3.50,0,0.0,0,0,0
30,1998,1998-12-13,14,22.258,NWE,@,STL,L 18-32,,0,0,,0,2,26,13.00,0,0.0,0,0,0
31,1998,1998-12-20,15,22.265,NWE,,SFO,W 24-21,,,,,,,,,,,,,
32,1998,1998-12-27,16,22.272,NWE,@,NYJ,L 10-31,,1,24,24.00,0,0,0,,0,0.0,0,0,0
33,1999,1999-09-12,1,23.166,SEA,,DET,L 20-28,,,,,,,,,,,,,
34,1999,1999-09-19,2,23.173,SEA,@,CHI,W 14-13,,,,,,,,,,,,,
35,1999,1999-09-26,3,23.180,SEA,@,PIT,W 29-10,,,,,,,,,,,,,
36,1999,1999-10-03,4,23.187,SEA,,OAK,W 22-21,,,,,,,,,,,,,
37,1999,1999-10-17,5,23.201,SEA,@,SDG,L 10-13,,0,0,,0,0,0,,0,0.0,1,7,0
38,1999,1999-10-24,6,23.208,SEA,,BUF,W 26-16,,,,,,,,,,,,,
39,1999,1999-11-01,7,23.216,SEA,@,GNB,W 27-7,,,,,,,,,,,,,
40,1999,1999-11-07,8,23.222,SEA,,CIN,W 37-20,,,,,,,,,,,,,
41,1999,1999-11-14,9,23.229,SEA,,DEN,W 20-17,,,,,,,,,,,,,
42,1999,1999-11-21,10,23.236,SEA,@,KAN,W 31-19,,0,0,,0,0,0,,0,0.0,1,0,0
43,1999,1999-11-28,11,23.243,SEA,,TAM,L 3-16,*,,,,,,,,,,,,
44,1999,1999-12-05,12,23.250,SEA,@,OAK,L 21-30,,,,,,,,,,,,,
45,1999,1999-12-26,15,23.271,SEA,,KAN,W 23-14,,0,0,,0,0,0,,0,0.0,1,19,0
46,1999,2000-01-02,16,23.278,SEA,@,NYJ,L 9-19,,,,,,,,,,,,,
47,2000,2000-09-03,1,24.157,SEA,@,MIA,L 0-23,,,,,,,,,,,,,
48,2000,2000-09-10,2,24.164,SEA,,STL,L 34-37,,,,,,,,,,,,,
49,2000,2000-09-17,3,24.171,SEA,,NOR,W 20-10,,0,0,,0,4,21,5.25,0,0.0,0,0,0
50,2000,2000-09-24,4,24.178,SEA,@,SDG,W 20-12,,,,,,,,,,,,,
51,2000,2000-10-02,5,24.186,SEA,@,KAN,L 17-24,,,,,,,,,,,,,
52,2000,2000-10-08,6,24.192,SEA,@,CAR,L 3-26,,,,,,,,,,,,,
53,2000,2000-10-15,7,24.199,SEA,,IND,L 24-37,,,,,,,,,,,,,
54,2000,2000-10-22,8,24.206,SEA,@,OAK,L 3-31,,,,,,,,,,,,,
55,2000,2000-10-29,9,24.213,SEA,,KAN,L 19-24,,,,,,,,,,,,,
56,2000,2000-11-05,10,24.220,SEA,,SDG,W 17-15,,,,,,,,,,,,,
57,2000,2000-11-12,11,24.227,SEA,@,JAX,W 28-21,,,,,,,,,,,,,
58,2000,2000-11-26,12,24.241,SEA,,DEN,L 31-38,,,,,,,,,,,,,
59,2000,2000-12-10,14,24.255,NOR,@,SFO,W 31-27,,0,0,,0,2,25,12.50,0,0.0,0,0,0
60,2000,2000-12-17,15,24.262,NOR,,ATL,W 23-7,,0,0,,0,5,5,1.00,0,0.0,0,0,0
61,2000,2000-12-24,16,24.269,NOR,,STL,L 21-26,,0,0,,0,2,15,7.50,0,0.0,0,0,0
