ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
18,1962,1962-10-07,5,24.150,SDG,,DTX,W 32-28,0,0,,0,2,4,50.0,2,2,100.0,0,8,0,0,0
19,1962,1962-10-13,6,24.156,SDG,@,BUF,L 10-35,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
20,1962,1962-10-19,7,24.162,SDG,@,BOS,L 20-24,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
21,1962,1962-10-28,8,24.171,SDG,@,NYT,L 3-23,0,0,,0,,,,1,2,50.0,0,3,0,0,0
22,1962,1962-11-04,9,24.178,SDG,,DEN,L 20-23,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
23,1962,1962-11-25,11,24.199,SDG,@,HOU,L 27-33,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
24,1962,1962-12-02,12,24.206,SDG,,OAK,W 31-21,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,0
25,1962,1962-12-09,13,24.213,SDG,,BOS,L 14-20,0,0,,0,,,,2,2,100.0,0,6,0,0,0
26,1962,1962-12-16,14,24.220,SDG,@,DTX,L 17-26,0,0,,0,2,2,100.0,1,1,100.0,0,5,1,17,0
27,1963,1963-09-08,1,25.121,SDG,,BUF,W 14-10,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,0
28,1963,1963-09-14,2,25.127,SDG,,BOS,W 17-13,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
29,1963,1963-09-29,3,25.142,SDG,,KAN,W 24-10,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,0
30,1963,1963-10-06,4,25.149,SDG,@,DEN,L 34-50,,,,,4,5,80.0,,,,0,4,,,
31,1963,1963-10-13,5,25.156,SDG,,NYJ,W 24-20,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,0
32,1963,1963-10-20,6,25.163,SDG,@,KAN,W 38-17,0,0,,0,5,5,100.0,1,2,50.0,0,8,1,40,0
33,1963,1963-10-27,7,25.170,SDG,,OAK,L 33-34,0,0,,0,3,4,75.0,2,2,100.0,0,9,0,0,0
34,1963,1963-11-02,8,25.176,SDG,@,NYJ,W 53-7,0,0,,0,6,6,100.0,1,1,100.0,0,9,0,0,0
35,1963,1963-11-10,9,25.184,SDG,@,BOS,W 7-6,0,0,,0,1,1,100.0,,2,0.0,0,1,0,0,0
36,1963,1963-11-17,10,25.191,SDG,@,BUF,W 23-13,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,0
37,1963,1963-12-01,11,25.205,SDG,,HOU,W 27-0,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,0
38,1963,1963-12-08,12,25.212,SDG,@,OAK,L 27-41,0,0,,0,3,4,75.0,,1,0.0,0,3,0,0,0
39,1963,1963-12-15,13,25.219,SDG,@,HOU,W 20-14,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,0
40,1963,1963-12-22,14,25.226,SDG,,DEN,W 58-20,0,0,,0,5,6,83.3,3,3,100.0,0,14,0,0,0
41,1964,1964-09-12,1,26.125,SDG,,HOU,W 27-21,0,0,,0,3,4,75.0,,1,0.0,0,3,0,0,0
42,1964,1964-09-20,2,26.133,SDG,,BOS,L 28-33,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,0
43,1964,1964-09-26,3,26.139,SDG,@,BUF,L 3-30,0,0,,0,,,,1,1,100.0,0,3,0,0,0
