ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
12,1958,1958-10-26,5,24.049,PIT,@,NYG,L 6-17,14,23,1.64,0,2,19,9.50,0,1,2,50.00,25,0,1,56.2,0,0,12.50,-10.00,,,,,,,,,,,0,
13,1958,1958-11-02,6,24.056,PIT,,WAS,W 24-16,18,71,3.94,0,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,0,
14,1958,1958-11-09,7,24.063,PIT,@,PHI,W 31-24,12,30,2.50,0,5,116,23.20,3,1,3,33.33,65,0,0,81.9,0,0,21.67,21.67,,,,,,,,,,,3,
15,1958,1958-11-16,8,24.070,PIT,,NYG,W 31-10,18,71,3.94,0,3,37,12.33,1,0,0,,0,0,,,,,,,,,,,,,,,,,1,
16,1958,1958-11-23,9,24.077,PIT,@,CRD,W 27-20,16,40,2.50,0,5,125,25.00,0,2,2,100.00,44,0,0,118.7,0,0,22.00,22.00,,,,,,,,,,,0,
17,1958,1958-11-30,10,24.084,PIT,,CHI,W 24-10,17,156,9.18,2,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,,,,,,,2,
18,1958,1958-12-07,11,24.091,PIT,@,WAS,T 14-14,13,68,5.23,0,4,55,13.75,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,0,
19,1958,1958-12-13,12,24.097,PIT,,CRD,W 38-21,18,35,1.94,0,7,106,15.14,0,1,3,33.33,72,1,0,121.5,0,0,24.00,30.67,,,,,,,,,,,0,
20,1959,1959-09-26,1,25.019,PIT,,CLE,W 17-7,17,51,3.00,0,1,1,1.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,0,
21,1959,1959-10-04,2,25.027,PIT,,WAS,L 17-23,18,67,3.72,0,3,0,0.00,0,1,2,50.00,56,0,0,95.8,0,0,28.00,28.00,,,,,,,,,,,0,
22,1959,1959-10-11,3,25.034,PIT,@,PHI,L 24-28,11,33,3.00,0,4,70,17.50,1,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,,,,,,,,,,,1,
23,1959,1959-10-18,4,25.041,PIT,@,WAS,W 27-6,18,68,3.78,0,2,-4,-2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,0,
24,1959,1959-10-25,5,25.048,PIT,,NYG,L 16-21,16,23,1.44,0,1,11,11.00,0,1,1,100.00,68,0,0,118.7,0,0,68.00,68.00,,,,,,,,,,,0,
25,1959,1959-11-01,6,25.055,PIT,@,CRD,L 24-45,10,56,5.60,0,1,24,24.00,0,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,,,,,,,,,,,0,
26,1959,1959-11-08,7,25.062,PIT,,DET,T 10-10,10,33,3.30,0,2,35,17.50,1,0,0,,0,0,,,,,,,,,,,,,,,,,1,
27,1959,1959-11-15,8,25.069,PIT,@,NYG,W 14-9,20,64,3.20,0,1,45,45.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,1,
28,1959,1959-11-22,9,25.076,PIT,@,CLE,W 21-20,24,99,4.13,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,2,
29,1959,1959-11-29,10,25.083,PIT,,PHI,W 31-0,23,122,5.30,0,3,28,9.33,1,0,0,,0,0,,,,,,,,,,,,,,,,,1,
30,1959,1959-12-06,11,25.090,PIT,@,CHI,L 21-27,14,109,7.79,1,2,20,10.00,0,1,2,50.00,35,0,0,95.8,0,0,17.50,17.50,,,,,,,,,,,1,
31,1959,1959-12-13,12,25.097,PIT,,CRD,W 35-20,18,69,3.83,0,3,43,14.33,1,0,0,,0,0,,,,,,,,,,,,,,,,,1,
32,1960,1960-09-24,1,26.017,PIT,@,DAL,W 35-28,14,64,4.57,0,4,82,20.50,1,1,3,33.33,70,1,0,121.5,0,0,23.33,30.00,0,0,,0,,,,,,,1,6
33,1960,1960-10-02,2,26.025,PIT,@,CLE,L 20-28,15,51,3.40,1,2,49,24.50,1,1,1,100.00,-2,0,0,79.2,0,0,-2.00,-2.00,0,0,,0,,,,,,,2,12
34,1960,1960-10-09,3,26.032,PIT,,NYG,L 17-19,20,57,2.85,0,2,53,26.50,0,1,2,50.00,23,1,0,131.2,0,0,11.50,21.50,0,0,,0,,,,,,,0,0
35,1960,1960-10-16,4,26.039,PIT,,STL,W 27-14,16,48,3.00,1,1,-4,-4.00,0,1,3,33.33,51,1,0,121.5,0,0,17.00,23.67,0,0,,0,,,,,,,1,6
36,1960,1960-10-23,5,26.046,PIT,@,WAS,T 27-27,13,50,3.85,0,3,21,7.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
37,1960,1960-10-30,6,26.053,PIT,,GNB,L 13-19,12,39,3.25,0,3,44,14.67,1,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,1,6
38,1960,1960-11-06,7,26.060,PIT,@,PHI,L 7-34,11,42,3.82,0,1,3,3.00,0,2,2,100.00,73,1,0,158.3,0,0,36.50,46.50,1,30,30.00,0,,,,,1,0.0,0,0
39,1960,1960-11-13,8,26.067,PIT,@,NYG,L 24-27,16,51,3.19,1,3,28,9.33,0,1,4,25.00,34,0,1,22.9,0,0,8.50,-2.75,0,0,,0,,,,,1,0.0,1,6
40,1960,1960-11-20,9,26.074,PIT,,CLE,W 14-10,19,78,4.11,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,1,0.0,1,6
41,1960,1960-11-27,10,26.081,PIT,,WAS,W 22-10,21,72,3.43,1,0,2,,0,1,2,50.00,42,0,0,95.8,0,0,21.00,21.00,0,0,,0,,,,3,3,100.0,1,15
42,1960,1960-12-11,11,26.095,PIT,,PHI,W 27-21,22,95,4.32,0,3,29,9.67,0,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,0,0,,0,,,,,,,0,0
43,1960,1960-12-18,12,26.102,PIT,@,STL,L 7-38,13,33,2.54,0,2,42,21.00,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
44,1961,1961-09-17,1,27.010,PIT,@,DAL,L 24-27,1,3,3.00,0,4,32,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
45,1961,1961-09-24,2,27.017,PIT,,NYG,L 14-17,11,28,2.55,0,1,14,14.00,0,2,4,50.00,19,0,0,63.5,0,0,4.75,4.75,0,0,,0,2,2,100.0,,1,0.0,0,2
46,1961,1961-10-01,3,27.024,PIT,@,RAM,L 14-24,17,59,3.47,0,2,10,5.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
47,1961,1961-10-08,4,27.031,PIT,@,PHI,L 16-21,5,20,4.00,0,1,0,0.00,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0,,0,,,,,,,0,0
48,1961,1961-10-15,5,27.038,PIT,,WAS,W 20-0,12,9,0.75,0,0,0,,0,1,2,50.00,38,0,0,95.8,0,0,19.00,19.00,0,0,,0,,,,,,,0,0
49,1961,1961-10-22,6,27.045,PIT,,CLE,L 28-30,12,34,2.83,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
50,1961,1961-10-29,7,27.052,PIT,,SFO,W 20-10,13,44,3.38,0,2,18,9.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,1,6
51,1961,1961-11-05,8,27.059,PIT,@,CLE,W 17-13,17,54,3.18,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
52,1961,1961-11-12,9,27.066,PIT,,DAL,W 37-7,4,16,4.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
53,1961,1961-11-19,10,27.073,PIT,@,NYG,L 21-42,18,47,2.61,0,1,10,10.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
54,1961,1961-11-26,11,27.080,PIT,,STL,W 30-27,13,36,2.77,0,1,38,38.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
55,1961,1961-12-03,12,27.087,PIT,,PHI,L 24-35,17,51,3.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
56,1961,1961-12-10,13,27.094,PIT,@,WAS,W 30-14,4,-1,-0.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
57,1961,1961-12-17,14,27.101,PIT,@,STL,L 0-20,3,2,0.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
58,1962,1962-11-04,8,28.058,PIT,,MIN,W 39-31,3,-2,-0.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
59,1962,1962-12-02,12,28.086,PIT,,STL,W 19-7,7,72,10.29,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
60,1962,1962-12-09,13,28.093,PIT,@,PHI,W 26-17,10,46,4.60,0,2,11,5.50,0,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,,,,,,,0,0
61,1963,1963-09-15,1,29.008,PIT,@,PHI,T 21-21,5,6,1.20,0,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
62,1963,1963-09-22,2,29.015,PIT,,NYG,W 31-0,3,6,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
63,1963,1963-09-29,3,29.022,PIT,,STL,W 23-10,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
64,1963,1963-10-05,4,29.028,PIT,@,CLE,L 23-35,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
65,1963,1963-10-13,5,29.036,PIT,@,STL,L 23-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1963,1963-10-20,6,29.043,PIT,,WAS,W 38-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1963,1963-10-27,7,29.050,PIT,,DAL,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,2,2,100.0,,,,0,2
68,1963,1963-11-03,8,29.057,PIT,@,GNB,L 14-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1963,1963-11-10,9,29.064,PIT,,CLE,W 9-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1963,1963-11-17,10,29.071,PIT,@,WAS,W 34-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1963,1963-11-24,11,29.078,PIT,,CHI,T 17-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1963,1963-12-01,12,29.085,WAS,,BAL,L 20-36,2,15,7.50,0,4,73,18.25,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
73,1963,1963-12-08,13,29.092,WAS,@,NYG,L 14-44,17,35,2.06,1,2,18,9.00,0,1,2,50.00,23,0,0,91.7,0,0,11.50,11.50,0,0,,0,,,,,,,1,6
74,1963,1963-12-15,14,29.099,PIT,@,NYG,L 17-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1964,1964-09-20,2,30.013,WAS,@,DAL,L 18-24,4,15,3.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
76,1964,1964-10-04,4,30.027,WAS,,STL,L 17-23,1,16,16.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
77,1964,1964-10-11,5,30.034,WAS,,PHI,W 35-20,3,-5,-1.67,0,1,24,24.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
78,1964,1964-10-18,6,30.041,WAS,@,STL,L 24-38,4,14,3.50,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
79,1964,1964-11-01,8,30.055,WAS,@,PHI,W 21-10,2,-4,-2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
80,1964,1964-11-15,10,30.069,WAS,@,PIT,W 30-0,4,21,5.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
81,1964,1964-11-29,12,30.083,WAS,,NYG,W 36-21,3,13,4.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
82,1964,1964-12-13,14,30.097,WAS,@,BAL,L 17-45,3,-3,-1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
