ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
19,1965,1965-11-21,10,24.086,BAL,,PHI,W 34-24,0,0,,0,0,0,,0,1,6,1,36,1,0,0,,0
20,1966,1966-09-18,2,25.022,BAL,@,MIN,W 38-23,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
21,1966,1966-10-30,7,25.064,BAL,@,RAM,W 17-3,0,0,,0,0,0,,0,0,0,1,13,0,0,0,,0
22,1966,1966-11-13,9,25.078,BAL,@,ATL,W 19-7,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
23,1966,1966-12-18,14,25.113,BAL,@,SFO,W 30-14,0,0,,0,1,3,3.00,0,0,0,0,0,0,0,0,,0
24,1967,1967-10-08,4,26.042,BAL,@,CHI,W 24-3,0,0,,0,1,0,0.00,0,0,0,1,9,0,0,0,,0
25,1967,1967-10-29,7,26.063,BAL,@,WAS,W 17-13,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
26,1967,1967-11-12,9,26.077,BAL,@,ATL,W 49-7,0,0,,0,0,0,,0,0,0,1,11,0,0,0,,0
27,1967,1967-11-19,10,26.084,BAL,,DET,W 41-7,0,0,,0,1,43,43.00,1,1,6,1,2,0,0,0,,0
28,1967,1967-11-26,11,26.091,BAL,@,SFO,W 26-9,0,0,,0,2,4,2.00,0,0,0,0,0,0,0,0,,0
29,1967,1967-12-03,12,26.098,BAL,,DAL,W 23-17,0,0,,0,1,33,33.00,0,0,0,0,0,0,0,0,,0
30,1967,1967-12-17,14,26.112,BAL,@,RAM,L 10-34,2,17,8.50,0,0,0,,0,0,0,0,0,0,0,0,,0
31,1968,1968-09-15,1,27.019,BAL,,SFO,W 27-10,0,0,,0,1,27,27.00,0,0,0,0,0,0,0,0,,0
32,1968,1968-10-27,7,27.061,BAL,,RAM,W 27-10,1,14,14.00,0,0,0,,0,0,0,1,0,0,0,0,,0
33,1968,1968-11-03,8,27.068,BAL,@,NYG,W 26-0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
34,1968,1968-12-01,12,27.096,BAL,,ATL,W 44-0,0,0,,0,0,0,,0,0,0,1,9,0,0,0,,0
35,1969,1969-09-28,2,28.032,BAL,@,MIN,L 14-52,0,0,,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
36,1969,1969-10-05,3,28.039,BAL,@,ATL,W 21-14,0,0,,0,4,16,4.00,0,0,0,0,0,0,0,0,,0
37,1969,1969-11-23,10,28.088,BAL,@,CHI,W 24-21,0,0,,0,0,0,,0,0,0,1,6,0,0,0,,0
38,1969,1969-11-30,11,28.095,BAL,,ATL,W 13-6,0,0,,0,1,5,5.00,0,0,0,0,0,0,0,0,,0
39,1969,1969-12-07,12,28.102,BAL,,DET,T 17-17,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
40,1969,1969-12-21,14,28.116,BAL,@,RAM,W 13-7,0,0,,0,1,11,11.00,0,0,0,0,0,0,0,0,,0
41,1970,1970-09-20,1,29.024,BAL,@,SDG,W 16-14,,,,,,,,,,,,,,,,,
42,1970,1970-09-28,2,29.032,BAL,,KAN,L 24-44,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
43,1970,1970-10-04,3,29.038,BAL,@,BOS,W 14-6,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
44,1970,1970-10-11,4,29.045,BAL,@,HOU,W 24-20,,,,,,,,,,,,,,,,,
45,1970,1970-10-18,5,29.052,BAL,@,NYJ,W 29-22,0,0,,0,0,0,,0,1,6,3,46,1,0,0,,0
46,1970,1970-10-25,6,29.059,BAL,,BOS,W 27-3,,,,,,,,,,,,,,,,,
47,1970,1970-11-01,7,29.066,BAL,,MIA,W 35-0,,,,,,,,,,,,,,,,,
48,1970,1970-11-09,8,29.074,BAL,@,GNB,W 13-10,0,0,,0,0,0,,0,0,0,1,13,0,0,0,,0
49,1970,1970-11-15,9,29.080,BAL,,BUF,T 17-17,,,,,,,,,,,,,,,,,
50,1970,1970-11-22,10,29.087,BAL,@,MIA,L 17-34,,,,,,,,,,,,,,,,,
51,1970,1970-11-29,11,29.094,BAL,,CHI,W 21-20,,,,,,,,,,,,,,,,,
52,1970,1970-12-06,12,29.101,BAL,,PHI,W 29-10,0,0,,0,0,0,,0,1,6,1,33,1,0,0,,0
53,1970,1970-12-13,13,29.108,BAL,@,BUF,W 20-14,0,0,,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
54,1970,1970-12-19,14,29.114,BAL,,NYJ,W 35-20,,,,,,,,,,,,,,,,,
55,1971,1971-09-19,1,30.023,BAL,,NYJ,W 22-0,,,,,,,,,,,,,,,,,
56,1971,1971-09-26,2,30.030,BAL,,CLE,L 13-14,,,,,,,,,,,,,,,,,
57,1971,1971-10-03,3,30.037,BAL,@,NWE,W 23-3,,,,,,,,,,,,,,,,,
58,1971,1971-10-10,4,30.044,BAL,@,BUF,W 43-0,1,16,16.00,0,0,0,,0,0,0,0,0,0,0,0,,0
59,1971,1971-10-17,5,30.051,BAL,@,NYG,W 31-7,,,,,,,,,,,,,,,,,
60,1971,1971-10-25,6,30.059,BAL,@,MIN,L 3-10,0,0,,0,0,0,,0,0,0,1,2,0,0,0,,0
61,1971,1971-10-31,7,30.065,BAL,,PIT,W 34-21,,,,,,,,,,,,,,,,,
62,1971,1971-11-08,8,30.073,BAL,,RAM,W 24-17,,,,,,,,,,,,,,,,,
63,1971,1971-11-14,9,30.079,BAL,@,NYJ,W 14-13,,,,,,,,,,,,,,,,,
64,1971,1971-11-21,10,30.086,BAL,@,MIA,L 14-17,,,,,,,,,,,,,,,,,
65,1971,1971-11-28,11,30.093,BAL,@,OAK,W 37-14,0,0,,0,0,0,,0,0,0,2,26,0,0,0,,0
66,1971,1971-12-05,12,30.100,BAL,,BUF,W 24-0,0,0,,0,1,12,12.00,0,0,0,1,0,0,0,0,,0
67,1971,1971-12-11,13,30.106,BAL,,MIA,W 14-3,,,,,,,,,,,,,,,,,
68,1971,1971-12-19,14,30.114,BAL,,NWE,L 17-21,,,,,,,,,,,,,,,,,
69,1972,1972-09-17,1,31.021,BAL,,STL,L 3-10,,,,,,,,,,,,,,,,,
70,1972,1972-09-24,2,31.028,BAL,,NYJ,L 34-44,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
71,1972,1972-10-01,3,31.035,BAL,@,BUF,W 17-0,0,0,,0,2,13,6.50,0,0,0,0,0,0,0,0,,0
72,1972,1972-10-08,4,31.042,BAL,,SDG,L 20-23,,,,,,,,,,,,,,,,,
73,1972,1972-10-15,5,31.049,BAL,,DAL,L 0-21,,,,,,,,,,,,,,,,,
74,1972,1972-10-22,6,31.056,BAL,@,NYJ,L 20-24,,,,,,,,,,,,,,,,,
75,1972,1972-10-29,7,31.063,BAL,,MIA,L 0-23,,,,,,,,,,,,,,,,,
76,1972,1972-11-06,8,31.071,BAL,@,NWE,W 24-17,0,0,,0,1,7,7.00,0,0,0,1,20,0,0,0,,0
77,1972,1972-11-12,9,31.077,BAL,@,SFO,L 21-24,0,0,,0,0,0,,0,0,0,1,13,0,0,0,,0
78,1972,1972-11-19,10,31.084,BAL,@,CIN,W 20-19,,,,,,,,,,,,,,,,,
79,1972,1972-11-26,11,31.091,BAL,,NWE,W 31-0,,,,,,,,,,,,,,,,,
80,1972,1972-12-03,12,31.098,BAL,,BUF,W 35-7,0,0,,0,0,0,,0,0,0,1,14,0,0,0,,0
81,1972,1972-12-10,13,31.105,BAL,@,KAN,L 10-24,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
82,1972,1972-12-16,14,31.111,BAL,@,MIA,L 0-16,,,,,,,,,,,,,,,,,
