ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
27,1971,1971-11-21,10,32.346,MIN,@,NOR,W 23-10,,,,,,,,
28,1971,1971-11-28,11,32.353,MIN,,ATL,W 24-7,,,,,,,,
29,1971,1971-12-05,12,32.360,MIN,@,SDG,L 14-30,,,,,,,,
30,1971,1971-12-11,13,33.001,MIN,,DET,W 29-10,,,,,,,,
31,1971,1971-12-19,14,33.009,MIN,@,CHI,W 27-10,,,,,,,,
32,1972,1972-09-18,1,33.283,MIN,,WAS,L 21-24,,,,,,,,
33,1972,1972-09-24,2,33.289,MIN,@,DET,W 34-10,,,,,,,,
34,1972,1972-10-01,3,33.296,MIN,,MIA,L 14-16,,,,,,,,
35,1972,1972-10-08,4,33.303,MIN,,STL,L 17-19,,,,,,,,
36,1972,1972-10-15,5,33.310,MIN,@,DEN,W 23-20,,,,,,,,
37,1972,1972-10-23,6,33.318,MIN,@,CHI,L 10-13,,,,,,,,
38,1972,1972-10-29,7,33.324,MIN,@,GNB,W 27-13,,,,,,,,
39,1972,1972-11-05,8,33.331,MIN,,NOR,W 37-6,,,,,,,,
40,1972,1972-11-12,9,33.338,MIN,,DET,W 16-14,,,,,,,,
41,1972,1972-11-19,10,33.345,MIN,@,RAM,W 45-41,,,,,,,,
42,1972,1972-11-26,11,33.352,MIN,@,PIT,L 10-23,,,,,,,,
43,1972,1972-12-03,12,33.359,MIN,,CHI,W 23-10,,,,,,,,
44,1972,1972-12-10,13,34.000,MIN,,GNB,L 7-23,,,,,,,,
45,1972,1972-12-16,14,34.006,MIN,@,SFO,L 17-20,,,,,,,,
46,1973,1973-09-16,1,34.280,MIN,,OAK,W 24-16,,,,,,,,
47,1973,1973-09-23,2,34.287,MIN,@,CHI,W 22-13,,,,,,,,
48,1973,1973-09-30,3,34.294,MIN,,GNB,W 11-3,,,,,,,,
49,1973,1973-10-07,4,34.301,MIN,@,DET,W 23-9,,,,,,,,
50,1973,1973-10-14,5,34.308,MIN,@,SFO,W 17-13,,,,,,,,
51,1973,1973-10-21,6,34.315,MIN,,PHI,W 28-21,,,,,,,,
52,1973,1973-10-28,7,34.322,MIN,,RAM,W 10-9,,,,,,,,
53,1973,1973-11-04,8,34.329,MIN,,CLE,W 26-3,,,,,,,,
54,1973,1973-11-11,9,34.336,MIN,,DET,W 28-7,,,,,,,,
55,1973,1973-11-19,10,34.344,MIN,@,ATL,L 14-20,,,,,,,,
56,1973,1973-11-25,11,34.350,MIN,,CHI,W 31-13,,,,,,,,
57,1973,1973-12-02,12,34.357,MIN,@,CIN,L 0-27,,,,,,,,
58,1973,1973-12-08,13,34.363,MIN,@,GNB,W 31-7,,,,,,,,
59,1973,1973-12-16,14,35.006,MIN,@,NYG,W 31-7,,,,,,,,
60,1974,1974-09-15,1,35.279,MIN,@,GNB,W 32-17,,,,,,,,
61,1974,1974-09-22,2,35.286,MIN,@,DET,W 7-6,,,,,,,,
62,1974,1974-10-06,4,35.300,MIN,@,DAL,W 23-21,,,,,,,,
63,1974,1974-10-13,5,35.307,MIN,,HOU,W 51-10,,,,,,,,
64,1974,1974-10-20,6,35.314,MIN,,DET,L 16-20,,,,,,,,
65,1974,1974-10-27,7,35.321,MIN,,NWE,L 14-17,,,,,,,,
66,1974,1974-11-03,8,35.328,MIN,@,CHI,W 17-0,,,,,,,,
67,1974,1974-11-11,9,35.336,MIN,@,STL,W 28-24,,,,,,,,
68,1974,1974-11-17,10,35.342,MIN,,GNB,L 7-19,,,,,,,,
69,1974,1974-11-24,11,35.349,MIN,@,RAM,L 17-20,,,,,,,,
70,1974,1974-12-01,12,35.356,MIN,,NOR,W 29-9,,,,,,,,
71,1974,1974-12-07,13,35.362,MIN,,ATL,W 23-10,,,,,,,,
72,1974,1974-12-14,14,36.004,MIN,@,KAN,W 35-15,,,,,,,,
