ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
35,1964,1964-10-25,7,24.066,CLE,,NYG,W 42-20,2,22,11.00,1,0,0,,0,0,0,,0,1,6,3,120,40.00,0
36,1964,1964-11-01,8,24.073,CLE,@,PIT,W 30-17,0,0,,0,0,0,,0,0,0,,0,0,0,2,90,45.00,0
37,1964,1964-11-08,9,24.080,CLE,,WAS,W 34-24,3,42,14.00,1,0,0,,0,0,0,,0,1,6,3,121,40.33,0
38,1964,1964-11-15,10,24.087,CLE,,DET,W 37-21,2,24,12.00,0,0,0,,0,0,0,,0,0,0,3,148,49.33,0
39,1964,1964-11-22,11,24.094,CLE,@,GNB,L 21-28,4,69,17.25,0,0,0,,0,0,0,,0,0,0,3,130,43.33,0
40,1964,1964-11-29,12,24.101,CLE,,PHI,W 38-24,3,39,13.00,0,0,0,,0,0,0,,0,0,0,4,124,31.00,0
41,1964,1964-12-06,13,24.108,CLE,@,STL,L 19-28,0,0,,0,0,0,,0,0,0,,0,0,0,2,74,37.00,0
42,1964,1964-12-12,14,24.114,CLE,@,NYG,W 52-20,3,48,16.00,1,0,0,,0,0,0,,0,1,6,1,47,47.00,0
43,1965,1965-09-19,1,25.030,CLE,@,WAS,W 17-7,2,50,25.00,1,0,0,,0,0,0,,0,1,6,5,211,42.20,0
44,1965,1965-09-26,2,25.037,CLE,,STL,L 13-49,6,116,19.33,1,0,0,,0,0,0,,0,1,6,4,176,44.00,0
45,1965,1965-10-03,3,25.044,CLE,@,PHI,W 35-17,3,34,11.33,1,0,0,,0,0,0,,0,1,6,4,196,49.00,0
46,1965,1965-10-09,4,25.050,CLE,,PIT,W 24-19,4,54,13.50,1,0,0,,0,0,0,,0,1,6,4,195,48.75,0
47,1965,1965-10-17,5,25.058,CLE,,DAL,W 23-17,4,55,13.75,0,0,0,,0,0,0,,0,0,0,6,326,54.33,0
48,1965,1965-10-24,6,25.065,CLE,@,NYG,W 38-14,3,121,40.33,1,0,0,,0,0,0,,0,1,6,2,72,36.00,0
49,1965,1965-10-31,7,25.072,CLE,,MIN,L 17-27,4,116,29.00,0,0,0,,0,0,0,,0,0,0,7,301,43.00,0
50,1965,1965-11-07,8,25.079,CLE,,PHI,W 38-34,8,128,16.00,2,0,0,,0,0,0,,0,2,12,3,144,48.00,0
51,1965,1965-11-14,9,25.086,CLE,,NYG,W 34-21,0,0,,0,0,0,,0,0,0,,0,0,0,3,139,46.33,0
52,1965,1965-11-21,10,25.093,CLE,@,DAL,W 24-17,2,18,9.00,1,0,0,,0,0,0,,0,1,6,5,231,46.20,0
53,1965,1965-11-28,11,25.100,CLE,@,PIT,W 42-21,3,74,24.67,0,0,0,,0,0,0,,0,0,0,5,247,49.40,0
54,1965,1965-12-05,12,25.107,CLE,,WAS,W 24-16,5,53,10.60,1,1,16,16.00,0,0,0,,0,1,6,4,202,50.50,0
55,1965,1965-12-12,13,25.114,CLE,@,RAM,L 7-42,2,31,15.50,0,0,0,,0,0,0,,0,0,0,11,497,45.18,0
56,1965,1965-12-19,14,25.121,CLE,@,STL,W 27-24,4,34,8.50,1,0,0,,0,0,0,,0,1,6,2,98,49.00,0
57,1966,1966-09-11,1,26.022,CLE,@,WAS,W 38-14,3,44,14.67,2,0,0,,0,0,0,,0,2,12,5,204,40.80,0
58,1966,1966-09-18,2,26.029,CLE,,GNB,L 20-21,4,70,17.50,2,0,0,,0,0,0,,0,2,12,5,190,38.00,0
59,1966,1966-09-25,3,26.036,CLE,,STL,L 28-34,1,8,8.00,0,0,0,,0,0,0,,0,0,0,4,166,41.50,0
60,1966,1966-10-02,4,26.043,CLE,@,NYG,W 28-7,4,88,22.00,0,0,0,,0,0,0,,0,0,0,3,111,37.00,0
61,1966,1966-10-08,5,26.049,CLE,,PIT,W 41-10,6,68,11.33,2,0,0,,0,0,0,,0,2,12,1,35,35.00,0
62,1966,1966-10-23,6,26.064,CLE,,DAL,W 30-21,3,75,25.00,0,0,0,,0,0,0,,0,0,0,3,128,42.67,0
63,1966,1966-10-30,7,26.071,CLE,@,ATL,W 49-17,4,48,12.00,1,0,0,,0,0,0,,0,1,6,2,80,40.00,0
64,1966,1966-11-06,8,26.078,CLE,@,PIT,L 6-16,7,93,13.29,1,0,0,,0,0,0,,0,1,6,5,205,41.00,0
65,1966,1966-11-13,9,26.085,CLE,,PHI,W 27-7,5,69,13.80,0,2,38,19.00,0,0,0,,0,0,0,4,164,41.00,0
66,1966,1966-11-20,10,26.092,CLE,,WAS,W 14-3,1,8,8.00,0,0,0,,0,0,0,,0,0,0,5,216,43.20,0
67,1966,1966-11-24,11,26.096,CLE,@,DAL,L 14-26,5,92,18.40,0,0,0,,0,0,0,,0,0,0,3,130,43.33,0
68,1966,1966-12-04,12,26.106,CLE,,NYG,W 49-40,5,120,24.00,1,0,0,,0,0,0,,0,1,6,3,85,28.33,0
69,1966,1966-12-11,13,26.113,CLE,@,PHI,L 21-33,3,37,12.33,1,0,0,,0,0,0,,0,1,6,6,210,35.00,0
70,1966,1966-12-17,14,26.119,CLE,@,STL,W 38-10,5,126,25.20,2,0,0,,0,0,0,,0,2,12,8,299,37.38,0
71,1967,1967-09-17,1,27.028,CLE,,DAL,L 14-21,5,77,15.40,1,0,0,,0,0,0,,0,1,6,5,207,41.40,0
72,1967,1967-10-07,4,27.048,CLE,,PIT,W 21-10,3,40,13.33,0,0,0,,0,0,0,,0,0,0,1,28,28.00,0
73,1967,1967-10-15,5,27.056,CLE,,STL,W 20-16,2,42,21.00,1,0,0,,0,0,0,,0,1,6,7,306,43.71,0
74,1967,1967-10-22,6,27.063,CLE,,CHI,W 24-0,7,106,15.14,2,0,0,,0,0,0,,0,2,12,3,127,42.33,0
75,1967,1967-10-29,7,27.070,CLE,@,NYG,L 34-38,3,59,19.67,1,0,0,,0,0,0,,0,1,6,2,52,26.00,1
76,1967,1967-11-05,8,27.077,CLE,@,PIT,W 34-14,3,36,12.00,1,0,0,,0,0,0,,0,1,6,6,210,35.00,0
77,1967,1967-11-12,9,27.084,CLE,@,GNB,L 7-55,0,0,,0,0,0,,0,0,0,,0,0,0,4,126,31.50,0
78,1967,1967-11-19,10,27.091,CLE,,MIN,W 14-10,3,37,12.33,0,0,0,,0,0,0,,0,0,0,8,310,38.75,0
79,1967,1967-11-26,11,27.098,CLE,,WAS,W 42-37,3,58,19.33,0,0,0,,0,0,0,,0,0,0,5,148,29.60,0
80,1967,1967-12-03,12,27.105,CLE,,NYG,W 24-14,3,45,15.00,1,1,6,6.00,0,0,0,,0,1,6,3,112,37.33,0
81,1967,1967-12-10,13,27.112,CLE,@,STL,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,0,7,230,32.86,1
82,1967,1967-12-17,14,27.119,CLE,@,PHI,L 24-28,0,0,,0,0,0,,0,0,0,,0,0,0,6,222,37.00,0
83,1968,1968-09-15,1,28.026,CLE,@,NOR,W 24-10,4,94,23.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
84,1968,1968-09-22,2,28.033,CLE,@,DAL,L 7-28,1,17,17.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
85,1968,1968-09-29,3,28.040,CLE,,RAM,L 6-24,2,46,23.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
86,1968,1968-10-05,4,28.046,CLE,,PIT,W 31-24,2,73,36.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
87,1968,1968-12-14,14,28.116,CLE,@,STL,L 16-27,0,0,,0,0,0,,0,0,0,,0,0,0,2,52,26.00,0
88,1969,1969-09-21,1,29.032,CLE,@,PHI,W 27-20,3,58,19.33,1,0,0,,0,0,0,,0,1,6,0,0,,0
89,1969,1969-09-28,2,29.039,CLE,,WAS,W 27-23,1,15,15.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
90,1969,1969-10-05,3,29.046,CLE,,DET,L 21-28,3,67,22.33,2,0,0,,0,0,0,,0,2,12,0,0,,0
91,1969,1969-10-12,4,29.053,CLE,@,NOR,W 27-17,2,28,14.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
92,1969,1969-10-18,5,29.059,CLE,,PIT,W 42-31,7,103,14.71,2,0,0,,0,0,0,,0,2,12,0,0,,0
93,1969,1969-10-26,6,29.067,CLE,,STL,T 21-21,9,95,10.56,1,0,0,,0,0,0,,0,1,6,0,0,,0
94,1969,1969-11-02,7,29.074,CLE,,DAL,W 42-10,5,47,9.40,2,0,0,,0,0,0,,0,2,12,0,0,,0
95,1969,1969-11-09,8,29.081,CLE,@,MIN,L 3-51,2,23,11.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
96,1969,1969-11-16,9,29.088,CLE,@,PIT,W 24-3,6,91,15.17,1,0,0,,0,0,0,,0,1,6,0,0,,0
97,1969,1969-11-23,10,29.095,CLE,,NYG,W 28-17,2,40,20.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
98,1969,1969-11-30,11,29.102,CLE,@,CHI,W 28-24,6,126,21.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
99,1969,1969-12-07,12,29.109,CLE,,GNB,W 20-7,1,24,24.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
100,1969,1969-12-14,13,29.116,CLE,@,STL,W 27-21,3,27,9.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
101,1969,1969-12-21,14,29.123,CLE,@,NYG,L 14-27,4,42,10.50,0,0,0,,0,0,0,,0,0,0,3,112,37.33,0
102,1970,1970-09-21,1,30.032,CLE,,NYJ,W 31-21,2,21,10.50,1,0,0,,0,0,0,,0,1,6,0,0,,0
103,1970,1970-09-27,2,30.038,CLE,@,SFO,L 31-34,4,68,17.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
104,1970,1970-10-03,3,30.044,CLE,,PIT,W 15-7,,,,,,,,,,,,,,,,,,
105,1970,1970-10-11,4,30.052,CLE,,CIN,W 30-27,5,65,13.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
106,1970,1970-10-18,5,30.059,CLE,,DET,L 24-41,1,14,14.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
107,1970,1970-10-25,6,30.066,CLE,@,MIA,W 28-0,2,25,12.50,1,0,0,,0,0,0,,0,1,6,0,0,,0
108,1970,1970-11-01,7,30.073,CLE,,SDG,L 10-27,2,37,18.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
109,1970,1970-11-08,8,30.080,CLE,@,OAK,L 20-23,,,,,,,,,,,,,,,,,,
110,1970,1970-11-15,9,30.087,CLE,@,CIN,L 10-14,2,30,15.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
111,1970,1970-11-22,10,30.094,CLE,,HOU,W 28-14,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
112,1970,1970-12-07,12,30.109,CLE,@,HOU,W 21-10,3,23,7.67,1,0,0,,0,0,0,,0,1,6,0,0,,0
113,1970,1970-12-12,13,30.114,CLE,,DAL,L 2-6,4,52,13.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
114,1971,1971-09-19,1,31.030,CLE,,HOU,W 31-0,4,69,17.25,1,0,0,,0,0,0,,0,1,6,0,0,,0
115,1971,1971-09-26,2,31.037,CLE,@,BAL,W 14-13,3,58,19.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
116,1971,1971-10-04,3,31.045,CLE,,OAK,L 20-34,2,22,11.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
117,1971,1971-10-10,4,31.051,CLE,,PIT,W 27-17,,,,,,,,,,,,,,,,,,
118,1971,1971-10-17,5,31.058,CLE,@,CIN,W 27-24,2,24,12.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
119,1971,1971-10-24,6,31.065,CLE,,DEN,L 0-27,,,,,,,,,,,,,,,,,,
120,1971,1971-10-31,7,31.072,CLE,,ATL,L 14-31,2,36,18.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
121,1971,1971-11-07,8,31.079,CLE,@,PIT,L 9-26,,,,,,,,,,,,,,,,,,
122,1971,1971-11-21,10,31.093,CLE,,NWE,W 27-7,1,5,5.00,0,0,0,,0,0,0,,0,0,0,5,162,32.40,0
123,1971,1971-11-28,11,31.100,CLE,@,HOU,W 37-24,,,,,,,,,,,,,,,,,,
124,1971,1971-12-05,12,31.107,CLE,,CIN,W 31-27,,,,,,,,,,,,,,,,,,
125,1971,1971-12-12,13,31.114,CLE,@,NOR,W 21-17,,,,,,,,,,,,,,,,,,
126,1971,1971-12-19,14,31.121,CLE,@,WAS,W 20-13,1,17,17.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
