ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
22,1999,1999-10-24,6,26.020,SEA,,BUF,W 26-16,*,0,0,,0,0,0,,0,0.0,1,13,0
23,1999,1999-11-01,7,26.028,SEA,@,GNB,W 27-7,*,,,,,,,,,,,,
24,1999,1999-11-07,8,26.034,SEA,,CIN,W 37-20,,,,,,,,,,,,,
25,1999,1999-11-14,9,26.041,SEA,,DEN,W 20-17,,0,0,,0,0,0,,0,0.0,1,29,0
26,1999,1999-11-21,10,26.048,SEA,@,KAN,W 31-19,*,1,6,6.00,0,0,0,,0,0.0,0,0,0
27,1999,1999-11-28,11,26.055,SEA,,TAM,L 3-16,,1,12,12.00,0,0,0,,0,0.0,0,0,0
28,1999,1999-12-05,12,26.062,SEA,@,OAK,L 21-30,*,0,0,,0,0,0,,0,0.0,1,40,0
29,1999,1999-12-12,13,26.069,SEA,,SDG,L 16-19,,1,9,9.00,0,0,0,,0,0.0,0,0,0
30,1999,1999-12-19,14,26.076,SEA,@,DEN,L 30-36,,1,61,61.00,0,0,0,,0,0.0,0,0,0
31,1999,1999-12-26,15,26.083,SEA,,KAN,W 23-14,,,,,,,,,,,,,
32,1999,2000-01-02,16,26.090,SEA,@,NYJ,L 9-19,,,,,,,,,,,,,
33,2000,2000-09-03,1,26.335,SEA,@,MIA,L 0-23,,,,,,,,,,,,,
34,2000,2000-09-10,2,26.342,SEA,,STL,L 34-37,,,,,,,,,,,,,
35,2000,2000-09-17,3,26.349,SEA,,NOR,W 20-10,,,,,,,,,,,,,
36,2000,2000-09-24,4,26.356,SEA,@,SDG,W 20-12,,,,,,,,,,,,,
37,2000,2000-10-02,5,26.364,SEA,@,KAN,L 17-24,,,,,,,,,,,,,
38,2000,2000-10-08,6,27.004,SEA,@,CAR,L 3-26,,,,,,,,,,,,,
39,2000,2000-10-15,7,27.011,SEA,,IND,L 24-37,*,,,,,,,,,,,,
40,2000,2000-10-22,8,27.018,SEA,@,OAK,L 3-31,*,,,,,,,,,,,,
41,2000,2000-10-29,9,27.025,SEA,,KAN,L 19-24,,,,,,,,,,,,,
42,2000,2000-11-05,10,27.032,SEA,,SDG,W 17-15,,1,34,34.00,0,0,0,,0,0.0,0,0,0
43,2000,2000-11-12,11,27.039,SEA,@,JAX,W 28-21,,1,15,15.00,0,0,0,,0,0.0,0,0,0
44,2000,2000-11-26,12,27.053,SEA,,DEN,L 31-38,,,,,,,,,,,,,
45,2000,2000-12-03,13,27.060,SEA,@,ATL,W 30-10,,,,,,,,,,,,,
46,2000,2000-12-10,14,27.067,SEA,@,DEN,L 24-31,,1,22,22.00,0,0,0,,0,0.0,0,0,0
47,2000,2000-12-16,15,27.073,SEA,,OAK,W 27-24,,,,,,,,,,,,,
48,2000,2000-12-23,16,27.080,SEA,,BUF,L 23-42,,,,,,,,,,,,,
49,2001,2001-11-18,9,28.045,SEA,@,BUF,W 23-20,,,,,,,,,,,,,
50,2001,2001-11-25,10,28.052,SEA,@,KAN,L 7-19,,,,,,,,,,,,,
51,2001,2001-12-02,11,28.059,SEA,,SDG,W 13-10,,,,,,,,,,,,,
52,2001,2001-12-09,12,28.066,SEA,@,DEN,L 7-20,,2,38,19.00,0,0,0,,0,0.0,0,0,0
53,2001,2001-12-16,13,28.073,SEA,,DAL,W 29-3,,0,0,,0,1,12,12.00,0,1.0,0,0,0
54,2001,2001-12-23,14,28.080,SEA,@,NYG,L 24-27,,1,21,21.00,0,0,0,,0,0.0,0,0,0
55,2001,2001-12-30,15,28.087,SEA,@,SDG,W 25-22,,1,24,24.00,0,1,0,0.00,0,0.0,0,0,0
56,2001,2002-01-06,16,28.094,SEA,,KAN,W 21-18,,,,,,,,,,,,,
