ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
36,2002,2002-10-27,7,25.284,ATL,@,NOR,W 37-35,,,,,,,,,,,,,,,
37,2002,2002-11-03,8,25.291,ATL,,BAL,W 20-17,,,,,,,,,,,,,,,
38,2002,2002-11-10,9,25.298,ATL,@,PIT,T 34-34,,,,,,,,,,,,,,,
39,2002,2002-11-17,10,25.305,ATL,,NOR,W 24-17,,,,,,,,,,,,,,,
40,2002,2002-11-24,11,25.312,ATL,@,CAR,W 41-0,,,,,,,,,,,,,,,
41,2002,2002-12-01,12,25.319,ATL,@,MIN,W 30-24,,,,,,,,,,,,,,,
42,2002,2002-12-08,13,25.326,ATL,@,TAM,L 10-34,,,,,,,,,,,,,,,
43,2002,2002-12-15,14,25.333,ATL,,SEA,L 24-30,,,,,,,,,,,,,,,
44,2002,2002-12-22,15,25.340,ATL,,DET,W 36-15,,,,,,,,,,,,,,,
45,2002,2002-12-29,16,25.347,ATL,@,CLE,L 16-24,,,,,,,,,,,,,,,
46,2003,2003-09-08,1,26.235,PHI,,TAM,L 0-17,*,,,,,,,,,,,,,,
47,2003,2003-09-14,2,26.241,PHI,,NWE,L 10-31,*,,,,,,,,,,,,,,
48,2003,2003-09-28,3,26.255,PHI,@,BUF,W 23-13,*,,,,,,,,,,,,,,
49,2003,2003-10-05,4,26.262,PHI,,WAS,W 27-25,*,,,,,,,0,0,1.0,,,0,0,0
50,2003,2003-10-12,5,26.269,PHI,@,DAL,L 21-23,*,,,,,,,,,,,,,,
51,2003,2003-10-19,6,26.276,PHI,@,NYG,W 14-10,*,,,,,,,0,0,1.0,,,0,0,0
52,2003,2003-10-26,7,26.283,PHI,,NYJ,W 24-17,*,,,,,,,,,,,,,,
53,2003,2003-11-02,8,26.290,PHI,@,ATL,W 23-16,*,,,,,,,,,,,,,,
54,2003,2003-11-10,9,26.298,PHI,@,GNB,W 17-14,*,,,,,,,,,,,,,,
55,2003,2003-11-16,10,26.304,PHI,,NYG,W 28-10,*,,,,,,,,,,,,,,
56,2003,2003-11-23,11,26.311,PHI,,NOR,W 33-20,*,,,,,,,,,,,,,,
57,2003,2003-11-30,12,26.318,PHI,@,CAR,W 25-16,*,,,,,,,,,,,,,,
58,2003,2003-12-07,13,26.325,PHI,,DAL,W 36-10,*,,,,,,,,,,,,,,
59,2003,2003-12-15,14,26.333,PHI,@,MIA,W 34-27,*,,,,,,,,,,,,,,
60,2003,2003-12-21,15,26.339,PHI,,SFO,L 28-31,*,,,,,,,,,,,,,,
61,2003,2003-12-27,16,26.345,PHI,@,WAS,W 31-7,*,,,,,,,,,,,,,,
62,2004,2004-09-12,1,27.240,PHI,,NYG,W 31-17,*,,,,,,,0,0,0.5,,,0,0,0
63,2004,2004-09-20,2,27.248,PHI,,MIN,W 27-16,*,,,,,,,,,,,,,,
64,2004,2004-09-26,3,27.254,PHI,@,DET,W 30-13,*,,,,,,,,,,,,,,
65,2004,2004-10-03,4,27.261,PHI,@,CHI,W 19-9,*,,,,,,,,,,,,,,
66,2004,2004-10-17,5,27.275,PHI,,CAR,W 30-8,*,,,,,,,,,,,,,,
67,2004,2004-10-31,7,27.289,PHI,,BAL,W 15-10,*,,,,,,,,,,,,,,
68,2004,2004-11-07,8,27.296,PHI,@,PIT,L 3-27,*,,,,,,,,,,,,,,
69,2004,2004-11-15,9,27.304,PHI,@,DAL,W 49-21,*,,,,,,,,,,,,,,
70,2004,2004-11-28,11,27.317,PHI,@,NYG,W 27-6,*,,,,,,,0,0,1.0,,,0,0,0
71,2004,2004-12-05,12,27.324,PHI,,GNB,W 47-17,*,,,,,,,,,,,,,,
72,2004,2004-12-12,13,27.331,PHI,@,WAS,W 17-14,*,,,,,,,,,,,,,,
73,2004,2004-12-19,14,27.338,PHI,,DAL,W 12-7,,,,,,,,,,,,,,,
74,2004,2004-12-27,15,27.346,PHI,@,STL,L 7-20,*,,,,,,,,,,,,,,
75,2004,2005-01-02,16,27.352,PHI,,CIN,L 10-38,*,,,,,,,,,,,,,,
76,2005,2005-09-12,1,28.239,PHI,@,ATL,L 10-14,,,,,,,,,,,,,,,
77,2005,2005-09-18,2,28.245,PHI,,SFO,W 42-3,,1,1,100.0,,,,0,1,,,,,,
78,2005,2005-09-25,3,28.252,PHI,,OAK,W 23-20,,,1,0.0,,,,0,0,,,,,,
79,2005,2005-10-02,4,28.259,PHI,@,KAN,W 37-31,,,,,,,,,,,,,,,
80,2005,2005-10-09,5,28.266,PHI,@,DAL,L 10-33,,,,,,,,,,,,,,,
81,2005,2005-10-23,6,28.280,PHI,,SDG,W 20-17,,,,,,,,,,,,,,,
82,2005,2005-10-30,7,28.287,PHI,@,DEN,L 21-49,,,,,,,,,,,,,,,
83,2005,2005-11-06,8,28.294,PHI,@,WAS,L 10-17,,,,,,,,,,,,,,,
84,2005,2005-11-14,9,28.302,PHI,,DAL,L 20-21,,,,,,,,,,,,,,,
85,2005,2005-11-20,10,28.308,PHI,@,NYG,L 17-27,,,,,,,,,,,,,,,
86,2005,2005-11-27,11,28.315,PHI,,GNB,W 19-14,,,,,,,,,,,,,,,
87,2005,2005-12-05,12,28.323,PHI,,SEA,L 0-42,,,,,,,,,,,,,,,
88,2005,2005-12-11,13,28.329,PHI,,NYG,L 23-26,,,,,,,,,,,,,,,
89,2005,2005-12-18,14,28.336,PHI,@,STL,W 17-16,,,,,,,,,,,,,,,
90,2005,2005-12-24,15,28.342,PHI,@,ARI,L 21-27,,,,,,,,,,,,,,,
91,2005,2006-01-01,16,28.350,PHI,,WAS,L 20-31,,,,,,,,,,,,,,,
92,2006,2006-09-10,1,29.237,NOR,@,CLE,W 19-14,*,,,,,,,,,,,,,,
93,2006,2006-09-17,2,29.244,NOR,@,GNB,W 34-27,*,,,,,,,,,,,,,,
94,2006,2006-09-25,3,29.252,NOR,,ATL,W 23-3,*,,,,,,,,,,,,,,
95,2006,2006-10-01,4,29.258,NOR,@,CAR,L 18-21,,,,,,,,,,,,,,,
96,2006,2006-10-08,5,29.265,NOR,,TAM,W 24-21,*,,,,,,,,,,,,,,
97,2006,2006-10-15,6,29.272,NOR,,PHI,W 27-24,,,,,,,,,,,,,,,
98,2006,2006-10-29,7,29.286,NOR,,BAL,L 22-35,*,,,,,,,,,,,,,,
99,2006,2006-11-05,8,29.293,NOR,@,TAM,W 31-14,*,,,,,,,,,,,,,,
100,2006,2006-11-12,9,29.300,NOR,@,PIT,L 31-38,*,,,,,,,,,,,,,,
101,2006,2006-11-19,10,29.307,NOR,,CIN,L 16-31,*,,,,,,,0,0,0.0,,,1,0,0
102,2006,2006-11-26,11,29.314,NOR,@,ATL,W 31-13,*,,,,,,,,,,,,,,
103,2006,2006-12-03,12,29.321,NOR,,SFO,W 34-10,*,,,,,,,0,0,1.0,,,0,0,0
104,2006,2006-12-10,13,29.328,NOR,@,DAL,W 42-17,,,,,,,,,,,,,,,
105,2006,2006-12-17,14,29.335,NOR,,WAS,L 10-16,*,,,,,,,,,,,,,,
106,2006,2006-12-24,15,29.342,NOR,@,NYG,W 30-7,*,,,,,,,,,,,,,,
107,2006,2006-12-31,16,29.349,NOR,,CAR,L 21-31,*,,,,,,,,,,,,,,
108,2007,2007-09-06,1,30.233,NOR,@,IND,L 10-41,*,,,,,,,,,,,,,,
109,2007,2007-09-16,2,30.243,NOR,@,TAM,L 14-31,*,,,,,,,,,,,,,,
110,2007,2007-09-24,3,30.251,NOR,,TEN,L 14-31,*,,,,,,,,,,,,,,
111,2007,2007-10-07,4,30.264,NOR,,CAR,L 13-16,*,,,,,,,,,,,,,,
112,2007,2007-10-14,5,30.271,NOR,@,SEA,W 28-17,*,,,,,,,,,,,,,,
113,2007,2007-10-21,6,30.278,NOR,,ATL,W 22-16,*,,,,,,,,,,,,,,
114,2007,2007-10-28,7,30.285,NOR,@,SFO,W 31-10,*,,,,,,,,,,,,,,
115,2007,2007-11-04,8,30.292,NOR,,JAX,W 41-24,*,,,,,,,,,,,,,,
116,2007,2007-11-11,9,30.299,NOR,,STL,L 29-37,*,,,,,,,,,,,,,,
117,2007,2007-11-18,10,30.306,NOR,@,HOU,L 10-23,*,,,,,,,,,,,,,,
118,2007,2007-11-25,11,30.313,NOR,@,CAR,W 31-6,*,,,,,,,,,,,,,,
119,2007,2007-12-02,12,30.320,NOR,,TAM,L 23-27,*,,,,,,,0,0,1.0,,,0,0,0
120,2007,2007-12-10,13,30.328,NOR,@,ATL,W 34-14,*,,,,,,,0,0,1.0,,,0,0,0
121,2007,2007-12-16,14,30.334,NOR,,ARI,W 31-24,*,,,,,,,,,,,,,,
122,2007,2007-12-23,15,30.341,NOR,,PHI,L 23-38,*,,,,,,,,,,,,,,
123,2007,2007-12-30,16,30.348,NOR,@,CHI,L 25-33,*,,,,,,,,,,,,,,
124,2010,2010-11-14,9,33.302,KAN,@,DEN,L 29-49,,,,,,,,0,0,0.0,0,0,0,0,0
