ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
71,1978,1978-09-24,4,28.088,DEN,@,KAN,W 23-17,,,,
72,1978,1978-10-01,5,28.095,DEN,,SEA,W 28-7,,,,
73,1978,1978-10-08,6,28.102,DEN,@,SDG,L 0-23,,,,
74,1978,1978-10-16,7,28.110,DEN,,CHI,W 16-7,,,,
75,1978,1978-10-22,8,28.116,DEN,@,BAL,L 6-7,,,,
76,1978,1978-10-29,9,28.123,DEN,@,SEA,W 20-17,,,,
77,1978,1978-11-05,10,28.130,DEN,,NYJ,L 28-31,,,,
78,1978,1978-11-12,11,28.137,DEN,@,CLE,W 19-7,,,,
79,1978,1978-11-19,12,28.144,DEN,,GNB,W 16-3,,,,
80,1978,1978-11-23,13,28.148,DEN,@,DET,L 14-17,,,,
81,1978,1978-12-03,14,28.158,DEN,@,OAK,W 21-6,,,,
82,1978,1978-12-10,15,28.165,DEN,,KAN,W 24-3,,,,
83,1978,1978-12-16,16,28.171,DEN,,PIT,L 17-21,,,,
84,1979,1979-09-02,1,29.066,DEN,,CIN,W 10-0,,,,
85,1979,1979-09-06,2,29.070,DEN,,RAM,L 9-13,,,,
86,1979,1979-09-16,3,29.080,DEN,@,ATL,W 20-17,,,,
87,1979,1979-09-23,4,29.087,DEN,,SEA,W 37-34,,,,
88,1979,1979-09-30,5,29.094,DEN,@,OAK,L 3-27,,,,
89,1979,1979-10-07,6,29.101,DEN,,SDG,W 7-0,,,,
90,1979,1979-10-14,7,29.108,DEN,@,KAN,W 24-10,,,,
91,1979,1979-10-22,8,29.116,DEN,@,PIT,L 7-42,,,,
92,1979,1979-10-28,9,29.122,DEN,,KAN,W 20-3,,,,
93,1979,1979-11-04,10,29.129,DEN,,NOR,W 10-3,,,,
94,1979,1979-11-11,11,29.136,DEN,,NWE,W 45-10,,,,
95,1979,1979-11-18,12,29.143,DEN,@,SFO,W 38-28,,,,
96,1979,1979-11-25,13,29.150,DEN,,OAK,L 10-14,,,,
97,1979,1979-12-02,14,29.157,DEN,@,BUF,W 19-16,,,,
98,1979,1979-12-08,15,29.163,DEN,@,SEA,L 23-28,1,25,25.00,0
99,1979,1979-12-17,16,29.172,DEN,@,SDG,L 7-17,,,,
