ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
50,2002,2002-09-29,4,27.098,TEN,@,OAK,L 25-52,*,8,7,51,7.29,0,87.5%,6.38,0,0,,0,0,0,,0,0,0
51,2002,2002-10-06,5,27.105,TEN,,WAS,L 14-31,*,8,3,33,11.00,0,37.5%,4.13,0,0,,0,0,0,,0,0,0
52,2002,2002-10-13,6,27.112,TEN,,JAX,W 23-14,*,6,4,37,9.25,0,66.7%,6.17,0,0,,0,0,0,,0,0,0
53,2002,2002-10-27,7,27.126,TEN,@,CIN,W 30-24,*,9,5,80,16.00,1,55.6%,8.89,0,0,,0,0,0,,0,1,6
54,2002,2002-11-03,8,27.133,TEN,@,IND,W 23-15,*,3,2,10,5.00,0,66.7%,3.33,1,5,5.00,0,0,0,,0,0,0
55,2002,2002-11-10,9,27.140,TEN,,HOU,W 17-10,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0
56,2002,2002-11-17,10,27.147,TEN,,PIT,W 31-23,*,13,8,87,10.88,2,61.5%,6.69,0,0,,0,0,0,,0,2,12
57,2002,2002-11-24,11,27.154,TEN,@,BAL,L 12-13,*,6,4,87,21.75,0,66.7%,14.50,0,0,,0,0,0,,0,0,0
58,2003,2003-09-07,1,28.076,CAR,,JAX,W 24-23,,,0,,,,0.0%,,,,,,0,,,,,
59,2003,2003-09-28,3,28.097,CAR,,ATL,W 23-3,,,0,,,,0.0%,,,,,,0,,,,,
60,2003,2003-10-05,4,28.104,CAR,,NOR,W 19-13,,,0,,,,0.0%,,,,,,0,,,,,
61,2003,2003-10-19,6,28.118,CAR,,TEN,L 17-37,,,0,,,,0.0%,,,,,,0,,,,,
62,2003,2003-12-21,15,28.181,CAR,,DET,W 20-14,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,1,14,14.00,0,0,0
