ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
21,1988,1988-10-30,9,28.115,NYJ,,PIT,W 24-20,0,0,,0,0,0,7,309,44.14,0
22,1988,1988-11-06,10,28.122,NYJ,@,IND,L 14-38,0,0,,0,0,0,6,251,41.83,0
23,1988,1988-11-13,11,28.129,NYJ,,NWE,L 13-14,0,0,,0,0,0,8,297,37.13,0
24,1988,1988-11-20,12,28.136,NYJ,@,BUF,L 6-9,0,0,,0,0,0,6,255,42.50,0
25,1988,1988-11-27,13,28.143,NYJ,,MIA,W 38-34,0,0,,0,0,0,2,78,39.00,0
26,1988,1988-12-04,14,28.150,NYJ,@,KAN,L 34-38,0,0,,0,0,0,3,94,31.33,0
27,1988,1988-12-10,15,28.156,NYJ,,IND,W 34-16,0,0,,0,0,0,4,112,28.00,0
28,1988,1988-12-18,16,28.164,NYJ,,NYG,W 27-21,0,0,,0,0,0,6,238,39.67,0
29,1989,1989-09-10,1,29.065,NYJ,,NWE,L 24-27,1,17,17.00,1,1,6,6,230,38.33,0
30,1989,1989-09-17,2,29.072,NYJ,@,CLE,L 24-38,0,0,,0,0,0,3,124,41.33,0
31,1989,1989-09-24,3,29.079,NYJ,@,MIA,W 40-33,0,0,,0,0,0,3,105,35.00,0
32,1989,1989-10-01,4,29.086,NYJ,,IND,L 10-17,0,0,,0,0,0,7,283,40.43,0
33,1989,1989-10-09,5,29.094,NYJ,,RAI,L 7-14,0,0,,0,0,0,7,215,30.71,0
34,1989,1989-10-15,6,29.100,NYJ,@,NOR,L 14-29,0,0,,0,0,0,6,238,39.67,0
35,1989,1989-10-22,7,29.107,NYJ,@,BUF,L 3-34,0,0,,0,0,0,6,160,26.67,0
36,1989,1989-10-29,8,29.114,NYJ,,SFO,L 10-23,0,0,,0,0,0,5,219,43.80,0
37,1989,1989-11-05,9,29.121,NYJ,@,NWE,W 27-26,0,0,,0,0,0,6,280,46.67,0
38,1989,1989-11-12,10,29.128,NYJ,,MIA,L 23-31,0,0,,0,0,0,4,177,44.25,0
39,1989,1989-11-19,11,29.135,NYJ,@,IND,L 10-27,0,0,,0,0,0,3,118,39.33,0
40,1989,1989-11-26,12,29.142,NYJ,,ATL,W 27-7,0,0,,0,0,0,6,269,44.83,0
41,1989,1989-12-03,13,29.149,NYJ,@,SDG,W 20-17,0,0,,0,0,0,9,355,39.44,0
42,1989,1989-12-10,14,29.156,NYJ,,PIT,L 0-13,0,0,,0,0,0,4,165,41.25,0
43,1989,1989-12-17,15,29.163,NYJ,@,RAM,L 14-38,0,0,,0,0,0,5,209,41.80,0
44,1989,1989-12-23,16,29.169,NYJ,,BUF,L 0-37,0,0,,0,0,0,7,279,39.86,0
45,1990,1990-09-09,1,30.064,NYJ,@,CIN,L 20-25,0,0,,0,0,0,4,171,42.75,0
46,1990,1990-09-16,2,30.071,NYJ,,CLE,W 24-21,0,0,,0,0,0,6,224,37.33,0
47,1990,1990-09-24,3,30.079,NYJ,,BUF,L 7-30,0,0,,0,0,0,6,257,42.83,0
48,1990,1990-09-30,4,30.085,NYJ,@,NWE,W 37-13,0,0,,0,0,0,1,42,42.00,0
49,1990,1990-10-07,5,30.092,NYJ,@,MIA,L 16-20,0,0,,0,0,0,3,117,39.00,0
50,1990,1990-10-14,6,30.099,NYJ,,SDG,L 3-39,2,-6,-3.00,0,0,0,4,156,39.00,0
51,1990,1990-10-21,7,30.106,NYJ,@,BUF,L 27-30,1,8,8.00,0,0,0,3,149,49.67,0
52,1990,1990-10-28,8,30.113,NYJ,@,HOU,W 17-12,0,0,,0,0,0,4,162,40.50,0
53,1990,1990-11-04,9,30.120,NYJ,,DAL,W 24-9,0,0,,0,0,0,5,224,44.80,0
54,1990,1990-11-11,10,30.127,NYJ,,MIA,L 3-17,0,0,,0,0,0,6,219,36.50,0
55,1990,1990-11-18,11,30.134,NYJ,@,IND,L 14-17,0,0,,0,0,0,3,103,34.33,0
56,1990,1990-11-25,12,30.141,NYJ,,PIT,L 7-24,0,0,,0,0,0,4,171,42.75,0
57,1990,1990-12-02,13,30.148,NYJ,@,SDG,L 17-38,0,0,,0,0,0,3,118,39.33,0
58,1990,1990-12-16,14,30.162,NYJ,,IND,L 21-29,0,0,,0,0,0,4,161,40.25,0
59,1990,1990-12-23,15,30.169,NYJ,,NWE,W 42-7,0,0,,0,0,0,1,32,32.00,0
60,1990,1990-12-30,16,30.176,NYJ,@,TAM,W 16-14,0,0,,0,0,0,2,57,28.50,0
61,1991,1991-10-13,6,31.098,SFO,,ATL,L 34-39,0,0,,0,0,0,2,62,31.00,0
62,1991,1991-10-20,7,31.105,SFO,,DET,W 35-3,0,0,,0,,,0,0,,
63,1991,1991-10-27,8,31.112,SFO,@,PHI,W 23-7,0,0,,0,0,0,5,195,39.00,0
64,1991,1991-11-03,9,31.119,SFO,@,ATL,L 14-17,0,0,,0,0,0,4,135,33.75,0
65,1991,1991-11-10,10,31.126,SFO,@,NOR,L 3-10,0,0,,0,0,0,7,281,40.14,0
66,1991,1991-11-17,11,31.133,SFO,,PHO,W 14-10,0,0,,0,0,0,5,208,41.60,0
67,1991,1991-11-25,12,31.141,SFO,@,RAM,W 33-10,0,0,,0,0,0,4,135,33.75,0
68,1991,1991-12-01,13,31.147,SFO,,NOR,W 38-24,1,-10,-10.00,0,0,0,2,93,46.50,0
69,1991,1991-12-08,14,31.154,SFO,@,SEA,W 24-22,0,0,,0,0,0,4,158,39.50,0
70,1991,1991-12-14,15,31.160,SFO,,KAN,W 28-14,0,0,,0,0,0,4,162,40.50,0
71,1991,1991-12-23,16,31.169,SFO,,CHI,W 52-14,0,0,,0,0,0,3,112,37.33,0
72,1992,1992-09-20,2,32.075,MIA,,RAM,W 26-10,0,0,,0,0,0,2,87,43.50,0
73,1992,1992-09-27,3,32.082,MIA,@,SEA,W 19-17,0,0,,0,0,0,2,75,37.50,0
74,1992,1992-10-04,4,32.089,MIA,@,BUF,W 37-10,0,0,,0,0,0,4,145,36.25,0
75,1992,1992-10-11,5,32.096,MIA,,ATL,W 21-17,0,0,,0,0,0,3,114,38.00,0
76,1992,1992-10-18,6,32.103,MIA,,NWE,W 38-17,0,0,,0,0,0,3,117,39.00,0
77,1992,1992-10-25,7,32.110,MIA,,IND,L 20-31,0,0,,0,0,0,4,137,34.25,0
78,1992,1992-11-01,8,32.117,MIA,@,NYJ,L 14-26,0,0,,0,0,0,6,216,36.00,0
79,1992,1992-11-26,12,32.142,NYG,@,DAL,L 3-30,0,0,,0,0,0,8,293,36.63,0
