ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
16,1961,1961-10-22,6,25.129,PIT,,CLE,L 28-30,0,0,,0,1,1,1.00,0,3,5,1.67,0,0,0,1,5,0
17,1961,1961-10-29,7,25.136,PIT,,SFO,W 20-10,0,0,,0,1,51,51.00,0,1,3,3.00,0,0,0,0,0,0
18,1961,1961-11-05,8,25.143,PIT,@,CLE,W 17-13,0,0,,0,1,59,59.00,0,2,54,27.00,0,0,0,0,0,0
19,1961,1961-11-12,9,25.150,PIT,,DAL,W 37-7,0,0,,0,0,0,,0,2,22,11.00,0,0,0,0,0,0
20,1961,1961-11-19,10,25.157,PIT,@,NYG,L 21-42,0,0,,0,6,147,24.50,0,1,7,7.00,0,0,0,0,0,0
21,1961,1961-11-26,11,25.164,PIT,,STL,W 30-27,0,0,,0,2,49,24.50,0,4,71,17.75,1,1,6,0,0,0
22,1961,1961-12-03,12,25.171,PIT,,PHI,L 24-35,0,0,,0,2,15,7.50,0,5,26,5.20,0,0,0,0,0,0
23,1961,1961-12-10,13,25.178,PIT,@,WAS,W 30-14,0,0,,0,1,32,32.00,0,0,0,,0,0,0,0,0,0
24,1961,1961-12-17,14,25.185,PIT,@,STL,L 0-20,0,0,,0,1,16,16.00,0,1,18,18.00,0,0,0,0,0,0
25,1962,1962-09-16,1,26.093,PIT,@,DET,L 7-45,0,0,,0,2,52,26.00,0,0,0,,0,0,0,0,0,0
26,1962,1962-09-23,2,26.100,PIT,@,DAL,W 30-28,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
27,1962,1962-10-06,4,26.113,PIT,,PHI,W 13-7,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
28,1962,1962-10-14,5,26.121,PIT,@,NYG,W 20-17,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0,0,0
29,1963,1963-09-15,1,27.092,WAS,@,CLE,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
30,1963,1963-09-21,2,27.098,WAS,@,RAM,W 37-14,0,0,,0,0,0,,0,2,45,22.50,0,0,0,0,0,0
31,1964,1964-10-18,6,28.125,WAS,@,STL,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,1,16,0
32,1964,1964-11-15,10,28.153,WAS,@,PIT,W 30-0,0,0,,0,0,0,,0,0,0,,0,1,6,2,15,1
33,1964,1964-11-29,12,28.167,WAS,,NYG,W 36-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
34,1965,1965-10-10,4,29.117,WAS,,STL,L 16-37,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
35,1965,1965-10-24,6,29.131,WAS,@,STL,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,0,2,44,0
36,1965,1965-10-31,7,29.138,WAS,,PHI,W 23-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
37,1965,1965-11-07,8,29.145,WAS,@,NYG,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,7,0
38,1965,1965-12-05,12,29.173,WAS,@,CLE,L 16-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
39,1966,1966-09-09,1,30.086,NYJ,@,MIA,W 19-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,3,0
40,1966,1966-09-18,2,30.095,NYJ,,HOU,W 52-13,0,0,,0,0,0,,0,0,0,,0,0,0,2,8,0
41,1966,1966-10-02,4,30.109,NYJ,@,BOS,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
42,1966,1966-10-30,8,30.137,NYJ,,BUF,L 23-33,0,0,,0,0,0,,0,0,0,,0,0,0,1,21,0
43,1967,1967-10-01,3,31.108,NYJ,,MIA,W 29-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
44,1967,1967-10-07,4,31.114,NYJ,,OAK,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
45,1967,1967-11-12,9,31.150,NYJ,,BUF,W 20-10,0,0,,0,0,0,,0,0,0,,0,1,6,1,41,1
46,1967,1967-11-19,10,31.157,NYJ,@,BOS,W 29-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0
47,1968,1968-09-29,3,32.106,NYJ,@,BUF,L 35-37,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
48,1968,1968-10-05,4,32.112,NYJ,,SDG,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,39,0
49,1968,1968-10-27,7,32.134,NYJ,,BOS,W 48-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,4,0
50,1968,1968-11-03,8,32.141,NYJ,,BUF,W 25-21,0,0,,0,0,0,,0,0,0,,0,1,6,2,36,1
51,1968,1968-11-10,9,32.148,NYJ,,HOU,W 26-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,9,0
