ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
38,2008,2008-10-19,6,26.051,NYJ,@,OAK,L 13-16,,3,19,6.33,1,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,,,,,3,52,17.33,0,3,0,0.00,0,,1,6,0.0,1,0
39,2008,2008-10-26,7,26.058,NYJ,,KAN,W 28-24,,3,67,22.33,1,4,3,34,11.33,1,75.0%,8.50,0,0,,0,0,0,,,,,,4,102,25.50,0,3,71,23.67,0,,2,12,0.0,0,0
40,2008,2008-11-02,8,26.065,NYJ,@,BUF,W 26-17,,7,13,1.86,0,2,2,42,21.00,0,100.0%,21.00,0,0,,0,0,0,,,,,,3,70,23.33,0,0,0,,0,,0,0,0.0,0,0
41,2008,2008-11-09,9,26.072,NYJ,,STL,W 47-3,,12,54,4.50,0,5,4,14,3.50,0,80.0%,2.80,0,0,,0,0,0,,,,,,1,23,23.00,0,4,49,12.25,0,,0,0,0.0,0,0
42,2008,2008-11-13,10,26.076,NYJ,@,NWE,W 34-31,,5,18,3.60,0,4,2,17,8.50,1,50.0%,4.25,0,0,,0,0,0,,,,,,4,177,44.25,1,0,0,,0,,2,12,0.0,1,0
43,2008,2008-11-23,11,26.086,NYJ,@,TEN,W 34-13,,8,82,10.25,2,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,,,,,2,39,19.50,0,2,8,4.00,0,,2,12,0.0,0,0
44,2008,2008-11-30,12,26.093,NYJ,,DEN,L 17-34,,2,4,2.00,0,5,3,60,20.00,0,60.0%,12.00,0,0,,0,0,0,,,,,,4,87,21.75,0,2,7,3.50,0,,0,0,0.0,0,0
45,2008,2008-12-07,13,26.100,NYJ,@,SFO,L 14-24,,1,1,1.00,0,6,6,31,5.17,0,100.0%,5.17,0,0,,0,0,0,,,,,,3,71,23.67,0,3,14,4.67,0,,0,0,0.0,0,0
46,2008,2008-12-14,14,26.107,NYJ,,BUF,W 31-27,,1,47,47.00,1,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,6,132,22.00,0,0,0,,0,,1,6,0.0,0,0
47,2008,2008-12-21,15,26.114,NYJ,@,SEA,L 3-13,,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,71,17.75,0,1,4,4.00,0,,0,0,0.0,0,0
48,2008,2008-12-28,16,26.121,NYJ,,MIA,L 17-24,,10,60,6.00,1,8,6,29,4.83,0,75.0%,3.63,0,0,,0,0,0,,,,,,4,92,23.00,0,0,0,,0,,1,6,0.0,1,0
49,2009,2009-09-13,1,27.015,NYJ,@,HOU,W 24-7,,15,60,4.00,0,6,4,24,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,1,20,20.00,0,2,16,8.00,0,,0,0,0.0,1,0
50,2009,2009-09-20,2,27.022,NYJ,,NWE,W 16-9,,14,58,4.14,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,,,,,4,127,31.75,0,0,0,,0,,0,0,0.0,0,0
51,2009,2009-09-27,3,27.029,NYJ,,TEN,W 24-17,,12,46,3.83,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,3,63,21.00,0,0,0,,0,,0,0,0.0,1,0
52,2009,2009-10-04,4,27.036,NYJ,@,NOR,L 10-24,,4,17,4.25,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,,0,0,0.0,1,0
53,2009,2009-10-12,5,27.044,NYJ,@,MIA,L 27-31,,11,45,4.09,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,,,,,4,101,25.25,0,0,0,,0,,0,0,0.0,0,0
54,2009,2009-10-18,6,27.050,NYJ,,BUF,L 13-16,,15,99,6.60,0,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0,0,,,,,,3,57,19.00,0,0,0,,0,,0,0,0.0,0,0
55,2009,2009-10-25,7,27.057,NYJ,@,OAK,W 38-0,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
56,2010,2010-09-12,1,28.014,SEA,,SFO,W 31-6,,6,12,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,58,29.00,0,0,0,,0,,0,0,0.0,0,0
57,2010,2010-09-19,2,28.021,SEA,@,DEN,L 14-31,,4,17,4.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,13,13.00,0,0,0,,0,,0,0,0.0,0,0
58,2010,2010-09-26,3,28.028,SEA,,SDG,W 27-20,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,253,63.25,2,0,0,,0,,2,12,0.0,0,0
59,2010,2010-10-03,4,28.035,SEA,@,STL,L 3-20,,1,1,1.00,0,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,,,,3,80,26.67,0,0,0,,0,,0,0,0.0,0,0
60,2010,2010-10-17,5,28.049,SEA,@,CHI,W 23-20,,0,0,,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,,,,3,77,25.67,0,0,0,,0,,0,0,0.0,0,0
61,2010,2010-10-24,6,28.056,SEA,,ARI,W 22-10,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,2,45,22.50,0,0,0,,0,,0,0,0.0,0,0
62,2010,2010-10-31,7,28.063,SEA,@,OAK,L 3-33,,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,114,28.50,0,2,62,31.00,0,,0,0,0.0,0,0
63,2010,2010-11-07,8,28.070,SEA,,NYG,L 7-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,5,113,22.60,0,1,6,6.00,0,,0,0,0.0,0,0
64,2010,2010-11-14,9,28.077,SEA,@,ARI,W 36-18,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,22,22.00,0,2,51,25.50,0,,0,0,0.0,0,0
65,2010,2010-11-21,10,28.084,SEA,@,NOR,L 19-34,,1,0,0.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,,,3,74,24.67,0,0,0,,0,,0,0,0.0,0,0
66,2010,2010-11-28,11,28.091,SEA,,KAN,L 24-42,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,5,77,15.40,0,1,-2,-2.00,0,,0,0,0.0,0,0
67,2010,2010-12-05,12,28.098,SEA,,CAR,W 31-14,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,7,,,3,47,15.67,0,4,92,23.00,0,,0,0,0.0,0,0
68,2010,2010-12-12,13,28.105,SEA,@,SFO,L 21-40,,4,10,2.50,0,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,,,,7,222,31.71,1,2,8,4.00,0,,1,6,0.0,0,0
69,2010,2010-12-19,14,28.112,SEA,,ATL,L 18-34,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,76,19.00,0,2,3,1.50,0,,0,0,0.0,0,0
70,2010,2010-12-26,15,28.119,SEA,@,TAM,L 15-38,,1,16,16.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,7,128,18.29,0,2,4,2.00,0,,1,6,0.0,0,0
71,2010,2011-01-02,16,28.126,SEA,,STL,W 16-6,,1,4,4.00,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,,,3,62,20.67,0,6,25,4.17,0,,0,0,0.0,0,0
72,2011,2011-09-11,1,29.013,SEA,@,SFO,L 17-33,,0,0,,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,4,104,26.00,0,3,27,9.00,0,,0,0,0.0,0,0
73,2011,2011-09-18,2,29.020,SEA,@,PIT,L 0-24,,1,-2,-2.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,2,39,19.50,0,1,0,0.00,0,,0,0,0.0,0,0
74,2011,2011-09-25,3,29.027,SEA,,ARI,W 13-10,,3,29,9.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,2,29,14.50,0,3,27,9.00,0,,0,0,0.0,0,1
75,2011,2011-10-02,4,29.034,SEA,,ATL,L 28-30,,2,2,1.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,4,94,23.50,0,2,40,20.00,0,,0,0,0.0,0,0
76,2011,2011-10-09,5,29.041,SEA,@,NYG,W 36-25,,3,10,3.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,3,71,23.67,0,6,79,13.17,0,,0,0,0.0,0,0
77,2011,2011-10-23,6,29.055,SEA,@,CLE,L 3-6,*,7,39,5.57,0,4,4,10,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,3,60,20.00,0,2,39,19.50,0,,0,0,0.0,0,0
78,2011,2011-10-30,7,29.062,SEA,,CIN,L 12-34,,2,34,17.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,5,142,28.40,0,3,38,12.67,0,,0,0,0.0,0,0
79,2011,2011-11-06,8,29.069,SEA,@,DAL,L 13-23,,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,50,16.67,0,0,0,,0,,0,0,0.0,0,0
80,2011,2011-11-13,9,29.076,SEA,,BAL,W 22-17,,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,77,25.67,0,1,12,12.00,0,,0,0,0.0,0,0
81,2011,2011-11-20,10,29.083,SEA,@,STL,W 24-7,,6,-3,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,21,21.00,0,7,74,10.57,0,,0,0,0.0,0,0
82,2011,2011-11-27,11,29.090,SEA,,WAS,L 17-23,,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,86,43.00,0,2,1,0.50,0,,0,0,0.0,0,0
83,2011,2011-12-01,12,29.094,SEA,,PHI,W 31-14,,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,24,24.00,0,3,0,0.00,0,,0,0,0.0,0,0
84,2011,2011-12-12,13,29.105,SEA,,STL,W 30-13,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,80,40.00,0,1,17,17.00,0,,0,0,0.0,0,0
85,2011,2011-12-18,14,29.111,SEA,@,CHI,W 38-14,,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,2,44,22.00,0,,0,0,0.0,0,0
86,2011,2011-12-24,15,29.117,SEA,,SFO,L 17-19,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,5,107,21.40,0,1,24,24.00,0,,0,0,0.0,0,0
87,2011,2012-01-01,16,29.125,SEA,@,ARI,L 20-23,,7,78,11.14,1,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,2,84,42.00,0,4,42,10.50,0,,1,6,0.0,0,0
88,2012,2012-09-09,1,30.011,SEA,@,ARI,L 16-20,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,133,44.33,0,3,51,17.00,0,,0,0,0.0,0,0
89,2012,2012-09-16,2,30.018,SEA,,DAL,W 27-7,,4,11,2.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,7,7.00,0,,0,0,0.0,0,0
90,2012,2012-09-24,3,30.026,SEA,,GNB,W 14-12,,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,42,21.00,0,2,5,2.50,0,,0,0,0.0,0,0
91,2012,2012-09-30,4,30.032,SEA,@,STL,L 13-19,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,69,69.00,0,2,1,0.50,0,,0,0,0.0,0,0
92,2012,2012-10-07,5,30.039,SEA,@,CAR,W 16-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,45,22.50,0,5,39,7.80,0,,0,0,0.0,0,0
93,2012,2012-10-14,6,30.046,SEA,,NWE,W 24-23,,0,0,,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,2,40,20.00,0,2,29,14.50,0,,0,0,0.0,0,0
94,2012,2012-10-18,7,30.050,SEA,@,SFO,L 6-13,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,,0,0,0.0,0,0
95,2012,2012-10-28,8,30.060,SEA,@,DET,L 24-28,,0,0,,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,3,68,22.67,0,3,29,9.67,0,,0,0,0.0,0,0
96,2012,2012-11-04,9,30.067,SEA,,MIN,W 30-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,19,19.00,0,2,21,10.50,0,,0,0,0.0,0,0
97,2012,2012-11-11,10,30.074,SEA,,NYJ,W 28-7,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,17,17.00,0,3,40,13.33,0,,0,0,0.0,0,0
98,2012,2012-11-25,11,30.088,SEA,@,MIA,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,122,61.00,1,2,30,15.00,0,,0,6,0.0,0,0
99,2012,2012-12-02,12,30.095,SEA,@,CHI,W 23-17,,2,8,4.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,1,0.50,0,,0,0,0.0,0,0
100,2012,2012-12-09,13,30.102,SEA,,ARI,W 58-0,,7,38,5.43,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,18,18.00,0,5,39,7.80,0,,1,6,0.0,0,0
101,2012,2012-12-16,14,30.109,SEA,@,BUF,W 50-17,,2,5,2.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,3,66,22.00,0,3,20,6.67,0,,0,0,0.0,0,0
102,2012,2012-12-23,15,30.116,SEA,,SFO,W 42-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,63,31.50,0,2,17,8.50,0,,0,0,0.0,0,0
103,2012,2012-12-30,16,30.123,SEA,,STL,W 20-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,62,20.67,0,2,22,11.00,0,,0,0,0.0,0,0
104,2013,2013-09-12,2,31.014,NWE,,NYJ,W 13-10,,1,1,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
105,2013,2013-10-06,5,31.038,NWE,@,CIN,L 6-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,,0,0,0.0,0,0
106,2013,2013-12-01,12,31.094,TEN,@,IND,L 14-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,78,26.00,0,2,43,21.50,0,,0,0,0.0,0,0
107,2013,2013-12-08,13,31.101,TEN,@,DEN,L 28-51,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,5,209,41.80,0,0,0,,0,,0,0,0.0,0,0
108,2013,2013-12-15,14,31.108,TEN,,ARI,L 34-37,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,6,140,23.33,0,2,18,9.00,0,,0,0,0.0,0,0
109,2013,2013-12-22,15,31.115,TEN,@,JAX,W 20-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,,0,0,0.0,0,0
110,2013,2013-12-29,16,31.122,TEN,,HOU,W 16-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,54,27.00,0,1,18,18.00,0,,0,0,0.0,0,0
111,2014,2014-09-07,1,32.009,TEN,@,KAN,W 26-10,,2,23,11.50,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,,0,0,0.0,0,0
112,2014,2014-09-14,2,32.016,TEN,,DAL,L 10-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,4,47,11.75,0,0,0,,0,,0,0,0.0,1,0
113,2014,2014-09-21,3,32.023,TEN,@,CIN,L 7-33,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,56,28.00,0,0,0,,0,,0,0,0.0,0,0
114,2014,2014-09-28,4,32.030,TEN,@,IND,L 17-41,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2014,2014-10-05,5,32.037,TEN,,CLE,L 28-29,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,2,31,15.50,0,0,0,,0,,0,0,0.0,0,0
116,2014,2014-10-12,6,32.044,TEN,,JAX,W 16-14,,1,1,1.00,0,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,,,1,50,50.00,0,0,0,,0,,0,0,0.0,0,0
117,2014,2014-10-19,7,32.051,TEN,@,WAS,L 17-19,,1,8,8.00,0,2,2,-4,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,,,2,50,25.00,0,0,0,,0,,0,0,0.0,0,0
118,2014,2014-10-26,8,32.058,TEN,,HOU,L 16-30,,0,0,,0,3,3,40,13.33,0,100.0%,13.33,0,0,,0,0,0,,0,0,,,3,77,25.67,0,0,0,,0,,0,0,0.0,0,0
119,2014,2014-11-09,9,32.072,TEN,@,BAL,L 7-21,,1,3,3.00,0,3,2,12,6.00,1,66.7%,4.00,0,0,,0,0,0,,0,0,,,2,43,21.50,0,2,10,5.00,0,,1,6,0.0,0,0
120,2014,2014-11-17,10,32.080,TEN,,PIT,L 24-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2014,2014-11-23,11,32.086,TEN,@,PHI,L 24-43,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,94,31.33,0,0,0,,0,,0,0,0.0,0,0
