ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
35,1973,1973-10-14,5,27.060,NWE,,NYJ,L 7-9,,,,,,,,,,,,
36,1973,1973-10-21,6,27.067,NWE,@,CHI,W 13-10,,,,,,,,,,,,
37,1973,1973-10-28,7,27.074,NWE,,MIA,L 14-30,,,,,,,,,,,,
38,1973,1973-11-11,9,27.088,NWE,@,NYJ,L 13-33,,,,,,,,,,,,
39,1973,1973-11-18,10,27.095,NWE,,GNB,W 33-24,,,,,,,,,,,,
40,1973,1973-11-25,11,27.102,NWE,@,HOU,W 32-0,,,,,,,,,,,,
41,1973,1973-12-02,12,27.109,NWE,,SDG,W 30-14,2,44,22.00,0,1,3,3.00,0,0,0,,0
42,1973,1973-12-09,13,27.116,NWE,@,BUF,L 13-37,6,100,16.67,0,0,0,,0,0,0,,0
43,1973,1973-12-16,14,27.123,NWE,@,BAL,L 13-18,0,0,,0,1,4,4.00,0,0,0,,0
44,1974,1974-09-15,1,28.031,NWE,,MIA,W 34-24,,,,,,,,,,,,
45,1974,1974-09-22,2,28.038,NWE,@,NYG,W 28-20,,,,,,,,,,,,
46,1974,1974-10-06,4,28.052,NWE,,BAL,W 42-3,,,,,,,,,,,,
47,1974,1974-10-13,5,28.059,NWE,@,NYJ,W 24-0,,,,,,,,,,,,
48,1974,1974-10-20,6,28.066,NWE,@,BUF,L 28-30,,,,,,,,,,,,
49,1974,1974-10-27,7,28.073,NWE,@,MIN,W 17-14,,,,,,,,,,,,
50,1974,1974-11-03,8,28.080,NWE,,BUF,L 28-29,1,24,24.00,0,0,0,,0,0,0,,0
51,1974,1974-11-10,9,28.087,NWE,,CLE,L 14-21,1,18,18.00,0,0,0,,0,0,0,,0
52,1974,1974-11-17,10,28.094,NWE,,NYJ,L 16-21,5,52,10.40,0,0,0,,0,0,0,,0
53,1974,1974-11-24,11,28.101,NWE,@,BAL,W 27-17,3,52,17.33,0,0,0,,0,0,0,,0
54,1974,1974-12-01,12,28.108,NWE,@,OAK,L 26-41,4,55,13.75,0,0,0,,0,0,0,,0
55,1974,1974-12-08,13,28.115,NWE,,PIT,L 17-21,2,23,11.50,0,0,0,,0,0,0,,0
56,1974,1974-12-15,14,28.122,NWE,@,MIA,L 27-34,1,20,20.00,0,0,0,,0,0,0,,0
57,1975,1975-12-14,13,29.121,DEN,,PHI,W 25-10,,,,,,,,,,,,
58,1975,1975-12-20,14,29.127,DEN,@,MIA,L 13-14,,,,,,,,,,,,
59,1976,1976-09-12,1,30.028,ATL,,RAM,L 14-30,,,,,,,,,,,,
60,1976,1976-09-19,2,30.035,ATL,@,DET,L 10-24,,,,,,,,,,,,
61,1976,1976-09-26,3,30.042,ATL,@,CHI,W 10-0,,,,,,,,,,,,
62,1976,1976-10-03,4,30.049,ATL,,PHI,L 13-14,,,,,,,,,,,,
63,1976,1976-10-10,5,30.056,ATL,@,NOR,L 0-30,,,,,,,,,,,,
64,1976,1976-10-17,6,30.063,ATL,,CLE,L 17-20,,,,,,,,,,,,
65,1976,1976-10-23,7,30.069,ATL,@,SFO,L 0-15,,,,,,,,,,,,
66,1976,1976-10-31,8,30.077,ATL,,NOR,W 23-20,,,,,,,,,,,,
67,1976,1976-11-07,9,30.084,ATL,@,SEA,L 13-30,,,,,,,,,,,,
68,1976,1976-11-14,10,30.091,ATL,,SFO,W 21-16,,,,,,,,,,,,
69,1976,1976-11-21,11,30.098,ATL,,DAL,W 17-10,,,,,,,,,,,,
70,1976,1976-12-04,13,30.111,ATL,@,RAM,L 0-59,1,15,15.00,0,0,0,,0,0,0,,0
71,1976,1976-12-12,14,30.119,ATL,,GNB,L 20-24,0,0,,0,0,0,,0,1,21,21.00,0
