ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
27,1952,1952-10-12,3,25.298,DET,,SFO,L 0-28,,5,15,33.33,43,0,1,14.6,0,0,2.87,-0.13,3,22,7.33,0,,,,,,,0,
28,1952,1952-10-19,4,25.305,DET,,RAM,W 24-16,*,14,30,46.67,227,1,4,44.0,0,0,7.57,2.23,9,24,2.67,0,,,,,,,0,
29,1952,1952-10-26,5,25.312,DET,@,GNB,W 52-17,*,11,19,57.89,173,3,1,105.9,0,0,9.11,9.89,5,25,5.00,0,,,,,,,0,
30,1952,1952-11-02,6,25.319,DET,,CLE,W 17-6,*,15,32,46.88,193,2,3,48.0,0,0,6.03,3.06,12,26,2.17,0,,,,,,,0,
31,1952,1952-11-09,7,25.326,DET,@,PIT,W 31-6,*,4,14,28.57,71,1,0,72.0,0,0,5.07,6.50,15,66,4.40,0,,,,,,,0,
32,1952,1952-11-16,8,25.333,DET,,DTX,W 43-13,*,7,14,50.00,162,1,0,115.8,0,0,11.57,13.00,8,69,8.63,1,,,,,,,1,
33,1952,1952-11-23,9,25.340,DET,@,CHI,L 23-24,*,9,26,34.62,148,0,2,22.6,0,0,5.69,2.23,12,40,3.33,0,,,,,,,0,
34,1952,1952-11-27,10,25.344,DET,,GNB,W 48-24,*,16,30,53.33,249,3,3,74.9,0,0,8.30,5.80,13,63,4.85,0,,,,,,,0,
35,1952,1952-12-07,11,25.354,DET,,CHI,W 45-21,*,22,35,62.86,296,4,0,127.8,0,0,8.46,10.74,2,7,3.50,0,,,,,,,0,
36,1952,1952-12-13,12,25.360,DET,,DTX,W 41-6,*,10,20,50.00,177,2,1,93.1,0,0,8.85,8.60,5,21,4.20,0,,,,,,,0,
37,1953,1953-09-27,1,26.282,DET,,PIT,W 38-21,*,16,34,47.06,364,2,0,105.5,0,0,10.71,11.88,4,6,1.50,0,,,,,,,0,
38,1953,1953-10-03,2,26.288,DET,@,BAL,W 27-17,*,3,8,37.50,65,0,3,27.6,0,0,8.13,-8.75,3,16,5.33,0,,,,,,,0,
39,1953,1953-10-11,3,26.296,DET,,SFO,W 24-21,*,9,18,50.00,166,1,3,61.1,0,0,9.22,2.83,7,7,1.00,0,,,,,,,0,
40,1953,1953-10-18,4,26.303,DET,,RAM,L 19-31,*,14,30,46.67,255,2,2,70.8,0,0,8.50,6.83,7,47,6.71,0,,,,,,,0,
41,1953,1953-10-25,5,26.310,DET,@,SFO,W 14-10,*,9,21,42.86,126,2,0,94.5,0,0,6.00,7.90,7,44,6.29,0,,,,,,,0,
42,1953,1953-11-01,6,26.317,DET,@,RAM,L 24-37,*,5,17,29.41,50,1,3,19.6,0,0,2.94,-3.82,18,65,3.61,0,,,,,,,0,
43,1953,1953-11-07,7,26.323,DET,,BAL,W 17-7,,10,21,47.62,140,2,0,101.3,0,0,6.67,8.57,4,7,1.75,0,,,,,,,0,
44,1953,1953-11-15,8,26.331,DET,@,GNB,W 14-7,*,8,23,34.78,173,2,4,51.8,0,0,7.52,1.43,8,43,5.38,0,,,,,,,0,
45,1953,1953-11-22,9,26.338,DET,@,CHI,W 20-16,*,21,43,48.84,241,0,0,66.1,0,0,5.60,5.60,14,71,5.07,0,,,,,,,0,
46,1953,1953-11-26,10,26.342,DET,,GNB,W 34-15,*,7,13,53.85,150,1,2,81.1,0,0,11.54,6.15,4,16,4.00,0,,,,,,,0,
47,1953,1953-12-06,11,26.352,DET,,CHI,W 13-7,*,6,17,35.29,146,1,2,47.3,0,0,8.59,4.47,6,17,2.83,0,,,,,,,0,
48,1953,1953-12-13,12,26.359,DET,@,NYG,W 27-16,*,17,28,60.71,212,2,2,78.3,0,0,7.57,5.79,5,4,0.80,0,,,,,,,0,
49,1954,1954-09-26,1,27.281,DET,,CHI,W 48-23,*,4,16,25.00,84,0,2,9.4,0,0,5.25,-0.38,3,8,2.67,0,,,,,,,0,
50,1954,1954-10-10,2,27.295,DET,,RAM,W 21-3,,2,5,40.00,32,0,1,22.5,0,0,6.40,-2.60,0,0,,0,,,,,,,0,
51,1954,1954-10-16,3,27.301,DET,,BAL,W 35-0,,10,13,76.92,133,3,0,148.4,0,0,10.23,14.85,3,10,3.33,0,,,,,,,0,
52,1954,1954-10-24,4,27.309,DET,@,SFO,L 31-37,*,17,29,58.62,212,1,0,92.9,0,0,7.31,8.00,1,-2,-2.00,0,,,,,,,0,
53,1954,1954-10-31,5,27.316,DET,@,RAM,W 27-24,,11,22,50.00,177,1,1,73.5,0,0,8.05,6.91,5,41,8.20,0,,,,,,,0,
54,1954,1954-11-06,6,27.322,DET,@,BAL,W 27-3,*,18,28,64.29,246,1,1,89.3,0,0,8.79,7.89,1,2,2.00,0,,,,,,,0,
55,1954,1954-11-14,7,27.330,DET,,SFO,W 48-7,*,8,15,53.33,165,2,0,131.9,0,0,11.00,13.67,1,5,5.00,1,,,,,,,1,
56,1954,1954-11-21,8,27.337,DET,@,GNB,W 21-17,*,19,30,63.33,230,2,2,81.3,0,0,7.67,6.00,8,22,2.75,1,,,,,,,1,
57,1954,1954-11-25,9,27.341,DET,,GNB,W 28-24,*,16,26,61.54,178,2,1,91.5,0,0,6.85,6.65,2,8,4.00,0,,,,,,,0,
58,1954,1954-12-05,10,27.351,DET,,PHI,T 13-13,*,12,26,46.15,178,0,4,29.5,0,0,6.85,-0.08,1,1,1.00,0,,,,,,,0,
59,1954,1954-12-19,12,28.000,DET,@,CLE,W 14-10,*,18,36,50.00,183,2,0,83.4,0,0,5.08,6.19,5,24,4.80,0,,,,,,,0,
60,1955,1955-09-25,1,28.280,DET,@,GNB,L 17-20,*,8,19,42.11,155,1,1,66.8,0,0,8.16,6.84,3,5,1.67,0,,,,,,,0,
61,1955,1955-10-01,2,28.286,DET,@,BAL,L 13-28,*,19,42,45.24,238,2,2,59.4,0,0,5.67,4.48,0,0,,0,,,,,,,0,
62,1955,1955-10-09,3,28.294,DET,,RAM,L 10-17,*,26,45,57.78,273,0,3,47.7,0,0,6.07,3.07,0,0,,0,,,,,,,0,
63,1955,1955-10-16,4,28.301,DET,,SFO,L 24-27,*,4,8,50.00,49,0,2,29.7,0,0,6.13,-5.13,3,10,3.33,0,,,,,,,0,
64,1955,1955-10-30,6,28.315,DET,@,SFO,L 21-38,*,22,45,48.89,296,2,2,66.5,0,0,6.58,5.47,0,0,,0,,,,,,,0,
65,1955,1955-11-05,7,28.321,DET,,BAL,W 24-14,*,13,24,54.17,193,1,4,55.0,0,0,8.04,1.38,3,9,3.00,0,,,,,,,0,
66,1955,1955-11-13,8,28.329,DET,@,PIT,W 31-28,*,10,16,62.50,109,1,0,103.4,0,0,6.81,8.06,5,5,1.00,0,,,,,,,0,
67,1955,1955-11-20,9,28.336,DET,,CHI,L 14-24,*,20,32,62.50,319,2,2,90.5,0,0,9.97,8.41,4,15,3.75,0,,,,,,,0,
68,1955,1955-11-24,10,28.340,DET,,GNB,W 24-10,*,11,21,52.38,92,1,1,60.0,0,0,4.38,3.19,3,17,5.67,0,,,,,,,0,
69,1955,1955-12-04,11,28.350,DET,@,CHI,L 20-21,*,10,18,55.56,106,1,0,91.4,0,0,5.89,7.00,10,50,5.00,0,,,,,,,0,
70,1956,1956-09-30,1,29.286,DET,@,GNB,W 20-16,*,7,12,58.33,129,0,0,95.5,0,0,10.75,10.75,6,6,1.00,1,,,,,,,1,
71,1956,1956-10-06,2,29.292,DET,@,BAL,W 31-14,*,15,22,68.18,236,2,0,133.9,0,0,10.73,12.55,3,7,2.33,1,,,,,,,1,
72,1956,1956-10-14,3,29.300,DET,,RAM,W 24-21,*,14,27,51.85,205,1,2,58.4,0,0,7.59,5.00,4,16,4.00,0,,,,,,,0,
73,1956,1956-10-21,4,29.307,DET,,SFO,W 20-17,*,15,27,55.56,155,0,1,56.9,0,0,5.74,4.07,6,30,5.00,1,,,,,,,1,
74,1956,1956-10-28,5,29.314,DET,@,RAM,W 16-7,*,11,16,68.75,177,0,0,105.5,0,0,11.06,11.06,7,31,4.43,1,,,,,,,1,
75,1956,1956-11-04,6,29.321,DET,@,SFO,W 17-13,*,7,18,38.89,94,0,2,16.7,0,0,5.22,0.22,3,7,2.33,0,,,,,,,0,
76,1956,1956-11-11,7,29.328,DET,@,WAS,L 17-18,*,15,40,37.50,266,1,4,29.8,0,0,6.65,2.65,3,7,2.33,0,,,,,,,0,
77,1956,1956-11-18,8,29.335,DET,,BAL,W 27-3,*,12,20,60.00,153,1,1,79.8,0,0,7.65,6.40,7,39,5.57,0,,,,,,,0,
78,1956,1956-11-22,9,29.339,DET,,GNB,L 20-24,*,9,22,40.91,147,1,3,39.6,0,0,6.68,1.45,1,-4,-4.00,0,,,,,,,0,
79,1956,1956-12-02,10,29.349,DET,,CHI,W 42-10,*,11,19,57.89,210,2,2,91.9,0,0,11.05,8.42,6,30,5.00,1,,,,,,,1,
80,1956,1956-12-09,11,29.356,DET,,PIT,W 45-7,*,9,14,64.29,95,1,2,68.2,0,0,6.79,1.79,0,0,,0,,,,,,,0,
81,1956,1956-12-16,12,29.363,DET,@,CHI,L 21-38,*,4,7,57.14,42,0,0,74.7,0,0,6.00,6.00,0,0,,0,,,,,,,0,
82,1957,1957-09-29,1,30.284,DET,@,BAL,L 14-34,*,8,15,53.33,144,0,3,46.9,0,0,9.60,0.60,1,0,0.00,0,,,,,,,0,
83,1957,1957-10-06,2,30.291,DET,@,GNB,W 24-14,,4,14,28.57,59,0,1,14.9,0,0,4.21,1.00,5,16,3.20,0,,,,,,,0,
84,1957,1957-10-13,3,30.298,DET,,RAM,W 10-7,*,4,9,44.44,15,0,0,51.6,0,0,1.67,1.67,2,1,0.50,0,,,,,,,0,
85,1957,1957-10-20,4,30.305,DET,,BAL,W 31-27,*,8,21,38.10,139,2,2,53.6,0,0,6.62,4.24,1,7,7.00,0,,,,,,,0,
86,1957,1957-10-27,5,30.312,DET,@,RAM,L 17-35,*,17,32,53.13,193,0,2,45.4,0,0,6.03,3.22,2,10,5.00,0,,,,,,,0,
87,1957,1957-11-03,6,30.319,DET,@,SFO,L 31-35,,6,14,42.86,59,0,0,55.4,0,0,4.21,4.21,2,21,10.50,0,,,,,,,0,
88,1957,1957-11-10,7,30.326,DET,@,PHI,W 27-16,,8,13,61.54,147,3,0,140.1,0,0,11.31,15.92,7,25,3.57,0,,,,,,,0,
89,1957,1957-11-17,8,30.333,DET,,SFO,W 31-10,*,17,24,70.83,250,1,1,101.0,0,0,10.42,9.38,0,0,,0,,,,,,,0,
90,1957,1957-11-24,9,30.340,DET,,CHI,L 7-27,*,10,25,40.00,112,0,1,37.4,0,0,4.48,2.68,3,13,4.33,0,,,,,,,0,
91,1957,1957-11-28,10,30.344,DET,,GNB,W 18-6,,3,6,50.00,36,0,2,29.2,0,0,6.00,-9.00,1,6,6.00,0,,,,,,,0,
92,1957,1957-12-08,11,30.354,DET,,CLE,W 20-7,*,2,6,33.33,15,0,0,42.4,0,0,2.50,2.50,0,0,,0,,,,,,,0,
93,1958,1958-09-28,1,31.283,DET,@,BAL,L 15-28,*,7,17,41.18,103,1,1,56.7,0,0,6.06,4.59,2,4,2.00,0,,,,,,,0,
94,1958,1958-10-05,2,31.290,DET,@,GNB,T 13-13,,5,9,55.56,68,0,1,40.3,0,0,7.56,2.56,1,-3,-3.00,0,,,,,,,0,
95,1958,1958-10-12,3,31.297,PIT,,PHI,W 24-3,*,10,20,50.00,81,0,1,39.8,0,0,4.05,1.80,5,35,7.00,0,,,,,,,0,
96,1958,1958-10-19,4,31.304,PIT,@,CLE,L 10-27,*,14,26,53.85,133,0,1,52.2,0,0,5.12,3.38,2,-6,-3.00,0,,,,,,,0,
97,1958,1958-10-26,5,31.311,PIT,@,NYG,L 6-17,*,13,31,41.94,184,0,0,61.8,0,0,5.94,5.94,2,12,6.00,0,,,,,,,0,
98,1958,1958-11-02,6,31.318,PIT,,WAS,W 24-16,*,13,25,52.00,265,2,0,116.2,0,0,10.60,12.20,5,26,5.20,0,,,,,,,0,
99,1958,1958-11-09,7,31.325,PIT,@,PHI,W 31-24,*,10,22,45.45,225,4,2,84.3,0,0,10.23,9.77,8,20,2.50,0,,,,,,,0,
100,1958,1958-11-16,8,31.332,PIT,,NYG,W 31-10,*,9,20,45.00,179,1,0,93.5,0,0,8.95,9.95,7,14,2.00,2,,,,,,,2,
101,1958,1958-11-23,9,31.339,PIT,@,CRD,W 27-20,*,16,28,57.14,352,1,0,113.7,0,0,12.57,13.29,1,-3,-3.00,0,,,,,,,0,
102,1958,1958-11-30,10,31.346,PIT,,CHI,W 24-10,*,7,15,46.67,202,1,0,115.3,0,0,13.47,14.80,1,4,4.00,0,,,,,,,0,
103,1958,1958-12-07,11,31.353,PIT,@,WAS,T 14-14,*,18,32,56.25,309,2,3,71.0,0,0,9.66,6.69,2,-4,-2.00,0,,,,,,,0,
104,1958,1958-12-13,12,31.359,PIT,,CRD,W 38-21,*,23,49,46.94,409,2,3,64.1,0,0,8.35,6.41,4,55,13.75,1,,,,,,,1,
105,1959,1959-09-26,1,32.281,PIT,,CLE,W 17-7,*,13,20,65.00,209,2,2,93.5,0,0,10.45,7.95,5,49,9.80,0,,,,,,,0,
106,1959,1959-10-04,2,32.289,PIT,,WAS,L 17-23,*,21,41,51.22,226,1,2,55.5,0,0,5.51,3.80,1,9,9.00,0,,,,,,,0,
107,1959,1959-10-11,3,32.296,PIT,@,PHI,L 24-28,*,18,33,54.55,209,2,1,81.5,0,0,6.33,6.18,2,9,4.50,1,,,,,,,1,
108,1959,1959-10-18,4,32.303,PIT,@,WAS,W 27-6,*,8,14,57.14,77,0,2,33.0,0,0,5.50,-0.93,0,0,,0,,,,,,,0,
109,1959,1959-10-25,5,32.310,PIT,,NYG,L 16-21,*,9,26,34.62,165,1,4,30.6,0,0,6.35,0.19,4,-3,-0.75,0,,,,,,,0,
110,1959,1959-11-01,6,32.317,PIT,@,CRD,L 24-45,*,5,17,29.41,115,1,2,35.3,0,0,6.76,2.65,3,18,6.00,0,,,,,,,0,
111,1959,1959-11-08,7,32.324,PIT,,DET,T 10-10,*,12,27,44.44,181,1,3,39.8,0,0,6.70,2.44,1,0,0.00,0,,,,,,,0,
112,1959,1959-11-15,8,32.331,PIT,@,NYG,W 14-9,*,13,30,43.33,190,2,3,47.2,0,0,6.33,3.17,4,41,10.25,0,,,,,,,0,
113,1959,1959-11-22,9,32.338,PIT,@,CLE,W 21-20,*,12,20,60.00,126,1,0,95.0,0,0,6.30,7.30,4,19,4.75,0,,,,,,,0,
114,1959,1959-11-29,10,32.345,PIT,,PHI,W 31-0,*,12,28,42.86,182,4,1,89.6,0,0,6.50,7.75,7,17,2.43,0,,,,,,,0,
115,1959,1959-12-06,11,32.352,PIT,@,CHI,L 21-27,*,8,24,33.33,105,1,0,62.0,0,0,4.38,5.21,0,0,,0,,,,,,,0,
116,1959,1959-12-13,12,32.359,PIT,,CRD,W 35-20,*,11,17,64.71,201,4,1,120.3,0,0,11.82,13.88,2,22,11.00,1,,,,,,,1,
117,1960,1960-09-24,1,33.280,PIT,@,DAL,W 35-28,*,16,25,64.00,288,4,1,126.3,0,0,11.52,12.92,4,5,1.25,0,5,5,100.0,,,,0,5
118,1960,1960-10-02,2,33.288,PIT,@,CLE,L 20-28,*,14,21,66.67,296,2,1,121.6,0,0,14.10,13.86,3,9,3.00,0,1,2,50.0,,1,0.0,0,1
119,1960,1960-10-09,3,33.295,PIT,,NYG,L 17-19,*,7,21,33.33,146,1,4,35.1,0,0,6.95,-0.67,2,14,7.00,0,,,,,,,0,0
120,1960,1960-10-16,4,33.302,PIT,,STL,W 27-14,*,8,11,72.73,95,1,0,129.0,0,0,8.64,10.45,1,-5,-5.00,0,,,,,,,0,0
121,1960,1960-10-23,5,33.309,PIT,@,WAS,T 27-27,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9
122,1960,1960-10-30,6,33.316,PIT,,GNB,L 13-19,,12,20,60.00,209,2,0,129.0,0,0,10.45,12.45,2,-12,-6.00,0,1,1,100.0,,,,0,1
123,1960,1960-11-06,7,33.323,PIT,@,PHI,L 7-34,*,2,16,12.50,23,0,2,0.0,0,0,1.44,-4.19,1,0,0.00,0,1,1,100.0,,,,0,1
124,1960,1960-11-13,8,33.330,PIT,@,NYG,L 24-27,*,9,22,40.91,169,1,2,45.5,0,0,7.68,4.50,2,1,0.50,1,3,3,100.0,1,1,100.0,1,12
125,1960,1960-11-20,9,33.337,PIT,,CLE,W 14-10,*,10,23,43.48,174,0,2,33.6,0,0,7.57,3.65,1,-5,-5.00,0,2,2,100.0,,,,0,2
126,1960,1960-11-27,10,33.344,PIT,,WAS,W 22-10,*,9,24,37.50,159,0,2,26.2,0,0,6.63,2.88,0,0,,0,1,1,100.0,2,2,100.0,0,7
127,1960,1960-12-11,11,33.358,PIT,,PHI,W 27-21,*,12,18,66.67,163,1,3,74.3,0,0,9.06,2.67,3,5,1.67,1,3,3,100.0,,,,1,9
128,1960,1960-12-18,12,33.365,PIT,@,STL,L 7-38,,4,8,50.00,92,1,0,131.2,0,0,11.50,14.00,0,0,,0,1,1,100.0,,,,0,1
129,1961,1961-09-17,1,34.272,PIT,@,DAL,L 24-27,*,16,25,64.00,252,1,3,71.2,0,0,10.08,5.48,2,5,2.50,0,3,3,100.0,,,,0,3
130,1961,1961-09-24,2,34.279,PIT,,NYG,L 14-17,*,7,19,36.84,111,1,2,35.1,0,0,5.84,2.16,1,3,3.00,0,,,,,,,0,0
131,1961,1961-10-01,3,34.286,PIT,@,RAM,L 14-24,*,1,5,20.00,11,0,2,0.0,0,0,2.20,-15.80,0,0,,0,2,2,100.0,,,,0,2
132,1961,1961-10-08,4,34.293,PIT,@,PHI,L 16-21,,,,,,,,,,,,,,,,,,,,,,,,
133,1961,1961-10-15,5,34.300,PIT,,WAS,W 20-0,,,,,,,,,,,,,,,,,,,,,,,,
134,1961,1961-10-22,6,34.307,PIT,,CLE,L 28-30,,,,,,,,,,,,,,,,,,,,,,,,
135,1961,1961-10-29,7,34.314,PIT,,SFO,W 20-10,,,,,,,,,,,,,,,,,,,,,,,,
136,1961,1961-11-05,8,34.321,PIT,@,CLE,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,
137,1961,1961-11-12,9,34.328,PIT,,DAL,W 37-7,,,,,,,,,,,,,,,,,,,,,,,,
138,1961,1961-11-19,10,34.335,PIT,@,NYG,L 21-42,,6,8,75.00,100,1,0,156.2,0,0,12.50,15.00,0,0,,0,,,,,,,0,0
139,1961,1961-11-26,11,34.342,PIT,,STL,W 30-27,*,10,25,40.00,187,1,4,40.3,0,0,7.48,1.08,1,1,1.00,0,,,,,,,0,0
140,1961,1961-12-03,12,34.349,PIT,,PHI,L 24-35,,13,29,44.83,179,3,3,60.1,0,0,6.17,3.59,3,1,0.33,0,,,,,,,0,0
141,1961,1961-12-10,13,34.356,PIT,@,WAS,W 30-14,*,13,19,68.42,226,4,0,148.2,0,0,11.89,16.11,0,0,,0,,,,,,,0,0
142,1961,1961-12-17,14,34.363,PIT,@,STL,L 0-20,*,9,19,47.37,139,0,2,32.5,0,0,7.32,2.58,1,1,1.00,0,,,,,,,0,0
143,1962,1962-09-16,1,35.271,PIT,@,DET,L 7-45,,5,10,50.00,76,0,0,75.4,0,0,7.60,7.60,1,6,6.00,0,,,,,,,0,0
144,1962,1962-09-23,2,35.278,PIT,@,DAL,W 30-28,*,10,24,41.67,144,2,1,72.2,0,0,6.00,5.79,0,0,,0,,,,,,,0,0
145,1962,1962-09-30,3,35.285,PIT,,NYG,L 27-31,*,12,23,52.17,166,1,2,53.9,0,0,7.22,4.17,3,1,0.33,0,,,,,,,0,0
146,1962,1962-10-06,4,35.291,PIT,,PHI,W 13-7,*,11,18,61.11,132,0,2,44.0,0,0,7.33,2.33,1,0,0.00,0,,,,,,,0,0
147,1962,1962-10-14,5,35.299,PIT,@,NYG,W 20-17,*,5,10,50.00,72,1,0,107.1,0,0,7.20,9.20,4,5,1.25,1,,,,,,,1,6
148,1962,1962-10-21,6,35.306,PIT,,DAL,L 27-42,*,15,30,50.00,266,2,2,75.1,0,0,8.87,7.20,1,-7,-7.00,0,,,,,,,0,0
149,1962,1962-10-28,7,35.313,PIT,,CLE,L 14-41,*,3,9,33.33,44,0,1,10.6,0,0,4.89,-0.11,0,0,,0,,,,,,,0,0
150,1962,1962-11-04,8,35.320,PIT,,MIN,W 39-31,*,16,28,57.14,254,0,1,72.6,0,0,9.07,7.46,2,28,14.00,0,,,,,,,0,0
151,1962,1962-11-11,9,35.327,PIT,@,STL,W 26-17,*,8,14,57.14,79,1,0,97.0,0,0,5.64,7.07,1,-4,-4.00,0,,,,,,,0,0
152,1962,1962-11-18,10,35.334,PIT,,WAS,W 23-21,*,8,23,34.78,87,0,3,7.2,0,0,3.78,-2.09,2,-4,-2.00,0,,,,,,,0,0
153,1962,1962-11-25,11,35.341,PIT,@,CLE,L 14-35,*,13,23,56.52,155,0,1,59.1,0,0,6.74,4.78,0,0,,0,,,,,,,0,0
154,1962,1962-12-09,13,35.355,PIT,@,PHI,W 26-17,,2,4,50.00,10,0,2,16.7,0,0,2.50,-20.00,0,0,,0,,,,,,,0,0
155,1962,1962-12-16,14,35.362,PIT,@,WAS,W 27-24,*,8,17,47.06,201,2,2,90.2,0,0,11.82,8.88,0,0,,0,,,,,,,0,0
