ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
16,1962,1962-10-07,4,24.125,DET,@,GNB,L 7-9,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0,,0,0,0,0,0,,0
17,1962,1962-10-14,5,24.132,DET,,RAM,W 13-10,1,-9,-9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,36,36.00,0,2,38,19.00,0,0,0,0,0,,0
18,1962,1962-10-21,6,24.139,DET,@,NYG,L 14-17,3,25,8.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,4,45,11.25,0,0,0,0,0,,0
19,1962,1962-10-28,7,24.146,DET,,CHI,W 11-3,3,34,11.33,0,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,68,22.67,0,0,0,0,0,,0
20,1962,1962-11-04,8,24.153,DET,@,RAM,W 12-3,3,39,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,2,34,17.00,0,4,113,28.25,0,1,6,0,0,,0
21,1962,1962-11-11,9,24.160,DET,@,SFO,W 38-24,3,43,14.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,51,17.00,0,2,30,15.00,0,1,6,0,0,,0
22,1962,1962-11-18,10,24.167,DET,@,MIN,W 17-6,5,65,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,17,4.25,0,0,0,0,0,,0
23,1962,1962-11-22,11,24.171,DET,,GNB,W 26-14,2,35,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0,,0,0,0,0,0,,0
24,1962,1962-12-02,12,24.181,DET,,BAL,W 21-14,4,44,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,58,29.00,0,1,4,4.00,0,0,0,0,0,,0
25,1962,1962-12-09,13,24.188,DET,,MIN,W 37-23,2,65,32.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,0,0,,0,0,0,0,0,,0
26,1962,1962-12-16,14,24.195,DET,@,CHI,L 0-3,6,96,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,63,21.00,0,0,0,0,0,,0
27,1964,1964-09-13,1,26.101,DET,@,SFO,W 26-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,2,25,12.50,0,0,0,0,0,,0
28,1964,1964-09-19,2,26.107,DET,@,RAM,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,80,26.67,0,1,8,8.00,0,0,0,0,0,,0
29,1964,1964-09-28,3,26.116,DET,,GNB,L 10-14,2,27,13.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,1,6,0,0,,0
30,1964,1964-10-04,4,26.122,DET,,NYG,W 26-3,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,2,13,6.50,0,0,0,0,0,,0
31,1964,1964-10-11,5,26.129,DET,@,MIN,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,1,0,0.00,0,0,0,0,0,,0
32,1964,1964-10-18,6,26.136,DET,@,CHI,W 10-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,,0
33,1964,1964-10-25,7,26.143,DET,,BAL,L 0-34,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,109,27.25,0,4,36,9.00,0,0,0,0,0,,0
34,1964,1964-11-01,8,26.150,DET,,RAM,W 37-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,36,18.00,0,0,0,,0,0,0,0,0,,0
35,1964,1964-11-08,9,26.157,DET,@,GNB,L 7-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,121,40.33,0,0,0,,0,0,0,0,0,,0
36,1964,1964-11-15,10,26.164,DET,@,CLE,L 21-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,22,11.00,0,2,17,8.50,0,0,0,0,0,,0
37,1964,1964-11-22,11,26.171,DET,,MIN,T 23-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,114,28.50,0,1,0,0.00,0,0,0,0,0,,0
38,1964,1964-11-26,12,26.175,DET,,CHI,L 24-27,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,1,0,0.00,0,0,0,0,0,,0
39,1964,1964-12-06,13,26.185,DET,@,BAL,W 31-14,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0,,0,0,0,0,0,,0
40,1964,1964-12-13,14,26.192,DET,,SFO,W 24-7,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,2,36,18.00,0,0,0,0,0,,0
41,1965,1965-09-19,1,27.107,DET,,RAM,W 20-0,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,157,52.33,0
42,1965,1965-09-26,2,27.114,DET,@,MIN,W 31-29,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,6,260,43.33,0
43,1965,1965-10-03,3,27.121,DET,,WAS,W 14-10,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,390,48.75,0
44,1965,1965-10-10,4,27.128,DET,@,BAL,L 7-31,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,1,7,7.00,0,0,0,8,344,43.00,0
45,1965,1965-10-17,5,27.135,DET,,GNB,L 21-31,0,0,,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,162,40.50,0
46,1965,1965-10-24,6,27.142,DET,@,CHI,L 10-38,2,61,30.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,3,146,48.67,0
47,1965,1965-10-31,7,27.149,DET,@,RAM,W 31-7,1,43,43.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,34,34.00,0,0,0,,0,0,0,5,224,44.80,0
48,1965,1965-11-07,8,27.156,DET,@,GNB,W 12-7,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,244,40.67,0
49,1965,1965-11-14,9,27.163,DET,,SFO,L 21-27,4,45,11.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,6,270,45.00,0
50,1965,1965-11-21,10,27.170,DET,,CHI,L 10-17,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,42,42.00,0,0,0,,0,0,0,6,256,42.67,0
51,1965,1965-11-25,11,27.174,DET,,BAL,T 24-24,3,39,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,2,50,25.00,0,1,11,11.00,0,1,6,7,328,46.86,0
52,1965,1965-12-05,12,27.184,DET,@,SFO,L 14-17,4,58,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,0,0,5,189,37.80,0
53,1965,1965-12-12,13,27.191,DET,,MIN,L 7-29,5,33,6.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,90,22.50,0,2,27,13.50,0,0,0,7,251,35.86,0
54,1965,1965-12-19,14,27.198,DET,@,PHI,W 35-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,114,28.50,0
55,1966,1966-09-11,1,28.099,DET,,CHI,W 14-3,3,53,17.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,7,371,53.00,0
56,1966,1966-09-18,2,28.106,DET,@,PIT,L 3-17,3,46,15.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,236,47.20,0
57,1966,1966-09-25,3,28.113,DET,,ATL,W 28-10,3,65,21.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,170,42.50,0
58,1966,1966-10-02,4,28.120,DET,@,GNB,L 14-23,5,89,17.80,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,233,38.83,0
59,1966,1966-10-09,5,28.127,DET,,RAM,L 7-14,6,142,23.67,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,219,43.80,0
60,1966,1966-10-16,6,28.134,DET,@,BAL,L 14-45,6,141,23.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,6,202,33.67,0
61,1966,1966-10-23,7,28.141,DET,@,SFO,L 24-27,4,128,32.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,4,139,34.75,0
62,1966,1966-10-30,8,28.148,DET,,GNB,L 7-31,7,164,23.43,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,186,46.50,0
63,1966,1966-11-06,9,28.155,DET,@,CHI,T 10-10,7,125,17.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,172,43.00,0
64,1966,1966-11-13,10,28.162,DET,@,MIN,W 32-31,9,116,12.89,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,76,38.00,0
65,1966,1966-11-20,11,28.169,DET,,BAL,W 20-14,4,74,18.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,7,269,38.43,0
66,1966,1966-11-24,12,28.173,DET,,SFO,L 14-41,4,48,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,296,37.00,0
67,1966,1966-12-04,13,28.183,DET,@,RAM,L 3-23,6,75,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,256,42.67,0
68,1966,1966-12-11,14,28.190,DET,,MIN,L 16-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,129,32.25,0
69,1967,1967-09-17,1,29.105,DET,@,GNB,T 17-17,3,19,6.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,317,45.29,0
70,1967,1967-09-24,2,29.112,DET,,CLE,W 31-14,2,36,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,161,40.25,0
71,1967,1967-10-01,3,29.119,DET,@,STL,L 28-38,5,107,21.40,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,4,198,49.50,0
72,1967,1967-10-08,4,29.126,DET,,GNB,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,368,46.00,0
73,1967,1967-10-15,5,29.133,DET,@,CHI,L 3-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,319,45.57,0
74,1967,1967-10-22,6,29.140,DET,,ATL,W 24-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,45,45.00,0
75,1967,1967-12-03,12,29.182,DET,,PIT,L 14-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,194,38.80,0
76,1968,1968-09-16,1,30.104,RAM,@,STL,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,325,40.63,0
77,1968,1968-09-22,2,30.110,RAM,,PIT,W 45-10,1,25,25.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,148,37.00,0
78,1968,1968-09-29,3,30.117,RAM,@,CLE,W 24-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,183,36.60,0
79,1968,1968-10-06,4,30.124,RAM,,SFO,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,235,47.00,0
80,1968,1968-10-13,5,30.131,RAM,@,GNB,W 16-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,234,39.00,0
81,1968,1968-10-20,6,30.138,RAM,,ATL,W 27-14,3,33,11.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,5,183,36.60,0
82,1968,1968-10-27,7,30.145,RAM,@,BAL,L 10-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,345,43.13,0
83,1968,1968-11-03,8,30.152,RAM,,DET,W 10-7,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,10,417,41.70,0
84,1968,1968-11-10,9,30.159,RAM,@,ATL,W 17-10,1,15,15.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,5,170,34.00,0
85,1968,1968-11-17,10,30.166,RAM,@,SFO,T 20-20,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,241,40.17,0
86,1968,1968-11-24,11,30.173,RAM,,NYG,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,102,34.00,0
87,1968,1968-12-01,12,30.180,RAM,@,MIN,W 31-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,95,31.67,0
88,1968,1968-12-08,13,30.187,RAM,,CHI,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,295,42.14,0
89,1968,1968-12-15,14,30.194,RAM,,BAL,L 24-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,229,38.17,0
90,1969,1969-09-21,1,31.109,RAM,@,BAL,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,354,44.25,0
91,1969,1969-09-28,2,31.116,RAM,,ATL,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,254,42.33,0
92,1969,1969-10-05,3,31.123,RAM,,NOR,W 36-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,303,43.29,0
93,1969,1969-10-12,4,31.130,RAM,@,SFO,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,331,41.38,0
94,1969,1969-10-19,5,31.137,RAM,,GNB,W 34-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,299,42.71,0
95,1969,1969-10-26,6,31.144,RAM,@,CHI,W 9-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,208,41.60,0
96,1969,1969-11-02,7,31.151,RAM,@,ATL,W 38-6,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,88,29.33,0
97,1969,1969-11-09,8,31.158,RAM,,SFO,W 41-30,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,148,37.00,0
98,1969,1969-11-16,9,31.165,RAM,@,PHI,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,236,39.33,0
99,1969,1969-11-23,10,31.172,RAM,,DAL,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,222,44.40,0
100,1969,1969-11-30,11,31.179,RAM,@,WAS,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,253,42.17,0
101,1969,1969-12-07,12,31.186,RAM,,MIN,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,128,32.00,0
102,1969,1969-12-14,13,31.193,RAM,@,DET,L 0-28,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,250,41.67,0
103,1969,1969-12-21,14,31.200,RAM,,BAL,L 7-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,185,37.00,0
104,1970,1970-09-18,1,32.106,RAM,,STL,W 34-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,176,44.00,0
105,1970,1970-09-27,2,32.115,RAM,@,BUF,W 19-0,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,88,44.00,0
106,1970,1970-10-04,3,32.122,RAM,,SDG,W 37-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,173,43.25,0
107,1970,1970-10-11,4,32.129,RAM,,SFO,L 6-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,8,300,37.50,0
108,1970,1970-10-18,5,32.136,RAM,@,GNB,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,288,41.14,0
109,1970,1970-10-26,6,32.144,RAM,@,MIN,L 3-13,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,5,175,35.00,0
110,1970,1970-11-01,7,32.150,RAM,@,NOR,W 30-17,1,15,15.00,0,1,23,23.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,77,38.50,0
111,1970,1970-11-08,8,32.157,RAM,,ATL,T 10-10,6,88,14.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,146,36.50,0
112,1970,1970-11-15,9,32.164,RAM,,NYJ,L 20-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,234,39.00,0
113,1970,1970-11-22,10,32.171,RAM,@,ATL,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,214,35.67,0
114,1970,1970-11-29,11,32.178,RAM,@,SFO,W 30-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,233,38.83,0
115,1970,1970-12-06,12,32.185,RAM,,NOR,W 34-16,1,22,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,164,41.00,0
116,1970,1970-12-14,13,32.193,RAM,,DET,L 23-28,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,114,38.00,0
117,1970,1970-12-20,14,32.199,RAM,@,NYG,W 31-3,6,77,12.83,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,6,236,39.33,0
118,1971,1971-09-19,1,33.107,RAM,@,NOR,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,318,45.43,0
119,1971,1971-09-26,2,33.114,RAM,,ATL,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,192,48.00,0
120,1971,1971-10-03,3,33.121,RAM,,CHI,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,262,37.43,0
121,1971,1971-10-10,4,33.128,RAM,@,SFO,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,312,44.57,0
122,1971,1971-10-17,5,33.135,RAM,@,ATL,W 24-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,181,45.25,0
123,1971,1971-10-24,6,33.142,RAM,,GNB,W 30-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,95,47.50,0
124,1971,1971-10-31,7,33.149,RAM,,MIA,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,143,35.75,0
125,1971,1971-11-08,8,33.157,RAM,@,BAL,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,188,31.33,0
126,1971,1971-11-14,9,33.163,RAM,@,DET,W 21-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,171,42.75,0
127,1971,1971-11-21,10,33.170,RAM,,SFO,W 17-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,9,387,43.00,0
128,1971,1971-11-25,11,33.174,RAM,@,DAL,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,204,51.00,0
129,1971,1971-12-05,12,33.184,RAM,,NOR,W 45-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,87,29.00,0
130,1971,1971-12-13,13,33.192,RAM,,WAS,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,157,39.25,0
131,1971,1971-12-19,14,33.198,RAM,@,PIT,W 23-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,199,39.80,0
132,1972,1972-09-17,1,34.105,NWE,,CIN,L 7-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,265,37.86,0
133,1972,1972-09-24,2,34.112,NWE,,ATL,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,237,47.40,0
134,1972,1972-10-01,3,34.119,NWE,,WAS,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,110,27.50,1
135,1972,1972-10-08,4,34.126,NWE,@,BUF,L 14-38,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,4,117,29.25,0
136,1972,1972-10-15,5,34.133,NWE,,NYJ,L 13-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,77,25.67,0
137,1972,1972-10-22,6,34.140,NWE,@,PIT,L 3-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,182,36.40,0
138,1972,1972-10-29,7,34.147,NWE,@,NYJ,L 10-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,264,37.71,0
139,1972,1972-11-06,8,34.155,NWE,,BAL,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,82,27.33,0
140,1972,1972-11-12,9,34.161,NWE,@,MIA,L 0-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,251,41.83,0
141,1972,1972-11-19,10,34.168,NWE,,BUF,L 24-27,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,7,281,40.14,0
