ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
28,1972,1972-12-16,14,24.018,MIA,,BAL,W 16-0,,,,,,,,,
29,1973,1973-09-16,1,24.292,MIA,,SFO,W 21-13,,,,,,,,,
30,1973,1973-09-23,2,24.299,MIA,@,OAK,L 7-12,,,,,,,,,
31,1973,1973-09-30,3,24.306,MIA,,NWE,W 44-23,,,,,,,,,
32,1973,1973-10-07,4,24.313,MIA,,NYJ,W 31-3,,,,,,,,,
33,1973,1973-10-15,5,24.321,MIA,@,CLE,W 17-9,,,,,,,,,
34,1973,1973-10-21,6,24.327,MIA,,BUF,W 27-6,,,,,,,,,
35,1973,1973-10-28,7,24.334,MIA,@,NWE,W 30-14,,,,,,,,,
36,1973,1973-11-04,8,24.341,MIA,@,NYJ,W 24-14,,,,,,,,,
37,1973,1973-11-11,9,24.348,MIA,,BAL,W 44-0,,,,,,,,,
38,1973,1973-11-18,10,24.355,MIA,@,BUF,W 17-0,,,,,,,,,
39,1973,1973-11-22,11,24.359,MIA,@,DAL,W 14-7,,,,,,,,,
40,1973,1973-12-03,12,25.005,MIA,,PIT,W 30-26,,,,,,,,,
41,1973,1973-12-09,13,25.011,MIA,@,BAL,L 3-16,,,,,,,,,
42,1973,1973-12-15,14,25.017,MIA,,DET,W 34-7,,,,,,,,,
43,1974,1974-09-15,1,25.291,MIA,@,NWE,L 24-34,,,,,,,,,
44,1974,1974-09-22,2,25.298,MIA,@,BUF,W 24-16,,,,,,,,,
45,1974,1974-09-29,3,25.305,MIA,@,SDG,W 28-21,,,,,,,,,
46,1974,1974-10-07,4,25.313,MIA,,NYJ,W 21-17,,,,,,,,,
47,1974,1974-10-13,5,25.319,MIA,@,WAS,L 17-20,,,,,,,,,
48,1974,1974-10-20,6,25.326,MIA,,KAN,W 9-3,,,,,,,,,
49,1974,1974-10-27,7,25.333,MIA,,BAL,W 17-7,,,,,,,,,
50,1974,1974-11-03,8,25.340,MIA,,ATL,W 42-7,,,,,,,,,
51,1974,1974-11-10,9,25.347,MIA,@,NOR,W 21-0,,,,,,,,,
52,1974,1974-11-17,10,25.354,MIA,,BUF,W 35-28,,,,,,,,,
53,1974,1974-11-24,11,25.361,MIA,@,NYJ,L 14-17,,,,,,,,,
54,1974,1974-12-02,12,26.004,MIA,,CIN,W 24-3,,,,,,,,,
55,1974,1974-12-08,13,26.010,MIA,@,BAL,W 17-16,,,,,,,,,
56,1974,1974-12-15,14,26.017,MIA,,NWE,W 34-27,,,,,,,,,
57,1975,1975-09-22,1,26.298,MIA,,OAK,L 21-31,,,,,,,,,
58,1975,1975-09-28,2,26.304,MIA,@,NWE,W 22-14,,,,,,,,,
59,1975,1975-10-05,3,26.311,MIA,@,GNB,W 31-7,,,,,,,,,
60,1975,1975-10-12,4,26.318,MIA,,PHI,W 24-16,,,,,,,,,
61,1975,1975-10-19,5,26.325,MIA,@,NYJ,W 43-0,,,,,,,,,
62,1975,1975-10-26,6,26.332,MIA,@,BUF,W 35-30,,,,,,,,,
63,1975,1975-11-02,7,26.339,MIA,@,CHI,W 46-13,,,,,,,,,
64,1975,1975-11-09,8,26.346,MIA,,NYJ,W 27-7,,,,,,,,,
65,1975,1975-11-16,9,26.353,MIA,@,HOU,L 19-20,,,,,,,,,
66,1975,1975-11-23,10,26.360,MIA,,BAL,L 17-33,,,,,,,,,
67,1975,1975-12-01,11,27.003,MIA,,NWE,W 20-7,,,,,,,,,
68,1975,1975-12-07,12,27.009,MIA,,BUF,W 31-21,,,,,,,,,
69,1975,1975-12-14,13,27.016,MIA,@,BAL,L 7-10,,,,,,,,,
70,1975,1975-12-20,14,27.022,MIA,,DEN,W 14-13,,,,,,,,,
71,1976,1976-09-13,1,27.290,MIA,@,BUF,W 30-21,,,,,,,,,
72,1976,1976-09-19,2,27.296,MIA,@,NWE,L 14-30,,,,,,,,,
73,1976,1976-09-26,3,27.303,MIA,,NYJ,W 16-0,,,,,,,,,
74,1976,1976-10-03,4,27.310,MIA,,RAM,L 28-31,,,,,,,,,
75,1976,1976-10-10,5,27.317,MIA,@,BAL,L 14-28,,,,,,,,,
76,1976,1976-10-17,6,27.324,MIA,,KAN,L 17-20,,,,,,,,,
77,1976,1976-10-24,7,27.331,MIA,@,TAM,W 23-20,,,,,,,,,
78,1976,1976-10-31,8,27.338,MIA,,NWE,W 10-3,,,,,,,,,
79,1976,1976-11-07,9,27.345,MIA,@,NYJ,W 27-7,,,,,,,,,
80,1976,1976-11-14,10,27.352,MIA,@,PIT,L 3-14,,,,,,,,,
81,1976,1976-11-22,11,27.360,MIA,,BAL,L 16-17,,,,,,,,,
82,1976,1976-11-28,12,28.000,MIA,@,CLE,L 13-17,,,,,,,,,
83,1976,1976-12-05,13,28.007,MIA,,BUF,W 45-27,,,,,,,,,
84,1976,1976-12-11,14,28.013,MIA,,MIN,L 7-29,,,,,,,,,
85,1977,1977-09-18,1,28.294,MIA,@,BUF,W 13-0,,,,,,,,,
86,1977,1977-09-25,2,28.301,MIA,@,SFO,W 19-15,,,,,,,,,
87,1977,1977-10-02,3,28.308,MIA,,HOU,W 27-7,,,,,,,,,
88,1977,1977-10-09,4,28.315,MIA,@,BAL,L 28-45,,,,,,,,,
89,1977,1977-10-16,5,28.322,MIA,,NYJ,W 21-17,,,,,,,,,
90,1977,1977-10-23,6,28.329,MIA,,SEA,W 31-13,,,,,,,,,
91,1977,1977-10-30,7,28.336,MIA,,SDG,L 13-14,,,,,,,,,
92,1977,1977-11-06,8,28.343,MIA,@,NYJ,W 14-10,,,,,,,,,
93,1977,1977-11-13,9,28.350,MIA,,NWE,W 17-5,,,,,,,,,
94,1977,1977-11-20,10,28.357,MIA,@,CIN,L 17-23,,,,,,,,,
95,1977,1977-11-24,11,28.361,MIA,@,STL,W 55-14,,,,,,,,,
96,1978,1978-09-03,1,29.279,MIA,@,NYJ,L 20-33,,,,,,,,,
97,1978,1978-09-10,2,29.286,MIA,@,BAL,W 42-0,,,,,,,,,
98,1978,1978-09-17,3,29.293,MIA,,BUF,W 31-24,,,,,,,,,
99,1978,1978-09-24,4,29.300,MIA,@,PHI,L 3-17,,,,,,,,,
100,1978,1978-10-01,5,29.307,MIA,,STL,W 24-10,,,,,,,,,
101,1978,1978-10-09,6,29.315,MIA,,CIN,W 21-0,,,,,,,,,
102,1978,1978-10-15,7,29.321,MIA,@,SDG,W 28-21,,,,,,,,,
103,1978,1978-10-22,8,29.328,MIA,@,NWE,L 24-33,,,,,,,,,
104,1978,1978-10-29,9,29.335,MIA,,BAL,W 26-8,1,7,7.00,1,1,6,0,0,0
105,1978,1978-11-05,10,29.342,MIA,,DAL,W 23-16,,,,,,,,,
106,1978,1978-11-12,11,29.349,MIA,@,BUF,W 25-24,,,,,,,,,
107,1978,1978-11-20,12,29.357,MIA,@,HOU,L 30-35,,,,,,,,,
108,1978,1978-11-26,13,29.363,MIA,,NYJ,L 13-24,,,,,,,,,
109,1978,1978-12-03,14,30.005,MIA,@,WAS,W 16-0,,,,,,,,,
110,1978,1978-12-10,15,30.012,MIA,,OAK,W 23-6,,,,,,,,,
111,1978,1978-12-18,16,30.020,MIA,,NWE,W 23-3,,,,,,,,,
112,1979,1979-09-02,1,30.278,MIA,@,BUF,W 9-7,,,,,,,,,
113,1979,1979-09-09,2,30.285,MIA,,SEA,W 19-10,,,,,,,,,
114,1979,1979-09-16,3,30.292,MIA,@,MIN,W 27-12,,,,,,,,,
115,1979,1979-09-23,4,30.299,MIA,,CHI,W 31-16,,,,,,,,,
116,1979,1979-09-30,5,30.306,MIA,@,NYJ,L 27-33,,,,,,,,,
117,1979,1979-10-08,6,30.314,MIA,@,OAK,L 3-13,,,,,,,,,
118,1979,1979-10-14,7,30.320,MIA,,BUF,W 17-7,,,,,,,,,
119,1979,1979-10-21,8,30.327,MIA,@,NWE,L 13-28,,,,,,,,,
120,1979,1979-10-28,9,30.334,MIA,,GNB,W 27-7,,,,,,,,,
121,1979,1979-11-05,10,30.342,MIA,,HOU,L 6-9,,,,,,,,,
122,1979,1979-11-11,11,30.348,MIA,,BAL,W 19-0,,,,,,,,,
123,1979,1979-11-18,12,30.355,MIA,@,CLE,L 24-30,,,,,,,,,
124,1979,1979-11-25,13,30.362,MIA,@,BAL,W 28-24,,,,,,,,,
125,1979,1979-11-29,14,31.001,MIA,,NWE,W 39-24,,,,,,,,,
126,1979,1979-12-09,15,31.011,MIA,@,DET,W 28-10,,,,,,,,,
127,1979,1979-12-15,16,31.017,MIA,,NYJ,L 24-27,,,,,,,,,
128,1980,1980-09-07,1,31.284,MIA,@,BUF,L 7-17,,,,,,,,,
129,1980,1980-09-14,2,31.291,MIA,,CIN,W 17-16,,,,,,,,,
130,1980,1980-09-21,3,31.298,MIA,@,ATL,W 20-17,,,,,,,,,
131,1980,1980-09-28,4,31.305,MIA,,NOR,W 21-16,,,,,,,,,
132,1980,1980-10-05,5,31.312,MIA,,BAL,L 17-30,,,,,,,,,
133,1980,1980-10-12,6,31.319,MIA,@,NWE,L 0-34,,,,,,,,,
134,1980,1980-10-19,7,31.326,MIA,,BUF,W 17-14,,,,,,,,,
135,1980,1980-10-27,8,31.334,MIA,@,NYJ,L 14-17,,,,,,,,,
136,1980,1980-11-02,9,31.340,MIA,@,OAK,L 10-16,,,,,,,,,
137,1980,1980-11-09,10,31.347,MIA,@,RAM,W 35-14,,,,,,,,,
138,1980,1980-11-16,11,31.354,MIA,,SFO,W 17-13,,,,,,,,,
139,1980,1980-11-20,12,31.358,MIA,,SDG,L 24-27,,,,,,,,,
140,1980,1980-11-30,13,32.002,MIA,@,PIT,L 10-23,,,,,,,,,
141,1980,1980-12-08,14,32.010,MIA,,NWE,W 16-13,,,,,,,,,
142,1980,1980-12-14,15,32.016,MIA,@,BAL,W 24-14,,,,,,,,,
143,1980,1980-12-20,16,32.022,MIA,,NYJ,L 17-24,,,,,,,,,
144,1981,1981-09-06,1,32.282,MIA,@,STL,W 20-7,,,,,,,,,
145,1981,1981-09-10,2,32.286,MIA,,PIT,W 30-10,,,,,,,,,
146,1981,1981-09-20,3,32.296,MIA,@,HOU,W 16-10,,,,,,,,,
147,1981,1981-09-27,4,32.303,MIA,@,BAL,W 31-28,,,,,,,,,
148,1981,1981-10-04,5,32.310,MIA,,NYJ,T 28-28,,,,,,,,,
149,1981,1981-10-12,6,32.318,MIA,@,BUF,L 21-31,,,,,,,,,
150,1981,1981-10-18,7,32.324,MIA,,WAS,W 13-10,,,,,,,,,
151,1981,1981-10-25,8,32.331,MIA,@,DAL,L 27-28,,,,,,,,,
152,1981,1981-11-01,9,32.338,MIA,,BAL,W 27-10,,,,,,,,,
153,1981,1981-11-08,10,32.345,MIA,@,NWE,W 30-27,,,,,,,,,
154,1981,1981-11-15,11,32.352,MIA,,OAK,L 17-33,,,,,,,,,
155,1981,1981-11-22,12,32.359,MIA,@,NYJ,L 15-16,,,,,,,,,
156,1981,1981-11-30,13,33.002,MIA,,PHI,W 13-10,,,,,,,,,
157,1981,1981-12-06,14,33.008,MIA,,NWE,W 24-14,,,,,,,,,
158,1981,1981-12-13,15,33.015,MIA,@,KAN,W 17-7,,,,,,,,,
159,1981,1981-12-19,16,33.021,MIA,,BUF,W 16-6,,,,,,,,,
160,1982,1982-09-12,1,33.288,MIA,@,NYJ,W 45-28,,,,,,,,,
161,1982,1982-09-19,2,33.295,MIA,,BAL,W 24-20,,,,,,,,,
162,1982,1982-11-21,3,33.358,MIA,@,BUF,W 9-7,,,,,,,,,
163,1982,1982-11-29,4,34.001,MIA,@,TAM,L 17-23,,,,,,,,,
164,1982,1982-12-05,5,34.007,MIA,,MIN,W 22-14,,,,,,,,,
165,1982,1982-12-12,6,34.014,MIA,@,NWE,L 0-3,,,,,,,,,
166,1982,1983-01-02,9,34.035,MIA,@,BAL,W 34-7,,,,,,,,,
