ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
26,1981,1981-11-08,10,23.130,NOR,@,RAM,W 21-13,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
27,1981,1981-11-15,11,23.137,NOR,@,MIN,L 10-20,,,,,,,,,,,,,,,,,,,
28,1981,1981-11-22,12,23.144,NOR,@,HOU,W 27-24,,,,,,,,,,,,,,,,,,,
29,1981,1981-11-29,13,23.151,NOR,,TAM,L 14-31,,,,,,,,,,,,,,,,,,,
30,1981,1981-12-06,14,23.158,NOR,@,STL,L 3-30,,,,,,,,,,,,,,,,,,,
31,1981,1981-12-13,15,23.165,NOR,,GNB,L 7-35,,,,,,,,,,,,,,,,,,,
32,1981,1981-12-20,16,23.172,NOR,,SFO,L 17-21,,,,,,,,,,,,,,,,,,,
33,1982,1982-09-12,1,24.073,NOR,,STL,L 7-21,,,,,,,,,,,,,,,,,,,
34,1982,1982-09-19,2,24.080,NOR,@,CHI,W 10-0,,,,,,,,,,,,,,,,,,,
35,1982,1982-11-21,3,24.143,NOR,,KAN,W 27-17,,,,,,,,,,,,,,,,,,,
36,1982,1982-11-28,4,24.150,NOR,@,SFO,W 23-20,,,,,,,,,,,,,,,,,,,
37,1982,1982-12-05,5,24.157,NOR,,TAM,L 10-13,,,,,,,,,,,,,,,,,,,
38,1982,1982-12-12,6,24.164,NOR,@,ATL,L 0-35,,,,,,,,,,,,,,,,,,,
39,1982,1982-12-19,7,24.171,NOR,@,DAL,L 7-21,,,,,,,,,,,,,,,,,,,
40,1982,1982-12-26,8,24.178,NOR,,WAS,L 10-27,,,,,,,,,,,,,,,,,,,
41,1982,1983-01-02,9,24.185,NOR,,ATL,W 35-6,,,,,,,,,,,,,,,,,,,
42,1983,1983-09-04,1,25.065,NOR,,STL,W 28-17,,,,,,,,,,,,,,,,,,,
43,1983,1983-09-11,2,25.072,NOR,@,RAM,L 27-30,,,,,,,,,,,,,,,,,,,
44,1983,1983-09-18,3,25.079,NOR,,CHI,W 34-31,,,,,,,,,,,,,,,,,,,
45,1983,1983-09-25,4,25.086,NOR,@,DAL,L 20-21,,,,,,,,,,,,,,,,,,,
46,1983,1983-10-02,5,25.093,NOR,,MIA,W 17-7,,,,,,,,,,,,,,,,,,,
47,1983,1983-10-09,6,25.100,NOR,@,ATL,W 19-17,,,,,,,,,,,,,,,,,,,
48,1983,1983-10-16,7,25.107,NOR,,SFO,L 13-32,,,,,,,,,,,,,,,,,,,
49,1983,1983-10-23,8,25.114,NOR,@,TAM,W 24-21,,,,,,,,,,,,,,,,,,,
50,1983,1983-10-30,9,25.121,NOR,@,BUF,L 21-27,,,,,,,,,,,,,,,,,,,
51,1983,1983-11-06,10,25.128,NOR,,ATL,W 27-10,,,,,,,,,,,,,,,,,,,
52,1983,1983-11-13,11,25.135,NOR,@,SFO,L 0-27,,,,,,,,,,,,,,,,,,,
53,1983,1983-11-21,12,25.143,NOR,,NYJ,L 28-31,,,,,,,,,,,,,,,,,,,
54,1983,1983-11-27,13,25.149,NOR,,MIN,W 17-16,,,,,,,,,,,,,,,,,,,
55,1983,1983-12-04,14,25.156,NOR,@,NWE,L 0-7,,,,,,,,,,,,,,,,,,,
56,1983,1983-12-11,15,25.163,NOR,@,PHI,W 20-17,,,,,,,,,,,,,,,,,,,
57,1983,1983-12-18,16,25.170,NOR,,RAM,L 24-26,,,,,,,,,,,,,,,,,,,
58,1984,1984-09-02,1,26.063,NOR,,ATL,L 28-36,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,9,0
59,1984,1984-09-09,2,26.070,NOR,,TAM,W 17-13,,,,,,,,,,,,,,,,,,,
60,1984,1984-09-16,3,26.077,NOR,@,SFO,L 20-30,,,,,,,,,,,,,,,,,,,
61,1984,1984-09-23,4,26.084,NOR,,STL,W 34-24,,,,,,,,,,,,,,,,,,,
62,1984,1984-09-30,5,26.091,NOR,@,HOU,W 27-10,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
63,1984,1984-10-07,6,26.098,NOR,@,CHI,L 7-20,,,,,,,,,,,,,,,,,,,
64,1984,1984-10-14,7,26.105,NOR,,RAM,L 10-28,,,,,,,,,,,,,,,,,,,
65,1984,1984-10-21,8,26.112,NOR,@,DAL,L 27-30,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
66,1984,1984-10-28,9,26.119,NOR,@,CLE,W 16-14,,,,,,,,,,,,,,,,,,,
67,1984,1984-11-04,10,26.126,NOR,,GNB,L 13-23,,,,,,,,,,,,,,,,,,,
68,1984,1984-11-11,11,26.133,NOR,@,ATL,W 17-13,,,,,,,,,,,,,,,,,,,
69,1984,1984-11-19,12,26.141,NOR,,PIT,W 27-24,,,,,,,,,,,,,,,,,,,
70,1984,1984-11-25,13,26.147,NOR,,SFO,L 3-35,,,,,,,,,,,,,,,,,,,
71,1984,1984-12-02,14,26.154,NOR,@,RAM,L 21-34,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
72,1984,1984-12-09,15,26.161,NOR,,CIN,L 21-24,,,,,,,,,,,,,,,,,,,
73,1984,1984-12-15,16,26.167,NOR,@,NYG,W 10-3,,,,,,,,,,,,,,,,,,,
74,1985,1985-09-08,1,27.069,NOR,,KAN,L 27-47,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,6,0
75,1985,1985-09-15,2,27.076,NOR,@,DEN,L 23-34,,,,,,,,,,,,,,,,,,,
76,1985,1985-09-22,3,27.083,NOR,,TAM,W 20-13,,,,,,,,,,,,,,,,,,,
77,1985,1985-09-29,4,27.090,NOR,@,SFO,W 20-17,,,,,,,,,,,,,,,,,,,
78,1985,1985-10-06,5,27.097,NOR,,PHI,W 23-21,,0,0,,0,,,0,0,,0,0,0,,0,0.0,3,28,0
79,1985,1985-10-13,6,27.104,NOR,@,RAI,L 13-23,,,,,,,,,,,,,,,,,,,
80,1985,1985-10-20,7,27.111,NOR,@,ATL,L 24-31,,,,,,,,,,,,,,,,,,,
81,1985,1985-10-27,8,27.118,NOR,,NYG,L 13-21,,,,,,,,,,,,,,,,,,,
82,1985,1985-11-03,9,27.125,NOR,@,RAM,L 10-28,,,,,,,,,,,,,,,,,,,
83,1985,1985-11-10,10,27.132,NOR,,SEA,L 3-27,,,,,,,,,,,,,,,,,,,
84,1985,1985-11-17,11,27.139,NOR,@,GNB,L 14-38,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
85,1985,1985-11-24,12,27.146,NOR,@,MIN,W 30-23,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,15,0
86,1985,1985-12-01,13,27.153,NOR,,RAM,W 29-3,,,,,,,,,,,,,,,,,,,
87,1985,1985-12-08,14,27.160,NOR,@,STL,L 16-28,,,,,,,,,,,,,,,,,,,
88,1985,1985-12-15,15,27.167,NOR,,SFO,L 19-31,,,,,,,,,,,,,,,,,,,
89,1985,1985-12-22,16,27.174,NOR,,ATL,L 10-16,,,,,,,,,,,,,,,,,,,
90,1986,1986-09-07,1,28.068,NOR,,ATL,L 10-31,,0,0,,0,,,,,,,,,,,,,,
91,1986,1986-09-14,2,28.075,NOR,,GNB,W 24-10,,0,0,,0,,,0,0,,0,0,0,,0,0.0,2,1,0
92,1986,1986-09-21,3,28.082,NOR,@,SFO,L 17-26,,0,0,,0,,,,,,,,,,,,,,
93,1986,1986-09-28,4,28.089,NOR,@,NYG,L 17-20,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,13,0
94,1986,1986-10-05,5,28.096,NOR,,WAS,L 6-14,,0,0,,0,,,,,,,,,,,,,,
95,1986,1986-10-12,6,28.103,NOR,@,IND,W 17-14,,1,13,13.00,0,,,0,0,,0,0,0,,0,0.0,0,0,0
96,1986,1986-10-19,7,28.110,NOR,,TAM,W 38-7,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,4,0
97,1986,1986-10-26,8,28.117,NOR,@,NYJ,L 23-28,,0,0,,0,,,,,,,,,,,,,,
98,1986,1986-11-02,9,28.124,NOR,,SFO,W 23-10,,0,0,,0,,,,,,,,,,,,,,
99,1986,1986-11-09,10,28.131,NOR,,RAM,W 6-0,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,17,0
100,1986,1986-11-16,11,28.138,NOR,@,STL,W 16-7,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
101,1986,1986-11-23,12,28.145,NOR,@,RAM,L 13-26,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
102,1986,1986-11-30,13,28.152,NOR,,NWE,L 20-21,,0,0,,0,,,,,,,,,,,,,,
103,1986,1986-12-07,14,28.159,NOR,,MIA,L 27-31,,0,0,,0,,,,,,,,,,,,,,
104,1986,1986-12-14,15,28.166,NOR,@,ATL,W 14-9,,0,0,,0,,,0,0,,0,0,0,,0,0.0,2,13,0
105,1986,1986-12-21,16,28.173,NOR,@,MIN,L 17-33,,0,0,,0,,,,,,,,,,,,,,
106,1987,1987-09-13,1,29.074,NOR,,CLE,W 28-21,,,,,,,,,,,,,,,,,,,
107,1987,1987-09-20,2,29.081,NOR,@,PHI,L 17-27,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,17,0
108,1987,1987-10-25,6,29.116,NOR,,SFO,L 22-24,,,,,,,,,,,,,,,,,,,
109,1987,1987-11-01,7,29.123,NOR,@,ATL,W 38-0,,,,,,,,,,,,,,,,,,,
110,1987,1987-11-08,8,29.130,NOR,@,RAM,W 31-14,,,,,,,,,,,,,,,,,,,
111,1987,1987-11-15,9,29.137,NOR,@,SFO,W 26-24,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,17,0
112,1987,1987-11-22,10,29.144,NOR,,NYG,W 23-14,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,9,0
113,1987,1987-11-29,11,29.151,NOR,@,PIT,W 20-16,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,35,0
114,1987,1987-12-06,12,29.158,NOR,,TAM,W 44-34,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
115,1987,1987-12-13,13,29.165,NOR,,HOU,W 24-10,,,,,,,,,,,,,,,,,,,
116,1987,1987-12-20,14,29.172,NOR,@,CIN,W 41-24,,,,,,,,,,,,,,,,,,,
117,1987,1987-12-27,15,29.179,NOR,,GNB,W 33-24,,,,,,,,,,,,,,,,,,,
118,1988,1988-09-04,1,30.065,NOR,,SFO,L 33-34,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,44,0
119,1988,1988-09-11,2,30.072,NOR,@,ATL,W 29-21,,,,,,,,0,0,,0,,,,,,,,
120,1988,1988-09-18,3,30.079,NOR,@,DET,W 22-14,,,,,,,,0,0,,0,,,,,,,,
121,1988,1988-09-25,4,30.086,NOR,,TAM,W 13-9,,,,,,,,0,0,,0,,,,,,,,
122,1988,1988-10-03,5,30.094,NOR,,DAL,W 20-17,,,,,,,,0,0,,0,,,,,,,,
123,1988,1988-10-09,6,30.100,NOR,@,SDG,W 23-17,,,,,,,,0,0,,0,,,,,,,,
124,1988,1988-10-16,7,30.107,NOR,@,SEA,W 20-19,,,,,,,,0,0,,0,,,,,,,,
125,1988,1988-10-23,8,30.114,NOR,,RAI,W 20-6,,,,,,,,0,0,,0,,,,,,,,
126,1988,1988-10-30,9,30.121,NOR,,RAM,L 10-12,,,,,,,,0,0,,0,,,,,,,,
127,1988,1988-11-06,10,30.128,NOR,@,WAS,L 24-27,,0,0,,0,,,1,29,29.00,0,0,0,,0,0.0,0,0,0
128,1988,1988-11-13,11,30.135,NOR,@,RAM,W 14-10,,0,0,,0,,,1,10,10.00,0,0,0,,0,0.0,0,0,0
129,1988,1988-11-20,12,30.142,NOR,,DEN,W 42-0,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,30,0
130,1988,1988-11-27,13,30.149,NOR,,NYG,L 12-13,,,,,,,,0,0,,0,,,,,,,,
131,1988,1988-12-04,14,30.156,NOR,@,MIN,L 3-45,,,,,,,,0,0,,0,,,,,,,,
132,1988,1988-12-11,15,30.163,NOR,@,SFO,L 17-30,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,17,0
133,1988,1988-12-18,16,30.170,NOR,,ATL,W 10-9,,,,,,,,0,0,,0,,,,,,,,
134,1989,1989-09-10,1,31.071,NOR,,DAL,W 28-0,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
135,1989,1989-09-17,2,31.078,NOR,@,GNB,L 34-35,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,22,0
136,1989,1989-09-24,3,31.085,NOR,@,TAM,L 10-20,,,,,,,,,,,,,,,,,,,
137,1989,1989-10-01,4,31.092,NOR,,WAS,L 14-16,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,2,0
138,1989,1989-10-08,5,31.099,NOR,,SFO,L 20-24,,,,,,,,,,,,,,,,,,,
139,1989,1989-10-15,6,31.106,NOR,,NYJ,W 29-14,,,,,,,,,,,,,,,,,,,
140,1989,1989-10-22,7,31.113,NOR,@,RAM,W 40-21,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,42,0
141,1989,1989-10-29,8,31.120,NOR,,ATL,W 20-13,,,,,,,,,,,,,,,,,,,
142,1989,1989-11-06,9,31.128,NOR,@,SFO,L 13-31,,,,,,,,,,,,,,,,,,,
143,1989,1989-11-12,10,31.134,NOR,@,NWE,W 28-24,,,,,,,,,,,,,,,,,,,
144,1989,1989-11-19,11,31.141,NOR,@,ATL,W 26-17,,,,,,,,,,,,,,,,,,,
145,1989,1989-11-26,12,31.148,NOR,,RAM,L 17-20,,,,,,,,,,,,,,,,,,,
146,1989,1989-12-03,13,31.155,NOR,@,DET,L 14-21,,,,,,,,,,,,,,,,,,,
147,1989,1989-12-10,14,31.162,NOR,@,BUF,W 22-19,,,,,,,,,,,,,,,,,,,
148,1989,1989-12-18,15,31.170,NOR,,PHI,W 30-20,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
149,1989,1989-12-24,16,31.176,NOR,,IND,W 41-6,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
150,1990,1990-09-10,1,32.071,SFO,@,NOR,W 13-12,,,,,,,,,,,,,,,,,,,
151,1990,1990-09-16,2,32.077,SFO,,WAS,W 26-13,,,,,,,,,,,,,,,,,,,
152,1990,1990-09-23,3,32.084,SFO,,ATL,W 19-13,,0,0,,0,,,0,0,,0,0,0,,0,0.0,2,4,0
153,1990,1990-10-07,4,32.098,SFO,@,HOU,W 24-21,,,,,,,,,,,,,,,,,,,
154,1990,1990-10-14,5,32.105,SFO,@,ATL,W 45-35,,,,,,,,,,,,,,,,,,,
155,1990,1990-10-21,6,32.112,SFO,,PIT,W 27-7,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,24,0
156,1990,1990-10-28,7,32.119,SFO,,CLE,W 20-17,,,,,,,,,,,,,,,,,,,
157,1990,1990-11-04,8,32.126,SFO,@,GNB,W 24-20,,,,,,,,,,,,,,,,,,,
158,1990,1990-11-11,9,32.133,SFO,@,DAL,W 24-6,,,,,,,,,,,,,,,,,,,
159,1990,1990-11-18,10,32.140,SFO,,TAM,W 31-7,,,,,,,,,,,,,,,,,,,
160,1990,1990-11-25,11,32.147,SFO,,RAM,L 17-28,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,22,0
161,1990,1990-12-03,12,32.155,SFO,,NYG,W 7-3,,,,,,,,,,,,,,,,,,,
162,1990,1990-12-09,13,32.161,SFO,@,CIN,W 20-17,,,,,,,,,,,,,,,,,,,
163,1990,1990-12-17,14,32.169,SFO,@,RAM,W 26-10,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
164,1990,1990-12-23,15,32.175,SFO,,NOR,L 10-13,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
165,1990,1990-12-30,16,32.182,SFO,@,MIN,W 20-17,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,14,0
166,1991,1991-09-02,1,33.063,SFO,@,NYG,L 14-16,,,,,,,,,,,,,,,,,,,
167,1991,1991-09-08,2,33.069,SFO,,SDG,W 34-14,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,0,0
168,1991,1991-09-15,3,33.076,SFO,@,MIN,L 14-17,,,,,,,,,,,,,,,,,,,
169,1991,1991-09-22,4,33.083,SFO,,RAM,W 27-10,,,,,,,,,,,,,,,,,,,
170,1991,1991-09-29,5,33.090,SFO,@,RAI,L 6-12,,0,0,,0,,,0,0,,0,0,0,,0,1.0,0,0,0
171,1991,1991-10-13,6,33.104,SFO,,ATL,L 34-39,,,,,,,,,,,,,,,,,,,
172,1991,1991-10-20,7,33.111,SFO,,DET,W 35-3,,,,,,,,,,,,,,,,,,,
173,1991,1991-10-27,8,33.118,SFO,@,PHI,W 23-7,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,7,0
174,1991,1991-11-03,9,33.125,SFO,@,ATL,L 14-17,,,,,,,,,,,,,,,,,,,
175,1991,1991-11-10,10,33.132,SFO,@,NOR,L 3-10,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,42,0
176,1991,1991-11-17,11,33.139,SFO,,PHO,W 14-10,,,,,,,,,,,,,,,,,,,
177,1991,1991-11-25,12,33.147,SFO,@,RAM,W 33-10,,,,,,,,,,,,,,,,,,,
178,1991,1991-12-01,13,33.153,SFO,,NOR,W 38-24,,,,,,,,,,,,,,,,,,,
179,1991,1991-12-08,14,33.160,SFO,@,SEA,W 24-22,,,,,,,,,,,,,,,,,,,
180,1991,1991-12-14,15,33.166,SFO,,KAN,W 28-14,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,28,0
181,1991,1991-12-23,16,33.175,SFO,,CHI,W 52-14,,,,,,,,,,,,,,,,,,,
182,1992,1992-09-06,1,34.067,RAI,@,DEN,L 13-17,,,,,,0.0%,,,,,,,,,,,,,
183,1992,1992-09-13,2,34.074,RAI,@,CIN,L 21-24,,,,,,0.0%,,,,,,,,,,,,,
184,1992,1992-09-20,3,34.081,RAI,,CLE,L 16-28,,,,,,0.0%,,,,,,,,,,,,,
185,1992,1992-09-28,4,34.089,RAI,@,KAN,L 7-27,,,,,,0.0%,,,,,,,,,,,,,
186,1992,1992-10-04,5,34.095,RAI,,NYG,W 13-10,,,,,,0.0%,,,,,,,,,,,,,
187,1992,1992-10-11,6,34.102,RAI,,BUF,W 20-3,,,,,,0.0%,,,,,,,,,,,,,
188,1992,1992-10-18,7,34.109,RAI,@,SEA,W 19-0,,,,,,0.0%,,,,,,,,,,,,,
189,1992,1992-10-25,8,34.116,RAI,,DAL,L 13-28,,,,,,0.0%,,,,,,,,,,,,,
190,1992,1992-11-08,9,34.130,RAI,@,PHI,L 10-31,,,,,,0.0%,,,,,,,,,,,,,
191,1992,1992-11-15,10,34.137,RAI,,SEA,W 20-3,,,,,,0.0%,,,,,,,,,,,,,
192,1992,1992-11-22,11,34.144,RAI,,DEN,W 24-0,,,,,,0.0%,,,,,,,,,,,,,
193,1992,1992-11-29,12,34.151,RAI,@,SDG,L 3-27,,,,,,0.0%,,,,,,,,,,,,,
194,1992,1992-12-06,13,34.158,RAI,,KAN,W 28-7,,,,,,0.0%,,,,,,,,,,,,,
195,1992,1992-12-14,14,34.166,RAI,@,MIA,L 7-20,,,,,,0.0%,,,,,,,,,,,,,
196,1992,1992-12-20,15,34.172,RAI,,SDG,L 14-36,,,,,,0.0%,,,,,,,,,,,,,
197,1992,1992-12-26,16,34.178,RAI,@,WAS,W 21-20,,,,,,0.0%,,,,,,,,,,,,,
