ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
26,1994,1994-09-18,3,26.155,GNB,@,PHI,L 7-13,,,,,,,,,,0.0%,,0,0,,0
27,1994,1994-09-25,4,26.162,GNB,,TAM,W 30-3,,,,,,,,,,0.0%,,0,0,,0
28,1994,1994-10-02,5,26.169,GNB,@,NWE,L 16-17,,,,,0,,,,,0.0%,,0,0,,0
29,1994,1994-10-09,6,26.176,GNB,,RAM,W 24-17,,,,,0,,,,,0.0%,,0,0,,0
30,1994,1994-10-20,7,26.187,GNB,@,MIN,L 10-13,,,,,,,,,,0.0%,,0,0,,0
31,1994,1994-10-31,8,26.198,GNB,@,CHI,W 33-6,,,,,,,,,,0.0%,,0,0,,0
32,1994,1994-11-06,9,26.204,GNB,,DET,W 38-30,0,0,,0,0,0,0,,0,0.0%,,1,0,0.00,0
33,1994,1994-11-13,10,26.211,GNB,,NYJ,W 17-10,,,,,,,,,,0.0%,,0,0,,0
34,1994,1994-11-24,12,26.222,GNB,@,DAL,L 31-42,,,,,,,,,,0.0%,,0,0,,0
35,1994,1994-12-18,15,26.246,GNB,,ATL,W 21-17,,,,,,,,,,0.0%,,0,0,,0
36,1995,1995-09-03,1,27.140,GNB,,STL,L 14-17,,,,,,,,,,0.0%,,,,,
37,1995,1995-09-11,2,27.148,GNB,@,CHI,W 27-24,,,,,,,,,,0.0%,,,,,
38,1995,1995-09-17,3,27.154,GNB,,NYG,W 14-6,,,,,,,,,,0.0%,,,,,
39,1995,1995-09-24,4,27.161,GNB,@,JAX,W 24-14,,,,,,,,,,0.0%,,,,,
40,1995,1995-10-08,5,27.175,GNB,@,DAL,L 24-34,,,,,,,,,,0.0%,,,,,
41,1995,1995-10-15,6,27.182,GNB,,DET,W 30-21,,,,,,,,,,0.0%,,,,,
42,1995,1995-10-22,7,27.189,GNB,,MIN,W 38-21,,,,,,,,,,0.0%,,,,,
43,1995,1995-10-29,8,27.196,GNB,@,DET,L 16-24,,,,,,,,,,0.0%,,,,,
44,1995,1995-11-05,9,27.203,GNB,@,MIN,L 24-27,,,,,,,,,,0.0%,,,,,
45,1995,1995-11-12,10,27.210,GNB,,CHI,W 35-28,,,,,,,,,,0.0%,,,,,
46,1995,1995-11-19,11,27.217,GNB,@,CLE,W 31-20,,,,,,,,,,0.0%,,,,,
47,1995,1995-11-26,12,27.224,GNB,,TAM,W 35-13,,,,,,,,,,0.0%,,,,,
48,1995,1995-12-03,13,27.231,GNB,,CIN,W 24-10,,,,,,,,,,0.0%,,,,,
49,1995,1995-12-24,16,27.252,GNB,,PIT,W 24-19,,,,,,,,,,0.0%,,,,,
