ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
87,2012,2012-11-25,11,27.362,IND,,BUF,W 20-13,*,,,,,0,,,,,0.0%,,,,
88,2012,2012-12-02,12,28.003,IND,@,DET,W 35-33,*,,,,,,,,,,0.0%,,,,
89,2012,2012-12-09,13,28.010,IND,,TEN,W 27-23,*,,,,,,,,,,0.0%,,,,
90,2013,2013-09-08,1,28.283,IND,,OAK,W 21-17,*,,,,,,,,,,0.0%,,,,
91,2013,2013-09-15,2,28.290,IND,,MIA,L 20-24,*,,,,,,,,,,0.0%,,,,
92,2013,2013-10-06,5,28.311,IND,,SEA,W 34-28,*,,,,,,,,,,0.0%,,,,
93,2013,2013-10-14,6,28.319,IND,@,SDG,L 9-19,*,,,,,,,,,,0.0%,,,,
94,2013,2013-10-20,7,28.325,IND,,DEN,W 39-33,*,,,,,,,,,,0.0%,,,,
95,2013,2013-11-03,8,28.339,IND,@,HOU,W 27-24,*,,,,,0,,,,,0.0%,,,,
96,2013,2013-11-10,9,28.346,IND,,STL,L 8-38,*,,,,,,,,,,0.0%,,,,
97,2013,2013-11-14,10,28.350,IND,@,TEN,W 30-27,*,,,,,,,,,,0.0%,,,,
98,2013,2013-11-24,11,28.360,IND,@,ARI,L 11-40,*,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0.0,0,0
99,2013,2013-12-01,12,29.002,IND,,TEN,W 22-14,*,,,,,,,,,,0.0%,,,,
100,2013,2013-12-08,13,29.009,IND,@,CIN,L 28-42,*,,,,,,,,,,0.0%,,,,
101,2013,2013-12-22,15,29.023,IND,@,KAN,W 23-7,*,,,,,0,,,,,0.0%,,,,
102,2013,2013-12-29,16,29.030,IND,,JAX,W 30-10,*,,,,,,,,,,0.0%,,,,
103,2014,2014-09-07,1,29.282,MIA,,NWE,W 33-20,*,,,,,,,,,,0.0%,,,,
104,2014,2014-09-14,2,29.289,MIA,@,BUF,L 10-29,*,,,,,0,,,,,0.0%,,,,
105,2014,2014-09-21,3,29.296,MIA,,KAN,L 15-34,*,,,,,0,,,,,0.0%,,,,
106,2014,2014-09-28,4,29.303,MIA,@,OAK,W 38-14,*,,,,,,,,,,0.0%,,,,
107,2014,2014-10-12,5,29.317,MIA,,GNB,L 24-27,*,,,,,,,,,,0.0%,,,,
108,2014,2014-10-19,6,29.324,MIA,@,CHI,W 27-14,*,,,,,,,,,,0.0%,,,,
109,2014,2014-10-26,7,29.331,MIA,@,JAX,W 27-13,*,,,,,0,,,,,0.0%,,,,
110,2014,2014-11-02,8,29.338,MIA,,SDG,W 37-0,*,0,0,,0,,0,0,,0,0.0%,,0.0,0,0
111,2014,2014-11-09,9,29.345,MIA,@,DET,L 16-20,*,,,,,,,,,,0.0%,,,,
112,2014,2014-11-13,10,29.349,MIA,,BUF,W 22-9,*,,,,,0,,,,,0.0%,,,,
113,2014,2014-11-23,11,29.359,MIA,@,DEN,L 36-39,*,,,,,,,,,,0.0%,,,,
114,2014,2014-12-01,12,30.002,MIA,@,NYJ,W 16-13,*,,,,,,,,,,0.0%,,,,
115,2014,2014-12-07,13,30.008,MIA,,BAL,L 13-28,*,,,,,0,,,,,0.0%,,,,
116,2014,2014-12-14,14,30.015,MIA,@,NWE,L 13-41,*,0,0,,0,,0,0,,0,0.0%,,0.0,1,0
117,2014,2014-12-21,15,30.022,MIA,,MIN,W 37-35,*,,,,,,,,,,0.0%,,,,
118,2014,2014-12-28,16,30.029,MIA,,NYJ,L 24-37,*,,,,,,,,,,0.0%,,,,
