ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
21,1967,1967-11-19,10,25.273,WAS,@,DAL,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
22,1967,1967-12-03,12,25.287,WAS,,PHI,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,18,0
23,1967,1967-12-10,13,25.294,WAS,@,PIT,W 15-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,3,43,0
24,1968,1968-09-22,2,26.216,MIN,@,GNB,W 26-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,2,0
25,1968,1968-10-13,5,26.237,MIN,@,NOR,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
26,1968,1968-10-20,6,26.244,MIN,,DAL,L 7-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,27,0
27,1968,1968-10-27,7,26.251,MIN,@,CHI,L 24-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
28,1968,1968-11-03,8,26.258,MIN,,WAS,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,6,0
29,1968,1968-11-10,9,26.265,MIN,,GNB,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,18,0
30,1968,1968-11-17,10,26.272,MIN,@,DET,W 13-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,29,0
31,1969,1969-09-28,2,27.221,MIN,,BAL,W 52-14,,,,,,,,,,,,,,,,,,,,,,0,5,0
32,1969,1969-10-26,6,27.249,MIN,,DET,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
33,1969,1969-11-09,8,27.263,MIN,,CLE,W 51-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
34,1969,1969-11-23,10,27.277,MIN,,PIT,W 52-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,2,77,1
35,1969,1969-12-21,14,27.305,MIN,@,ATL,L 3-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
36,1970,1970-09-20,1,28.213,MIN,,KAN,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,40,0
37,1970,1970-09-27,2,28.220,MIN,,NOR,W 26-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
38,1970,1970-10-04,3,28.227,MIN,@,GNB,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,15,0
39,1970,1970-10-11,4,28.234,MIN,@,CHI,W 24-0,,,,,,,,,,,,,,,,,,,,,,,,
40,1970,1970-10-18,5,28.241,MIN,,DAL,W 54-13,,,,,,,,,,,,,,,,,,,,,,,,
41,1970,1970-10-26,6,28.249,MIN,,RAM,W 13-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
42,1970,1970-11-01,7,28.255,MIN,@,DET,W 30-17,,,,,,,,,,,,,,,,,,,,,,,,
43,1970,1970-11-08,8,28.262,MIN,@,WAS,W 19-10,,,,,,,,,,,,,,,,,,,,,,,,
44,1970,1970-11-15,9,28.269,MIN,,DET,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,14,0
45,1970,1970-11-22,10,28.276,MIN,,GNB,W 10-3,,,,,,,,,,,,,,,,,,,,,,,,
46,1970,1970-11-29,11,28.283,MIN,@,NYJ,L 10-20,,,,,,,,,,,,,,,,,,,,,,,,
47,1970,1970-12-05,12,28.289,MIN,,CHI,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,
48,1970,1970-12-13,13,28.297,MIN,@,BOS,W 35-14,,,,,,,,,,,,,,,,,,,,,,,,
49,1970,1970-12-20,14,28.304,MIN,@,ATL,W 37-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,21,0
50,1971,1971-09-20,1,29.213,MIN,@,DET,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,
51,1971,1971-09-26,2,29.219,MIN,,CHI,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,
52,1971,1971-10-03,3,29.226,MIN,,BUF,W 19-0,,,,,,,,,,,,,,,,,,,,,,,,
53,1971,1971-10-10,4,29.233,MIN,@,PHI,W 13-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,15,0
54,1971,1971-10-17,5,29.240,MIN,@,GNB,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,
55,1971,1971-10-25,6,29.248,MIN,,BAL,W 10-3,,,,,,,,,,,,,,,,,,,,,,,,
56,1971,1971-10-31,7,29.254,MIN,@,NYG,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,
57,1971,1971-11-07,8,29.261,MIN,,SFO,L 9-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,44,0
58,1971,1971-11-14,9,29.268,MIN,,GNB,W 3-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,31,0
59,1971,1971-11-21,10,29.275,MIN,@,NOR,W 23-10,,,,,,,,,,,,,,,,,,,,,,,,
60,1971,1971-11-28,11,29.282,MIN,,ATL,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,22,0
61,1971,1971-12-05,12,29.289,MIN,@,SDG,L 14-30,,,,,,,,,,,,,,,,,,,,,,,,
62,1971,1971-12-11,13,29.295,MIN,,DET,W 29-10,,,,,,,,,,,,,,,,,,,,,,,,
63,1971,1971-12-19,14,29.303,MIN,@,CHI,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,
64,1972,1972-09-18,1,30.212,MIN,,WAS,L 21-24,,,,,,,,,,,,,,,,,,,,,,,,
65,1972,1972-09-24,2,30.218,MIN,@,DET,W 34-10,,,,,,,,,,,,,,,,,,,,,,,,
66,1972,1972-10-01,3,30.225,MIN,,MIA,L 14-16,,,,,,,,,,,,,,,,,,,,,,,,
67,1972,1972-10-08,4,30.232,MIN,,STL,L 17-19,,,,,,,,,,,,,,,,,,,,,,,,
68,1972,1972-10-15,5,30.239,MIN,@,DEN,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,52,0
69,1972,1972-10-23,6,30.247,MIN,@,CHI,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,
70,1972,1972-10-29,7,30.253,MIN,@,GNB,W 27-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,1,32,1
71,1972,1972-11-05,8,30.260,MIN,,NOR,W 37-6,,,,,,,,,,,,,,,,,,,,,,,,
72,1972,1972-11-12,9,30.267,MIN,,DET,W 16-14,,,,,,,,,,,,,,,,,,,,,,,,
73,1972,1972-11-19,10,30.274,MIN,@,RAM,W 45-41,,,,,,,,,,,,,,,,,,,,,,,,
74,1972,1972-11-26,11,30.281,MIN,@,PIT,L 10-23,0,0,,0,1,0,0.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0
75,1972,1972-12-03,12,30.288,MIN,,CHI,W 23-10,,,,,,,,,,,,,,,,,,,,,,,,
76,1972,1972-12-10,13,30.295,MIN,,GNB,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
77,1972,1972-12-16,14,30.301,MIN,@,SFO,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,25,0
78,1973,1973-09-16,1,31.209,MIN,,OAK,W 24-16,,,,,,,,,,,,,,,,,,,,,,,,
79,1973,1973-09-23,2,31.216,MIN,@,CHI,W 22-13,,,,,,,,,,,,,,,,,,,,,,,,
80,1973,1973-09-30,3,31.223,MIN,,GNB,W 11-3,,,,,,,,,,,,,,,,,,,,,,,,
81,1973,1973-10-07,4,31.230,MIN,@,DET,W 23-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
82,1973,1973-10-14,5,31.237,MIN,@,SFO,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,28,0
83,1973,1973-10-21,6,31.244,MIN,,PHI,W 28-21,,,,,,,,,,,,,,,,,,,,,,,,
84,1973,1973-10-28,7,31.251,MIN,,RAM,W 10-9,,,,,,,,,,,,,,,,,,,,,,,,
85,1973,1973-11-04,8,31.258,MIN,,CLE,W 26-3,,,,,,,,,,,,,,,,,,,,,,,,
86,1973,1973-11-11,9,31.265,MIN,,DET,W 28-7,,,,,,,,,,,,,,,,,,,,,,,,
87,1973,1973-11-19,10,31.273,MIN,@,ATL,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
88,1973,1973-11-25,11,31.279,MIN,,CHI,W 31-13,,,,,,,,,,,,,,,,,,,,,,,,
89,1973,1973-12-02,12,31.286,MIN,@,CIN,L 0-27,,,,,,,,,,,,,,,,,,,,,,,,
90,1973,1973-12-08,13,31.292,MIN,@,GNB,W 31-7,,,,,,,,,,,,,,,,,,,,,,,,
91,1973,1973-12-16,14,31.300,MIN,@,NYG,W 31-7,,,,,,,,,,,,,,,,,,,,,,,,
92,1974,1974-09-15,1,32.208,MIN,@,GNB,W 32-17,,,,,,,,,,,,,,,,,,,,,,,,
93,1974,1974-09-22,2,32.215,MIN,@,DET,W 7-6,,,,,,,,,,,,,,,,,,,,,,,,
94,1974,1974-09-29,3,32.222,MIN,,CHI,W 11-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,8,0
95,1974,1974-10-06,4,32.229,MIN,@,DAL,W 23-21,,,,,,,,,,,,,,,,,,,,,,,,
96,1974,1974-10-13,5,32.236,MIN,,HOU,W 51-10,,,,,,,,,,,,,,,,,,,,,,,,
97,1974,1974-10-20,6,32.243,MIN,,DET,L 16-20,,,,,,,,,,,,,,,,,,,,,,,,
98,1974,1974-10-27,7,32.250,MIN,,NWE,L 14-17,,,,,,,,,,,,,,,,,,,,,,,,
99,1974,1974-11-03,8,32.257,MIN,@,CHI,W 17-0,,,,,,,,,,,,,,,,,,,,,,,,
100,1974,1974-11-11,9,32.265,MIN,@,STL,W 28-24,,,,,,,,,,,,,,,,,,,,,,,,
101,1974,1974-11-17,10,32.271,MIN,,GNB,L 7-19,,,,,,,,,,,,,,,,,,,,,,,,
102,1974,1974-11-24,11,32.278,MIN,@,RAM,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,
103,1974,1974-12-01,12,32.285,MIN,,NOR,W 29-9,,,,,,,,,,,,,,,,,,,,,,,,
104,1974,1974-12-07,13,32.291,MIN,,ATL,W 23-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,45,0
105,1974,1974-12-14,14,32.298,MIN,@,KAN,W 35-15,,,,,,,,,,,,,,,,,,,,,,,,
106,1975,1975-09-21,1,33.214,MIN,,SFO,W 27-17,,,,,,,,,,,,,,,,,,,,,,,,
107,1975,1975-09-28,2,33.221,MIN,@,CLE,W 42-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,20,0
108,1975,1975-10-05,3,33.228,MIN,,CHI,W 28-3,,,,,,,,,,,,,,,,,,,,,,,,
109,1975,1975-10-12,4,33.235,MIN,,NYJ,W 29-21,,,,,,,,,,,,,,,,,,,,,,,,
110,1975,1975-10-19,5,33.242,MIN,,DET,W 25-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,13,0
111,1975,1975-10-27,6,33.250,MIN,@,CHI,W 13-9,,,,,,,,,,,,,,,,,,,,,,,,
112,1975,1975-11-02,7,33.256,MIN,@,GNB,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,36,0
113,1975,1975-11-09,8,33.263,MIN,,ATL,W 38-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,31,0
114,1975,1975-11-16,9,33.270,MIN,@,NOR,W 20-7,,,,,,,,,,,,,,,,,,,,,,,,
115,1975,1975-11-23,10,33.277,MIN,,SDG,W 28-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,81,0
116,1975,1975-11-30,11,33.284,MIN,@,WAS,L 30-31,,,,,,,,,,,,,,,,,,,,,,,,
117,1975,1975-12-07,12,33.291,MIN,,GNB,W 24-3,,,,,,,,,,,,,,,,,,,,,,,,
118,1975,1975-12-14,13,33.298,MIN,@,DET,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,20,0
119,1975,1975-12-20,14,33.304,MIN,@,BUF,W 35-13,,,,,,,,,,,,,,,,,,,,,,,,
120,1976,1976-09-12,1,34.206,MIN,@,NOR,W 40-9,,,,,,,,,,,,,,,,,,,,,,,,
121,1976,1976-09-19,2,34.213,MIN,,RAM,T 10-10,,,,,,,,,,,,,,,,,,,,,,,,
122,1976,1976-09-26,3,34.220,MIN,@,DET,W 10-9,,,,,,,,,,,,,,,,,,,,,,,,
123,1976,1976-10-04,4,34.228,MIN,,PIT,W 17-6,,,,,,,,,,,,,,,,,,,,,,,,
124,1976,1976-10-10,5,34.234,MIN,,CHI,W 20-19,,,,,,,,,,,,,,,,,,,,,,,,
125,1976,1976-10-17,6,34.241,MIN,,NYG,W 24-7,,,,,,,,,,,,,,,,,,,,,,,,
126,1976,1976-10-24,7,34.248,MIN,@,PHI,W 31-12,,,,,,,,,,,,,,,,,,,,,,,,
127,1976,1976-10-31,8,34.255,MIN,@,CHI,L 13-14,,,,,,,,,,,,,,,,,,,,,,,,
128,1976,1976-11-07,9,34.262,MIN,,DET,W 31-23,,,,,,,,,,,,,,,,,,,,,,,,
129,1976,1976-11-14,10,34.269,MIN,,SEA,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,19,0
130,1976,1976-11-21,11,34.276,MIN,@,GNB,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,
131,1976,1976-11-29,12,34.284,MIN,@,SFO,L 16-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,2,0
132,1976,1976-12-05,13,34.290,MIN,,GNB,W 20-9,,,,,,,,,,,,,,,,,,,,,,,,
133,1976,1976-12-11,14,34.296,MIN,@,MIA,W 29-7,,,,,,,,,,,,,,,,,,,,,,,,
134,1977,1977-09-18,1,35.211,MIN,,DAL,L 10-16,,,,,,,,,,,,,,,,,,,,,,,,
135,1977,1977-09-24,2,35.217,MIN,@,TAM,W 9-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,25,0
136,1977,1977-10-02,3,35.225,MIN,,GNB,W 19-7,,,,,,,,,,,,,,,,,,,,,,,,
137,1977,1977-10-09,4,35.232,MIN,,DET,W 14-7,,,,,,,,,,,,,,,,,,,,,,,,
138,1977,1977-10-16,5,35.239,MIN,,CHI,W 22-16,0,0,,0,0,0,,0,1,1,100.00,11,1,0,152.1,0,0,11.00,31.00,0,0,0,0,0
139,1977,1977-10-24,6,35.247,MIN,@,RAM,L 3-35,,,,,,,,,,,,,,,,,,,,,,,,
140,1977,1977-10-30,7,35.253,MIN,@,ATL,W 14-7,,,,,,,,,,,,,,,,,,,,,,,,
141,1977,1977-11-06,8,35.260,MIN,,STL,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,
142,1977,1977-11-13,9,35.267,MIN,,CIN,W 42-10,,,,,,,,,,,,,,,,,,,,,,,,
143,1977,1977-11-20,10,35.274,MIN,@,CHI,L 7-10,,,,,,,,,,,,,,,,,,,,,,,,
144,1977,1977-11-27,11,35.281,MIN,@,GNB,W 13-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
145,1977,1977-12-04,12,35.288,MIN,,SFO,W 28-27,,,,,,,,,,,,,,,,,,,,,,,,
146,1977,1977-12-11,13,35.295,MIN,@,OAK,L 13-35,,,,,,,,,,,,,,,,,,,,,,,,
147,1977,1977-12-17,14,35.301,MIN,@,DET,W 30-21,,,,,,,,,,,,,,,,,,,,,,,,
148,1978,1978-09-03,1,36.196,MIN,@,NOR,L 24-31,,,,,,,,,,,,,,,,,,,,,,,,
149,1978,1978-09-11,2,36.204,MIN,,DEN,W 12-9,,,,,,,,,,,,,,,,,,,,,,,,
150,1978,1978-09-17,3,36.210,MIN,,TAM,L 10-16,,,,,,,,,,,,,,,,,,,,,,,,
151,1978,1978-09-25,4,36.218,MIN,@,CHI,W 24-20,,,,,,,,,,,,,,,,,,,,,,,,
152,1978,1978-10-01,5,36.224,MIN,@,TAM,W 24-7,,,,,,,,,,,,,,,,,,,,,,,,
153,1978,1978-10-08,6,36.231,MIN,@,SEA,L 28-29,,,,,,,,,,,,,,,,,,,,,,,,
154,1978,1978-10-15,7,36.238,MIN,,RAM,L 17-34,,,,,,,,,,,,,,,,,,,,,,,,
155,1978,1978-10-22,8,36.245,MIN,,GNB,W 21-7,,,,,,,,,,,,,,,,,,,,,,,,
156,1978,1978-10-26,9,36.249,MIN,@,DAL,W 21-10,,,,,,,,,,,,,,,,,,,,,,,,
157,1978,1978-11-05,10,36.259,MIN,,DET,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,
158,1978,1978-11-12,11,36.266,MIN,,CHI,W 17-14,,,,,,,,,,,,,,,,,,,,,,,,
159,1978,1978-11-19,12,36.273,MIN,,SDG,L 7-13,,,,,,,,,,,,,,,,,,,,,,,,
160,1978,1978-11-26,13,36.280,MIN,@,GNB,T 10-10,,,,,,,,,,,,,,,,,,,,,,,,
161,1978,1978-12-03,14,36.287,MIN,,PHI,W 28-27,,,,,,,,,,,,,,,,,,,,,,,,
162,1978,1978-12-09,15,36.293,MIN,@,DET,L 14-45,,,,,,,,,,,,,,,,,,,,,,,,
163,1978,1978-12-17,16,36.301,MIN,@,OAK,L 20-27,,,,,,,,,,,,,,,,,,,,,,,,
164,1979,1979-09-02,1,37.195,MIN,,SFO,W 28-22,,,,,,,,,,,,,,,,,,,,,,,,
165,1979,1979-09-09,2,37.202,MIN,@,CHI,L 7-26,,,,,,,,,,,,,,,,,,,,,,,,
166,1979,1979-09-16,3,37.209,MIN,,MIA,L 12-27,,,,,,,,,,,,,,,,,,,,,,,,
167,1979,1979-09-23,4,37.216,MIN,,GNB,W 27-21,,,,,,,,,,,,,,,,,,,,,,,,
168,1979,1979-09-30,5,37.223,MIN,@,DET,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,16,0
169,1979,1979-10-07,6,37.230,MIN,,DAL,L 20-36,,,,,,,,,,,,,,,,,,,,,,,,
170,1979,1979-10-15,7,37.238,MIN,@,NYJ,L 7-14,,,,,,,,,,,,,,,,,,,,,,,,
171,1979,1979-10-21,8,37.244,MIN,,CHI,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,
172,1979,1979-10-28,9,37.251,MIN,,TAM,L 10-12,,,,,,,,,,,,,,,,,,,,,,,,
173,1979,1979-11-04,10,37.258,MIN,@,STL,L 7-37,,,,,,,,,,,,,,,,,,,,,,,,
174,1979,1979-11-11,11,37.265,MIN,@,GNB,L 7-19,,,,,,,,,,,,,,,,,,,,,,,,
175,1979,1979-11-18,12,37.272,MIN,,DET,W 14-7,,,,,,,,,,,,,,,,,,,,,,,,
176,1979,1979-11-25,13,37.279,MIN,@,TAM,W 23-22,,,,,,,,,,,,,,,,,,,,,,,,
177,1979,1979-12-02,14,37.286,MIN,@,RAM,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,33,0
178,1979,1979-12-09,15,37.293,MIN,,BUF,W 10-3,,,,,,,,,,,,,,,,,,,,,,,,
179,1979,1979-12-16,16,37.300,MIN,@,NWE,L 23-27,,,,,,,,,,,,,,,,,,,,,,,,
