ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
38,1969,1969-12-21,14,24.104,DET,@,CHI,W 20-3,1,9,9.00,0,0,0,,0,2,24,12.00,0,0,0,1,6,0,4,147,36.75,0
39,1970,1970-09-20,1,25.012,DET,@,GNB,W 40-0,0,0,,0,0,0,,0,1,8,8.00,0,1,6,1,40,1,0,0,,0
40,1970,1970-09-27,2,25.019,DET,,CIN,W 38-3,0,0,,0,0,0,,0,5,74,14.80,1,1,6,0,0,0,0,0,,0
41,1970,1970-10-05,3,25.027,DET,,CHI,W 28-14,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,0,0,0,0,,0
42,1970,1970-10-11,4,25.033,DET,@,WAS,L 10-31,,,,,,,,,,,,,,,,,,,,,
43,1970,1970-10-18,5,25.040,DET,@,CLE,W 41-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,40,0,0,0,,0
44,1970,1970-10-25,6,25.047,DET,@,CHI,W 16-10,0,0,,0,0,0,,0,2,0,0.00,0,0,0,1,13,0,0,0,,0
45,1970,1970-11-08,8,25.061,DET,@,NOR,L 17-19,,,,,,,,,,,,,,,,,,,,,
46,1970,1970-11-15,9,25.068,DET,@,MIN,L 20-24,0,0,,0,0,0,,0,1,24,24.00,0,0,0,0,0,0,0,0,,0
47,1970,1970-11-22,10,25.075,DET,,SFO,W 28-7,0,0,,0,0,0,,0,2,4,2.00,0,0,0,1,13,0,0,0,,0
48,1970,1970-11-26,11,25.079,DET,,OAK,W 28-14,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0,0,0,0,0,,0
49,1970,1970-12-06,12,25.089,DET,,STL,W 16-3,0,0,,0,0,0,,0,3,11,3.67,0,0,0,2,13,0,0,0,,0
50,1970,1970-12-14,13,25.097,DET,@,RAM,W 28-23,0,0,,0,1,22,22.00,0,1,16,16.00,0,0,0,0,0,0,0,0,,0
51,1970,1970-12-20,14,25.103,DET,,GNB,W 20-0,0,0,,0,1,74,74.00,0,5,100,20.00,0,1,6,1,49,1,0,0,,0
52,1971,1971-09-20,1,26.012,DET,,MIN,L 13-16,0,0,,0,1,13,13.00,0,5,44,8.80,0,0,0,0,0,0,0,0,,0
53,1971,1971-09-26,2,26.018,DET,@,NWE,W 34-7,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0,0,0,,0
54,1971,1971-10-03,3,26.025,DET,,ATL,W 41-38,,,,,,,,,,,,,,,,,,,,,
55,1971,1971-10-10,4,26.032,DET,,GNB,W 31-28,0,0,,0,0,0,,0,3,43,14.33,0,0,0,0,0,0,0,0,,0
56,1971,1971-10-17,5,26.039,DET,@,HOU,W 31-7,0,0,,0,0,0,,0,2,23,11.50,0,1,6,1,28,1,0,0,,0
57,1971,1971-11-25,11,26.078,DET,,KAN,W 32-21,,,,,,,,,,,,,,,,,,,,,
58,1971,1971-12-05,12,26.088,DET,,PHI,L 20-23,0,0,,0,6,170,28.33,0,0,0,,0,0,0,0,0,0,0,0,,0
59,1971,1971-12-11,13,26.094,DET,@,MIN,L 10-29,0,0,,0,2,39,19.50,0,3,7,2.33,0,0,0,1,27,0,0,0,,0
60,1971,1971-12-19,14,26.102,DET,@,SFO,L 27-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0,0,0,,0
61,1972,1972-09-17,1,27.009,DET,,NYG,W 30-16,0,0,,0,0,0,,0,3,26,8.67,0,0,0,0,0,0,0,0,,0
62,1972,1972-09-24,2,27.016,DET,,MIN,L 10-34,0,0,,0,0,0,,0,4,31,7.75,0,0,0,0,0,0,0,0,,0
63,1972,1972-10-01,3,27.023,DET,@,CHI,W 38-24,,,,,,,,,,,,,,,,,,,,,
64,1972,1972-10-08,4,27.030,DET,@,ATL,W 26-23,0,0,,0,0,0,,0,3,24,8.00,0,0,0,0,0,0,0,0,,0
65,1972,1972-10-16,5,27.038,DET,,GNB,L 23-24,0,0,,0,0,0,,0,1,3,3.00,0,0,0,1,3,0,0,0,,0
66,1972,1972-10-22,6,27.044,DET,,SDG,W 34-20,,,,,,,,,,,,,,,,,,,,,
67,1972,1972-10-30,7,27.052,DET,@,DAL,L 24-28,,,,,,,,,,,,,,,,,,,,,
68,1972,1972-11-05,8,27.058,DET,,CHI,W 14-0,,,,,,,,,,,,,,,,,,,,,
69,1972,1972-11-12,9,27.065,DET,@,MIN,L 14-16,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0,0,0,0,0,,0
70,1972,1972-11-19,10,27.072,DET,,NOR,W 27-14,0,0,,0,0,0,,0,1,3,3.00,0,0,0,2,85,0,0,0,,0
71,1972,1972-11-23,11,27.076,DET,,NYJ,W 37-20,,,,,,,,,,,,,,,,,,,,,
72,1972,1972-12-03,12,27.086,DET,@,GNB,L 7-33,,,,,,,,,,,,,,,,,,,,,
73,1972,1972-12-10,13,27.093,DET,@,BUF,T 21-21,,,,,,,,,,,,,,,,,,,,,
74,1972,1972-12-17,14,27.100,DET,@,RAM,W 34-17,0,0,,0,1,17,17.00,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
75,1973,1973-09-16,1,28.008,DET,@,PIT,L 10-24,1,2,2.00,0,0,0,,0,1,10,10.00,0,0,0,1,38,0,0,0,,0
76,1973,1973-09-23,2,28.015,DET,@,GNB,T 13-13,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
77,1973,1973-10-01,3,28.023,DET,,ATL,W 31-6,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,0,0,0,0,,0
78,1973,1973-10-07,4,28.029,DET,,MIN,L 9-23,0,0,,0,0,0,,0,3,40,13.33,0,0,0,0,0,0,0,0,,0
79,1973,1973-10-14,5,28.036,DET,@,NOR,L 13-20,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
80,1973,1973-10-21,6,28.043,DET,,BAL,L 27-29,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0,0,0,0,0,,0
81,1973,1973-10-28,7,28.050,DET,,GNB,W 34-0,1,7,7.00,0,0,0,,0,4,40,10.00,0,0,0,0,0,0,0,0,,0
82,1973,1973-11-04,8,28.057,DET,,SFO,W 30-20,0,0,,0,1,28,28.00,0,4,21,5.25,0,0,0,2,60,0,0,0,,0
83,1973,1973-11-11,9,28.064,DET,@,MIN,L 7-28,,,,,,,,,,,,,,,,,,,,,
84,1973,1973-11-18,10,28.071,DET,@,CHI,W 30-7,0,0,,0,0,0,,0,3,32,10.67,0,0,0,0,0,0,0,0,,0
85,1973,1973-11-22,11,28.075,DET,,WAS,L 0-20,,,,,,,,,,,,,,,,,,,,,
86,1973,1973-12-02,12,28.085,DET,@,STL,W 20-16,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
87,1973,1973-12-09,13,28.092,DET,,CHI,W 40-7,0,0,,0,0,0,,0,5,53,10.60,0,0,0,1,32,0,0,0,,0
88,1973,1973-12-15,14,28.098,DET,@,MIA,L 7-34,,,,,,,,,,,,,,,,,,,,,
89,1974,1974-09-15,1,29.007,DET,@,CHI,L 9-17,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0,0,0,,0
90,1974,1974-09-29,3,29.021,DET,@,GNB,L 19-21,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
91,1974,1974-10-06,4,29.028,DET,@,RAM,L 13-16,,,,,,,,,,,,,,,,,,,,,
92,1974,1974-10-14,5,29.036,DET,,SFO,W 17-13,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
93,1974,1974-10-20,6,29.042,DET,@,MIN,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
94,1974,1974-10-27,7,29.049,DET,,GNB,W 19-17,0,0,,0,0,0,,0,2,21,10.50,0,0,0,1,3,0,0,0,,0
95,1974,1974-11-03,8,29.056,DET,,NOR,W 19-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,39,0,0,0,,0
96,1974,1974-11-10,9,29.063,DET,@,OAK,L 13-35,,,,,,,,,,,,,,,,,,,,,
97,1974,1974-11-17,10,29.070,DET,,NYG,W 20-19,,,,,,,,,,,,,,,,,,,,,
98,1974,1974-11-24,11,29.077,DET,,CHI,W 34-17,,,,,,,,,,,,,,,,,,,,,
99,1974,1974-11-28,12,29.081,DET,,DEN,L 27-31,,,,,,,,,,,,,,,,,,,,,
100,1974,1974-12-08,13,29.091,DET,@,CIN,W 23-19,,,,,,,,,,,,,,,,,,,,,
101,1974,1974-12-15,14,29.098,DET,@,PHI,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,19,0,0,0,,0
102,1975,1975-09-21,1,30.013,DET,@,GNB,W 30-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
103,1975,1975-09-28,2,30.020,DET,@,ATL,W 17-14,0,0,,0,0,0,,0,2,45,22.50,0,0,0,0,0,0,0,0,,0
104,1975,1975-10-06,3,30.028,DET,,DAL,L 10-36,0,0,,0,0,0,,0,1,-4,-4.00,0,0,0,1,13,0,0,0,,0
105,1975,1975-10-12,4,30.034,DET,,CHI,W 27-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,10,0,0,0,,0
106,1975,1975-10-19,5,30.041,DET,@,MIN,L 19-25,0,0,,0,0,0,,0,3,30,10.00,0,0,0,0,0,0,0,0,,0
107,1975,1975-11-02,7,30.055,DET,@,SFO,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,0,2,0,0,0,0,,0
108,1975,1975-11-27,11,30.080,DET,,RAM,L 0-20,,,,,,,,,,,,,,,,,,,,,
109,1975,1975-12-07,12,30.090,DET,@,CHI,L 21-25,,,,,,,,,,,,,,,,,,,,,
110,1975,1975-12-14,13,30.097,DET,,MIN,W 17-10,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0,0,0,0,0,,0
111,1975,1975-12-21,14,30.104,DET,,STL,L 13-24,,,,,,,,,,,,,,,,,,,,,
112,1976,1976-09-12,1,31.004,DET,@,CHI,L 3-10,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
113,1976,1976-09-19,2,31.011,DET,,ATL,W 24-10,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
114,1976,1976-09-26,3,31.018,DET,,MIN,L 9-10,0,0,,0,0,0,,0,3,40,13.33,0,0,0,0,0,0,0,0,,0
115,1976,1976-10-03,4,31.025,DET,@,GNB,L 14-24,,,,,,,,,,,,,,,,,,,,,
116,1976,1976-10-10,5,31.032,DET,,NWE,W 30-10,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
117,1976,1976-10-17,6,31.039,DET,@,WAS,L 7-20,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0,0,0,0,0,,0
118,1976,1976-10-24,7,31.046,DET,@,SEA,W 41-14,0,0,,0,0,0,,0,4,35,8.75,0,1,6,1,24,1,0,0,,0
119,1976,1976-10-31,8,31.053,DET,,GNB,W 27-6,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0,0,0,0,0,,0
120,1976,1976-11-07,9,31.060,DET,@,MIN,L 23-31,,,,,,,,,,,,,,,,,,,,,
121,1976,1976-11-14,10,31.067,DET,@,NOR,L 16-17,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0,0,0,0,0,,0
122,1976,1976-11-21,11,31.074,DET,,CHI,W 14-10,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0,0,0,0,0,,0
123,1976,1976-11-25,12,31.078,DET,,BUF,W 27-14,0,0,,0,0,0,,0,3,56,18.67,0,0,0,0,0,0,0,0,,0
124,1976,1976-12-05,13,31.088,DET,@,NYG,L 10-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
125,1976,1976-12-11,14,31.094,DET,,RAM,L 17-20,0,0,,0,0,0,,0,2,9,4.50,0,0,0,1,26,0,0,0,,0
126,1977,1977-10-02,3,32.024,DET,,PHI,W 17-13,,,,,,,,,,,,,,,,,,,,,
127,1977,1977-10-09,4,32.031,DET,@,MIN,L 7-14,,,,,,,,,,,,,,,,,,,,,
128,1977,1977-10-16,5,32.038,DET,,GNB,W 10-6,0,0,,0,0,0,,0,0,0,,0,0,0,2,22,0,0,0,,0
129,1977,1977-10-23,6,32.045,DET,@,SFO,L 7-28,,,,,,,,,,,,,,,,,,,,,
130,1977,1977-10-30,7,32.052,DET,@,DAL,L 0-37,,,,,,,,,,,,,,,,,,,,,
131,1977,1977-11-06,8,32.059,DET,,SDG,W 20-0,,,,,,,,,,,,,,,,,,,,,
132,1977,1977-11-13,9,32.066,DET,@,ATL,L 6-17,,,,,,,,,,,,,,,,,,,,,
133,1977,1977-11-20,10,32.073,DET,,TAM,W 16-7,,,,,,,,,,,,,,,,,,,,,
134,1977,1977-11-24,11,32.077,DET,,CHI,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0,0,0,,0
135,1977,1977-12-04,12,32.087,DET,@,GNB,L 9-10,,,,,,,,,,,,,,,,,,,,,
136,1977,1977-12-11,13,32.094,DET,@,BAL,W 13-10,,,,,,,,,,,,,,,,,,,,,
137,1977,1977-12-17,14,32.100,DET,,MIN,L 21-30,,,,,,,,,,,,,,,,,,,,,
