ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
35,1955,1955-10-16,4,29.185,DET,,SFO,L 24-27,,4,15,26.67,10,0,1,11.8,0,0,0.67,-2.33,0,0,,0,0,0,,0
36,1955,1955-10-23,5,29.192,DET,@,RAM,L 13-24,*,21,35,60.00,237,0,2,56.5,0,0,6.77,4.20,4,38,9.50,0,0,0,,0
37,1955,1955-11-13,8,29.213,DET,@,PIT,W 31-28,,2,5,40.00,42,1,0,110.0,0,0,8.40,12.40,3,0,0.00,0,0,0,,0
38,1955,1955-12-04,11,29.234,DET,@,CHI,L 20-21,,5,16,31.25,66,0,0,45.3,0,0,4.13,4.13,2,9,4.50,0,0,0,,0
39,1955,1955-12-11,12,29.241,DET,,NYG,L 19-24,*,24,49,48.98,254,1,1,62.8,0,0,5.18,4.67,4,20,5.00,0,0,0,,0
40,1956,1956-09-30,1,30.169,DET,@,GNB,W 20-16,,8,12,66.67,77,0,2,44.8,0,0,6.42,-1.08,1,-1,-1.00,0,0,0,,0
41,1956,1956-10-06,2,30.175,DET,@,BAL,W 31-14,,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50,0,0,,0,0,0,,0
42,1956,1956-11-18,8,30.218,DET,,BAL,W 27-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6,6.00,0,0,0,,0
43,1956,1956-12-02,10,30.232,DET,,CHI,W 42-10,,2,2,100.00,28,1,0,158.3,0,0,14.00,24.00,1,-2,-2.00,0,0,0,,0
44,1956,1956-12-09,11,30.239,DET,,PIT,W 45-7,,5,6,83.33,53,1,0,143.1,0,0,8.83,12.17,2,1,0.50,0,0,0,,0
45,1956,1956-12-16,12,30.246,DET,@,CHI,L 21-38,,11,23,47.83,134,2,1,77.1,0,0,5.83,5.61,3,15,5.00,0,0,0,,0
