ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
30,1972,1972-09-24,2,26.344,CIN,,PIT,W 15-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,180,45.00,0
31,1972,1972-10-01,3,26.351,CIN,@,CLE,L 6-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,229,45.80,0
32,1972,1972-10-08,4,26.358,CIN,,DEN,W 21-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,284,47.33,0
33,1972,1972-10-15,5,26.365,CIN,@,KAN,W 23-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,204,40.80,0
34,1972,1972-10-22,6,27.006,CIN,@,RAM,L 12-15,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,7,270,38.57,0
35,1972,1972-10-29,7,27.013,CIN,,HOU,W 30-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,39,39.00,0
36,1972,1972-11-05,8,27.020,CIN,@,PIT,L 17-40,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,197,39.40,0
37,1972,1972-11-12,9,27.027,CIN,,OAK,L 14-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,246,41.00,0
38,1972,1972-11-19,10,27.034,CIN,,BAL,L 19-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,182,36.40,0
39,1972,1972-11-26,11,27.041,CIN,@,CHI,W 13-3,,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,0,0,,0,6,306,51.00,0
40,1972,1972-12-03,12,27.048,CIN,,NYG,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,157,39.25,0
41,1972,1972-12-09,13,27.054,CIN,,CLE,L 24-27,,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,,0,4,161,40.25,0
42,1972,1972-12-17,14,27.062,CIN,@,HOU,W 61-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,3,124,41.33,0
43,1973,1973-09-16,1,27.335,CIN,@,DEN,L 10-28,,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,0,0,,0,2,100,50.00,0
44,1973,1973-09-23,2,27.342,CIN,,HOU,W 24-10,,0,0,,0,0,0,,0,0,,,2,4,2.00,0,0,0,,0,0,0,,0,8,335,41.88,0
45,1973,1973-09-30,3,27.349,CIN,@,SDG,W 20-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,173,34.60,0
46,1973,1973-10-07,4,27.356,CIN,@,CLE,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,249,41.50,0
47,1973,1973-10-14,5,27.363,CIN,,PIT,W 19-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,248,49.60,0
48,1973,1973-10-21,6,28.005,CIN,,KAN,W 14-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,3,104,34.67,0
49,1973,1973-10-28,7,28.012,CIN,@,PIT,L 13-20,,0,0,,0,0,0,,0,0,,,1,-11,-11.00,0,0,0,,0,0,0,,0,4,181,45.25,0
50,1973,1973-11-04,8,28.019,CIN,@,DAL,L 10-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,6,233,38.83,0
51,1973,1973-11-11,9,28.026,CIN,@,BUF,W 16-13,,0,0,,0,0,0,,0,0,,,0,0,,0,1,27,27.00,0,1,2,2.00,0,4,160,40.00,0
52,1973,1973-11-18,10,28.033,CIN,,NYJ,W 20-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,9,326,36.22,0
53,1973,1973-11-25,11,28.040,CIN,,STL,W 42-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,3,116,38.67,0
54,1973,1973-12-02,12,28.047,CIN,,MIN,W 27-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,5,210,42.00,0
55,1973,1973-12-09,13,28.054,CIN,,CLE,W 34-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,166,41.50,0
56,1973,1973-12-16,14,28.061,CIN,@,HOU,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,189,47.25,0
