ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
21,2006,2006-10-15,5,24.146,TAM,,CIN,W 14-13,,4,3,10,3.33,1,75.0%,2.50,0,0,,0,,1,6,0.0,,
22,2006,2006-10-22,6,24.153,TAM,,PHI,W 23-21,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,,
23,2006,2006-10-29,7,24.160,TAM,@,NYG,L 3-17,,7,2,12,6.00,0,28.6%,1.71,0,0,,0,,0,0,0.0,,
24,2006,2006-11-05,8,24.167,TAM,,NOR,L 14-31,*,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,0,0,0.0,,
25,2006,2006-11-13,9,24.175,TAM,@,CAR,L 10-24,*,5,3,18,6.00,0,60.0%,3.60,0,0,,0,,0,0,0.0,,
26,2006,2006-11-19,10,24.181,TAM,,WAS,W 20-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
27,2006,2006-12-03,12,24.195,TAM,@,PIT,L 3-20,,3,2,4,2.00,0,66.7%,1.33,0,0,,0,,0,0,0.0,,
28,2006,2006-12-10,13,24.202,TAM,,ATL,L 6-17,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0,0.0,,
29,2006,2006-12-17,14,24.209,TAM,@,CHI,L 31-34,*,7,5,24,4.80,1,71.4%,3.43,0,0,,0,,1,6,0.0,,
30,2006,2006-12-24,15,24.216,TAM,@,CLE,W 22-7,,5,4,45,11.25,0,80.0%,9.00,0,0,,0,,0,0,0.0,,
31,2007,2007-09-09,1,25.110,TAM,@,SEA,L 6-20,*,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0,0.0,,
32,2007,2007-09-16,2,25.117,TAM,,NOR,W 31-14,*,3,2,45,22.50,0,66.7%,15.00,0,0,,0,,0,0,0.0,,
33,2007,2007-09-23,3,25.124,TAM,,STL,W 24-3,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0.0,,
34,2007,2007-09-30,4,25.131,TAM,@,CAR,W 20-7,*,6,4,17,4.25,0,66.7%,2.83,0,0,,0,,0,0,0.0,,
35,2007,2007-10-07,5,25.138,TAM,@,IND,L 14-33,*,3,2,6,3.00,2,66.7%,2.00,0,0,,0,,2,12,0.0,,
36,2007,2007-10-14,6,25.145,TAM,,TEN,W 13-10,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,,0,0,0.0,,
37,2007,2007-11-04,9,25.166,TAM,,ARI,W 17-10,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,,
38,2007,2007-11-18,10,25.180,TAM,@,ATL,W 31-7,*,5,3,51,17.00,1,60.0%,10.20,0,0,,0,,1,6,0.0,,
39,2007,2007-11-25,11,25.187,TAM,,WAS,W 19-13,*,4,3,41,13.67,0,75.0%,10.25,0,0,,0,,0,0,0.0,,
40,2007,2007-12-02,12,25.194,TAM,@,NOR,W 27-23,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,,
41,2007,2007-12-09,13,25.201,TAM,@,HOU,L 14-28,*,5,2,39,19.50,0,40.0%,7.80,0,0,,0,,0,0,0.0,,
42,2007,2007-12-16,14,25.208,TAM,,ATL,W 37-3,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
43,2007,2007-12-23,15,25.215,TAM,@,SFO,L 19-21,*,10,6,79,13.17,0,60.0%,7.90,0,0,,0,,0,0,0.0,,
44,2007,2007-12-30,16,25.222,TAM,,CAR,L 23-31,*,2,1,18,18.00,0,50.0%,9.00,0,0,,0,,0,0,0.0,,
45,2008,2008-09-07,1,26.108,TAM,@,NOR,L 20-24,*,3,2,19,9.50,0,66.7%,6.33,1,0,0.00,0,,0,0,0.0,0,0
46,2008,2008-09-14,2,26.115,TAM,,ATL,W 24-9,*,6,2,20,10.00,0,33.3%,3.33,0,0,,0,,0,0,0.0,0,1
47,2008,2008-09-21,3,26.122,TAM,@,CHI,W 27-24,*,7,3,33,11.00,0,42.9%,4.71,0,0,,0,,0,0,0.0,0,0
48,2008,2008-09-28,4,26.129,TAM,,GNB,W 30-21,*,2,2,26,13.00,1,100.0%,13.00,0,0,,0,,1,6,0.0,0,0
49,2008,2008-10-05,5,26.136,TAM,@,DEN,L 13-16,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0
50,2008,2008-10-12,6,26.143,TAM,,CAR,W 27-3,*,3,3,43,14.33,1,100.0%,14.33,0,0,,0,,1,6,0.0,0,0
51,2008,2008-10-19,7,26.150,TAM,,SEA,W 20-10,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,,0,0,0.0,0,0
52,2008,2008-10-26,8,26.157,TAM,@,DAL,L 9-13,*,2,2,39,19.50,0,100.0%,19.50,0,0,,0,,0,0,0.0,0,0
53,2008,2008-11-02,9,26.164,TAM,@,KAN,W 30-27,*,2,2,12,6.00,1,100.0%,6.00,0,0,,0,1,1,8,0.0,1,0
54,2008,2008-11-30,12,26.192,TAM,,NOR,W 23-20,,1,,,,,0.0%,,,,,,,,,,,
55,2008,2008-12-08,13,26.200,TAM,@,CAR,L 23-38,*,3,1,20,20.00,0,33.3%,6.67,1,17,17.00,0,,0,0,0.0,0,0
56,2008,2008-12-14,14,26.206,TAM,@,ATL,L 10-13,*,3,1,2,2.00,0,33.3%,0.67,0,0,,0,,0,0,0.0,0,0
57,2008,2008-12-21,15,26.213,TAM,,SDG,L 24-41,,,,,,,0.0%,,,,,,,,,,,
58,2008,2008-12-28,16,26.220,TAM,,OAK,L 24-31,*,1,,,,,0.0%,,,,,,,,,,,
59,2009,2009-09-13,1,27.114,PHI,@,CAR,W 38-10,,,,,,,0.0%,,,,,,,,,,,
60,2009,2009-09-20,2,27.121,PHI,,NOR,L 22-48,,,,,,,0.0%,,,,,,,,,,,
61,2009,2009-09-27,3,27.128,PHI,,KAN,W 34-14,,,,,,,0.0%,,,,,,,,,,,
62,2009,2009-10-11,4,27.142,PHI,,TAM,W 33-14,*,,,,,,0.0%,,,,,,,,,,,
63,2009,2009-10-18,5,27.149,PHI,@,OAK,L 9-13,*,2,,,,,0.0%,,,,,,,,,,,
64,2009,2009-10-26,6,27.157,PHI,@,WAS,W 27-17,,,,,,,0.0%,,,,,,,,,,,
65,2009,2009-11-01,7,27.163,PHI,,NYG,W 40-17,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0
66,2009,2009-11-08,8,27.170,PHI,,DAL,L 16-20,,2,1,11,11.00,0,50.0%,5.50,1,4,4.00,0,,0,0,0.0,0,0
67,2009,2009-11-15,9,27.177,PHI,@,SDG,L 23-31,*,,,,,,0.0%,,,,,,,,,,,
68,2009,2009-11-22,10,27.184,PHI,@,CHI,W 24-20,*,,,,,,0.0%,,,,,,,,,,,
69,2009,2009-11-29,11,27.191,PHI,,WAS,W 27-24,,2,,,,,0.0%,,,,,,,,,,,
70,2009,2009-12-06,12,27.198,PHI,@,ATL,W 34-7,*,0,,,,,0.0%,,,,,,,,,,,
71,2009,2009-12-13,13,27.205,PHI,@,NYG,W 45-38,,,,,,,0.0%,,,,,,,,,,,
72,2009,2009-12-20,14,27.212,PHI,,SFO,W 27-13,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0
73,2009,2009-12-27,15,27.219,PHI,,DEN,W 30-27,,,,,,,0.0%,,,,,,,,,,,
74,2009,2010-01-03,16,27.226,PHI,@,DAL,L 0-24,,,,,,,0.0%,,,,,,,,,,,
75,2010,2010-09-26,3,28.127,CLE,@,BAL,L 17-24,,,,,,,0.0%,,,,,,,,,,,
76,2010,2010-12-19,14,28.211,CLE,@,CIN,L 17-19,,,,,,,0.0%,,,,,,,,,,,
77,2010,2010-12-26,15,28.218,CLE,,BAL,L 10-20,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,1,0
78,2011,2011-09-11,1,29.112,CLE,,CIN,L 17-27,,,,,,,0.0%,,,,,,,,,,,
79,2011,2011-09-18,2,29.119,CLE,@,IND,W 27-19,,5,3,19,6.33,0,60.0%,3.80,0,0,,0,,0,0,0.0,0,0
80,2011,2011-09-25,3,29.126,CLE,,MIA,W 17-16,,4,1,9,9.00,0,25.0%,2.25,0,0,,0,,0,0,0.0,0,0
81,2011,2011-10-02,4,29.133,CLE,,TEN,L 13-31,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,0,0,0.0,0,0
82,2011,2011-10-16,5,29.147,CLE,@,OAK,L 17-24,*,3,2,14,7.00,1,66.7%,4.67,0,0,,0,,1,6,0.0,0,0
83,2011,2011-10-23,6,29.154,CLE,,SEA,W 6-3,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,0,0,0.0,0,0
84,2011,2011-10-30,7,29.161,CLE,@,SFO,L 10-20,*,1,1,20,20.00,0,100.0%,20.00,0,0,,0,,0,0,0.0,0,0
85,2011,2011-11-06,8,29.168,CLE,@,HOU,L 12-30,,,,,,,0.0%,,,,,,,,,,,
86,2011,2011-11-13,9,29.175,CLE,,STL,L 12-13,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0
87,2011,2011-11-20,10,29.182,CLE,,JAX,W 14-10,,,,,,,0.0%,,,,,,,,,,,
88,2011,2011-11-27,11,29.189,CLE,@,CIN,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
89,2011,2011-12-04,12,29.196,CLE,,BAL,L 10-24,,,,,,,0.0%,,,,,,,,,,,
90,2011,2011-12-08,13,29.200,CLE,@,PIT,L 3-14,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,,0,0,0.0,0,0
91,2011,2011-12-18,14,29.210,CLE,@,ARI,L 17-20,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,,0,0,0.0,0,0
92,2012,2012-09-09,1,30.110,CLE,,PHI,L 16-17,,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,,0,0,0.0,0,0
93,2012,2012-09-16,2,30.117,CLE,@,CIN,L 27-34,,4,3,30,10.00,0,75.0%,7.50,0,0,,0,,0,0,0.0,0,0
94,2012,2012-10-14,6,30.145,CLE,,CIN,W 34-24,,,,,,,0.0%,,,,,,,,,,,
95,2012,2012-10-28,8,30.159,CLE,,SDG,W 7-6,*,3,1,1,1.00,0,33.3%,0.33,0,0,,0,,0,0,0.0,0,0
96,2012,2012-11-04,9,30.166,CLE,,BAL,L 15-25,,4,3,8,2.67,0,75.0%,2.00,0,0,,0,,0,0,0.0,0,0
97,2012,2012-11-18,10,30.180,CLE,@,DAL,L 20-23,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0
98,2012,2012-11-25,11,30.187,CLE,,PIT,W 20-14,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
99,2012,2012-12-02,12,30.194,CLE,@,OAK,W 20-17,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0.0,0,0
100,2012,2012-12-09,13,30.201,CLE,,KAN,W 30-7,,,,,,,0.0%,,,,,,,,,,,
101,2012,2012-12-16,14,30.208,CLE,,WAS,L 21-38,,2,2,8,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
102,2012,2012-12-23,15,30.215,CLE,@,DEN,L 12-34,,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,,0,0,0.0,0,0
103,2012,2012-12-30,16,30.222,CLE,@,PIT,L 10-24,,,,,,,0.0%,,,,,,,,,,,
104,2013,2013-09-08,1,31.109,CIN,@,CHI,L 21-24,,,,,,,0.0%,,,,,,,,,,,
105,2013,2013-09-16,2,31.117,CIN,,PIT,W 20-10,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
106,2013,2013-09-22,3,31.123,CIN,,GNB,W 34-30,,,,,,,0.0%,,,,,,,,,,,
107,2013,2013-09-29,4,31.130,CIN,@,CLE,L 6-17,,,,,,,0.0%,,,,,,,,,,,
108,2013,2013-10-06,5,31.137,CIN,,NWE,W 13-6,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
109,2013,2013-10-13,6,31.144,CIN,@,BUF,W 27-24,,0,,,,,0.0%,,,,,,,,,,,
110,2013,2013-10-20,7,31.151,CIN,@,DET,W 27-24,,,,,,,0.0%,,,,,,,,,,,
111,2013,2013-10-27,8,31.158,CIN,,NYJ,W 49-9,,,,,,,0.0%,,,,,,,,,,,
112,2013,2013-10-31,9,31.162,CIN,@,MIA,L 20-22,,,,,,,0.0%,,,,,,,,,,,
113,2013,2013-11-10,10,31.172,CIN,@,BAL,L 17-20,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,0,0
114,2013,2013-11-17,11,31.179,CIN,,CLE,W 41-20,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,,1,6,0.0,1,0
115,2013,2013-12-01,12,31.193,CIN,@,SDG,W 17-10,,,,,,,0.0%,,,,,,,,,,,
116,2013,2013-12-08,13,31.200,CIN,,IND,W 42-28,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
117,2013,2013-12-15,14,31.207,CIN,@,PIT,L 20-30,,,,,,,0.0%,,,,,,,,,,,
118,2013,2013-12-22,15,31.214,CIN,,MIN,W 42-14,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
119,2013,2013-12-29,16,31.221,CIN,,BAL,W 34-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
120,2014,2014-09-07,1,32.108,CIN,@,BAL,W 23-16,,,,,,,0.0%,,,,,,,,,,,
121,2014,2014-09-14,2,32.115,CIN,,ATL,W 24-10,,,,,,,0.0%,,,,,,,,,,,
122,2015,2015-12-20,14,33.212,WAS,,BUF,W 35-25,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
123,2015,2015-12-26,15,33.218,WAS,@,PHI,W 38-24,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
124,2015,2016-01-03,16,33.226,WAS,@,DAL,W 34-23,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
