ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
16,1992,1992-12-27,16,23.029,KAN,,DEN,W 42-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,32,6.40,0,1,6,0.0,1,36,1
17,1993,1993-09-05,1,23.281,KAN,@,TAM,W 27-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,24,4.80,0,0,0,0.0,0,0,0
18,1993,1993-09-12,2,23.288,KAN,@,HOU,L 0-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,28,9.33,0,0,0,0.0,0,0,0
19,1993,1993-09-20,3,23.296,KAN,,DEN,W 15-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0
20,1993,1993-10-03,4,23.309,KAN,,RAI,W 24-9,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,16,5.33,0,0,0,0.0,0,0,0
21,1993,1993-10-10,5,23.316,KAN,,CIN,W 17-15,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,61,20.33,0,0,0,0.0,0,0,0
22,1993,1993-10-17,6,23.323,KAN,@,SDG,W 17-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
23,1993,1993-10-31,7,23.337,KAN,@,MIA,L 10-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
24,1993,1993-11-08,8,23.345,KAN,,GNB,W 23-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,23,23.00,0,0,0,0.0,0,0,0
25,1993,1993-11-14,9,23.351,KAN,@,RAI,W 31-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,40,20.00,0,0,0,0.0,0,0,0
26,1993,1993-11-21,10,23.358,KAN,,CHI,L 17-19,,,,,,,0.0%,,0,0,,0,,,,,0,0,,0,,,,,,
27,1993,1993-11-28,11,24.000,KAN,,BUF,W 23-7,,,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,4,38,9.50,0,0,0,0.0,1,0,0
28,1993,1993-12-05,12,24.007,KAN,@,SEA,W 31-16,,1,,,,,0.0%,,0,0,,0,,,,,0,0,,0,,,,,,
29,1993,1993-12-12,13,24.014,KAN,@,DEN,L 21-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
30,1993,1993-12-19,14,24.021,KAN,,SDG,W 28-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,-9,-9.00,0,0,0,0.0,0,0,0
31,1993,1993-12-26,15,24.028,KAN,@,MIN,L 10-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0
32,1994,1994-09-04,1,24.280,KAN,@,NOR,W 30-17,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
33,1994,1994-09-11,2,24.287,KAN,,SFO,W 24-17,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
34,1994,1994-09-18,3,24.294,KAN,@,ATL,W 30-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,24,0
35,1994,1994-09-25,4,24.301,KAN,,RAM,L 0-16,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
36,1994,1994-10-09,5,24.315,KAN,@,SDG,L 6-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
37,1994,1994-10-17,6,24.323,KAN,@,DEN,W 31-28,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
38,1994,1994-10-23,7,24.329,KAN,,SEA,W 38-23,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
39,1994,1994-10-30,8,24.336,KAN,@,BUF,L 10-44,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
40,1994,1994-11-06,9,24.343,KAN,,RAI,W 13-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
41,1994,1994-11-13,10,24.350,KAN,,SDG,L 13-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,50,12.50,0,0,0,0.0,0,0,0
42,1994,1994-11-20,11,24.357,KAN,,CLE,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,8,2.67,0,0,0,0.0,1,0,0
43,1994,1994-11-27,12,24.364,KAN,@,SEA,L 9-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,60,20.00,0,0,0,0.0,0,0,0
44,1994,1994-12-04,13,25.006,KAN,,DEN,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0.0,0,0,0
45,1994,1994-12-12,14,25.014,KAN,@,MIA,L 28-45,,0,,,,,0.0%,,,,,,,,,,0,0,,0,,,,,,
46,1994,1994-12-18,15,25.020,KAN,,HOU,W 31-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0
47,1994,1994-12-24,16,25.026,KAN,@,RAI,W 19-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,-2,-2.00,0,0,0,0.0,0,0,0
48,1995,1995-09-03,1,25.279,KAN,@,SEA,W 34-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
49,1995,1995-09-10,2,25.286,KAN,,NYG,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
50,1995,1995-09-17,3,25.293,KAN,,OAK,W 23-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
51,1995,1995-09-24,4,25.300,KAN,@,CLE,L 17-35,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
52,1995,1995-10-01,5,25.307,KAN,@,ARI,W 24-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
53,1995,1995-10-09,6,25.315,KAN,,SDG,W 29-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
54,1995,1995-10-15,7,25.321,KAN,,NWE,W 31-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,16,0
55,1995,1995-10-22,8,25.328,KAN,@,DEN,W 21-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,29,0
56,1995,1995-11-05,9,25.342,KAN,,WAS,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
57,1995,1995-11-12,10,25.349,KAN,@,SDG,W 22-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
58,1995,1995-11-19,11,25.356,KAN,,HOU,W 20-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
59,1995,1995-11-23,12,25.360,KAN,@,DAL,L 12-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
60,1995,1995-12-03,13,26.005,KAN,@,OAK,W 29-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
61,1995,1995-12-11,14,26.013,KAN,@,MIA,L 6-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
62,1995,1995-12-17,15,26.019,KAN,,DEN,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
63,1995,1995-12-24,16,26.026,KAN,,SEA,W 26-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
64,1996,1996-09-01,1,26.278,KAN,@,HOU,W 20-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,17,0
65,1996,1996-09-08,2,26.285,KAN,,OAK,W 19-3,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0,0,,,,,
66,1996,1996-09-15,3,26.292,KAN,@,SEA,W 35-17,,3,3,61,20.33,1,100.0%,20.33,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0
67,1996,1996-09-22,4,26.299,KAN,,DEN,W 17-14,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,2,18,9.00,0,0,0,0.0,1,0,0
68,1996,1996-09-29,5,26.306,KAN,@,SDG,L 19-22,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
69,1996,1996-10-07,6,26.314,KAN,,PIT,L 7-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
70,1996,1996-10-17,7,26.324,KAN,,SEA,W 34-16,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0,0,,,,,
71,1996,1996-10-27,8,26.334,KAN,@,DEN,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0,0,,,,,
72,1996,1996-11-03,9,26.341,KAN,@,MIN,W 21-6,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
73,1996,1996-11-10,10,26.348,KAN,,GNB,W 27-20,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,0,,0,0,,,,,
74,1996,1996-11-17,11,26.355,KAN,,CHI,W 14-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
75,1996,1996-11-24,12,26.362,KAN,,SDG,L 14-28,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0,0,,,,,
76,1996,1996-11-28,13,27.000,KAN,@,DET,W 28-24,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0,0,,,,,
77,1996,1996-12-09,14,27.011,KAN,@,OAK,L 7-26,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0,0,,,,,
78,1997,1997-08-31,1,27.276,KAN,@,DEN,L 3-19,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
79,1997,1997-09-08,2,27.284,KAN,@,OAK,W 28-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,9,0
80,1997,1997-09-14,3,27.290,KAN,,BUF,W 22-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
81,1997,1997-09-21,4,27.297,KAN,@,CAR,W 35-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
82,1997,1997-09-28,5,27.304,KAN,,SEA,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
83,1997,1997-10-05,6,27.311,KAN,@,MIA,L 14-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
84,1997,1997-10-16,7,27.322,KAN,,SDG,W 31-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
85,1997,1997-10-26,8,27.332,KAN,@,STL,W 28-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
86,1997,1997-11-03,9,27.340,KAN,,PIT,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
87,1997,1997-11-09,10,27.346,KAN,@,JAX,L 10-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
88,1997,1997-11-16,11,27.353,KAN,,DEN,W 24-22,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
89,1997,1997-11-23,12,27.360,KAN,@,SEA,W 19-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
90,1997,1997-11-30,13,28.002,KAN,,SFO,W 44-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
91,1997,1997-12-07,14,28.009,KAN,,OAK,W 30-0,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
92,1997,1997-12-14,15,28.016,KAN,@,SDG,W 29-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
93,1997,1997-12-21,16,28.023,KAN,,NOR,W 25-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
94,1998,1998-09-20,3,28.296,KAN,,SDG,W 23-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,23,0
95,1998,1998-10-04,5,28.310,KAN,,SEA,W 17-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
96,1999,1999-09-13,1,29.289,DEN,,MIA,L 21-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
97,1999,1999-09-19,2,29.295,DEN,@,KAN,L 10-26,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
98,1999,1999-09-26,3,29.302,DEN,@,TAM,L 10-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
99,1999,1999-10-03,4,29.309,DEN,,NYJ,L 13-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
100,1999,1999-10-10,5,29.316,DEN,@,OAK,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
101,1999,1999-10-17,6,29.323,DEN,,GNB,W 31-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,14,0
102,1999,1999-10-24,7,29.330,DEN,@,NWE,L 23-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
103,1999,1999-10-31,8,29.337,DEN,,MIN,L 20-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
104,1999,1999-11-07,9,29.344,DEN,@,SDG,W 33-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
105,1999,1999-11-14,10,29.351,DEN,@,SEA,L 17-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
106,1999,1999-11-22,11,29.359,DEN,,OAK,W 27-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,34,0
107,1999,1999-12-05,12,30.007,DEN,,KAN,L 10-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
108,1999,1999-12-13,13,30.015,DEN,@,JAX,L 24-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
109,1999,1999-12-19,14,30.021,DEN,,SEA,W 36-30,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
110,2001,2001-11-11,8,31.348,MIN,@,PHI,L 17-48,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
111,2001,2001-11-19,9,31.356,MIN,,NYG,W 28-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
112,2001,2001-11-25,10,31.362,MIN,,CHI,L 6-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
113,2001,2001-12-02,11,32.004,MIN,@,PIT,L 16-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
114,2001,2001-12-09,12,32.011,MIN,,TEN,W 42-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
115,2001,2001-12-16,13,32.018,MIN,@,DET,L 24-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
116,2001,2001-12-23,14,32.025,MIN,,JAX,L 3-33,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
117,2001,2001-12-30,15,32.032,MIN,@,GNB,L 13-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
118,2001,2002-01-07,16,32.040,MIN,@,BAL,L 3-19,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
119,2002,2002-11-10,9,32.347,NOR,@,CAR,W 34-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
120,2002,2002-11-17,10,32.354,NOR,@,ATL,L 17-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
121,2002,2002-11-24,11,32.361,NOR,,CLE,L 15-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,25,0
122,2002,2002-12-01,12,33.003,NOR,,TAM,W 23-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
123,2002,2002-12-15,14,33.017,NOR,,MIN,L 31-32,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
124,2002,2002-12-22,15,33.024,NOR,@,CIN,L 13-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
125,2002,2002-12-29,16,33.031,NOR,,CAR,L 6-10,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
126,2003,2003-09-07,1,33.283,NOR,@,SEA,L 10-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
127,2003,2003-09-14,2,33.290,NOR,,HOU,W 31-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
128,2003,2003-10-05,5,33.311,NOR,@,CAR,L 13-19,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
129,2003,2003-10-12,6,33.318,NOR,,CHI,W 20-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
130,2003,2003-10-19,7,33.325,NOR,@,ATL,W 45-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
131,2003,2003-10-26,8,33.332,NOR,,CAR,L 20-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
132,2003,2003-11-02,9,33.339,NOR,@,TAM,W 17-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
133,2003,2003-11-23,11,33.360,NOR,@,PHI,L 20-33,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
134,2005,2005-09-11,1,35.287,BAL,,IND,L 7-24,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
135,2005,2005-09-18,2,35.294,BAL,@,TEN,L 10-25,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
136,2005,2005-10-02,3,35.308,BAL,,NYJ,W 13-3,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
137,2005,2005-10-09,4,35.315,BAL,@,DET,L 17-35,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
138,2005,2005-10-16,5,35.322,BAL,,CLE,W 16-3,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
139,2005,2005-10-23,6,35.329,BAL,@,CHI,L 6-10,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
140,2005,2005-10-31,7,35.337,BAL,@,PIT,L 19-20,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
141,2005,2005-11-06,8,35.343,BAL,,CIN,L 9-21,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
142,2005,2005-11-20,10,35.357,BAL,,PIT,W 16-13,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
143,2005,2005-11-27,11,35.364,BAL,@,CIN,L 29-42,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
144,2005,2005-12-04,12,36.006,BAL,,HOU,W 16-15,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
145,2005,2005-12-11,13,36.013,BAL,@,DEN,L 10-12,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
146,2005,2005-12-19,14,36.021,BAL,,GNB,W 48-3,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
147,2005,2005-12-25,15,36.027,BAL,,MIN,W 30-23,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
148,2005,2006-01-01,16,36.034,BAL,@,CLE,L 16-20,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
