ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
43,2012,2012-11-25,11,25.197,JAX,,TEN,W 24-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
44,2012,2012-12-02,12,25.204,JAX,@,BUF,L 18-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,5
45,2012,2012-12-09,13,25.211,JAX,,NYJ,L 10-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
46,2012,2012-12-16,14,25.218,JAX,@,MIA,L 3-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.5,1,1
47,2012,2012-12-23,15,25.225,JAX,,NWE,L 16-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,2,0
48,2012,2012-12-30,16,25.232,JAX,@,TEN,L 20-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
49,2013,2013-09-08,1,26.119,JAX,,KAN,L 2-28,*,,,,,,0.0%,,,,,,,,,,,,
50,2013,2013-09-15,2,26.126,JAX,@,OAK,L 9-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.5,2,2
51,2013,2013-09-22,3,26.133,JAX,@,SEA,L 17-45,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,3
52,2013,2013-09-29,4,26.140,JAX,,IND,L 3-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,1,0
53,2013,2013-10-06,5,26.147,JAX,@,STL,L 20-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
54,2013,2013-10-13,6,26.154,JAX,@,DEN,L 19-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
55,2013,2013-10-20,7,26.161,JAX,,SDG,L 6-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,6,0
56,2013,2013-10-27,8,26.168,JAX,,SFO,L 10-42,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
57,2013,2013-11-10,9,26.182,JAX,@,TEN,W 29-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1
58,2013,2013-11-17,10,26.189,JAX,,ARI,L 14-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
59,2013,2013-11-24,11,26.196,JAX,@,HOU,W 13-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
60,2013,2013-12-01,12,26.203,JAX,@,CLE,W 32-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
61,2013,2013-12-05,13,26.207,JAX,,HOU,W 27-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
62,2013,2013-12-15,14,26.217,JAX,,BUF,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,2
63,2013,2013-12-22,15,26.224,JAX,,TEN,L 16-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
64,2013,2013-12-29,16,26.231,JAX,@,IND,L 10-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,2
65,2014,2014-09-07,1,27.118,JAX,@,PHI,L 17-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
66,2014,2014-09-14,2,27.125,JAX,@,WAS,L 10-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,4
67,2014,2014-09-21,3,27.132,JAX,,IND,L 17-44,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
68,2014,2014-09-28,4,27.139,JAX,@,SDG,L 14-33,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
69,2014,2014-10-05,5,27.146,JAX,,PIT,L 9-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,2
70,2014,2014-10-12,6,27.153,JAX,@,TEN,L 14-16,,,,,,,0.0%,,,,,,,,,,,,
71,2014,2014-10-19,7,27.160,JAX,,CLE,W 24-6,,,,,,,0.0%,,,,,,,,,,,,
72,2014,2014-10-26,8,27.167,JAX,,MIA,L 13-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1
73,2014,2014-11-02,9,27.174,JAX,@,CIN,L 23-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,4
74,2014,2014-11-09,10,27.181,JAX,,DAL,L 17-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
75,2014,2014-11-23,11,27.195,JAX,@,IND,L 3-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
76,2014,2014-11-30,12,27.202,JAX,,NYG,W 25-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,1,0
77,2014,2014-12-07,13,27.209,JAX,,HOU,L 13-27,,,,,,,0.0%,,,,,,,,,,,,
78,2014,2014-12-14,14,27.216,JAX,@,BAL,L 12-20,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0.0,1,3
79,2014,2014-12-18,15,27.220,JAX,,TEN,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
80,2014,2014-12-28,16,27.230,JAX,@,HOU,L 17-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,2,2
81,2015,2015-09-13,1,28.124,JAX,,CAR,L 9-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
82,2015,2015-09-20,2,28.131,JAX,,MIA,W 23-20,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0.0,1,0
83,2015,2015-09-27,3,28.138,JAX,@,NWE,L 17-51,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
84,2015,2015-10-04,4,28.145,JAX,@,IND,L 13-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
85,2015,2015-10-11,5,28.152,JAX,@,TAM,L 31-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,0
86,2015,2015-10-18,6,28.159,JAX,,HOU,L 20-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
87,2015,2015-10-25,7,28.166,JAX,,BUF,W 34-31,*,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,1.0,1,0
88,2015,2015-11-08,8,28.180,JAX,@,NYJ,L 23-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,3
89,2015,2015-11-15,9,28.187,JAX,@,BAL,W 22-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
90,2015,2015-11-19,10,28.191,JAX,,TEN,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
91,2015,2015-11-29,11,28.201,JAX,,SDG,L 25-31,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
92,2015,2015-12-06,12,28.208,JAX,@,TEN,L 39-42,*,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,1.0,2,0
93,2015,2015-12-13,13,28.215,JAX,,IND,W 51-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
94,2015,2015-12-20,14,28.222,JAX,,ATL,L 17-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
95,2015,2015-12-27,15,28.229,JAX,@,NOR,L 27-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
96,2015,2016-01-03,16,28.236,JAX,@,HOU,L 6-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,2
97,2016,2016-09-25,3,29.136,JAX,,BAL,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
98,2016,2016-10-02,4,29.143,JAX,,IND,W 30-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,1,1
99,2016,2016-10-16,5,29.157,JAX,@,CHI,W 17-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
100,2016,2016-10-23,6,29.164,JAX,,OAK,L 16-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
101,2016,2016-10-27,7,29.168,JAX,@,TEN,L 22-36,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,2
102,2016,2016-11-06,8,29.178,JAX,@,KAN,L 14-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
103,2016,2016-11-13,9,29.185,JAX,,HOU,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,4,0
104,2016,2016-11-20,10,29.192,JAX,@,DET,L 19-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,1,1
105,2016,2016-11-27,11,29.199,JAX,@,BUF,L 21-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.5,4,1
106,2016,2016-12-04,12,29.206,JAX,,DEN,L 10-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
107,2016,2016-12-11,13,29.213,JAX,,MIN,L 16-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,0
108,2016,2016-12-18,14,29.220,JAX,@,HOU,L 20-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,3,1
109,2016,2016-12-24,15,29.226,JAX,,TEN,W 38-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
110,2016,2017-01-01,16,29.234,JAX,@,IND,L 20-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
111,2017,2017-09-10,1,30.121,PIT,@,CLE,W 21-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,3
112,2017,2017-09-17,2,30.128,PIT,,MIN,W 26-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,2
113,2017,2017-09-24,3,30.135,PIT,@,CHI,L 17-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,1
114,2017,2017-10-01,4,30.142,PIT,@,BAL,W 26-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
115,2017,2017-10-08,5,30.149,PIT,,JAX,L 9-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,2
116,2017,2017-10-15,6,30.156,PIT,@,KAN,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
117,2017,2017-10-22,7,30.163,PIT,,CIN,W 29-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,4,0
118,2017,2017-10-29,8,30.170,PIT,@,DET,W 20-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1.0,2,1
119,2017,2017-11-12,9,30.184,PIT,@,IND,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
120,2017,2017-11-16,10,30.188,PIT,,TEN,W 40-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
121,2017,2017-11-26,11,30.198,PIT,,GNB,W 31-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
122,2017,2017-12-04,12,30.206,PIT,@,CIN,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
123,2017,2017-12-10,13,30.212,PIT,,BAL,W 39-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
124,2017,2017-12-17,14,30.219,PIT,,NWE,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
125,2017,2017-12-25,15,30.227,PIT,@,HOU,W 34-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
126,2017,2017-12-31,16,30.233,PIT,,CLE,W 28-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2.0,6,2
127,2018,2018-09-09,1,31.120,PIT,@,CLE,T 21-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
128,2018,2018-09-24,3,31.135,PIT,@,TAM,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
