ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
22,1998,1998-10-18,6,24.022,MIA,,STL,W 14-0,,,,,,,,,,,,,,,
23,1998,1998-10-25,7,24.029,MIA,,NWE,W 12-9,,,,,,,,,,,,,,,
24,1998,1998-11-01,8,24.036,MIA,@,BUF,L 24-30,,,,,,,,,,,,,,,
25,1998,1998-11-08,9,24.043,MIA,,IND,W 27-14,,,,,,,,,,,,,,,
26,1998,1998-11-15,10,24.050,MIA,@,CAR,W 13-9,,,,,,,,,,,,,,,
27,1998,1998-11-23,11,24.058,MIA,@,NWE,L 23-26,,,,,,,,,,,,,,,
28,1998,1998-11-29,12,24.064,MIA,,NOR,W 30-10,,,,,,,,,,,,,,,
29,1998,1998-12-06,13,24.071,MIA,@,OAK,W 27-17,,,,,,,,,,,,,,,
30,1999,1999-09-13,1,24.352,MIA,@,DEN,W 38-21,,,,,,,,,,,,,,,
31,1999,1999-09-19,2,24.358,MIA,,ARI,W 19-16,,,,,,,,,,,,,,,
32,1999,1999-10-04,3,25.008,MIA,,BUF,L 18-23,,,,,,,,,,,,,,,
33,1999,1999-10-10,4,25.014,MIA,@,IND,W 34-31,,,,,,,,,,,,,,,
34,1999,1999-10-17,5,25.021,MIA,@,NWE,W 31-30,,,,,,,,,,,,,,,
35,1999,1999-10-24,6,25.028,MIA,,PHI,W 16-13,,,,,,,,,,,,,,,
36,1999,1999-10-31,7,25.035,MIA,@,OAK,W 16-9,,,,,,,,,,,,,,,
37,1999,1999-11-07,8,25.042,MIA,,TEN,W 17-0,,,,,,,,,,,,,,,
38,1999,1999-11-14,9,25.049,MIA,@,BUF,L 3-23,,,,,,,,,,,,,,,
39,1999,1999-11-21,10,25.056,MIA,,NWE,W 27-17,,,,,,,,,,,,,,,
40,1999,1999-11-25,11,25.060,MIA,@,DAL,L 0-20,,,,,,,,,,,,,,,
41,1999,1999-12-05,12,25.070,MIA,,IND,L 34-37,,,,,,,,,,,,,,,
42,1999,1999-12-12,13,25.077,MIA,@,NYJ,L 20-28,,,,,,,,,,,,,,,
43,1999,1999-12-19,14,25.084,MIA,,SDG,W 12-9,,,,,,,,,,,,,,,
44,1999,1999-12-27,15,25.092,MIA,,NYJ,L 31-38,,,,,,,,,,,,,,,
45,1999,2000-01-02,16,25.098,MIA,@,WAS,L 10-21,,,,,,,,,,,,,,,
46,2000,2000-09-03,1,25.343,MIA,,SEA,W 23-0,,,,,,,,,,,,,,,
47,2000,2000-09-10,2,25.350,MIA,@,MIN,L 7-13,,,,,,,,,,,,,,,
48,2000,2000-09-17,3,25.357,MIA,,BAL,W 19-6,,,,,,,,,,,,,,,
49,2000,2000-09-24,4,25.364,MIA,,NWE,W 10-3,,,,,,,,,,,,,,,
50,2000,2000-10-01,5,26.005,MIA,@,CIN,W 31-16,,,,,,,,,,,,,,,
51,2000,2000-10-08,6,26.012,MIA,,BUF,W 22-13,,,,,,,,,,,,,,,
52,2000,2000-10-23,7,26.027,MIA,@,NYJ,L 37-40,,,,,,,,,,,,,,,
53,2000,2000-10-29,8,26.033,MIA,,GNB,W 28-20,,1,39,39.00,0,0,0,,0,0.0,,,0,0,0
54,2000,2000-11-05,9,26.040,MIA,@,DET,W 23-8,,,,,,,,,,,,,,,
55,2000,2000-11-12,10,26.047,MIA,@,SDG,W 17-7,,,,,,,,,,,,,,,
56,2000,2000-11-19,11,26.054,MIA,,NYJ,L 3-20,,,,,,,,,,,,,,,
57,2000,2000-11-26,12,26.061,MIA,@,IND,W 17-14,,,,,,,,,,,,,,,
58,2000,2000-12-03,13,26.068,MIA,@,BUF,W 33-6,,,,,,,,,,,,,,,
59,2000,2000-12-10,14,26.075,MIA,,TAM,L 13-16,,,,,,,,,,,,,,,
60,2000,2000-12-17,15,26.082,MIA,,IND,L 13-20,,,,,,,,,,,,,,,
61,2000,2000-12-24,16,26.089,MIA,@,NWE,W 27-24,,,,,,,,,,,,,,,
62,2001,2001-09-09,1,26.348,NWE,@,CIN,L 17-23,,,,,,,,,,,,,,,
63,2001,2001-09-23,2,26.362,NWE,,NYJ,L 3-10,,,,,,,,,,,,,,,
64,2001,2001-09-30,3,27.004,NWE,,IND,W 44-13,,,,,,,,,,,,,,,
65,2001,2001-10-07,4,27.011,NWE,@,MIA,L 10-30,,,,,,,,,,,,,,,
66,2001,2001-10-14,5,27.018,NWE,,SDG,W 29-26,,,,,,,,,,,,,,,
67,2001,2001-10-21,6,27.025,NWE,@,IND,W 38-17,,,,,,,,,,,,,,,
68,2001,2001-10-28,7,27.032,NWE,@,DEN,L 20-31,,,,,,,,,,,,,,,
69,2001,2001-11-04,8,27.039,NWE,@,ATL,W 24-10,,,,,,,,,,,,,,,
70,2001,2001-11-11,9,27.046,NWE,,BUF,W 21-11,,,,,,,,,,,,,,,
71,2001,2001-11-18,10,27.053,NWE,,STL,L 17-24,,,,,,,,,,,,,,,
72,2001,2001-11-25,11,27.060,NWE,,NOR,W 34-17,,,,,,,,,,,,,,,
73,2001,2001-12-02,12,27.067,NWE,@,NYJ,W 17-16,,,,,,,,,,,,,,,
74,2001,2001-12-09,13,27.074,NWE,,CLE,W 27-16,,,,,,,,,,,,,,,
75,2001,2001-12-16,14,27.081,NWE,@,BUF,W 12-9,,,,,,,,,,,,,,,
76,2001,2001-12-22,15,27.087,NWE,,MIA,W 20-13,,,,,,,,,,,,,,,
77,2001,2002-01-06,16,27.102,NWE,@,CAR,W 38-6,,,,,,,,,,,,,,,
78,2002,2002-09-09,1,27.348,NWE,,PIT,W 30-14,,,,,,,,,,,,,,,
79,2002,2002-09-15,2,27.354,NWE,@,NYJ,W 44-7,,,,,,,,,,,,,,,
80,2002,2002-09-22,3,27.361,NWE,,KAN,W 41-38,,,,,,,,,,,,,,,
81,2002,2002-09-29,4,28.003,NWE,@,SDG,L 14-21,,,,,,,,,,,,,,,
82,2002,2002-10-06,5,28.010,NWE,@,MIA,L 13-26,,,,,,,,,,,,,,,
83,2002,2002-10-13,6,28.017,NWE,,GNB,L 10-28,,,,,,,,,,,,,,,
84,2002,2002-10-27,7,28.031,NWE,,DEN,L 16-24,,,,,,,,,,,,,,,
85,2002,2002-11-10,9,28.045,NWE,@,CHI,W 33-30,,,,,,,,,,,,,,,
86,2002,2002-11-17,10,28.052,NWE,@,OAK,L 20-27,,,,,,,,,,,,,,,
87,2002,2002-11-24,11,28.059,NWE,,MIN,W 24-17,,,,,,,,,,,,,,,
88,2002,2002-11-28,12,28.063,NWE,@,DET,W 20-12,,,,,,,,,,,,,,,
89,2002,2002-12-08,13,28.073,NWE,,BUF,W 27-17,,,,,,,,,,,,,,,
90,2002,2002-12-16,14,28.081,NWE,@,TEN,L 7-24,,,,,,,,,,,,,,,
91,2002,2002-12-22,15,28.087,NWE,,NYJ,L 17-30,,,,,,,,,,,,,,,
92,2002,2002-12-29,16,28.094,NWE,,MIA,W 27-24,,,,,,,,,,,,,,,
93,2003,2003-09-07,1,28.346,NWE,@,BUF,L 0-31,,,,,,,,,,,,,,,
94,2003,2003-09-14,2,28.353,NWE,@,PHI,W 31-10,,,,,,,,,,,,,,,
95,2003,2003-09-21,3,28.360,NWE,,NYJ,W 23-16,,,,,,,,,,,,,,,
96,2003,2003-09-28,4,29.002,NWE,@,WAS,L 17-20,,,,,,,,,,,,,,,
97,2003,2003-10-05,5,29.009,NWE,,TEN,W 38-30,,,,,,,,,,,,,,,
98,2003,2003-10-12,6,29.016,NWE,,NYG,W 17-6,,,,,,,,,,,,,,,
99,2003,2003-10-19,7,29.023,NWE,@,MIA,W 19-13,,,,,,,,,,,,,,,
100,2003,2003-10-26,8,29.030,NWE,,CLE,W 9-3,,,,,,,,,,,,,,,
101,2003,2003-11-03,9,29.038,NWE,@,DEN,W 30-26,,,,,,,,,,,,,,,
102,2003,2003-11-16,10,29.051,NWE,,DAL,W 12-0,,,,,,,,,,,,,,,
103,2003,2003-11-23,11,29.058,NWE,@,HOU,W 23-20,,,,,,,,,,,,,,,
104,2003,2003-11-30,12,29.065,NWE,@,IND,W 38-34,,,,,,,,,,,,,,,
105,2003,2003-12-07,13,29.072,NWE,,MIA,W 12-0,,,,,,,,,,,,,,,
106,2003,2003-12-14,14,29.079,NWE,,JAX,W 27-13,,,,,,,,,,,,,,,
107,2003,2003-12-20,15,29.085,NWE,@,NYJ,W 21-16,,,,,,,,,,,,,,,
108,2003,2003-12-27,16,29.092,NWE,,BUF,W 31-0,,0,0,,0,0,0,,0,0.0,,,1,0,0
109,2004,2004-09-09,1,29.349,NWE,,IND,W 27-24,,,,,,,,,,,,,,,
110,2004,2004-09-19,2,29.359,NWE,@,ARI,W 23-12,,,,,,,,,,,,,,,
111,2004,2004-10-03,3,30.007,NWE,@,BUF,W 31-17,,,,,,,,,,,,,,,
112,2004,2004-10-10,4,30.014,NWE,,MIA,W 24-10,,,,,,,,,,,,,,,
113,2004,2004-10-17,5,30.021,NWE,,SEA,W 30-20,,,,,,,,,,,,,,,
114,2004,2004-10-24,6,30.028,NWE,,NYJ,W 13-7,,,,,,,,,,,,,,,
115,2004,2004-10-31,7,30.035,NWE,@,PIT,L 20-34,,,,,,,,,,,,,,,
116,2004,2004-11-07,8,30.042,NWE,@,STL,W 40-22,,,,,,,,,,,,,,,
117,2004,2004-11-14,9,30.049,NWE,,BUF,W 29-6,,,,,,,,,,,,,,,
118,2004,2004-11-22,10,30.057,NWE,@,KAN,W 27-19,,,,,,,,,,,,,,,
119,2004,2004-11-28,11,30.063,NWE,,BAL,W 24-3,,,,,,,,,,,,,,,
120,2004,2004-12-05,12,30.070,NWE,@,CLE,W 42-15,,,,,,,,,,,,,,,
121,2004,2004-12-12,13,30.077,NWE,,CIN,W 35-28,,1,0,0.00,0,0,0,,0,0.0,,,0,0,0
122,2004,2004-12-20,14,30.085,NWE,@,MIA,L 28-29,,,,,,,,,,,,,,,
123,2004,2004-12-26,15,30.091,NWE,@,NYJ,W 23-7,,,,,,,,,,,,,,,
124,2004,2005-01-02,16,30.098,NWE,,SFO,W 21-7,,,,,,,,,,,,,,,
125,2005,2005-09-08,1,30.347,NWE,,OAK,W 30-20,,,,,,,,,,,,,,,
126,2005,2005-09-18,2,30.357,NWE,@,CAR,L 17-27,,,,,,,,,,,,,,,
127,2005,2005-09-25,3,30.364,NWE,@,PIT,W 23-20,,,,,,,,,,,,,,,
128,2005,2005-10-02,4,31.006,NWE,,SDG,L 17-41,,,,,,,,,,,,,,,
129,2005,2005-10-09,5,31.013,NWE,@,ATL,W 31-28,,,,,,,,,,,,,,,
130,2005,2005-10-16,6,31.020,NWE,@,DEN,L 20-28,,,,,,,,,,,,,,,
131,2005,2005-10-30,7,31.034,NWE,,BUF,W 21-16,,,,,,,,,,,,,,,
132,2005,2005-11-07,8,31.042,NWE,,IND,L 21-40,,,,,,,,,,,,,,,
133,2005,2005-11-13,9,31.048,NWE,@,MIA,W 23-16,,,,,,,,,,,,,,,
134,2005,2005-11-20,10,31.055,NWE,,NOR,W 24-17,,,,,,,,,,,,,,,
135,2005,2005-11-27,11,31.062,NWE,@,KAN,L 16-26,,0,0,,0,1,0,0.00,0,0.0,,,0,0,0
136,2005,2005-12-04,12,31.069,NWE,,NYJ,W 16-3,,,,,,,,,,,,,,,
137,2005,2005-12-11,13,31.076,NWE,@,BUF,W 35-7,,,,,,,,,,,,,,,
138,2005,2005-12-17,14,31.082,NWE,,TAM,W 28-0,,,,,,,,,,,,,,,
139,2005,2005-12-26,15,31.091,NWE,@,NYJ,W 31-21,,,,,,,,,,,,,,,
140,2005,2006-01-01,16,31.097,NWE,,MIA,L 26-28,,,,,,,,,,,,,,,
141,2006,2006-09-10,1,31.349,NWE,,BUF,W 19-17,,,,,,,,,,,,,,,
142,2006,2006-09-17,2,31.356,NWE,@,NYJ,W 24-17,,,,,,,,,,,,,,,
143,2006,2006-09-24,3,31.363,NWE,,DEN,L 7-17,,,,,,,,,,,,,,,
144,2006,2006-10-01,4,32.005,NWE,@,CIN,W 38-13,,,,,,,,,,,,,,,
145,2006,2006-10-08,5,32.012,NWE,,MIA,W 20-10,,,,,,,,,,,,,,,
146,2006,2006-10-22,6,32.026,NWE,@,BUF,W 28-6,,,,,,,,,,,,,,,
147,2006,2006-10-30,7,32.034,NWE,@,MIN,W 31-7,,,,,,,,,,,,,,,
148,2006,2006-11-05,8,32.040,NWE,,IND,L 20-27,,,,,,,,,,,,,,,
149,2006,2006-11-12,9,32.047,NWE,,NYJ,L 14-17,,,,,,,,,,,,,,,
150,2006,2006-11-19,10,32.054,NWE,@,GNB,W 35-0,,,,,,,,,,,,,,,
151,2006,2006-11-26,11,32.061,NWE,,CHI,W 17-13,,,,,,,,,,,,,,,
152,2006,2006-12-03,12,32.068,NWE,,DET,W 28-21,,,,,,,,,,,,,,,
153,2006,2006-12-10,13,32.075,NWE,@,MIA,L 0-21,,,,,,,,,,,,,,,
154,2006,2006-12-17,14,32.082,NWE,,HOU,W 40-7,,,,,,,,,,,,,,,
155,2006,2006-12-24,15,32.089,NWE,@,JAX,W 24-21,,,,,,,,,,,,,,,
156,2006,2006-12-31,16,32.096,NWE,@,TEN,W 40-23,,,,,,,,,,,,,,,
157,2007,2007-09-09,1,32.348,NWE,@,NYJ,W 38-14,,,,,,,,,,,,,,,
158,2007,2007-09-16,2,32.355,NWE,,SDG,W 38-14,,,,,,,,,,,,,,,
159,2007,2007-09-23,3,32.362,NWE,,BUF,W 38-7,,,,,,,,,,,,,,,
160,2007,2007-10-01,4,33.005,NWE,@,CIN,W 34-13,,,,,,,,,,,,,,,
161,2007,2007-10-07,5,33.011,NWE,,CLE,W 34-17,,,,,,,,,,,,,,,
162,2007,2007-10-14,6,33.018,NWE,@,DAL,W 48-27,,,,,,,,,,,,,,,
163,2007,2007-10-21,7,33.025,NWE,@,MIA,W 49-28,,,,,,,,,,,,,,,
164,2007,2007-10-28,8,33.032,NWE,,WAS,W 52-7,,,,,,,,,,,,,,,
165,2007,2007-11-04,9,33.039,NWE,@,IND,W 24-20,,,,,,,,,,,,,,,
166,2007,2007-11-18,10,33.053,NWE,@,BUF,W 56-10,,,,,,,,,,,,,,,
167,2007,2007-11-25,11,33.060,NWE,,PHI,W 31-28,,,,,,,,,,,,,,,
168,2007,2007-12-03,12,33.068,NWE,@,BAL,W 27-24,,,,,,,,,,,,,,,
169,2007,2007-12-09,13,33.074,NWE,,PIT,W 34-13,,,,,,,,,,,,,,,
170,2007,2007-12-16,14,33.081,NWE,,NYJ,W 20-10,,,,,,,,,,,,,,,
171,2007,2007-12-23,15,33.088,NWE,,MIA,W 28-7,,,,,,,,,,,,,,,
172,2007,2007-12-29,16,33.094,NWE,@,NYG,W 38-35,,,,,,,,,,,,,,,
173,2008,2008-09-07,1,33.347,NWE,,KAN,W 17-10,,,,,,,,,,,,,,,
174,2008,2008-09-14,2,33.354,NWE,@,NYJ,W 19-10,,,,,,,,,,,,,,,
175,2008,2008-09-21,3,33.361,NWE,,MIA,L 13-38,,,,,,,,,,,,,,,
176,2008,2008-10-05,4,34.009,NWE,@,SFO,W 30-21,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
177,2008,2008-10-12,5,34.016,NWE,@,SDG,L 10-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
178,2008,2008-10-20,6,34.024,NWE,,DEN,W 41-7,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
179,2008,2008-10-26,7,34.030,NWE,,STL,W 23-16,,,,,,,,,,,,,,,
180,2008,2008-11-02,8,34.037,NWE,@,IND,L 15-18,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
181,2008,2008-11-09,9,34.044,NWE,,BUF,W 20-10,,,,,,,,,,,,,,,
182,2008,2008-11-13,10,34.048,NWE,,NYJ,L 31-34,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
183,2008,2008-11-23,11,34.058,NWE,@,MIA,W 48-28,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
184,2008,2008-11-30,12,34.065,NWE,,PIT,L 10-33,,,,,,,,,,,,,,,
185,2008,2008-12-07,13,34.072,NWE,@,SEA,W 24-21,,,,,,,,,,,,,,,
186,2008,2008-12-14,14,34.079,NWE,@,OAK,W 49-26,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
187,2008,2008-12-21,15,34.086,NWE,,ARI,W 47-7,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
188,2008,2008-12-28,16,34.093,NWE,@,BUF,W 13-0,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
189,2009,2009-09-13,1,34.352,NYJ,@,HOU,W 24-7,,,,,,,,,,,,,,,
190,2009,2009-09-20,2,34.359,NYJ,,NWE,W 16-9,,,,,,,,,,,,,,,
191,2009,2009-09-27,3,35.001,NYJ,,TEN,W 24-17,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
192,2009,2009-10-04,4,35.008,NYJ,@,NOR,L 10-24,,,,,,,,,,,,,,,
193,2009,2009-10-12,5,35.016,NYJ,@,MIA,L 27-31,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
194,2009,2009-10-18,6,35.022,NYJ,,BUF,L 13-16,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
195,2009,2009-10-25,7,35.029,NYJ,@,OAK,W 38-0,,,,,,,,,,,,,,,
196,2009,2009-11-01,8,35.036,NYJ,,MIA,L 25-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
197,2009,2009-11-15,9,35.050,NYJ,,JAX,L 22-24,,,,,,,,,,,,,,,
198,2009,2009-11-22,10,35.057,NYJ,@,NWE,L 14-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
199,2009,2009-11-29,11,35.064,NYJ,,CAR,W 17-6,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
200,2009,2009-12-03,12,35.068,NYJ,@,BUF,W 19-13,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
