ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
23,2007,2007-10-28,7,23.196,SDG,,HOU,W 35-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,,,2,91,1
24,2007,2007-11-04,8,23.203,SDG,@,MIN,L 17-35,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
25,2007,2007-11-11,9,23.210,SDG,,IND,W 23-21,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,3,27,0
26,2007,2007-11-18,10,23.217,SDG,@,JAX,L 17-24,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
27,2007,2007-11-25,11,23.224,SDG,,BAL,W 32-14,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
28,2007,2007-12-02,12,23.231,SDG,@,KAN,W 24-10,*,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0,0.0,,,2,28,0
29,2007,2007-12-09,13,23.238,SDG,@,TEN,W 23-17,*,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,0,0,,0,0,0,0.0,,,1,0,0
30,2007,2007-12-16,14,23.245,SDG,,DET,W 51-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,-2,0
31,2007,2007-12-24,15,23.253,SDG,,DEN,W 23-3,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
32,2007,2007-12-30,16,23.259,SDG,@,OAK,W 30-17,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
33,2008,2008-09-07,1,24.145,SDG,,CAR,L 24-26,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
34,2008,2008-09-14,2,24.152,SDG,@,DEN,L 38-39,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
35,2008,2008-09-22,3,24.160,SDG,,NYJ,W 48-29,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,7,2,2,52,1
36,2008,2008-09-28,4,24.166,SDG,@,OAK,W 28-18,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
37,2008,2008-10-05,5,24.173,SDG,@,MIA,L 10-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
38,2008,2008-10-12,6,24.180,SDG,,NWE,W 30-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
39,2008,2008-10-19,7,24.187,SDG,@,BUF,L 14-23,*,0,0,,0,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,,0,0,0,0.0,7,0,0,0,0
40,2008,2008-10-26,8,24.194,SDG,@,NOR,L 32-37,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
41,2008,2008-11-09,9,24.208,SDG,,KAN,W 20-19,,0,0,,0,0,0,0,,0,0.0%,,1,26,26.00,0,0,0,,0,0,0,0.0,10,1,0,0,0
42,2008,2008-11-16,10,24.215,SDG,@,PIT,L 10-11,*,0,0,,0,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,0.0,4,0,0,0,0
43,2008,2008-11-23,11,24.222,SDG,,IND,L 20-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
44,2008,2008-11-30,12,24.229,SDG,,ATL,L 16-22,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
45,2008,2008-12-04,13,24.233,SDG,,OAK,W 34-7,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,14,0
46,2008,2008-12-14,14,24.243,SDG,@,KAN,W 22-21,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0,0,0.0,0,0,0,0,0
47,2008,2008-12-21,15,24.250,SDG,@,TAM,W 41-24,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
48,2008,2008-12-28,16,24.257,SDG,,DEN,W 52-21,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
49,2009,2009-09-14,1,25.152,SDG,@,OAK,W 24-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
50,2009,2009-09-20,2,25.158,SDG,,BAL,L 26-31,*,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0,0.0,2,0,0,0,0
51,2009,2009-09-27,3,25.165,SDG,,MIA,W 23-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
52,2009,2009-10-04,4,25.172,SDG,@,PIT,L 28-38,*,0,0,,0,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0,0,0.0,4,0,0,0,0
53,2009,2009-10-19,5,25.187,SDG,,DEN,L 23-34,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
54,2009,2009-10-25,6,25.193,SDG,@,KAN,W 37-7,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
55,2009,2009-11-01,7,25.200,SDG,,OAK,W 24-16,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,16,0
56,2009,2009-11-08,8,25.207,SDG,@,NYG,W 21-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
57,2009,2009-11-15,9,25.214,SDG,,PHI,W 31-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
58,2009,2009-11-22,10,25.221,SDG,@,DEN,W 32-3,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,1,0
59,2009,2009-11-29,11,25.228,SDG,,KAN,W 43-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
60,2009,2009-12-06,12,25.235,SDG,@,CLE,W 30-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
61,2009,2009-12-13,13,25.242,SDG,@,DAL,W 20-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
62,2009,2009-12-20,14,25.249,SDG,,CIN,W 27-24,*,0,0,,0,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,,0,0,0,0.0,0,0,0,0,0
63,2009,2009-12-25,15,25.254,SDG,@,TEN,W 42-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
64,2009,2010-01-03,16,25.263,SDG,,WAS,W 23-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
65,2010,2010-09-13,1,26.151,NYJ,,BAL,L 9-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,1,66,0
66,2010,2010-09-19,2,26.157,NYJ,,NWE,W 28-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,0,0
67,2010,2010-09-26,3,26.164,NYJ,@,MIA,W 31-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
68,2010,2010-10-03,4,26.171,NYJ,@,BUF,W 38-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
69,2010,2010-10-11,5,26.179,NYJ,,MIN,W 29-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
70,2010,2010-10-17,6,26.185,NYJ,@,DEN,W 24-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
71,2010,2010-10-31,7,26.199,NYJ,,GNB,L 0-9,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
72,2010,2010-11-07,8,26.206,NYJ,@,DET,W 23-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
73,2010,2010-11-14,9,26.213,NYJ,@,CLE,W 26-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
74,2010,2010-11-21,10,26.220,NYJ,,HOU,W 30-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
75,2010,2010-11-25,11,26.224,NYJ,,CIN,W 26-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,9,0
76,2010,2010-12-06,12,26.235,NYJ,@,NWE,L 3-45,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
77,2010,2010-12-12,13,26.241,NYJ,,MIA,L 6-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,5,36,7.20,0,0,0,0.0,1,0,0,0,0
78,2010,2010-12-19,14,26.248,NYJ,@,PIT,W 22-17,*,0,0,,0,0,0,0,,0,0.0%,,1,-6,-6.00,0,0,0,,0,0,0,0.0,5,0,0,0,0
79,2010,2010-12-26,15,26.255,NYJ,@,CHI,L 34-38,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
80,2011,2011-09-11,1,27.149,NYJ,,DAL,W 27-24,*,0,0,,0,0,0,0,,0,0.0%,,3,51,17.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
81,2011,2011-09-18,2,27.156,NYJ,,JAX,W 32-3,*,1,1,1.00,0,0,0,0,,0,0.0%,,2,85,42.50,0,0,0,,0,0,0,0.0,2,1,2,63,0
82,2011,2011-09-25,3,27.163,NYJ,@,OAK,L 24-34,*,0,0,,0,0,0,0,,0,0.0%,,2,29,14.50,0,0,0,,0,0,0,0.0,5,3,0,0,0
83,2011,2011-10-02,4,27.170,NYJ,@,BAL,L 17-34,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
84,2011,2011-10-09,5,27.177,NYJ,@,NWE,L 21-30,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,1,42,0
85,2011,2011-10-17,6,27.185,NYJ,,MIA,W 24-6,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
86,2011,2011-10-23,7,27.191,NYJ,,SDG,W 27-21,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
87,2011,2011-11-06,8,27.205,NYJ,@,BUF,W 27-11,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
88,2011,2011-11-13,9,27.212,NYJ,,NWE,L 16-37,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
89,2011,2011-11-17,10,27.216,NYJ,@,DEN,L 13-17,*,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
90,2011,2011-11-27,11,27.226,NYJ,,BUF,W 28-24,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,2,0,0,0,0
91,2011,2011-12-04,12,27.233,NYJ,@,WAS,W 34-19,*,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0,0.0,2,1,0,0,0
92,2011,2011-12-11,13,27.240,NYJ,,KAN,W 37-10,*,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0,0,0,0.0,3,0,0,0,0
93,2011,2011-12-18,14,27.247,NYJ,@,PHI,L 19-45,*,0,0,,0,0,0,0,,0,0.0%,,5,146,29.20,0,0,0,,0,0,0,0.0,2,0,0,0,0
94,2011,2011-12-24,15,27.253,NYJ,,NYG,L 14-29,*,0,0,,0,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0,0,0,0.0,2,1,0,0,0
95,2011,2012-01-01,16,27.261,NYJ,@,MIA,L 17-19,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,0,0
96,2012,2012-09-09,1,28.147,NYJ,,BUF,W 48-28,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,6,0.0,2,2,1,40,1
97,2012,2012-09-16,2,28.154,NYJ,@,PIT,L 10-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
98,2012,2012-09-23,3,28.161,NYJ,@,MIA,W 23-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
99,2012,2012-09-30,4,28.168,NYJ,,SFO,L 0-34,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
100,2012,2012-10-08,5,28.176,NYJ,,HOU,L 17-23,*,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
101,2012,2012-10-14,6,28.182,NYJ,,IND,W 35-9,*,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0,0,0,0.0,3,1,1,13,0
102,2012,2012-10-21,7,28.189,NYJ,@,NWE,L 26-29,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
103,2012,2012-10-28,8,28.196,NYJ,,MIA,L 9-30,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
104,2012,2012-11-11,9,28.210,NYJ,@,SEA,L 7-28,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
105,2012,2012-11-18,10,28.217,NYJ,@,STL,W 27-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
106,2012,2012-11-22,11,28.221,NYJ,,NWE,L 19-49,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
107,2012,2012-12-02,12,28.231,NYJ,,ARI,W 7-6,*,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0,0.0,2,0,0,0,0
108,2012,2012-12-09,13,28.238,NYJ,@,JAX,W 17-10,*,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
109,2012,2012-12-17,14,28.246,NYJ,@,TEN,L 10-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
110,2012,2012-12-23,15,28.252,NYJ,,SDG,L 17-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
111,2012,2012-12-30,16,28.259,NYJ,@,BUF,L 9-28,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
112,2013,2013-09-08,1,29.146,NYJ,,TAM,W 18-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
113,2013,2013-09-12,2,29.150,NYJ,@,NWE,L 10-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
114,2013,2013-09-22,3,29.160,NYJ,,BUF,W 27-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
115,2013,2013-09-29,4,29.167,NYJ,@,TEN,L 13-38,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
116,2013,2013-10-07,5,29.175,NYJ,@,ATL,W 30-28,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
117,2013,2013-10-13,6,29.181,NYJ,,PIT,L 6-19,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
118,2013,2013-10-20,7,29.188,NYJ,,NWE,W 30-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
119,2013,2013-10-27,8,29.195,NYJ,@,CIN,L 9-49,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
120,2013,2013-11-03,9,29.202,NYJ,,NOR,W 26-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
121,2013,2013-11-17,10,29.216,NYJ,@,BUF,L 14-37,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
122,2013,2013-11-24,11,29.223,NYJ,@,BAL,L 3-19,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,1,20,0
123,2013,2013-12-01,12,29.230,NYJ,,MIA,L 3-23,*,0,0,,0,0,0,0,,0,0.0%,,4,126,31.50,0,0,0,,0,0,0,0.0,3,0,1,0,0
124,2013,2013-12-08,13,29.237,NYJ,,OAK,W 37-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
125,2013,2013-12-15,14,29.244,NYJ,@,CAR,L 20-30,*,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0,0.0,2,0,0,0,0
126,2013,2013-12-22,15,29.251,NYJ,,CLE,W 24-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
127,2013,2013-12-29,16,29.258,NYJ,@,MIA,W 20-7,*,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,0,0,,0,0,0,0.0,3,0,0,0,0
128,2014,2014-09-08,1,30.146,ARI,,SDG,W 18-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
129,2014,2014-09-14,2,30.152,ARI,@,NYG,W 25-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
130,2014,2014-09-21,3,30.159,ARI,,SFO,W 23-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
131,2014,2014-10-05,4,30.173,ARI,@,DEN,L 20-41,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
132,2014,2014-10-12,5,30.180,ARI,,WAS,W 30-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
133,2014,2014-10-19,6,30.187,ARI,@,OAK,W 24-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
134,2014,2014-10-26,7,30.194,ARI,,PHI,W 24-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,2,58,0
135,2014,2014-11-02,8,30.201,ARI,@,DAL,W 28-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,7,0
136,2014,2014-11-09,9,30.208,ARI,,STL,W 31-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,6,0.0,1,0,0,0,0
137,2014,2014-11-16,10,30.215,ARI,,DET,W 14-6,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
138,2014,2014-11-23,11,30.222,ARI,@,SEA,L 3-19,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
139,2014,2014-11-30,12,30.229,ARI,@,ATL,L 18-29,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,1,0,0,0
140,2014,2014-12-07,13,30.236,ARI,,KAN,W 17-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
141,2014,2014-12-11,14,30.240,ARI,@,STL,W 12-6,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
142,2014,2014-12-21,15,30.250,ARI,,SEA,L 6-35,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
143,2014,2014-12-28,16,30.257,ARI,@,SFO,L 17-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
144,2015,2015-09-13,1,31.151,NYJ,,CLE,W 31-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
145,2015,2015-09-21,2,31.159,NYJ,@,IND,W 20-7,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
146,2015,2015-09-27,3,31.165,NYJ,,PHI,L 17-24,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
147,2015,2015-10-04,4,31.172,NYJ,@,MIA,W 27-14,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
148,2015,2015-10-18,5,31.186,NYJ,,WAS,W 34-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
149,2015,2015-10-25,6,31.193,NYJ,@,NWE,L 23-30,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
150,2015,2015-11-01,7,31.200,NYJ,@,OAK,L 20-34,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
151,2015,2015-11-08,8,31.207,NYJ,,JAX,W 28-23,*,0,0,,0,0,0,0,,0,0.0%,,3,98,32.67,0,0,0,,0,0,0,0.0,3,0,0,0,0
152,2015,2015-11-22,10,31.221,NYJ,@,HOU,L 17-24,*,0,0,,0,0,0,0,,0,0.0%,,4,97,24.25,0,0,0,,0,0,0,0.0,2,0,0,0,0
153,2015,2015-11-29,11,31.228,NYJ,,MIA,W 38-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
154,2015,2015-12-06,12,31.235,NYJ,@,NYG,W 23-20,*,0,0,,0,0,0,0,,0,0.0%,,3,78,26.00,0,0,0,,0,0,0,0.0,2,0,0,0,0
155,2015,2015-12-13,13,31.242,NYJ,,TEN,W 30-8,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
