ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
93,1971,1971-10-17,5,31.161,DET,@,HOU,W 31-7,,,,,,,,,,,,,,,,,
94,1971,1971-10-24,6,31.168,DET,,CHI,L 23-28,,,,,,,,,,,,,,,,,
95,1971,1971-11-01,7,31.176,DET,@,GNB,T 14-14,,,,,,,,,,,,,,,,,
96,1971,1971-11-07,8,31.182,DET,@,DEN,W 24-20,,,,,,,,,,,,,,,,,
97,1971,1971-11-14,9,31.189,DET,,RAM,L 13-21,,,,,,,,,,,,,,,,,
98,1971,1971-11-21,10,31.196,DET,@,CHI,W 28-3,,,,,,,,,,,,,,,,,
99,1971,1971-11-25,11,31.200,DET,,KAN,W 32-21,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0,0,0
100,1971,1971-12-05,12,31.210,DET,,PHI,L 20-23,,,,,,,,,,,,,,,,,
101,1971,1971-12-11,13,31.216,DET,@,MIN,L 10-29,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0,0,0
102,1971,1971-12-19,14,31.224,DET,@,SFO,L 27-31,,,,,,,,,,,,,,,,,
103,1972,1972-09-17,1,32.131,DET,,NYG,W 30-16,,,,,,,,,,,,,,,,,
104,1972,1972-09-24,2,32.138,DET,,MIN,L 10-34,,,,,,,,,,,,,,,,,
105,1972,1972-10-01,3,32.145,DET,@,CHI,W 38-24,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0,0,0
106,1972,1972-10-08,4,32.152,DET,@,ATL,W 26-23,,,,,,,,,,,,,,,,,
107,1972,1972-10-16,5,32.160,DET,,GNB,L 23-24,,,,,,,,,,,,,,,,,
108,1972,1972-10-22,6,32.166,DET,,SDG,W 34-20,,,,,,,,,,,,,,,,,
109,1972,1972-10-30,7,32.174,DET,@,DAL,L 24-28,,,,,,,,,,,,,,,,,
110,1972,1972-11-05,8,32.180,DET,,CHI,W 14-0,,,,,,,,,,,,,,,,,
111,1972,1972-11-12,9,32.187,DET,@,MIN,L 14-16,,,,,,,,,,,,,,,,,
112,1972,1972-11-19,10,32.194,DET,,NOR,W 27-14,,,,,,,,,,,,,,,,,
113,1972,1972-11-23,11,32.198,DET,,NYJ,W 37-20,,,,,,,,,,,,,,,,,
114,1972,1972-12-03,12,32.208,DET,@,GNB,L 7-33,,,,,,,,,,,,,,,,,
115,1972,1972-12-10,13,32.215,DET,@,BUF,T 21-21,4,13,3.25,0,0,0,,0,0,0,,0,0,0,0,0,0
116,1972,1972-12-17,14,32.222,DET,@,RAM,W 34-17,13,35,2.69,0,0,0,,0,0,0,,0,0,0,0,0,0
