ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
43,1977,1977-10-23,6,28.044,WAS,,NYG,L 6-17,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,0,0,0,0,,0
44,1977,1977-10-30,7,28.051,WAS,,PHI,W 23-17,*,16,34,47.06,218,2,1,75.4,0,0,6.41,6.26,4,21,5.25,0,0,0,,0,0,0,0,0,,0
45,1977,1977-11-07,8,28.059,WAS,@,BAL,L 3-10,*,11,27,40.74,168,0,2,31.1,0,0,6.22,2.89,3,19,6.33,0,0,0,,0,0,0,0,0,,0
46,1977,1977-11-13,9,28.065,WAS,@,PHI,W 17-14,*,15,27,55.56,187,2,2,71.1,0,0,6.93,5.07,6,34,5.67,0,0,0,,0,0,0,0,0,,0
47,1977,1977-11-21,10,28.073,WAS,,GNB,W 10-9,*,10,21,47.62,124,1,1,62.4,0,0,5.90,4.71,4,34,8.50,0,0,0,,0,0,0,0,0,,0
48,1977,1977-11-27,11,28.079,WAS,,DAL,L 7-14,*,17,35,48.57,231,0,1,58.2,0,0,6.60,5.31,6,35,5.83,1,0,0,,0,1,6,0,0,,0
49,1977,1977-12-04,12,28.086,WAS,@,BUF,W 10-0,*,12,28,42.86,150,1,1,57.1,0,0,5.36,4.46,2,-4,-2.00,0,0,0,,0,0,0,0,0,,0
50,1977,1977-12-10,13,28.092,WAS,@,STL,W 26-20,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1977,1977-12-17,14,28.099,WAS,,RAM,W 17-14,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1978,1978-09-03,1,28.359,WAS,@,NWE,W 16-14,*,10,24,41.67,184,1,1,65.3,0,0,7.67,6.63,4,-4,-1.00,0,0,0,,0,0,0,0,0,,0
53,1978,1978-09-10,2,29.001,WAS,,PHI,W 35-30,*,14,24,58.33,226,3,1,112.2,0,0,9.42,10.04,1,4,4.00,1,0,0,,0,1,6,0,0,,0
54,1978,1978-09-17,3,29.008,WAS,@,STL,W 28-10,*,5,12,41.67,59,2,0,96.9,0,0,4.92,8.25,3,6,2.00,0,0,0,,0,0,0,0,0,,0
55,1978,1978-09-24,4,29.015,WAS,,NYJ,W 23-3,*,21,30,70.00,209,2,0,111.7,0,0,6.97,8.30,3,16,5.33,0,0,0,,0,0,0,0,0,,0
56,1978,1978-10-02,5,29.023,WAS,,DAL,W 9-5,*,11,22,50.00,156,0,1,54.4,0,0,7.09,5.05,2,-9,-4.50,0,0,0,,0,0,0,0,0,,0
57,1978,1978-10-08,6,29.029,WAS,@,DET,W 21-19,*,12,27,44.44,220,2,2,66.9,0,0,8.15,6.30,2,5,2.50,0,0,0,,0,0,0,0,0,,0
58,1978,1978-10-15,7,29.036,WAS,@,PHI,L 10-17,*,8,21,38.10,163,0,2,26.6,0,0,7.76,3.48,3,17,5.67,0,0,0,,0,0,0,0,0,,0
59,1978,1978-10-22,8,29.043,WAS,@,NYG,L 6-17,*,15,38,39.47,169,0,3,20.6,0,0,4.45,0.89,3,19,6.33,0,0,0,,0,0,0,0,0,,0
60,1978,1978-10-29,9,29.050,WAS,,SFO,W 38-20,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1978,1978-11-06,10,29.058,WAS,@,BAL,L 17-21,,6,12,50.00,92,0,0,75.7,0,0,7.67,7.67,2,1,0.50,0,0,0,,0,0,0,0,0,,0
62,1978,1978-11-12,11,29.064,WAS,,NYG,W 16-13,*,22,35,62.86,270,0,0,86.6,0,0,7.71,7.71,2,26,13.00,0,0,0,,0,0,0,0,0,,0
63,1978,1978-11-19,12,29.071,WAS,,STL,L 17-27,*,16,39,41.03,267,2,3,49.8,0,0,6.85,4.41,0,0,,0,0,0,,0,0,0,0,0,,0
64,1978,1978-11-23,13,29.075,WAS,@,DAL,L 10-37,*,10,24,41.67,150,1,0,76.7,0,0,6.25,7.08,3,17,5.67,0,0,0,,0,0,0,0,0,,0
65,1978,1978-12-03,14,29.085,WAS,,MIA,L 0-16,*,12,28,42.86,177,0,4,24.6,0,0,6.32,-0.11,4,40,10.00,0,0,0,,0,0,0,0,0,,0
66,1978,1978-12-10,15,29.092,WAS,@,ATL,L 17-20,*,12,33,36.36,144,0,0,50.6,0,0,4.36,4.36,4,26,6.50,0,0,0,,0,0,0,0,0,,0
67,1978,1978-12-16,16,29.098,WAS,,CHI,L 10-14,*,13,21,61.90,107,0,1,55.1,0,0,5.10,2.95,1,13,13.00,0,0,0,,0,0,0,0,0,,0
68,1979,1979-09-02,1,29.358,WAS,,HOU,L 27-29,*,7,14,50.00,123,2,1,90.2,0,0,8.79,8.43,1,7,7.00,0,0,0,,0,0,0,0,0,,0
69,1979,1979-09-09,2,30.000,WAS,@,DET,W 27-24,*,13,19,68.42,116,2,0,119.6,0,0,6.11,8.21,2,6,3.00,0,0,0,,0,0,0,0,0,,0
70,1979,1979-09-17,3,30.008,WAS,,NYG,W 27-0,*,18,28,64.29,153,1,2,60.6,0,0,5.46,2.96,2,15,7.50,1,0,0,,0,1,6,0,0,,0
71,1979,1979-09-23,4,30.014,WAS,@,STL,W 17-7,*,8,15,53.33,91,1,0,94.0,0,0,6.07,7.40,7,9,1.29,0,0,0,,0,0,0,0,0,,0
72,1979,1979-09-30,5,30.021,WAS,@,ATL,W 16-7,*,19,26,73.08,233,0,1,84.3,0,0,8.96,7.23,6,6,1.00,0,0,0,,0,0,0,0,0,,0
73,1979,1979-10-07,6,30.028,WAS,@,PHI,L 17-28,*,19,32,59.38,165,1,1,70.4,0,0,5.16,4.38,3,12,4.00,0,0,0,,0,0,0,0,0,,0
74,1979,1979-10-14,7,30.035,WAS,@,CLE,W 13-9,*,14,24,58.33,233,1,1,87.7,0,0,9.71,8.67,1,6,6.00,0,0,0,,0,0,0,0,0,,0
75,1979,1979-10-21,8,30.042,WAS,,PHI,W 17-7,*,15,24,62.50,136,0,2,43.1,0,0,5.67,1.92,3,8,2.67,1,0,0,,0,1,6,0,0,,0
76,1979,1979-10-28,9,30.049,WAS,,NOR,L 10-14,*,8,16,50.00,101,0,1,44.0,0,0,6.31,3.50,2,23,11.50,1,0,0,,0,1,6,0,0,,0
77,1979,1979-11-04,10,30.056,WAS,@,PIT,L 7-38,*,14,31,45.16,147,0,1,46.0,0,0,4.74,3.29,4,20,5.00,0,0,0,,0,0,0,0,0,,0
78,1979,1979-11-11,11,30.063,WAS,,STL,W 30-28,*,16,28,57.14,197,2,0,102.8,0,0,7.04,8.46,5,2,0.40,0,0,0,,0,0,0,0,0,,0
79,1979,1979-11-18,12,30.070,WAS,,DAL,W 34-20,*,15,24,62.50,210,3,0,130.2,0,0,8.75,11.25,2,6,3.00,0,0,0,,0,0,0,0,0,,0
80,1979,1979-11-25,13,30.077,WAS,@,NYG,L 6-14,*,11,23,47.83,140,0,0,67.3,0,0,6.09,6.09,1,18,18.00,0,0,0,,0,0,0,0,0,,0
81,1979,1979-12-02,14,30.084,WAS,,GNB,W 38-21,*,21,34,61.76,256,4,1,111.9,0,0,7.53,8.56,2,27,13.50,0,0,0,,0,0,0,0,0,,0
82,1979,1979-12-09,15,30.091,WAS,,CIN,W 28-14,*,23,34,67.65,296,2,2,89.8,0,0,8.71,7.24,0,0,,0,0,0,,0,0,0,0,0,,0
83,1979,1979-12-16,16,30.098,WAS,@,DAL,L 34-35,*,12,23,52.17,200,1,0,96.3,0,0,8.70,9.57,5,16,3.20,1,0,0,,0,1,6,0,0,,0
84,1980,1980-09-08,1,30.365,WAS,,DAL,L 3-17,*,19,34,55.88,190,0,1,59.7,0,0,5.59,4.26,2,7,3.50,0,0,0,,0,0,0,0,0,,0
85,1980,1980-09-14,2,31.005,WAS,@,NYG,W 23-21,*,10,21,47.62,120,1,0,81.4,0,0,5.71,6.67,3,41,13.67,1,0,0,,0,1,6,0,0,,0
86,1980,1980-09-21,3,31.012,WAS,@,OAK,L 21-24,*,19,36,52.78,204,2,1,76.6,0,0,5.67,5.53,2,16,8.00,1,0,0,,0,1,6,0,0,,0
87,1980,1980-09-28,4,31.019,WAS,,SEA,L 0-14,*,16,35,45.71,200,0,4,24.4,0,0,5.71,0.57,0,0,,0,0,0,,0,0,0,0,0,,0
88,1980,1980-10-05,5,31.026,WAS,@,PHI,L 14-24,*,19,33,57.58,232,1,1,76.8,0,0,7.03,6.27,0,0,,0,0,0,,0,0,0,0,0,,0
89,1980,1980-10-13,6,31.034,WAS,@,DEN,L 17-20,*,18,23,78.26,158,1,0,109.8,0,0,6.87,7.74,3,9,3.00,0,0,0,,0,0,0,0,0,,0
90,1980,1980-10-19,7,31.040,WAS,,STL,W 23-0,*,21,31,67.74,307,2,1,107.9,0,0,9.90,9.74,2,2,1.00,0,0,0,,0,0,0,0,0,,0
91,1980,1980-10-26,8,31.047,WAS,,NOR,W 22-14,*,15,29,51.72,185,1,0,83.3,0,0,6.38,7.07,3,4,1.33,0,0,0,,0,0,0,0,0,,0
92,1980,1980-11-02,9,31.054,WAS,,MIN,L 14-39,*,20,34,58.82,206,1,2,61.6,0,0,6.06,4.00,2,18,9.00,0,0,0,,0,0,0,0,0,,0
93,1980,1980-11-09,10,31.061,WAS,@,CHI,L 21-35,*,24,34,70.59,305,2,2,93.4,0,0,8.97,7.50,6,64,10.67,1,0,0,,0,1,6,0,0,,0
94,1980,1980-11-16,11,31.068,WAS,,PHI,L 0-24,*,16,34,47.06,164,0,3,24.6,0,0,4.82,0.85,0,0,,0,0,0,,0,0,0,0,0,,0
95,1980,1980-11-23,12,31.075,WAS,@,DAL,L 10-14,*,4,9,44.44,26,0,0,51.6,0,0,2.89,2.89,0,0,,0,0,0,,0,0,0,0,0,,0
96,1980,1980-11-30,13,31.082,WAS,@,ATL,L 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1980,1980-12-07,14,31.089,WAS,,SDG,W 40-17,*,26,37,70.27,269,2,0,109.0,0,0,7.27,8.35,2,4,2.00,0,0,0,,0,0,0,0,0,,0
98,1980,1980-12-13,15,31.095,WAS,,NYG,W 16-13,*,16,32,50.00,136,1,1,58.9,0,0,4.25,3.47,4,10,2.50,0,0,0,,0,0,0,0,0,,0
99,1980,1980-12-21,16,31.103,WAS,@,STL,W 31-7,*,19,32,59.38,260,3,0,116.7,0,0,8.13,10.00,0,0,,0,0,0,,0,0,0,0,0,,0
100,1981,1981-09-06,1,31.362,WAS,,DAL,L 10-26,*,22,48,45.83,281,1,4,36.9,3,33,5.85,2.52,1,0,0.00,0,0,0,,0,0,0,0,0,,0
101,1981,1981-09-13,2,32.004,WAS,,NYG,L 7-17,*,27,48,56.25,318,1,1,74.8,3,34,6.63,6.10,0,0,,0,0,0,,0,0,0,0,0,,0
102,1981,1981-09-20,3,32.011,WAS,@,STL,L 30-40,*,25,37,67.57,388,4,1,126.9,0,0,10.49,11.43,1,11,11.00,0,0,0,,0,0,0,0,0,,0
103,1981,1981-09-27,4,32.018,WAS,@,PHI,L 13-36,*,22,32,68.75,265,0,1,80.9,3,28,8.28,6.88,1,4,4.00,0,0,0,,0,0,0,0,0,,0
104,1981,1981-10-04,5,32.025,WAS,,SFO,L 17-30,*,10,24,41.67,123,0,2,23.4,1,11,5.13,1.38,1,1,1.00,0,0,0,,0,0,0,0,0,,0
105,1981,1981-10-11,6,32.032,WAS,@,CHI,W 24-7,*,12,25,48.00,83,0,1,39.2,1,9,3.32,1.52,1,2,2.00,0,0,0,,0,0,0,0,0,,0
106,1981,1981-10-18,7,32.039,WAS,@,MIA,L 10-13,*,17,23,73.91,149,0,1,72.6,1,10,6.48,4.52,5,19,3.80,0,0,0,,0,0,0,0,0,,0
107,1981,1981-10-25,8,32.046,WAS,,NWE,W 24-22,*,14,23,60.87,162,1,0,96.6,2,17,7.04,7.91,3,-2,-0.67,1,0,0,,0,1,6,0,0,,0
108,1981,1981-11-01,9,32.053,WAS,,STL,W 42-21,*,14,19,73.68,219,3,0,151.1,1,18,11.53,14.68,0,0,,0,0,0,,0,0,0,0,0,,0
109,1981,1981-11-08,10,32.060,WAS,,DET,W 33-31,*,19,31,61.29,287,1,2,75.6,2,16,9.26,7.00,2,21,10.50,0,0,0,,0,0,0,0,0,,0
110,1981,1981-11-15,11,32.067,WAS,@,NYG,W 30-27,*,25,38,65.79,242,2,1,90.0,1,8,6.37,6.24,5,49,9.80,0,0,0,,0,0,0,0,0,,0
111,1981,1981-11-22,12,32.074,WAS,@,DAL,L 10-24,*,14,34,41.18,158,1,1,53.3,4,27,4.65,3.91,2,11,5.50,0,0,0,,0,0,0,0,0,,0
112,1981,1981-11-29,13,32.081,WAS,@,BUF,L 14-21,*,22,34,64.71,220,1,1,80.5,3,18,6.47,5.74,4,16,4.00,0,0,0,,0,0,0,0,0,,0
113,1981,1981-12-06,14,32.088,WAS,,PHI,W 15-13,*,13,22,59.09,87,0,2,29.9,1,19,3.95,-0.14,4,-7,-1.75,0,0,0,,0,0,0,0,0,,0
114,1981,1981-12-13,15,32.095,WAS,,BAL,W 38-14,*,23,36,63.89,339,2,1,101.5,0,0,9.42,9.28,2,12,6.00,1,0,0,,0,1,6,0,0,,0
115,1981,1981-12-20,16,32.102,WAS,@,RAM,W 30-7,*,14,22,63.64,247,2,1,113.3,2,11,11.23,11.00,4,40,10.00,0,0,0,,0,0,0,0,0,,0
116,1982,1982-09-12,1,33.003,WAS,@,PHI,W 37-34,*,28,39,71.79,382,3,0,128.4,1,9,9.79,11.33,3,18,6.00,0,0,0,,0,0,0,0,0,,0
117,1982,1982-09-19,2,33.010,WAS,@,TAM,W 21-13,*,12,20,60.00,112,1,0,92.1,6,41,5.60,6.60,2,6,3.00,0,0,0,,0,0,0,0,0,,0
118,1982,1982-11-21,3,33.073,WAS,@,NYG,W 27-17,*,16,24,66.67,185,2,0,117.5,1,12,7.71,9.38,4,19,4.75,0,0,0,,0,0,0,0,0,,0
119,1982,1982-11-28,4,33.080,WAS,,PHI,W 13-9,*,14,28,50.00,259,1,2,64.4,4,25,9.25,6.75,7,1,0.14,0,0,0,,0,0,0,0,0,,0
120,1982,1982-12-05,5,33.087,WAS,,DAL,L 10-24,*,19,29,65.52,234,1,3,62.2,7,60,8.07,4.10,1,8,8.00,0,0,0,,0,0,0,0,0,,0
121,1982,1982-12-12,6,33.094,WAS,@,STL,W 12-7,*,17,26,65.38,188,0,0,86.7,2,18,7.23,7.23,1,11,11.00,0,0,0,,0,0,0,0,0,,0
122,1982,1982-12-19,7,33.101,WAS,,NYG,W 15-14,*,25,38,65.79,252,0,4,45.0,1,11,6.63,1.89,6,21,3.50,0,0,0,,0,0,0,0,0,,0
123,1982,1982-12-26,8,33.108,WAS,@,NOR,W 27-10,*,14,23,60.87,264,2,0,129.6,3,14,11.48,13.22,5,58,11.60,0,0,0,,0,0,0,0,0,,0
124,1982,1983-01-02,9,33.115,WAS,,STL,W 28-0,*,16,25,64.00,157,3,0,121.2,5,33,6.28,8.68,2,8,4.00,0,0,0,,0,0,0,0,0,,0
125,1983,1983-09-05,1,33.361,WAS,,DAL,L 30-31,*,28,38,73.68,325,2,1,105.7,3,26,8.55,8.42,3,36,12.00,0,0,0,,0,0,0,0,0,,0
126,1983,1983-09-11,2,34.002,WAS,@,PHI,W 23-13,*,15,26,57.69,142,1,0,85.7,2,7,5.46,6.23,1,8,8.00,0,0,0,,0,0,0,0,0,,0
127,1983,1983-09-18,3,34.009,WAS,,KAN,W 27-12,*,12,27,44.44,153,2,2,56.6,0,0,5.67,3.81,2,13,6.50,0,0,0,,0,0,0,0,0,,0
128,1983,1983-09-25,4,34.016,WAS,@,SEA,W 27-17,*,9,16,56.25,162,3,0,130.7,0,0,10.13,13.88,5,18,3.60,0,0,0,,0,0,0,0,0,,0
129,1983,1983-10-02,5,34.023,WAS,,RAI,W 37-35,*,23,39,58.97,417,3,0,121.4,6,56,10.69,12.23,2,-3,-1.50,0,0,0,,0,0,0,0,0,,0
130,1983,1983-10-09,6,34.030,WAS,@,STL,W 38-14,*,14,25,56.00,138,2,0,98.4,0,0,5.52,7.12,0,0,,0,0,0,,0,0,0,0,0,,0
131,1983,1983-10-17,7,34.038,WAS,@,GNB,L 47-48,*,27,39,69.23,398,2,0,119.4,4,30,10.21,11.23,1,14,14.00,0,0,0,,0,0,0,0,0,,0
132,1983,1983-10-23,8,34.044,WAS,,DET,W 38-17,*,15,23,65.22,247,2,0,130.2,2,15,10.74,12.48,2,8,4.00,0,0,0,,0,0,0,0,0,,0
133,1983,1983-10-31,9,34.052,WAS,@,SDG,W 27-24,*,25,46,54.35,324,1,1,74.9,1,11,7.04,6.50,2,15,7.50,0,0,0,,0,0,0,0,0,,0
134,1983,1983-11-06,10,34.058,WAS,,STL,W 45-7,*,13,24,54.17,167,0,1,58.9,1,7,6.96,5.08,1,5,5.00,0,0,0,,0,0,0,0,0,,0
135,1983,1983-11-13,11,34.065,WAS,@,NYG,W 33-17,*,18,28,64.29,157,1,0,90.9,4,19,5.61,6.32,3,8,2.67,0,0,0,,0,0,0,0,0,,0
136,1983,1983-11-20,12,34.072,WAS,@,RAM,W 42-20,*,17,29,58.62,239,1,0,96.8,0,0,8.24,8.93,4,26,6.50,0,0,0,,0,0,0,0,0,,0
137,1983,1983-11-27,13,34.079,WAS,,PHI,W 28-24,*,16,26,61.54,248,2,1,102.7,0,0,9.54,9.35,4,27,6.75,0,0,0,,0,0,0,0,0,,0
138,1983,1983-12-04,14,34.086,WAS,,ATL,W 37-21,*,17,28,60.71,221,3,0,121.3,1,6,7.89,10.04,2,15,7.50,0,0,0,,0,0,0,0,0,,0
139,1983,1983-12-11,15,34.093,WAS,@,DAL,W 31-10,*,11,17,64.71,203,2,1,120.5,4,33,11.94,11.65,3,24,8.00,0,0,0,,0,0,0,0,0,,0
140,1983,1983-12-17,16,34.099,WAS,,NYG,W 31-22,*,16,28,57.14,173,2,4,59.7,6,32,6.18,1.18,2,20,10.00,1,0,0,,0,1,6,0,0,,0
141,1984,1984-09-02,1,34.359,WAS,,MIA,L 17-35,*,21,36,58.33,204,0,2,51.2,2,11,5.67,3.17,2,20,10.00,0,0,0,,0,0,0,0,0,,0
142,1984,1984-09-10,2,35.001,WAS,@,SFO,L 31-37,*,24,43,55.81,331,2,0,96.2,4,22,7.70,8.63,7,35,5.00,0,0,0,,0,0,0,0,0,,0
143,1984,1984-09-16,3,35.007,WAS,,NYG,W 30-14,*,15,30,50.00,145,0,2,36.1,2,16,4.83,1.83,4,17,4.25,0,0,0,,0,0,0,0,0,,0
144,1984,1984-09-23,4,35.014,WAS,@,NWE,W 26-10,*,11,19,57.89,110,1,0,92.0,2,13,5.79,6.84,4,34,8.50,0,0,0,,0,0,0,0,0,,0
145,1984,1984-09-30,5,35.021,WAS,,PHI,W 20-0,*,9,20,45.00,114,1,1,59.2,3,28,5.70,4.45,6,56,9.33,0,0,0,,0,0,0,0,0,,0
146,1984,1984-10-07,6,35.028,WAS,@,IND,W 35-7,*,17,20,85.00,267,4,1,137.5,1,6,13.35,15.10,1,4,4.00,0,0,0,,0,0,0,0,0,,0
147,1984,1984-10-14,7,35.035,WAS,,DAL,W 34-14,*,11,17,64.71,182,3,0,140.2,0,0,10.71,14.24,4,33,8.25,0,0,0,,0,0,0,0,0,,0
148,1984,1984-10-21,8,35.042,WAS,@,STL,L 24-26,*,15,29,51.72,224,2,0,100.4,4,31,7.72,9.10,2,3,1.50,0,0,0,,0,0,0,0,0,,0
149,1984,1984-10-28,9,35.049,WAS,@,NYG,L 13-37,*,21,41,51.22,255,1,1,68.6,3,26,6.22,5.61,3,25,8.33,0,0,0,,0,0,0,0,0,,0
150,1984,1984-11-05,10,35.057,WAS,,ATL,W 27-14,*,19,25,76.00,170,1,1,90.4,4,41,6.80,5.80,8,26,3.25,1,0,0,,0,1,6,0,0,,0
151,1984,1984-11-11,11,35.063,WAS,,DET,W 28-14,*,17,36,47.22,203,1,0,74.2,5,35,5.64,6.19,1,-2,-2.00,0,0,0,,0,0,0,0,0,,0
152,1984,1984-11-18,12,35.070,WAS,@,PHI,L 10-16,*,21,38,55.26,149,1,3,40.4,1,5,3.92,0.89,4,23,5.75,0,0,0,,0,0,0,0,0,,0
153,1984,1984-11-25,13,35.077,WAS,,BUF,W 41-14,*,26,33,78.79,311,2,1,113.5,1,6,9.42,9.27,4,3,0.75,0,0,0,,0,0,0,0,0,,0
154,1984,1984-11-29,14,35.081,WAS,@,MIN,W 31-17,*,19,24,79.17,223,2,0,133.2,2,6,9.29,10.96,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0
