ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
23,1966,1966-10-08,5,31.096,CLE,,PIT,W 41-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,32,0
24,1966,1966-10-30,7,31.118,CLE,@,ATL,W 49-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,8,0
25,1967,1967-10-01,3,32.089,CLE,@,NOR,W 42-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
26,1967,1967-10-07,4,32.095,CLE,,PIT,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
27,1967,1967-10-15,5,32.103,CLE,,STL,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,7,0
28,1967,1967-12-10,13,32.159,CLE,@,STL,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,40,0
29,1968,1968-11-03,8,33.122,CLE,@,SFO,W 33-21,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
30,1968,1968-11-10,9,33.129,CLE,,NOR,W 35-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
31,1968,1968-11-17,10,33.136,CLE,@,PIT,W 45-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,22,0
32,1968,1968-12-08,13,33.157,CLE,@,WAS,W 24-21,0,0,,0,0,0,,0,0,0,,0,1,6,1,40,1
33,1969,1969-10-18,5,34.106,CLE,,PIT,W 42-31,0,0,,0,0,0,,0,0,0,,0,1,6,1,55,1
34,1970,1970-09-21,1,35.079,CLE,,NYJ,W 31-21,,,,,,,,,,,,,,,,,
35,1970,1970-09-27,2,35.085,CLE,@,SFO,L 31-34,,,,,,,,,,,,,,,,,
36,1970,1970-10-03,3,35.091,CLE,,PIT,W 15-7,0,0,,0,0,0,,0,0,0,,0,1,6,1,38,1
37,1970,1970-10-11,4,35.099,CLE,,CIN,W 30-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0
38,1970,1970-10-18,5,35.106,CLE,,DET,L 24-41,,,,,,,,,,,,,,,,,
39,1970,1970-10-25,6,35.113,CLE,@,MIA,W 28-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
40,1970,1970-11-01,7,35.120,CLE,,SDG,L 10-27,,,,,,,,,,,,,,,,,
41,1970,1970-11-08,8,35.127,CLE,@,OAK,L 20-23,,,,,,,,,,,,,,,,,
42,1970,1970-11-15,9,35.134,CLE,@,CIN,L 10-14,,,,,,,,,,,,,,,,,
43,1970,1970-11-22,10,35.141,CLE,,HOU,W 28-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
44,1970,1970-11-29,11,35.148,CLE,@,PIT,L 9-28,,,,,,,,,,,,,,,,,
45,1970,1970-12-07,12,35.156,CLE,@,HOU,W 21-10,,,,,,,,,,,,,,,,,
46,1970,1970-12-12,13,35.161,CLE,,DAL,L 2-6,,,,,,,,,,,,,,,,,
47,1970,1970-12-20,14,35.169,CLE,@,DEN,W 27-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,22,0
48,1971,1971-09-26,2,36.084,CLE,@,BAL,W 14-13,,,,,,,,,,,,,,,,,
49,1971,1971-10-31,7,36.119,CLE,,ATL,L 14-31,,,,,,,,,,,,,,,,,
50,1971,1971-11-07,8,36.126,CLE,@,PIT,L 9-26,,,,,,,,,,,,,,,,,
