ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
17,2016,2016-09-18,2,23.337,NOR,@,NYG,L 13-16,*,8,5,54,10.80,1,62.5%,6.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
18,2016,2016-10-02,4,23.351,NOR,@,SDG,W 35-34,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
19,2016,2016-10-16,5,23.365,NOR,,CAR,W 41-38,,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
20,2016,2016-10-23,6,24.006,NOR,@,KAN,L 21-27,,11,9,87,9.67,0,81.8%,7.91,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
21,2016,2016-10-30,7,24.013,NOR,,SEA,W 25-20,*,8,6,56,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
22,2016,2016-11-06,8,24.020,NOR,@,SFO,W 41-23,,7,3,36,12.00,0,42.9%,5.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
23,2016,2016-11-13,9,24.027,NOR,,DEN,L 23-25,,7,5,47,9.40,2,71.4%,6.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12
24,2016,2016-11-17,10,24.031,NOR,@,CAR,L 20-23,,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
25,2016,2016-11-27,11,24.041,NOR,,LAR,W 49-21,*,7,5,38,7.60,0,71.4%,5.43,1,1,100.00,50,1,0,158.3,0,0,50.00,70.00,0,0,,0,0,0,,0,0,0
26,2016,2016-12-04,12,24.048,NOR,,DET,L 13-28,,6,2,38,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
27,2016,2016-12-11,13,24.055,NOR,@,TAM,L 11-16,,8,6,85,14.17,0,75.0%,10.63,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
28,2016,2016-12-18,14,24.062,NOR,@,ARI,W 48-41,*,11,8,76,9.50,0,72.7%,6.91,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
29,2016,2016-12-24,15,24.068,NOR,,TAM,W 31-24,,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
30,2016,2017-01-01,16,24.076,NOR,@,ATL,L 32-38,,4,3,82,27.33,0,75.0%,20.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
31,2017,2017-10-15,5,24.363,NOR,,DET,W 52-38,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
32,2017,2017-10-29,7,25.012,NOR,,CHI,W 20-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
33,2017,2017-11-05,8,25.019,NOR,,TAM,W 30-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0
34,2017,2017-11-12,9,25.026,NOR,@,BUF,W 47-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
35,2017,2017-11-19,10,25.033,NOR,,WAS,W 34-31,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,0,0
36,2017,2017-11-26,11,25.040,NOR,@,LAR,L 20-26,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
37,2017,2017-12-03,12,25.047,NOR,,CAR,W 31-21,*,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
38,2017,2017-12-07,13,25.051,NOR,@,ATL,L 17-20,,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
39,2017,2017-12-17,14,25.061,NOR,,NYJ,W 31-19,*,3,1,23,23.00,0,33.3%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
40,2017,2017-12-24,15,25.068,NOR,,ATL,W 23-13,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
41,2017,2017-12-31,16,25.075,NOR,@,TAM,L 24-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
42,2018,2018-09-09,1,25.327,BAL,,BUF,W 47-3,,6,4,49,12.25,1,66.7%,8.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
43,2018,2018-09-13,2,25.331,BAL,@,CIN,L 23-34,*,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
44,2018,2018-09-23,3,25.341,BAL,,DEN,W 27-14,,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
