ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
46,2015,2015-12-20,14,27.057,BUF,@,WAS,L 25-35,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
47,2015,2015-12-27,15,27.064,BUF,,DAL,W 16-6,*,4,2,39,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
48,2015,2016-01-03,16,27.071,BUF,,NYJ,W 22-17,*,3,1,2,2.00,0,33.3%,0.67,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
49,2016,2016-09-11,1,27.323,NWE,@,ARI,W 23-21,*,4,3,60,20.00,1,75.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
50,2016,2016-09-18,2,27.330,NWE,,MIA,W 31-24,*,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
51,2016,2016-09-22,3,27.334,NWE,,HOU,W 27-0,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
52,2016,2016-10-02,4,27.344,NWE,,BUF,L 0-16,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
53,2016,2016-10-09,5,27.351,NWE,@,CLE,W 33-13,*,5,4,114,28.50,0,80.0%,22.80,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
54,2016,2016-10-16,6,27.358,NWE,,CIN,W 35-17,*,1,1,39,39.00,0,100.0%,39.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
55,2016,2016-10-23,7,27.365,NWE,@,PIT,W 27-16,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
56,2016,2016-10-30,8,28.006,NWE,@,BUF,W 41-25,*,4,4,91,22.75,1,100.0%,22.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
57,2016,2016-11-13,9,28.020,NWE,,SEA,L 24-31,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
58,2016,2016-11-27,11,28.034,NWE,@,NYJ,W 22-17,*,5,4,70,17.50,0,80.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
59,2016,2016-12-04,12,28.041,NWE,,LAR,W 26-10,,5,4,23,5.75,1,80.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
60,2016,2016-12-12,13,28.049,NWE,,BAL,W 30-23,*,7,5,129,25.80,1,71.4%,18.43,2,7,3.50,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
61,2016,2016-12-18,14,28.055,NWE,@,DEN,W 16-3,*,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
62,2016,2016-12-24,15,28.061,NWE,,NYJ,W 41-3,*,5,1,22,22.00,0,20.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
63,2016,2017-01-01,16,28.069,NWE,@,MIA,W 35-14,*,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
64,2017,2017-09-07,1,28.318,NWE,,KAN,L 27-42,*,5,1,8,8.00,0,20.0%,1.60,3,17,5.67,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
65,2017,2017-09-17,2,28.328,NWE,@,NOR,W 36-20,*,6,5,78,15.60,1,83.3%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
66,2017,2017-09-24,3,28.335,NWE,,HOU,W 36-33,*,6,4,68,17.00,2,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0.0,0,0
67,2017,2017-10-01,4,28.342,NWE,,CAR,L 30-33,*,9,5,60,12.00,1,55.6%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
68,2017,2017-10-05,5,28.346,NWE,@,TAM,W 19-14,*,11,8,74,9.25,1,72.7%,6.73,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
69,2017,2017-10-15,6,28.356,NWE,@,NYJ,W 24-17,*,4,1,19,19.00,0,25.0%,4.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
70,2017,2017-10-22,7,28.363,NWE,,ATL,W 23-7,,6,4,71,17.75,0,66.7%,11.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
71,2017,2017-10-29,8,29.005,NWE,,LAC,W 21-13,*,7,5,60,12.00,0,71.4%,8.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
72,2017,2017-12-11,13,29.048,NWE,@,MIA,L 20-27,,5,1,1,1.00,0,20.0%,0.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
73,2018,2018-09-09,1,29.320,NWE,,HOU,W 27-20,,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
74,2018,2018-09-16,2,29.327,NWE,@,JAX,L 20-31,,5,3,42,14.00,2,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0.0,0,0
75,2018,2018-09-23,3,29.334,NWE,@,DET,L 10-26,*,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
