ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
104,2010,2010-12-12,13,32.222,PIT,,CIN,W 23-7,*,,,,,,,,,,,,,,,,,
105,2010,2010-12-19,14,32.229,PIT,,NYJ,L 17-22,*,0,0,,0,0,0,,0,,0,0,0.0,7,3,0,0,0
106,2010,2010-12-23,15,32.233,PIT,,CAR,W 27-3,*,0,0,,0,0,0,,0,,0,0,0.5,1,4,0,0,0
107,2010,2011-01-02,16,32.243,PIT,@,CLE,W 41-9,*,0,0,,0,0,0,,0,,0,0,0.0,3,3,0,0,0
108,2011,2011-09-11,1,33.130,PIT,@,BAL,L 7-35,*,0,0,,0,0,0,,0,,0,0,0.0,7,2,0,0,0
109,2011,2011-09-18,2,33.137,PIT,,SEA,W 24-0,*,0,0,,0,0,0,,0,,0,0,1.0,2,2,0,0,0
110,2011,2011-09-25,3,33.144,PIT,@,IND,W 23-20,*,0,0,,0,0,0,,0,,0,0,1.0,6,1,0,0,0
111,2011,2011-10-02,4,33.151,PIT,@,HOU,L 10-17,*,0,0,,0,0,0,,0,,0,0,0.0,3,0,0,0,0
112,2011,2011-11-06,9,33.186,PIT,,BAL,L 20-23,*,0,0,,0,0,0,,0,,0,0,3.0,8,0,0,0,0
113,2011,2011-11-13,10,33.193,PIT,@,CIN,W 24-17,*,0,0,,0,0,0,,0,,0,0,0.0,2,2,0,0,0
114,2011,2011-11-27,11,33.207,PIT,@,KAN,W 13-9,*,0,0,,0,0,0,,0,,0,0,0.0,4,1,0,0,0
115,2011,2011-12-04,12,33.214,PIT,,CIN,W 35-7,*,0,0,,0,0,0,,0,,0,0,3.0,5,1,0,0,0
116,2011,2011-12-08,13,33.218,PIT,,CLE,W 14-3,*,0,0,,0,0,0,,0,,0,0,0.0,5,1,0,0,0
117,2011,2011-12-24,15,33.234,PIT,,STL,W 27-0,*,0,0,,0,0,0,,0,,0,0,1.0,4,0,0,0,0
118,2011,2012-01-01,16,33.242,PIT,@,CLE,W 13-9,*,0,0,,0,0,0,,0,,0,0,0.0,2,1,0,0,0
119,2012,2012-10-07,4,34.156,PIT,,PHI,W 16-14,*,0,0,,0,0,0,,0,,0,0,0.0,2,0,0,0,0
120,2012,2012-10-11,5,34.160,PIT,@,TEN,L 23-26,*,0,0,,0,0,0,,0,,0,0,1.0,4,2,0,0,0
121,2012,2012-10-21,6,34.170,PIT,@,CIN,W 24-17,*,,,,,,,,,,,,,,,,,
122,2012,2012-10-28,7,34.177,PIT,,WAS,W 27-12,*,0,0,,0,0,0,,0,,0,0,0.0,3,2,0,0,0
123,2012,2012-11-04,8,34.184,PIT,@,NYG,W 24-20,*,0,0,,0,0,0,,0,,0,0,0.0,4,1,0,0,0
124,2012,2012-11-12,9,34.192,PIT,,KAN,W 16-13,*,0,0,,0,0,0,,0,,0,0,0.0,1,6,0,0,0
125,2012,2012-11-18,10,34.198,PIT,,BAL,L 10-13,*,0,0,,0,0,0,,0,,0,0,1.0,6,2,0,0,0
126,2012,2012-11-25,11,34.205,PIT,@,CLE,L 14-20,*,0,0,,0,0,0,,0,,0,0,1.0,8,1,0,0,0
127,2012,2012-12-02,12,34.212,PIT,@,BAL,W 23-20,*,0,0,,0,0,0,,0,,0,0,1.0,6,1,0,0,0
128,2012,2012-12-09,13,34.219,PIT,,SDG,L 24-34,*,0,0,,0,0,0,,0,,0,0,0.0,3,1,0,0,0
129,2012,2012-12-16,14,34.226,PIT,@,DAL,L 24-27,*,0,0,,0,0,0,,0,,0,0,0.0,4,0,0,0,0
130,2012,2012-12-23,15,34.233,PIT,,CIN,L 10-13,*,0,0,,0,0,0,,0,,0,0,1.0,2,0,0,0,0
131,2012,2012-12-30,16,34.240,PIT,,CLE,W 24-10,*,0,0,,0,0,0,,0,,0,0,1.0,6,5,0,0,0
132,2013,2013-09-08,1,35.127,CIN,@,CHI,L 21-24,*,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
133,2013,2013-09-16,2,35.135,CIN,,PIT,W 20-10,,,,,,,,,,,,,,,,,,
134,2013,2013-09-22,3,35.141,CIN,,GNB,W 34-30,,,,,,,,,,,,,,,,,,
135,2013,2013-09-29,4,35.148,CIN,@,CLE,L 6-17,*,0,0,,0,0,0,,0,,0,0,0.0,1,3,0,0,0
136,2013,2013-10-06,5,35.155,CIN,,NWE,W 13-6,*,0,0,,0,0,0,,0,,0,0,0.0,0,1,0,0,0
137,2013,2013-10-13,6,35.162,CIN,@,BUF,W 27-24,*,0,0,,0,0,0,,0,,0,0,1.0,2,1,0,0,0
138,2013,2013-10-20,7,35.169,CIN,@,DET,W 27-24,,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
139,2013,2013-10-27,8,35.176,CIN,,NYJ,W 49-9,*,0,0,,0,0,0,,0,,0,0,1.0,2,4,0,0,0
140,2013,2013-10-31,9,35.180,CIN,@,MIA,L 20-22,*,0,0,,0,0,0,,0,,0,0,0.0,2,0,0,0,0
141,2013,2013-11-10,10,35.190,CIN,@,BAL,L 17-20,,0,0,,0,0,0,,0,,0,0,0.0,0,4,0,0,0
142,2013,2013-11-17,11,35.197,CIN,,CLE,W 41-20,*,0,0,,0,0,0,,0,,0,0,0.0,3,1,1,9,0
143,2013,2013-12-01,12,35.211,CIN,@,SDG,W 17-10,*,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
144,2013,2013-12-08,13,35.218,CIN,,IND,W 42-28,*,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
145,2013,2013-12-15,14,35.225,CIN,@,PIT,L 20-30,*,0,0,,0,0,0,,0,,0,0,0.0,3,0,0,0,0
146,2013,2013-12-29,16,35.239,CIN,,BAL,W 34-17,,0,0,,0,0,0,,0,,0,0,0.0,0,1,0,0,0
147,2014,2014-09-28,4,36.147,PIT,,TAM,L 24-27,,,,,,,,,,,,,,,,,,
148,2014,2014-10-05,5,36.154,PIT,@,JAX,W 17-9,,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
149,2014,2014-10-12,6,36.161,PIT,@,CLE,L 10-31,,0,0,,0,0,0,,0,,0,0,0.0,3,1,0,0,0
150,2014,2014-10-20,7,36.169,PIT,,HOU,W 30-23,,0,0,,0,0,0,,0,,0,0,0.0,3,0,0,0,0
151,2014,2014-10-26,8,36.175,PIT,,IND,W 51-34,,0,0,,0,0,0,,0,,0,0,2.0,2,0,0,0,0
152,2014,2014-11-02,9,36.182,PIT,,BAL,W 43-23,,0,0,,0,0,0,,0,,0,0,2.0,4,3,0,0,0
153,2014,2014-11-09,10,36.189,PIT,@,NYJ,L 13-20,,0,0,,0,0,0,,0,,0,0,0.0,4,2,0,0,0
154,2014,2014-11-17,11,36.197,PIT,@,TEN,W 27-24,*,0,0,,0,0,0,,0,,0,0,0.0,1,3,0,0,0
155,2014,2014-11-30,12,36.210,PIT,,NOR,L 32-35,*,0,0,,0,0,0,,0,,0,0,0.0,5,2,0,0,0
156,2014,2014-12-21,15,36.231,PIT,,KAN,W 20-12,*,0,0,,0,0,0,,0,,0,0,1.5,4,3,0,0,0
157,2014,2014-12-28,16,36.238,PIT,,CIN,W 27-17,*,0,0,,0,0,0,,0,,0,0,0.0,2,2,0,0,0
158,2015,2015-09-10,1,37.129,PIT,@,NWE,L 21-28,,0,0,,0,0,0,,0,,0,0,0.0,2,2,0,0,0
159,2015,2015-09-20,2,37.139,PIT,,SFO,W 43-18,,0,0,,0,0,0,,0,,0,0,0.0,1,1,0,0,0
160,2015,2015-09-27,3,37.146,PIT,@,STL,W 12-6,,0,0,,0,0,0,,0,,0,0,0.0,0,1,0,0,0
161,2015,2015-10-01,4,37.150,PIT,,BAL,L 20-23,,0,0,,0,0,0,,0,,0,0,1.0,5,3,0,0,0
162,2015,2015-10-12,5,37.161,PIT,@,SDG,W 24-20,,0,0,,0,0,0,,0,,0,0,0.0,3,0,0,0,0
163,2015,2015-10-18,6,37.167,PIT,,ARI,W 25-13,*,0,0,,0,0,0,,0,,0,0,1.0,3,1,0,0,0
164,2015,2015-10-25,7,37.174,PIT,@,KAN,L 13-23,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
165,2015,2015-11-01,8,37.181,PIT,,CIN,L 10-16,,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
166,2015,2015-11-08,9,37.188,PIT,,OAK,W 38-35,,0,0,,0,0,0,,0,,0,0,0.0,1,1,0,0,0
167,2015,2015-11-29,11,37.209,PIT,@,SEA,L 30-39,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
168,2015,2015-12-06,12,37.216,PIT,,IND,W 45-10,,0,0,,0,0,0,,0,,0,0,3.0,6,1,0,0,0
169,2015,2015-12-13,13,37.223,PIT,@,CIN,W 33-20,,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
170,2015,2015-12-20,14,37.230,PIT,,DEN,W 34-27,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
171,2015,2015-12-27,15,37.237,PIT,@,BAL,L 17-20,,0,0,,0,0,0,,0,,0,0,0.0,3,2,0,0,0
172,2015,2016-01-03,16,37.244,PIT,@,CLE,W 28-12,,0,0,,0,0,0,,0,,0,0,0.0,1,1,1,6,0
173,2016,2016-09-12,1,38.131,PIT,@,WAS,W 38-16,,0,0,,0,0,0,,0,,0,0,0.0,2,1,1,0,0
174,2016,2016-09-18,2,38.137,PIT,,CIN,W 24-16,,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
175,2016,2016-09-25,3,38.144,PIT,@,PHI,L 3-34,,0,0,,0,0,0,,0,,0,0,0.0,3,0,0,0,0
176,2016,2016-10-02,4,38.151,PIT,,KAN,W 43-14,,0,0,,0,0,0,,0,,0,0,0.0,2,0,0,0,0
177,2016,2016-10-09,5,38.158,PIT,,NYJ,W 31-13,*,0,0,,0,0,0,,0,,0,0,0.0,1,1,0,0,0
178,2016,2016-10-16,6,38.165,PIT,@,MIA,L 15-30,,0,0,,0,0,0,,0,,0,0,0.0,3,1,0,0,0
179,2016,2016-10-23,7,38.172,PIT,,NWE,L 16-27,,0,0,,0,0,0,,0,,0,0,0.0,0,1,0,0,0
180,2016,2016-11-06,8,38.186,PIT,@,BAL,L 14-21,,0,0,,0,0,0,,0,,0,0,2.0,5,0,0,0,0
181,2016,2016-11-13,9,38.193,PIT,,DAL,L 30-35,,0,0,,0,0,0,,0,,0,0,0.0,2,3,0,0,0
182,2016,2016-11-20,10,38.200,PIT,@,CLE,W 24-9,*,0,0,,0,0,0,,0,,0,0,1.0,1,0,0,0,0
183,2016,2016-11-24,11,38.204,PIT,@,IND,W 28-7,*,0,0,,0,0,0,,0,,0,0,1.0,2,0,0,0,0
184,2016,2016-12-04,12,38.214,PIT,,NYG,W 24-14,*,0,0,,0,0,0,,0,,0,0,1.0,3,0,0,0,0
185,2016,2016-12-11,13,38.221,PIT,@,BUF,W 27-20,*,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
186,2016,2016-12-18,14,38.228,PIT,@,CIN,W 24-20,*,0,0,,0,0,0,,0,,0,0,0.0,4,5,0,0,0
187,2016,2016-12-25,15,38.235,PIT,,BAL,W 31-27,*,0,0,,0,0,0,,0,,0,0,0.0,9,2,0,0,0
188,2017,2017-09-10,1,39.129,PIT,@,CLE,W 21-18,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
189,2017,2017-09-24,3,39.143,PIT,@,CHI,L 17-23,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
190,2017,2017-10-15,6,39.164,PIT,@,KAN,W 19-13,,0,0,,0,0,0,,0,,0,0,1.0,3,0,0,0,0
191,2017,2017-10-22,7,39.171,PIT,,CIN,W 29-14,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
192,2017,2017-12-10,13,39.220,PIT,,BAL,W 39-38,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
193,2017,2017-12-31,16,39.241,NWE,,NYJ,W 26-6,,0,0,,0,0,0,,0,,0,0,2.0,3,2,0,0,0
