ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
65,1972,1972-10-15,5,28.295,MIA,,SDG,W 24-10,2,41,20.50,1,0,0,,0,1,6
66,1972,1972-10-22,6,28.302,MIA,,BUF,W 24-23,2,41,20.50,0,0,0,,0,0,0
67,1972,1972-10-29,7,28.309,MIA,@,BAL,W 23-0,2,46,23.00,0,0,0,,0,0,0
68,1972,1972-11-05,8,28.316,MIA,@,BUF,W 30-16,1,12,12.00,0,0,0,,0,0,0
69,1972,1972-11-12,9,28.323,MIA,,NWE,W 52-0,,,,,,,,,,
70,1972,1972-11-19,10,28.330,MIA,,NYJ,W 28-24,3,75,25.00,1,0,0,,0,1,6
71,1972,1972-11-27,11,28.338,MIA,,STL,W 31-10,1,17,17.00,0,0,0,,0,0,0
72,1972,1972-12-03,12,28.344,MIA,@,NWE,W 37-21,1,21,21.00,0,0,0,,0,0,0
73,1972,1972-12-10,13,28.351,MIA,@,NYG,W 23-13,,,,,,,,,,
74,1972,1972-12-16,14,28.357,MIA,,BAL,W 16-0,1,21,21.00,0,0,0,,0,0,0
75,1973,1973-09-23,2,29.272,MIA,@,OAK,L 7-12,,,,,,,,,,
76,1973,1973-09-30,3,29.279,MIA,,NWE,W 44-23,1,11,11.00,0,0,0,,0,0,0
77,1973,1973-10-07,4,29.286,MIA,,NYJ,W 31-3,,,,,,,,,,
78,1973,1973-10-21,6,29.300,MIA,,BUF,W 27-6,,,,,,,,,,
79,1973,1973-10-28,7,29.307,MIA,@,NWE,W 30-14,,,,,,,,,,
80,1973,1973-11-11,9,29.321,MIA,,BAL,W 44-0,1,19,19.00,0,0,0,,0,0,0
81,1974,1974-09-22,2,30.271,MIA,@,BUF,W 24-16,2,20,10.00,0,0,0,,0,0,0
82,1974,1974-09-29,3,30.278,MIA,@,SDG,W 28-21,4,45,11.25,0,0,0,,0,0,0
83,1974,1974-10-07,4,30.286,MIA,,NYJ,W 21-17,6,65,10.83,0,0,0,,0,0,0
84,1974,1974-10-13,5,30.292,MIA,@,WAS,L 17-20,4,43,10.75,1,0,0,,0,1,6
85,1974,1974-10-20,6,30.299,MIA,,KAN,W 9-3,3,29,9.67,0,0,0,,0,0,0
86,1974,1974-10-27,7,30.306,MIA,,BAL,W 17-7,1,5,5.00,0,0,0,,0,0,0
87,1974,1974-11-03,8,30.313,MIA,,ATL,W 42-7,,,,,,,,,,
88,1974,1974-11-10,9,30.320,MIA,@,NOR,W 21-0,,,,,,,,,,
89,1974,1974-11-17,10,30.327,MIA,,BUF,W 35-28,,,,,,,,,,
90,1974,1974-11-24,11,30.334,MIA,@,NYJ,L 14-17,,,,,,,,,,
91,1974,1974-12-02,12,30.342,MIA,,CIN,W 24-3,,,,,,,,,,
92,1974,1974-12-08,13,30.348,MIA,@,BAL,W 17-16,3,33,11.00,1,0,0,,0,1,6
93,1974,1974-12-15,14,30.355,MIA,,NWE,W 34-27,1,16,16.00,0,0,0,,0,0,0
94,1975,1975-09-22,1,31.271,MIA,,OAK,L 21-31,2,35,17.50,0,0,0,,0,0,0
95,1975,1975-09-28,2,31.277,MIA,@,NWE,W 22-14,5,76,15.20,0,0,0,,0,0,0
96,1975,1975-10-05,3,31.284,MIA,@,GNB,W 31-7,,,,,,,,,,
97,1975,1975-10-12,4,31.291,MIA,,PHI,W 24-16,2,22,11.00,0,0,0,,0,0,0
98,1975,1975-10-19,5,31.298,MIA,@,NYJ,W 43-0,3,24,8.00,0,0,0,,0,0,0
99,1975,1975-10-26,6,31.305,MIA,@,BUF,W 35-30,,,,,,,,,,
100,1975,1975-11-02,7,31.312,MIA,@,CHI,W 46-13,1,29,29.00,1,0,0,,0,1,6
101,1975,1975-11-09,8,31.319,MIA,,NYJ,W 27-7,2,41,20.50,0,0,0,,0,0,0
102,1975,1975-11-16,9,31.326,MIA,@,HOU,L 19-20,2,55,27.50,0,0,0,,0,0,0
103,1975,1975-11-23,10,31.333,MIA,,BAL,L 17-33,,,,,,,,,,
104,1975,1975-12-01,11,31.341,MIA,,NWE,W 20-7,3,48,16.00,0,0,0,,0,0,0
105,1975,1975-12-07,12,31.347,MIA,,BUF,W 31-21,3,26,8.67,2,0,0,,0,2,12
106,1975,1975-12-14,13,31.354,MIA,@,BAL,L 7-10,,,,,,,,,,
107,1975,1975-12-20,14,31.360,MIA,,DEN,W 14-13,1,10,10.00,1,0,0,,0,1,6
108,1976,1976-09-13,1,32.263,MIA,@,BUF,W 30-21,4,53,13.25,0,0,0,,0,0,0
109,1976,1976-09-19,2,32.269,MIA,@,NWE,L 14-30,1,39,39.00,0,0,0,,0,0,0
110,1976,1976-09-26,3,32.276,MIA,,NYJ,W 16-0,,,,,,,,,,
111,1976,1976-10-03,4,32.283,MIA,,RAM,L 28-31,1,18,18.00,0,0,0,,0,0,0
112,1976,1976-10-10,5,32.290,MIA,@,BAL,L 14-28,,,,,,,,,,
113,1976,1976-10-17,6,32.297,MIA,,KAN,L 17-20,8,104,13.00,1,0,0,,0,1,6
114,1976,1976-10-24,7,32.304,MIA,@,TAM,W 23-20,,,,,,,,,,
115,1976,1976-10-31,8,32.311,MIA,,NWE,W 10-3,,,,,,,,,,
