ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
33,1976,1976-09-12,1,26.357,TAM,@,HOU,L 0-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,11,466,42.36,0
34,1976,1976-09-19,2,26.364,TAM,,SDG,L 0-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,9,383,42.56,0
35,1976,1976-09-26,3,27.005,TAM,,BUF,L 9-14,,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,,,,3,4,75.0,0,9,5,200,40.00,0
36,1976,1976-10-03,4,27.012,TAM,@,BAL,L 17-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5,9,366,40.67,0
37,1976,1976-10-10,5,27.019,TAM,@,CIN,L 0-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,6,195,32.50,0
38,1976,1976-10-17,6,27.026,TAM,,SEA,L 10-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4,8,315,39.38,0
39,1976,1976-10-24,7,27.033,TAM,,MIA,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,,1,0.0,0,2,3,144,48.00,0
40,1976,1976-10-31,8,27.040,TAM,,KAN,L 19-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,3,33.3,,,,0,1,8,306,38.25,0
41,1976,1976-11-07,9,27.047,TAM,@,DEN,L 13-48,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,3,66.7,0,7,5,195,39.00,0
42,1976,1976-11-14,10,27.054,TAM,@,NYJ,L 0-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,7,253,36.14,0
43,1976,1976-11-21,11,27.061,TAM,,CLE,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1,4,174,43.50,0
44,1976,1976-11-28,12,27.068,TAM,@,OAK,L 16-49,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,6,228,38.00,0
45,1976,1976-12-05,13,27.075,TAM,@,PIT,L 0-42,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,,,,,,,0,0,6,218,36.33,0
46,1976,1976-12-12,14,27.082,TAM,,NWE,L 14-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2,5,176,35.20,0
47,1977,1977-09-18,1,27.362,TAM,@,PHI,L 3-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,2,50.0,0,3,11,491,44.64,0
48,1977,1977-09-24,2,28.003,TAM,,MIN,L 3-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,7,287,41.00,0
49,1977,1977-10-02,3,28.011,TAM,@,DAL,L 7-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,10,415,41.50,0
50,1977,1977-10-09,4,28.018,TAM,,WAS,L 0-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0,11,417,37.91,0
51,1977,1977-10-16,5,28.025,TAM,@,SEA,L 23-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,1,47,47.00,0
52,1977,1977-10-23,6,28.032,TAM,,GNB,L 0-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,8,310,38.75,1
53,1977,1977-10-30,7,28.039,TAM,@,SFO,L 10-20,,1,1,100.00,45,0,0,118.7,0,0,45.00,45.00,0,0,,0,0,0,,0,,,,,,,0,0,4,169,42.25,0
54,1977,1977-11-06,8,28.046,TAM,@,RAM,L 0-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,8,256,32.00,0
55,1977,1977-11-13,9,28.053,TAM,,NYG,L 0-10,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,,,,,,,0,0,2,83,41.50,0
56,1977,1977-11-20,10,28.060,TAM,@,DET,L 7-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,9,387,43.00,0
57,1977,1977-11-27,11,28.067,TAM,,ATL,L 0-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,7,249,35.57,0
58,1977,1977-12-04,12,28.074,TAM,,CHI,L 0-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,10,422,42.20,0
59,1977,1977-12-11,13,28.081,TAM,@,NOR,W 33-14,,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,0,0,,0,0,0,,0,3,4,75.0,2,3,66.7,0,9,5,197,39.40,0
60,1977,1977-12-18,14,28.088,TAM,,STL,W 17-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5,5,218,43.60,0
61,1978,1978-09-02,1,28.346,TAM,,NYG,L 13-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,0,7,310,44.29,0
62,1978,1978-09-09,2,28.353,TAM,,DET,L 7-15,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,8,352,44.00,0
63,1978,1978-09-17,3,28.361,TAM,@,MIN,W 16-10,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,,,,,,,0,0,10,395,39.50,0
64,1978,1978-09-24,4,29.003,TAM,,ATL,W 14-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,9,389,43.22,1
65,1978,1978-10-01,5,29.010,TAM,,MIN,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,169,42.25,1
66,1978,1978-10-08,6,29.017,TAM,@,KAN,W 30-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,193,38.60,0
67,1978,1978-10-15,7,29.024,TAM,@,NYG,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,3,103,34.33,0
68,1978,1978-10-22,8,29.031,TAM,,CHI,W 33-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,181,36.20,0
69,1978,1978-10-29,9,29.038,TAM,@,GNB,L 7-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,8,298,37.25,0
70,1978,1978-11-05,10,29.045,TAM,@,RAM,L 23-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,194,48.50,0
71,1978,1978-11-12,11,29.052,TAM,@,DET,L 23-34,,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0,0,,0,,,,,,,0,0,5,213,42.60,0
72,1978,1978-11-19,12,29.059,TAM,,BUF,W 31-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,168,42.00,0
73,1978,1978-11-26,13,29.066,TAM,@,CHI,L 3-14,,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,0,7,301,43.00,0
74,1978,1978-12-03,14,29.073,TAM,,GNB,L 7-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,166,41.50,0
75,1978,1978-12-10,15,29.080,TAM,@,SFO,L 3-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,1,100.0,0,3,8,299,37.38,0
76,1978,1978-12-17,16,29.087,TAM,,NOR,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,9,361,40.11,0
