ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
67,1988,1988-11-13,11,26.272,CLE,@,DEN,L 7-30,,6,59,9.83,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
68,1988,1988-11-20,12,26.279,CLE,,PIT,W 27-7,,3,66,22.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
69,1988,1988-11-27,13,26.286,CLE,@,WAS,W 17-13,,4,47,11.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
70,1988,1988-12-04,14,26.293,CLE,,DAL,W 24-21,,6,71,11.83,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
71,1988,1988-12-12,15,26.301,CLE,@,MIA,L 31-38,,2,34,17.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
72,1988,1988-12-18,16,26.307,CLE,,HOU,W 28-23,,1,2,2.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
73,1989,1989-09-10,1,27.207,CLE,@,PIT,W 51-0,,2,52,26.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
74,1989,1989-09-17,2,27.214,CLE,,NYJ,W 38-24,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
75,1989,1989-10-01,4,27.228,CLE,,DEN,W 16-13,,2,20,10.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
76,1989,1989-10-08,5,27.235,CLE,@,MIA,L 10-13,,5,51,10.20,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
77,1989,1989-10-15,6,27.242,CLE,,PIT,L 7-17,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
78,1989,1989-10-23,7,27.250,CLE,,CHI,W 27-7,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
79,1989,1989-10-29,8,27.256,CLE,,HOU,W 28-17,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
80,1989,1989-11-05,9,27.263,CLE,@,TAM,W 42-31,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
81,1989,1989-11-12,10,27.270,CLE,@,SEA,W 17-7,,2,14,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
82,1989,1989-11-19,11,27.277,CLE,,KAN,T 10-10,,2,20,10.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
83,1989,1989-12-03,13,27.291,CLE,,CIN,L 0-21,,2,22,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
84,1989,1989-12-10,14,27.298,CLE,@,IND,L 17-23,,2,18,9.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
85,1989,1989-12-17,15,27.305,CLE,,MIN,W 23-17,,4,35,8.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
86,1989,1989-12-23,16,27.311,CLE,@,HOU,W 24-20,,4,34,8.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
87,1990,1990-09-09,1,28.206,CLE,,PIT,W 13-3,,2,21,10.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
88,1990,1990-09-16,2,28.213,CLE,@,NYJ,L 21-24,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,
89,1990,1990-09-23,3,28.220,CLE,,SDG,L 14-24,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
90,1990,1990-09-30,4,28.227,CLE,@,KAN,L 0-34,,4,41,10.25,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
91,1990,1990-10-08,5,28.235,CLE,@,DEN,W 30-29,,5,65,13.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
92,1990,1990-10-14,6,28.241,CLE,@,NOR,L 20-25,,3,29,9.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
93,1990,1990-10-22,7,28.249,CLE,,CIN,L 13-34,,6,83,13.83,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
94,1990,1990-10-28,8,28.255,CLE,@,SFO,L 17-20,,4,48,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
95,1990,1990-11-04,9,28.262,CLE,,BUF,L 0-42,,5,85,17.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
96,1990,1990-11-18,10,28.276,CLE,,HOU,L 23-35,,1,28,28.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
97,1990,1990-11-25,11,28.283,CLE,,MIA,L 13-30,,4,53,13.25,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,12,12.00,0,0,0
98,1990,1990-12-02,12,28.290,CLE,,RAM,L 23-38,,5,43,8.60,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,0,0
99,1990,1990-12-09,13,28.297,CLE,@,HOU,L 14-58,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,12,12.00,0,0,0
100,1990,1990-12-16,14,28.304,CLE,,ATL,W 13-10,,2,17,8.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,4,29,7.25,0,0,0
101,1990,1990-12-23,15,28.311,CLE,@,PIT,L 0-35,,2,32,16.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
102,1990,1990-12-30,16,28.318,CLE,@,CIN,L 14-21,,1,16,16.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,2,19,9.50,0,1,6
103,1991,1991-09-01,1,29.198,CLE,,DAL,L 14-26,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
104,1991,1991-09-08,2,29.205,CLE,@,NWE,W 20-0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,11,11.00,0,0,0
105,1991,1991-09-22,4,29.219,CLE,@,NYG,L 10-13,,3,23,7.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,0,0
106,1991,1991-10-06,5,29.233,CLE,,NYJ,L 14-17,,1,13,13.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
107,1991,1991-10-13,6,29.240,CLE,@,WAS,L 17-42,,4,38,9.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
108,1991,1991-10-20,7,29.247,CLE,@,SDG,W 30-24,,3,34,11.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
109,1991,1991-10-27,8,29.254,CLE,,PIT,W 17-14,,5,52,10.40,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
110,1991,1991-11-03,9,29.261,CLE,@,CIN,L 21-23,,4,32,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
111,1991,1991-11-10,10,29.268,CLE,,PHI,L 30-32,,2,22,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
112,1991,1991-11-17,11,29.275,CLE,@,HOU,L 24-28,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,
113,1991,1991-11-24,12,29.282,CLE,,KAN,W 20-15,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,
114,1991,1991-12-01,13,29.289,CLE,@,IND,W 31-0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
115,1991,1991-12-08,14,29.296,CLE,,DEN,L 7-17,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,
116,1991,1991-12-15,15,29.303,CLE,,HOU,L 14-17,,5,81,16.20,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
117,1991,1991-12-22,16,29.310,CLE,@,PIT,L 10-17,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
118,1992,1992-09-06,1,30.204,CIN,@,SEA,W 21-3,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
119,1992,1992-09-13,2,30.211,CIN,,RAI,W 24-21,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
120,1992,1992-09-20,3,30.218,CIN,@,GNB,L 23-24,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
121,1992,1992-09-27,4,30.225,CIN,,MIN,L 7-42,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
122,1992,1992-10-11,5,30.239,CIN,,HOU,L 24-38,10,7,69,9.86,0,70.0%,6.90,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
123,1992,1992-10-19,6,30.247,CIN,@,PIT,L 0-20,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
124,1992,1992-10-25,7,30.253,CIN,@,HOU,L 10-26,2,1,17,17.00,1,50.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
125,1992,1992-11-01,8,30.260,CIN,,CLE,W 30-10,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
126,1992,1992-11-08,9,30.267,CIN,@,CHI,W 31-28,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
127,1992,1992-11-15,10,30.274,SDG,@,CLE,W 14-13,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,3,3.00,0,0,0
128,1992,1992-11-29,12,30.288,SDG,,RAI,W 27-3,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
129,1992,1992-12-06,13,30.295,SDG,@,PHO,W 27-21,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
130,1992,1992-12-13,14,30.302,SDG,,CIN,W 27-10,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
131,1992,1992-12-20,15,30.309,SDG,@,RAI,W 36-14,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,0,0,,0,0,0,,0,,
132,1992,1992-12-27,16,30.316,SDG,@,SEA,W 31-14,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,10,10.00,0,0,0,,0,0,0
